	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_78	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Glt25d1	0.0	0.0	0.0	129.13	10.85	0.0	20.88	0.0	13.41	0.0	65.04	0.0	0.0	0.0	0.0	0.09	4.3	0.28	0.0	49.0	50.0	48.51
Gm14430	8.29	2.27	0.0	73.95	0.0	0.0	6.19	15.98	5.5	2.84	0.47	6.27	0.0	4.55	12.18	2.39	0.82	4.29	0.0	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	73.95	0.0	0.0	6.19	15.98	5.5	2.84	0.47	6.27	0.0	4.55	12.18	2.39	0.82	4.29	0.0	7.67	5.07	7.49
Gm16023	0.26	3.58	0.0	255.56	0.0	0.0	0.14	0.0	30.04	0.0	0.0	0.0	0.0	0.34	0.32	0.0	0.0	0.79	0.61	2.26	1.9	1.62
Gm4724	8.29	2.27	0.0	73.95	0.0	0.0	6.19	15.98	5.5	2.84	0.47	6.27	0.0	4.55	12.18	2.39	0.82	4.29	0.0	7.67	5.07	7.49
Gria1	144.38	168.71	0.0	1168.33	0.0	0.0	173.09	130.04	165.25	149.91	172.42	111.29	148.62	141.6	191.78	110.88	71.93	113.63	183.12	200.7	196.7	204.6
Hars2	17.52	0.0	0.0	143.88	0.0	0.0	0.0	0.54	30.0	0.78	0.24	0.0	0.0	0.0	0.24	0.0	0.07	8.5	0.0	23.06	20.94	19.55
Hmbs	12.7	0.0	0.23	111.49	3.55	0.0	17.06	0.05	1.43	0.0	0.82	16.22	0.0	0.0	11.92	0.0	0.0	0.0	6.03	17.15	21.24	20.53
Hmga2-ps1	2.21	0.92	0.0	6.65	0.0	0.0	0.85	0.39	0.42	0.35	0.5	1.96	0.43	0.37	0.33	0.82	0.0	0.46	0.2	3.68	2.64	3.38
Il2ra	0.48	1.17	0.0	2.29	0.51	0.0	0.62	0.8	0.9	0.22	0.47	0.17	0.22	0.48	0.43	0.24	0.66	0.31	0.66	1.66	1.62	1.43
Josd1	27.99	0.0	0.0	108.18	0.0	0.0	27.28	0.02	0.0	2.57	0.0	13.35	0.0	2.61	1.81	0.0	0.0	0.0	0.0	70.51	68.79	66.56
Kndc1	0.0	2.5	0.0	53.54	0.0	0.0	0.02	0.03	6.37	0.08	0.0	3.09	0.0	0.0	2.77	0.0	6.46	11.83	1.03	47.74	47.05	52.63
Mboat7	21.32	23.98	0.0	67.69	0.0	0.0	32.81	11.96	24.62	10.78	1.29	16.0	0.07	19.17	7.96	58.33	3.33	25.22	11.43	91.03	94.32	95.04
Mfap5	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.06	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.17	0.16	0.0	0.38	0.4	0.94
Ncapd3	4.95	3.08	0.0	91.25	0.0	0.0	20.75	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.05	3.5	2.15	0.0	15.76	14.43	16.08
Ndp	0.0	0.0	0.0	0.53	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	10.94	9.35	9.69
Npy	138375.8	173305.25	0.0	14635.6	0.0	0.0	132042.44	149629.49	132052.33	117863.77	173863.58	166048.87	191162.16	153405.37	151963.58	145032.54	180453.32	137945.15	137580.94	214.21	196.57	200.76
Nxt2	47.58	42.34	0.0	548.05	0.15	0.0	0.07	38.15	22.3	0.49	0.0	27.13	28.72	53.16	6.11	79.59	46.56	0.72	86.24	31.8	29.44	30.7
Otud4	0.43	28.87	0.0	147.64	0.1	0.0	4.33	3.08	2.67	12.25	0.0	0.0	17.19	22.69	1.7	0.0	14.24	1.85	0.04	33.5	28.95	30.11
Peo1	0.33	0.0	0.0	101.26	0.0	0.0	0.15	0.15	0.09	0.0	0.11	0.28	0.15	19.83	0.07	4.95	0.0	0.17	0.08	11.52	10.95	10.76
Pip4k2b	4.02	1.88	0.0	22.4	0.0	0.0	0.23	4.81	2.13	0.06	0.0	0.25	1.38	0.22	0.0	0.0	0.0	0.3	3.09	83.28	80.17	79.56
Ppp1r12b	8.79	16.62	2.67	52.19	5.62	4.14	10.2	15.04	13.33	4.58	8.25	8.29	6.9	7.39	12.13	8.79	6.55	6.07	10.1	52.73	42.74	52.78
Ptprd	42.36	23.84	0.0	364.74	0.0	0.0	22.35	28.91	118.12	49.42	67.5	23.45	35.08	45.95	36.57	3.21	27.39	16.61	27.51	94.17	76.39	92.81
Riok1	6.3	0.0	0.0	233.48	0.0	0.0	0.0	30.78	4.74	0.0	4.35	11.99	5.73	0.61	33.0	1.31	5.34	7.73	17.16	12.73	12.29	12.43
Rnf157	28.9	50.12	0.0	302.21	0.0	0.0	0.28	56.92	3.7	13.36	36.95	22.67	21.63	14.78	17.39	0.0	0.67	19.3	15.72	165.94	162.23	173.95
Scin	0.73	0.0	0.0	2.62	0.0	0.0	0.62	0.13	0.23	0.0	0.1	0.09	0.08	0.12	0.0	0.06	0.36	0.2	0.32	0.52	0.23	0.43
Slc20a1	90.44	28.08	0.0	620.54	0.0	0.0	92.93	25.56	84.52	37.22	70.65	83.02	19.25	46.77	96.91	25.41	1.24	108.14	38.11	138.28	132.09	138.7
Syne1	34.46	25.73	0.0	262.16	3.62	0.0	48.41	6.01	6.66	19.27	46.61	39.22	5.26	49.32	51.36	14.96	56.24	41.55	12.67	190.06	173.19	193.72
Syt1	875.24	654.41	0.0	1808.62	0.0	0.0	759.38	647.51	607.09	551.28	423.53	488.54	328.78	542.74	206.98	284.6	434.79	689.79	574.5	931.59	920.94	916.63
Syt13	78.78	32.11	0.0	238.56	0.0	0.0	6.86	49.23	60.88	25.61	31.85	23.72	0.23	0.0	85.67	29.1	36.91	43.05	40.01	164.41	163.63	166.3
Tardbp	38.07	28.74	0.0	338.24	0.0	0.0	26.7	63.31	9.53	16.43	17.73	12.1	13.45	24.08	18.19	7.37	36.71	24.94	11.57	82.06	76.98	83.35
Tmem106b	54.0	28.93	110.4	267.3	0.0	0.0	23.3	0.04	2.17	1.67	18.04	15.46	36.3	14.68	0.0	17.0	0.89	0.0	23.84	84.23	75.31	81.91
Tmem41b	37.66	88.06	0.0	140.99	0.0	0.0	21.96	82.76	1.24	20.94	21.07	0.0	0.06	20.24	29.79	33.19	0.25	132.48	0.17	29.34	29.39	27.65
Tpr	28.68	21.38	0.0	188.97	0.0	0.0	26.31	33.58	2.23	12.02	5.26	13.29	11.32	51.7	17.4	10.68	20.51	8.43	12.53	36.35	26.68	38.19
Wdfy1	2.85	4.36	0.0	268.64	0.0	0.0	37.73	0.17	0.86	0.88	6.33	0.0	7.94	26.4	0.26	11.73	0.12	0.0	26.18	14.27	13.02	14.66
Wdfy3	12.56	7.12	0.0	68.73	0.0	0.0	27.45	9.85	4.78	8.83	3.64	0.0	3.41	18.08	6.47	11.91	6.77	4.47	3.58	54.22	48.43	55.17
Zfp612	9.7	44.69	0.0	233.82	0.0	0.0	81.24	31.83	29.57	19.33	59.17	0.0	5.56	45.54	41.48	23.89	0.0	0.0	32.34	27.53	24.0	27.14
