	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_75	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_55	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_146	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_164	Rorb_tdTpositive_cell_39	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_57	Scnn1a.Tg3_tdTpositive_cell_63	Scnn1a.Tg3_tdTpositive_cell_66	Vip_tdTpositive_cell_55
Slc9a6	0.0	0.0	10.23	48.45	6.89	93.41	14.13	3.21	13.68	5.79	0.0	68.26	53.46	0.51	0.0	1.23
Smarcc1	0.93	0.54	3.24	49.75	7.82	1.65	0.61	2.11	61.43	1.05	0.0	11.05	86.2	1.26	0.34	4.67
Smc1a	0.0	0.0	39.07	40.56	39.15	5.09	119.1	51.98	30.84	0.44	0.0	116.99	186.08	19.53	0.0	0.0
Smc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.94	75.43	0.0	0.0	0.0
Smc6	0.05	1.52	0.0	24.37	19.11	1.2	44.06	22.26	6.31	5.02	0.0	32.98	53.83	4.42	0.17	0.11
Snrnp40	0.0	0.0	0.0	0.42	2.51	0.0	9.87	44.5	32.61	0.19	0.0	102.29	114.2	0.0	14.2	0.0
Sprr2a1	0.03	0.09	0.14	0.55	0.24	0.0	0.1	0.34	0.57	0.55	0.0	0.37	0.73	0.0	0.0	0.03
Sprr2a2	0.03	0.09	0.14	0.55	0.24	0.0	0.1	0.34	0.57	0.55	0.0	0.37	0.73	0.0	0.0	0.03
St8sia5	0.0	4.99	0.0	97.81	52.43	0.0	0.35	0.0	0.0	1.78	0.18	165.47	208.58	0.0	0.0	0.92
Tada1	0.13	0.0	87.38	117.79	94.22	196.41	102.3	36.72	113.86	69.27	0.5	440.88	409.44	0.34	0.0	0.86
Tfap2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.21	0.0	0.0	0.0
Trp53inp2	0.0	0.0	0.0	14.85	0.57	0.0	1.42	43.44	6.61	80.0	0.0	0.31	124.57	0.0	0.0	139.8
Ttc27	0.0	0.0	0.0	52.91	78.71	0.0	0.0	39.33	36.72	19.54	0.0	66.54	117.01	91.84	0.0	0.22
Usp6nl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.86	2.08	0.0	0.0	0.0
Vamp2	128.47	235.6	316.0	253.61	262.25	79.33	158.0	161.45	169.42	217.21	86.12	180.89	499.66	73.67	4.48	419.9
Zfp511	4.23	0.0	0.0	16.75	0.0	0.0	0.0	14.04	23.55	0.0	0.0	65.23	196.19	0.0	174.86	0.0
