	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_36	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_57	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_21	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50
Eif5b	30.24	0.0	7.18	8.77	7.42	0.0	3.6	98.99	10.94	30.44	10.24	13.75	11.64	0.67	0.0	21.38	0.17	4.4	4.41	1.23	0.87	0.0	0.0	0.0	0.0	0.0	72.2	40.86	0.0	0.0	83.05	23.49	15.65	10.11	0.0	0.0	29.01	66.09	1.41
H2-Ke2	137.8	572.29	0.0	109.66	237.6	0.0	0.0	0.0	151.85	296.27	611.37	145.34	77.61	1.52	110.15	251.21	142.71	155.81	219.29	265.35	5.09	0.0	0.0	0.0	0.0	0.0	119.18	0.0	0.0	0.0	388.36	326.13	199.22	210.4	240.79	24.69	374.54	393.8	124.35
Jkamp	0.0	1.54	137.28	123.73	0.0	0.0	0.0	0.0	0.0	137.55	163.72	0.0	0.0	123.76	128.65	0.0	56.44	147.51	542.19	0.5	250.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	530.01	139.73	0.0	0.0	220.76	0.0	5.04	0.75	193.97
Mrpl20	154.8	441.36	340.02	160.79	600.55	0.56	0.0	0.0	427.35	33.19	174.92	405.5	46.88	553.97	649.68	536.26	345.59	641.8	164.28	140.94	0.0	0.0	142.09	0.0	0.0	0.0	498.37	0.0	109.87	0.0	1225.79	879.41	263.96	58.54	279.77	0.0	0.0	75.02	38.23
Mrpl50	0.2	0.0	29.51	0.0	67.68	0.0	0.0	0.0	0.0	203.11	310.31	616.28	238.39	205.6	0.0	0.0	299.62	414.88	108.31	0.21	181.75	0.0	0.0	0.0	297.02	0.0	171.7	0.0	0.17	0.0	447.77	156.58	211.91	0.95	9.83	0.0	4.02	66.76	153.89
Myo5c	0.19	0.0	0.12	0.05	0.0	0.19	0.07	0.05	0.0	0.23	0.35	0.37	0.06	0.15	0.2	0.3	0.04	0.28	0.15	0.0	0.23	0.0	0.06	0.0	0.0	0.0	0.15	0.0	0.0	0.17	0.41	0.18	0.13	0.06	0.2	0.09	0.0	0.04	0.0
N6amt2	326.57	235.27	609.2	0.0	124.1	0.0	0.0	0.0	233.2	88.06	0.0	383.1	0.0	0.0	0.0	0.0	0.33	0.0	217.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.33	0.0	0.0	0.0	389.23	213.75	263.51	293.59	364.62	0.0	215.22	0.62	0.0
Nob1	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	293.48	0.0	0.0	90.92	8.64	0.0	0.0	0.95	1.34	149.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	454.82	0.0	0.0	0.0	0.0	0.0	71.7	0.0	451.84
Ogfod1	0.0	1.34	7.07	7.59	24.62	0.0	0.0	0.09	0.07	34.37	54.62	129.06	0.07	31.65	29.58	0.0	0.15	1.22	0.0	4.35	26.93	0.0	0.0	0.0	0.0	0.0	89.44	0.0	0.06	8.38	121.61	8.46	172.43	12.56	0.0	5.01	0.31	7.23	76.88
Pcdh10	52.35	172.85	99.94	60.89	78.16	0.0	0.0	0.0	25.9	7.28	123.51	111.85	7.92	85.0	45.72	25.57	19.25	0.0	167.47	45.47	60.45	0.0	0.0	0.0	0.0	0.06	45.78	0.0	0.0	0.0	27.23	2.18	28.8	30.2	64.28	6.84	32.26	39.08	49.15
Penk	6917.38	4958.89	10714.69	21119.42	7052.5	0.0	0.0	0.0	14614.46	30305.82	24078.42	18579.64	29110.93	10693.84	7583.12	15168.53	23047.57	19453.81	8394.0	22944.38	23364.23	0.0	0.0	0.0	0.0	0.0	5463.18	0.0	0.0	0.0	16623.49	24984.25	8575.12	8940.47	5789.22	9357.5	9658.52	11865.47	5578.16
Pfas	73.01	46.59	101.4	36.87	34.68	1.67	2.21	118.96	35.46	3.88	45.41	0.66	37.05	92.59	102.64	52.08	125.13	0.86	1.5	39.57	36.31	0.61	0.89	0.03	3.07	0.84	16.92	0.0	0.7	2.63	97.02	46.67	12.01	63.26	79.25	63.91	123.56	0.77	49.5
Psmc1	135.58	1166.94	838.4	480.65	599.21	0.0	0.0	0.0	515.87	309.29	882.93	386.64	946.72	479.74	135.12	19.58	499.39	447.09	162.62	493.81	287.34	0.0	0.31	0.0	0.0	0.0	473.43	0.0	0.0	51.44	453.25	1594.3	1505.06	702.19	404.48	0.0	421.8	1142.7	783.26
Rab3c	538.43	423.1	141.28	100.05	244.83	0.16	0.0	0.4	260.76	292.26	742.05	724.71	195.85	773.26	206.41	167.6	102.52	362.8	244.66	707.76	396.67	0.0	0.1	0.98	0.0	0.17	469.74	0.0	0.55	0.0	268.0	247.1	154.42	104.69	264.33	310.27	200.1	293.4	167.64
Sdccag8	16.73	0.19	157.06	62.12	23.88	0.0	0.0	0.0	0.0	0.63	188.68	0.0	2.13	2.79	56.12	0.0	0.0	0.15	0.0	47.55	95.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.3	0.0	0.0	0.0	0.52	0.0	0.0	0.0	141.76
Slc22a17	121.83	0.44	96.99	67.12	80.86	0.0	23.72	0.0	23.92	94.15	183.4	131.24	9.77	206.23	82.71	121.95	122.74	76.62	57.76	146.99	111.39	0.0	0.0	0.0	0.0	0.0	5.84	0.0	0.0	0.0	360.29	137.54	0.17	141.69	305.66	77.36	278.44	195.38	18.44
Smu1	221.46	328.46	50.08	0.0	68.03	0.0	0.11	0.0	88.7	140.67	165.64	313.72	0.0	143.25	0.0	0.13	146.52	0.0	0.0	7.41	0.0	0.0	0.0	0.0	0.0	0.0	116.7	0.0	0.0	0.0	498.31	0.0	0.36	195.57	337.08	0.15	146.46	0.15	0.89
Snx27	5.33	90.76	49.88	1.69	7.63	0.0	2.9	0.0	0.52	0.0	165.85	16.93	0.0	77.36	4.74	0.0	2.04	36.34	70.04	0.0	0.21	0.0	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.0	147.84	0.0	1.21	106.47	11.05	125.12	0.87	1.55	0.0
Tmod2	18.18	63.45	79.09	1.49	6.91	0.1	0.0	0.0	15.05	53.23	46.21	97.19	8.42	44.44	2.29	20.95	87.89	67.25	19.65	37.8	101.4	0.0	0.04	0.0	0.02	0.33	138.97	0.0	0.66	0.17	110.08	79.53	42.85	0.04	1.91	3.46	24.63	62.02	14.92
Trip4	1.94	32.25	3.06	24.52	0.9	0.61	1.47	2.18	1.03	4.26	47.15	1.47	1.35	2.1	3.22	1.7	1.04	1.88	4.48	2.17	44.4	1.27	148.22	2.58	1.38	2.26	1.86	0.0	2.45	1.7	83.51	11.97	0.77	87.77	12.22	71.3	37.98	27.33	16.25
Trmt112	270.31	606.42	174.53	47.12	141.87	461.47	367.43	257.97	392.17	265.95	116.58	56.53	5.79	338.95	130.99	71.88	133.99	219.55	0.0	21.2	0.0	0.0	0.0	0.0	0.0	0.0	412.99	0.0	0.0	0.0	321.61	84.01	0.0	160.21	278.07	155.89	290.33	166.81	298.17
Txndc12	0.0	277.86	143.27	0.0	6.62	0.0	0.0	0.0	175.38	0.0	193.74	0.0	0.0	0.0	0.0	161.66	0.0	437.69	0.0	0.0	0.0	18.3	0.0	0.0	0.0	0.0	267.61	0.0	0.0	157.56	365.9	166.75	0.0	0.0	8.81	0.0	171.02	275.03	392.03
Ube2v2	83.68	338.56	286.16	129.39	178.23	7.26	2.27	5.76	118.58	259.66	111.32	281.31	117.58	130.61	138.66	297.85	4.25	180.99	327.56	252.65	123.23	286.5	2.16	0.48	1.41	0.91	140.5	0.0	0.24	0.78	177.07	338.4	130.18	115.56	164.8	56.36	200.02	299.78	315.61
Vldlr	20.19	0.0	0.0	0.0	0.27	0.0	0.0	0.0	137.32	55.73	17.93	5.03	141.78	54.98	0.87	0.16	0.0	23.57	11.24	0.12	0.06	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.06	0.09	31.74	0.0	0.67	0.19	0.12	4.12
Zscan29	23.36	73.0	64.31	0.72	2.13	0.33	1.43	1.19	5.07	58.91	98.05	2.77	2.15	6.14	1.78	0.44	2.71	2.74	19.97	9.69	4.34	0.32	3.03	0.07	0.34	0.18	1.96	6.45	0.19	1.8	5.42	5.03	7.64	5.15	3.85	2.52	5.56	2.0	5.22
