	Scnn1a.Tg2_tdTpositive_cell_2	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Eif2c4	0.0	0.0	0.0	0.0	8.15	7.51	7.83
Erap1	0.0	0.0	0.0	0.0	6.61	6.59	6.65
Esx1	0.0	0.0	0.0	0.0	0.05	0.0	0.0
Fgd1	0.0	0.0	0.0	0.0	10.32	11.83	10.95
G2e3	0.3	0.0	0.0	7.54	7.62	7.26	7.85
Gabra6	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gm14725	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpr39	0.0	0.0	0.0	0.0	0.0	0.15	0.08
Gpr82	0.0	0.0	0.0	0.0	0.08	0.04	0.04
H1fx	0.0	0.0	0.0	0.0	31.05	40.08	38.04
H2-Eb1	0.0	0.0	0.0	0.0	2.33	2.19	1.85
Hist1h3f	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hk2	0.02	0.0	0.0	0.0	1.4	1.88	1.76
Hoxd8	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hps4	0.0	0.0	0.0	0.08	16.87	16.53	16.53
Hus1	0.0	0.0	0.86	0.0	8.12	8.21	7.85
Iigp1	0.0	0.0	0.0	0.0	1.65	0.98	1.2
Inhbc	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Invs	0.07	0.0	0.16	0.0	7.81	7.46	8.44
Irf4	0.0	0.0	0.0	0.0	0.23	0.24	0.19
Isyna1	0.0	0.0	3.68	0.0	42.7	49.4	42.19
Kcnj8	0.0	0.0	0.0	0.0	3.53	3.75	4.25
Kdm3b	21.15	0.0	0.0	0.03	26.29	25.01	26.31
Kera	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Khdc1b	0.0	0.0	0.0	0.0	0.04	0.04	0.16
Lao1	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lbh	0.0	0.21	0.0	0.78	33.89	36.55	35.92
Lipm	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Lman2l	15.06	38.32	3.3	0.0	38.78	36.32	38.49
Lmo1	0.0	0.31	0.0	0.0	17.7	16.41	19.44
Ltbp4	7.06	0.0	0.0	0.14	37.04	41.64	39.41
Ltc4s	0.0	0.0	0.0	0.0	5.48	7.32	7.62
Mc3r	0.0	0.0	0.12	0.0	0.49	0.64	0.36
Mcm4	4.37	0.0	0.0	0.0	7.95	7.59	7.78
Mfsd10	13.24	2.31	0.0	0.0	21.21	23.51	22.0
Mfsd7b	0.0	0.0	3.32	0.0	11.27	10.65	10.55
Mgat5	0.08	0.0	0.0	0.0	35.1	31.66	38.04
Mis12	26.56	3.49	0.0	0.0	18.73	17.44	16.02
Msc	0.0	0.0	0.0	0.0	2.43	2.51	3.05
Msh4	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mt2	0.0	0.0	0.0	0.0	162.97	196.44	177.73
Mtmr10	0.0	0.0	0.0	0.0	11.13	12.35	11.92
Necab2	0.07	0.0	0.0	0.0	76.45	80.52	73.62
Nron	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Olfr56	0.0	0.0	0.0	0.0	0.1	0.05	0.05
Palmd	0.0	0.0	0.0	0.0	16.35	16.22	15.99
Pcdha6	0.0	0.0	0.0	0.0	6.28	6.93	5.35
Pdzk1	0.0	0.0	0.0	0.0	8.42	8.32	9.74
Phf8	10.13	0.0	0.94	1.97	12.95	12.9	13.57
Pigq	0.42	0.01	19.27	0.38	79.81	85.55	87.13
Pitpnm3	0.0	0.05	0.0	0.0	51.44	49.9	56.3
Plek	0.0	0.16	1.55	0.0	9.5	8.74	8.8
Pou4f1	0.0	0.0	0.0	0.0	0.08	0.05	0.05
Ppp1r14c	0.0	0.0	0.0	0.0	15.05	17.27	14.84
Prkx	0.2	0.3	0.74	0.14	11.01	9.82	9.78
Prr5	0.58	0.0	0.0	0.12	5.73	5.99	4.84
Ptprm	6.07	21.01	0.05	0.0	20.78	20.76	21.92
Rap1gap2	19.65	0.0	0.05	59.3	119.99	111.59	120.64
Rbks	0.0	0.0	0.0	0.0	2.66	3.25	3.36
Rcl1	0.0	0.0	58.67	117.72	18.35	20.3	15.53
Rph3al	0.0	0.0	0.0	0.0	2.5	2.15	2.47
Rxra	0.0	0.0	0.0	0.0	14.03	15.47	15.08
Samm50	47.74	0.0	6.05	0.0	97.54	105.64	95.86
Scrib	0.0	0.0	0.0	0.0	21.03	23.38	23.64
Sdcbp2	0.0	0.0	0.0	0.0	2.6	2.86	2.24
Sfxn5	19.62	0.0	0.08	1.11	92.61	96.54	106.61
Sh3bp4	0.0	0.0	0.0	0.0	14.55	15.81	15.81
Slc17a9	0.0	0.0	0.0	0.0	0.81	0.42	0.47
Slc39a13	0.0	0.0	0.0	0.0	20.37	21.2	19.82
Smchd1	0.0	0.0	2.64	5.72	17.6	16.14	16.17
Srpk3	0.0	0.0	0.0	0.0	6.97	6.76	8.66
Stk10	0.89	0.0	0.06	0.14	3.99	3.73	4.29
Tas2r137	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbrg4	6.91	0.0	9.85	7.78	25.98	27.91	25.75
Tcp11l1	0.04	0.0	0.0	0.01	12.47	9.5	12.93
Tm7sf2	15.51	117.93	0.0	121.78	22.0	26.19	23.21
Tmem163	2.39	0.0	0.0	0.0	14.01	17.16	17.46
Tmem38b	0.05	0.0	0.0	0.0	9.24	10.06	7.83
Tnrc18	0.21	0.0	0.0	0.0	31.29	32.2	36.11
Tpte	0.0	0.0	0.0	0.0	0.04	0.04	0.16
Tradd	0.0	0.0	0.0	0.0	8.02	8.98	8.2
Treh	0.0	0.0	0.0	0.0	0.1	0.05	0.05
Trerf1	9.07	0.0	0.0	1.0	22.57	21.09	25.93
Trim27	1.93	8.0	2.23	3.27	13.37	14.01	13.13
Trmu	47.32	0.0	0.0	0.0	16.82	17.41	17.76
Tsga13	0.0	0.0	0.0	0.0	0.09	0.09	0.36
Tspan17	0.09	0.0	0.0	0.0	38.39	46.39	44.45
Tyk2	1.45	0.0	0.0	0.0	10.9	10.26	10.92
Ubox5	0.0	0.0	0.0	0.0	8.96	10.32	9.38
Ulk1	11.3	0.0	27.97	54.45	43.63	46.37	46.9
Usp33	17.17	3.38	49.03	0.0	99.71	93.96	96.49
Vmn1r45	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r18	0.0	0.0	0.0	0.0	0.04	0.04	0.0
Vmn2r79	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps37b	0.0	0.0	0.0	0.0	39.01	44.26	36.05
Xkr5	0.0	0.0	0.0	0.0	0.21	0.13	0.14
Zbtb49	3.44	0.0	0.0	0.0	8.16	8.77	8.86
Zfp160	3.82	6.82	25.8	13.9	9.07	8.22	10.29
Zfp324	0.0	0.0	0.0	0.0	6.41	6.19	5.86
Zfp41	0.04	0.0	0.0	0.0	5.21	5.39	5.92
Zfp423	0.0	0.0	0.0	0.0	6.44	7.96	7.35
Zp3r	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	1622.06	0.0	1075.62	0.07	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	26.24	20.81	9032.87	8417.95	8583.15
