	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_11	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm8898	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.71	42.61	1.43	2.99	0.37	1.99	4.64	1.83	0.44	2.05	0.11	0.53	5.21	0.37	0.4	0.0	8.87	7.17	8.34
Gm9871	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.07	0.14
Golga3	0.0	0.1	0.0	0.0	51.02	0.0	0.0	2.84	0.0	0.2	12.16	0.27	0.43	76.21	68.07	46.32	0.1	10.96	0.07	0.0	6.33	0.14	0.0	0.0	30.4	28.12	31.03
Grip2	0.0	0.0	0.0	0.0	0.0	59.78	0.0	0.11	0.0	1.52	0.0	0.74	0.0	36.45	0.0	0.61	0.0	4.41	0.0	0.07	11.07	0.57	15.29	0.0	14.6	16.33	16.53
Gtpbp8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06	0.0	97.4	0.0	2.87	0.0	119.3	0.0	0.0	11.15	4.84	0.0	18.91	46.48	0.0	0.0	0.0	19.93	20.59	23.03
Hecw2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.72	6.76	0.04	0.0	38.07	0.0	28.72	0.08	4.54	14.01	8.98	0.07	0.04	0.0	0.0	18.31	19.04	19.67
Kif24	0.25	0.52	0.22	0.16	0.0	0.37	0.22	3.41	0.49	0.19	0.07	0.42	0.48	14.09	0.53	0.46	0.26	0.24	0.11	0.0	0.29	0.2	0.18	0.0	0.56	0.48	0.81
Lmo7	0.0	0.0	38.88	0.0	0.0	0.0	0.0	0.0	142.1	0.0	0.0	4.59	0.0	9.67	0.0	0.07	1.85	12.05	3.77	0.0	0.27	0.0	0.0	0.0	50.59	47.25	46.44
Lrp11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.31	72.88	0.21	0.0	22.49	6.97	115.52	2.08	53.54	55.98	104.0	0.0	152.32	157.73	150.59
Mycbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.12	0.0	0.0	0.0	10.27	0.0	70.72	12.94	32.77	0.0	0.0	8.87	8.3	8.4
Myo5a	0.0	0.07	0.12	0.04	0.0	0.0	0.08	4.37	0.04	88.57	28.65	20.66	0.97	80.69	21.66	32.77	12.08	29.89	74.42	41.02	55.38	45.28	16.57	0.0	147.23	132.38	154.8
Myo9a	0.0	0.0	0.0	0.0	0.0	0.0	2.01	27.64	1.39	19.91	30.49	24.18	0.69	68.15	4.92	17.14	7.36	32.13	3.54	29.31	37.47	33.72	5.19	124.21	32.7	24.53	31.76
Nup43	0.0	0.0	0.0	0.0	0.0	396.14	0.0	0.0	0.0	0.0	0.0	129.73	0.0	150.73	0.0	0.0	0.0	13.64	0.0	0.0	0.0	83.49	0.0	0.0	5.83	6.0	4.89
Pdk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	27.38	0.0	0.0	0.0	63.8	0.0	0.0	0.0	0.22	53.69	0.0	4.96	0.34	0.0	0.0	38.63	36.34	39.56
Pias3	0.0	0.0	0.0	0.0	0.0	284.4	0.0	0.0	13.29	91.66	2.96	0.0	0.0	36.49	0.0	66.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.18	18.32	17.3
Ppfia4	0.0	0.0	0.0	0.0	0.0	161.85	0.0	2.82	0.0	9.41	4.16	0.03	0.0	24.96	3.82	0.0	0.0	1.29	0.69	12.53	7.69	0.0	6.41	0.0	38.1	37.91	38.84
Prrc2b	0.0	0.0	0.0	0.04	0.0	0.0	0.0	15.95	0.35	3.3	10.41	2.5	0.48	33.24	1.29	1.26	14.02	26.61	0.0	1.08	30.44	0.13	0.39	0.0	152.07	147.26	157.09
Ptprn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.65	0.04	72.73	60.36	10.7	0.89	64.72	19.4	52.16	9.26	56.78	2.58	16.76	24.03	4.42	8.83	0.0	407.08	399.89	415.88
Pwp1	0.0	0.0	500.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.67	0.0	0.41	120.15	0.0	0.0	35.16	13.85	53.28	0.0	15.93	0.27	0.1	0.0	18.23	20.06	18.5
Rgs7bp	0.74	1.91	1.07	1.25	0.0	0.48	0.82	47.36	2.13	111.04	39.96	21.91	6.38	61.98	15.57	59.13	60.04	47.84	8.62	44.23	40.79	21.54	37.17	0.76	124.57	101.66	124.47
Rnf40	30.96	0.0	0.0	0.0	0.0	0.0	0.0	8.54	0.0	0.0	1.26	0.31	0.25	11.14	0.0	0.22	0.11	7.05	0.0	0.0	48.56	0.38	27.58	0.0	40.59	43.07	40.1
Rnf5	0.0	0.0	0.0	0.0	555.67	0.0	0.38	0.54	0.0	0.46	0.0	0.0	18.73	506.02	408.5	44.84	83.54	173.93	0.0	124.66	160.86	52.3	0.24	0.0	85.53	87.12	83.39
Rph3a	0.25	0.0	0.0	0.0	0.0	0.0	0.0	96.16	0.52	232.26	40.55	43.48	2.3	7.52	0.44	43.61	22.79	47.91	52.64	36.9	17.39	1.74	7.31	0.0	260.55	249.44	277.37
Rragb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	26.03	0.0	0.6	0.21	15.32	129.22	7.18	0.18	0.0	1.47	0.0	79.77	77.21	71.85
Sccpdh	72.09	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	176.97	0.0	0.0	0.55	198.06	0.0	174.97	147.12	25.9	101.12	30.51	23.28	0.48	0.0	0.0	76.22	78.71	76.49
Sel1l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	0.0	6.95	0.82	0.05	0.23	62.03	0.0	12.61	0.1	20.42	32.02	8.25	81.28	0.2	2.49	0.0	45.77	42.88	44.99
Slc25a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.24	0.0	0.0	0.0	65.13	0.0	0.0	0.0	4.26	0.21	20.12	0.0	0.0	0.0	0.0	39.8	46.71	47.27
Slc38a9	0.0	0.0	0.0	0.0	0.0	58.61	0.0	11.98	0.0	0.0	0.0	0.21	0.0	84.63	2.19	22.7	5.27	7.74	0.16	6.27	1.23	15.4	0.0	0.0	8.52	8.04	8.01
Sncaip	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.04	0.0	0.0	0.0	0.0	0.1	0.0	6.48	0.0	0.0	0.0	2.95	3.54	3.34
Sprr2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.42	0.12	0.09	0.0	0.06	1.11	0.0	0.07	0.06	0.0	0.5	0.46	0.06	0.76	0.0	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.42	0.12	0.09	0.0	0.06	1.11	0.0	0.07	0.06	0.0	0.5	0.46	0.06	0.76	0.0	0.08	0.25	0.13
Srrt	0.0	0.0	12.83	0.0	0.0	0.0	0.0	5.19	96.81	14.5	15.26	32.03	0.35	56.15	6.14	0.0	4.39	9.7	0.71	0.71	2.6	0.15	0.09	0.0	78.48	84.51	85.7
Syn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.77	0.04	257.39	76.04	15.13	2.17	81.12	163.51	0.59	90.62	64.09	50.38	13.52	118.55	30.89	54.5	0.0	385.63	397.76	386.53
Synj1	0.0	0.0	0.66	0.0	0.0	0.0	0.92	15.82	0.44	66.31	39.32	70.34	1.48	122.94	15.14	31.46	18.73	66.16	106.29	65.87	91.61	59.68	107.94	0.0	186.57	176.61	182.9
Tada1	0.0	0.0	0.0	0.0	0.0	0.0	0.19	146.23	0.07	150.41	209.74	0.0	286.5	259.48	286.71	111.07	40.5	34.51	96.59	84.79	44.09	122.59	25.05	0.48	35.57	38.34	37.56
Tada3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.29	0.0	112.59	80.56	0.0	0.0	92.31	0.0	0.0	0.0	6.24	0.0	0.0	11.19	0.12	0.0	0.0	31.28	39.28	35.78
Terf2ip	6.21	6.04	9.71	27.61	0.11	8.55	10.16	70.17	1.37	50.12	9.17	4.06	17.33	30.25	15.0	19.7	5.35	17.06	13.12	32.74	36.7	16.98	15.69	18.7	38.4	37.11	37.75
Tmem115	0.0	0.0	0.2	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	3.47	52.43	81.7	0.0	0.0	20.03	23.39	0.0	0.0	0.0	0.11	0.0	0.0	26.7	31.71	33.66
Tpt1	3.88	519.17	207.54	0.0	0.0	13.37	89.84	216.88	1087.64	435.6	908.72	418.85	12.31	1017.14	358.43	685.3	299.16	592.88	730.24	485.19	457.28	924.19	772.29	1.19	843.01	849.81	829.06
Trim39	0.0	0.0	11.17	0.0	0.0	0.0	0.27	3.77	0.0	0.43	5.17	0.0	0.34	86.98	0.12	12.95	0.0	2.47	4.7	0.0	12.41	0.05	0.12	0.52	22.87	23.34	21.75
Ubac2	0.0	0.0	0.0	0.0	0.0	76.81	39.16	0.0	0.0	61.59	0.0	0.0	0.49	108.17	0.0	0.64	34.72	27.35	40.85	1.32	0.0	58.98	114.12	50.13	33.15	35.99	33.27
Ube2b	0.0	0.0	0.0	2.54	40.63	0.0	14.65	154.11	8.63	536.04	212.09	35.48	189.72	336.88	225.59	240.13	97.26	188.51	236.55	144.97	122.42	160.09	246.62	0.0	176.02	166.29	168.17
Uevld	0.0	0.11	0.41	0.19	0.0	0.1	0.18	0.25	0.0	1.17	0.31	51.16	0.0	45.04	0.23	0.17	0.08	3.93	0.04	0.61	0.26	0.15	0.45	0.0	10.34	10.67	10.11
Usp25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.29	0.0	0.0	0.0	0.39	1.18	119.42	3.98	0.0	6.97	23.16	0.16	8.68	30.26	0.15	1.21	0.0	21.94	20.91	20.23
Vmn2r120	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.12	0.07	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.13	0.12
Ypel2	0.0	0.0	0.09	0.0	0.0	340.02	0.0	31.56	0.0	0.0	20.24	0.04	1.06	79.28	1.38	9.94	19.66	17.0	0.0	0.72	3.15	36.8	0.0	0.0	35.95	34.8	35.81
mt_AK131579	24282.08	29199.23	29492.22	34292.23	22357.47	55662.18	24983.03	73067.83	55281.42	56311.06	40069.68	94403.3	50469.69	19589.28	36905.92	40349.87	60705.47	30389.16	56120.42	45312.1	46620.23	59803.41	51796.42	25837.0	21203.35	20196.08	21406.08
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	39.31	0.0	0.0	0.01	0.02	0.0	0.06	0.18	0.0	1.25	0.0	0.0	0.0	0.0
