	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTnegative_cell_10	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Avpi1	0.0	0.0	34.46	0.0	0.0	0.38	112.7	0.0	126.29	0.0	0.0	0.0	29.55	57.29	125.81	28.12	49.54	48.58	3.1	0.0	25.4	0.0	16.94	0.0	176.19	72.52
B3galt1	0.0	1.32	0.02	0.0	0.0	0.0	52.32	0.0	3.66	0.0	259.38	0.15	108.16	59.46	59.54	63.57	41.21	63.72	18.17	194.44	41.19	27.73	6.31	2.36	8.17	34.18
C230004F18Rik	0.0	1.4	0.0	1.55	0.0	17.43	6.95	0.42	240.64	0.0	0.0	0.0	49.75	57.51	85.09	27.75	34.9	13.13	200.71	342.62	0.0	149.79	18.62	433.34	0.0	46.86
C530028O21Rik	0.0	35.48	0.05	0.0	0.0	0.17	0.19	0.0	7.4	0.0	0.0	0.22	56.41	34.06	55.84	40.92	40.11	21.71	0.32	88.62	14.18	0.0	0.0	0.0	66.77	33.14
Car7	0.0	0.0	49.48	0.0	0.0	0.23	7.38	0.0	16.93	0.0	264.55	0.0	34.52	27.94	55.54	71.29	47.62	54.91	0.0	85.27	0.0	178.43	0.16	41.06	13.82	0.0
Ccl27b	0.0	1.74	0.0	0.0	0.29	0.0	188.03	85.18	178.93	0.0	150.83	0.0	164.03	114.56	177.66	125.27	54.7	75.81	138.81	100.7	74.33	80.83	235.31	176.84	149.77	258.72
Creg2	0.24	0.25	0.14	0.23	0.45	1.42	0.36	0.0	0.52	0.98	0.6	0.04	7.77	5.32	12.12	10.04	28.53	5.6	26.35	1.09	0.53	0.67	2.63	0.0	78.51	9.84
Dlgap1	0.0	19.84	32.39	24.52	0.0	0.4	170.81	386.64	278.47	0.0	93.56	296.93	146.62	139.11	155.81	135.52	109.39	113.78	154.99	213.78	111.82	110.27	59.89	160.72	47.92	148.49
Dmxl2	0.0	7.34	14.54	26.46	43.87	0.07	15.66	0.03	1.64	0.0	54.6	0.08	27.24	35.91	30.52	23.83	10.64	14.23	0.06	28.65	17.16	8.62	0.65	35.29	14.45	16.88
Dock3	0.0	0.31	11.04	0.26	5.78	0.04	7.97	0.0	6.53	0.0	27.75	0.05	26.8	11.24	29.18	16.81	9.11	19.58	21.08	12.5	22.91	68.82	8.82	1.08	9.68	31.33
Drp2	0.0	15.86	0.02	4.68	0.03	0.05	0.05	26.23	0.23	0.0	0.0	0.0	5.47	1.57	5.57	2.63	2.3	12.13	4.68	6.7	0.05	0.0	0.03	0.17	7.46	13.29
Eftud2	0.0	85.1	0.06	0.06	1.41	0.11	182.79	123.49	27.27	0.0	0.0	449.91	57.96	49.89	52.29	44.38	37.82	52.14	7.92	38.15	20.8	0.42	0.0	0.0	25.93	22.75
Epha7	0.0	17.45	0.03	0.0	0.0	1.94	197.82	54.53	109.29	0.0	55.17	0.0	68.48	53.16	83.14	23.19	58.23	30.7	39.13	145.47	15.24	44.8	0.07	45.7	0.0	108.17
Fut9	0.0	5.18	3.77	16.08	34.69	53.78	38.75	79.67	23.03	0.0	68.24	0.0	74.92	56.25	58.22	61.53	40.78	38.33	21.0	7.51	42.31	77.22	3.51	104.25	35.67	22.91
Gas7	0.0	2.26	12.46	1.19	0.0	280.53	104.6	67.99	34.06	0.0	137.33	0.0	120.27	111.56	116.74	103.42	113.85	114.27	102.7	87.67	45.45	47.2	38.92	22.32	8.68	43.38
Gba2	0.0	52.61	21.43	35.68	0.0	0.0	32.87	107.24	2.86	0.0	7.66	0.13	43.28	46.61	30.63	32.21	20.38	24.71	55.92	48.67	0.0	53.19	0.95	112.96	0.07	0.0
Gm13306	0.0	1.74	0.0	0.0	0.29	0.0	188.03	85.18	178.93	0.0	150.83	0.0	164.03	114.56	177.66	125.27	54.7	75.81	138.81	100.7	74.33	80.83	235.31	176.84	149.77	258.72
Gm1976	1.07	4.04	18.46	0.81	0.55	0.96	86.32	50.25	47.26	0.65	331.5	0.25	110.09	105.71	86.5	84.27	141.57	69.32	1.51	120.46	0.35	93.47	2.72	295.78	44.7	6.03
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	5.79	0.0	21.65	0.0	0.27	0.0	0.61	0.21	2.82	5.81	0.0	0.96	2.41	0.0	0.0	27.58	0.0	0.0	0.28	0.2
Gm2506	0.0	1.74	0.0	0.0	0.29	0.0	188.03	85.18	178.93	0.0	150.83	0.0	164.03	114.56	177.66	125.27	54.7	75.81	138.81	100.7	74.33	80.83	235.31	176.84	149.77	258.72
Gtdc1	4.83	3.03	6.19	6.27	6.89	20.58	87.51	69.55	11.03	16.12	118.53	11.8	44.48	30.03	41.28	31.21	24.42	40.95	87.81	26.01	32.64	137.96	14.58	11.13	38.22	7.4
Gucy1a2	0.24	2.42	0.23	3.89	2.02	0.34	11.3	4.09	0.18	0.19	11.7	0.16	2.52	2.49	10.21	6.69	3.54	2.89	0.48	3.79	1.06	6.89	9.08	0.25	0.03	15.7
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	5.79	0.0	21.65	0.0	0.27	0.0	0.61	0.21	2.82	5.81	0.0	0.96	2.41	0.0	0.0	27.58	0.0	0.0	0.28	0.2
Kalrn	0.91	0.19	3.35	4.69	0.05	15.17	28.49	6.55	6.93	1.35	29.36	0.25	20.65	16.9	13.48	15.66	19.36	21.24	28.2	34.18	50.11	2.74	14.16	32.48	28.1	23.78
Kif21a	0.0	27.2	49.52	27.93	37.89	34.65	85.92	16.8	22.62	0.0	82.27	109.31	42.95	54.71	37.04	31.52	34.94	37.69	30.85	31.56	20.08	0.09	63.7	9.02	112.15	173.03
Kif3c	0.0	3.95	16.31	1.76	54.26	0.1	2.39	0.0	0.07	0.0	37.38	0.65	11.77	20.17	26.66	16.83	6.99	11.44	9.26	49.57	7.48	0.04	0.0	15.92	22.05	24.62
Kpna3	0.0	1.15	18.35	67.73	72.08	0.0	108.88	59.34	8.13	0.0	81.95	0.11	71.35	72.49	52.66	41.44	50.03	38.5	110.68	125.21	62.47	0.0	53.83	146.26	0.0	87.9
Lrrc49	0.0	0.12	5.98	7.96	0.0	0.0	103.36	86.42	0.24	0.0	14.77	0.0	59.33	53.35	30.61	30.87	22.84	27.05	20.82	89.19	24.57	0.81	14.4	14.04	0.0	26.02
Mbnl2	0.0	2.68	0.29	25.87	0.0	158.97	70.04	70.93	83.23	0.27	246.11	0.2	55.06	63.55	54.12	44.5	26.52	33.04	117.9	143.87	86.45	47.17	3.18	15.62	51.91	172.77
Mpv17l	81.96	48.34	43.99	26.4	46.28	41.74	57.13	191.21	62.71	32.32	42.83	16.05	141.79	94.63	100.81	120.51	106.1	111.64	157.41	248.21	99.9	243.25	25.38	117.71	51.47	45.64
Ncoa1	0.0	6.43	6.37	9.34	17.26	0.05	44.04	11.74	14.01	0.0	53.16	3.18	45.81	42.64	44.77	37.28	28.86	27.05	40.49	23.87	24.37	51.61	9.94	0.36	1.36	26.52
Nme5	0.0	0.0	0.0	36.89	0.0	10.33	215.01	157.44	0.0	0.0	71.88	0.0	85.27	89.61	83.67	74.7	58.34	86.37	196.53	0.88	34.64	36.34	0.0	0.0	221.69	116.87
Nrg3	0.0	0.0	0.05	0.0	0.0	0.09	0.13	54.06	5.24	0.0	125.51	0.0	4.68	35.19	3.39	9.69	8.32	10.83	15.9	56.14	0.08	0.07	7.72	0.0	26.71	4.57
Ogdh	42.98	79.24	64.79	63.97	55.85	39.54	115.07	102.05	58.8	30.99	167.99	11.24	122.42	85.22	63.31	95.49	69.59	89.68	70.87	49.71	62.92	26.32	60.13	81.77	5.55	56.94
Pak7	0.1	0.1	0.28	0.0	0.0	0.51	65.49	55.55	22.14	0.0	32.01	0.0	54.15	65.98	37.42	48.31	35.99	44.95	56.14	39.13	17.74	3.64	15.63	20.1	24.27	16.4
Pcp4	0.0	4184.47	4733.38	3369.7	5082.23	7467.74	6808.32	7407.1	6583.41	0.0	7030.52	5492.66	4246.61	4480.25	4373.65	4108.26	4928.48	5219.57	7638.97	5242.95	5106.23	6941.16	7178.2	6670.6	8685.7	6217.49
Ptpn3	0.0	0.0	0.0	0.0	0.0	0.55	19.99	24.55	0.0	0.0	63.24	0.0	1.54	6.05	10.08	6.34	4.0	8.0	0.0	3.7	0.2	31.99	0.0	0.0	0.0	5.14
Rab40b	0.27	0.09	0.0	0.0	0.0	37.41	0.42	4.95	0.0	0.0	0.32	0.0	25.31	30.64	44.71	25.26	27.41	31.05	0.0	0.18	0.15	0.0	0.0	0.95	0.0	1.89
Rangap1	0.94	104.21	15.86	9.57	3.42	2.62	148.97	73.51	124.06	3.33	92.5	1.28	58.65	73.6	51.78	61.2	76.99	76.95	38.43	103.5	73.07	164.06	3.66	1.05	30.43	48.76
Rims2	0.12	9.17	22.4	4.61	5.82	0.19	17.44	47.96	42.51	0.0	56.35	15.41	25.48	37.24	59.58	44.78	44.57	33.44	8.88	14.06	34.9	66.88	97.33	65.15	16.5	14.27
Rnf165	0.07	0.0	0.03	0.06	0.1	0.04	25.59	0.63	0.16	0.0	0.88	0.0	4.38	2.42	6.63	5.8	1.08	3.39	0.66	1.6	0.22	0.04	0.19	0.06	7.29	7.58
Scfd2	0.13	0.14	0.12	0.06	0.0	0.01	0.7	0.22	1.27	0.0	4.63	0.08	4.81	6.45	9.6	17.8	6.42	17.96	0.17	8.81	0.27	0.23	0.07	0.21	0.05	9.06
Sept6	0.0	35.53	0.06	47.08	0.0	0.4	100.16	67.62	11.57	0.0	203.34	0.25	62.18	55.7	56.51	40.59	74.39	73.36	167.91	75.94	0.09	0.24	108.93	215.91	56.67	106.2
Sgtb	0.0	0.0	10.11	21.78	31.93	0.0	25.37	5.33	33.75	0.0	82.07	173.21	45.41	37.86	24.67	50.59	44.94	27.17	0.0	87.27	62.6	7.81	0.0	0.0	3.37	108.08
Shisa4	0.0	1.72	0.53	0.0	0.0	0.0	219.88	79.62	36.89	0.0	104.51	0.0	90.62	45.99	37.06	43.54	46.03	62.23	23.43	43.62	50.28	0.0	18.93	3.43	7.89	12.29
Sidt1	0.0	0.0	0.0	34.52	0.0	0.08	18.76	34.69	0.0	0.0	0.0	0.0	12.06	5.58	17.31	24.25	0.78	11.86	3.69	48.33	0.0	0.0	0.0	50.57	0.0	0.47
Slc8a1	0.0	0.01	0.55	2.99	0.88	0.04	85.66	28.91	15.97	0.0	145.18	0.02	60.06	29.12	27.23	49.0	43.58	22.68	31.49	57.45	58.99	28.82	20.64	24.39	76.32	34.19
Snrpb	0.0	17.14	0.0	1.77	0.0	0.0	167.16	252.12	178.87	0.0	65.01	0.0	96.16	159.62	157.33	182.7	92.93	151.98	105.74	142.18	88.84	0.0	207.39	188.16	16.93	317.64
Spata2	0.0	0.0	0.0	0.79	0.0	0.0	0.29	0.0	6.53	0.0	0.0	0.0	4.94	5.17	2.64	8.98	0.9	6.43	6.02	21.9	0.0	0.0	56.67	0.11	42.55	0.12
Sprn	0.0	15.12	0.0	0.0	0.74	0.0	75.29	81.09	0.21	0.0	20.48	0.0	56.0	33.32	53.12	45.48	44.06	25.54	101.27	110.93	7.51	3.99	35.41	0.0	167.16	15.43
Strbp	1.11	28.62	24.53	19.54	30.12	88.26	134.85	126.81	69.03	0.99	123.24	2.54	176.19	131.7	107.1	138.92	122.6	84.11	147.43	207.64	127.07	45.25	45.82	12.74	49.56	210.6
Tbc1d30	0.0	1.04	0.0	5.37	0.17	0.0	12.58	13.75	0.06	0.0	0.0	0.0	1.73	0.5	3.14	0.7	0.04	1.54	4.81	3.5	0.0	0.0	0.0	0.0	0.0	0.0
Tecpr2	0.0	0.07	0.18	0.1	0.09	0.37	18.66	0.29	0.08	0.0	13.0	0.33	7.77	4.91	7.01	3.84	4.81	4.87	14.64	1.0	0.49	0.19	0.06	1.0	20.17	4.52
Tmem178	0.0	0.0	0.0	0.0	0.0	0.0	14.96	0.21	12.94	0.0	108.18	0.0	52.83	82.62	103.46	53.91	57.18	32.95	2.12	13.83	8.93	0.0	20.43	3.95	59.12	15.97
Tmem56	0.15	0.0	0.0	0.0	0.0	0.06	0.12	0.0	0.0	0.0	12.89	1.06	27.22	18.47	19.35	12.28	21.18	25.92	42.08	21.51	54.96	0.09	0.0	0.0	46.28	9.7
Zfp148	0.05	0.02	10.11	0.09	0.0	0.04	1.65	11.68	17.38	0.0	23.67	44.95	10.41	12.18	19.9	17.95	13.56	14.98	16.08	39.33	28.78	4.43	0.05	45.68	3.86	25.47
Zfp442	0.0	0.6	0.87	0.0	0.0	0.12	4.63	0.21	1.53	0.0	0.0	0.0	5.64	42.27	12.64	10.05	3.95	9.89	1.18	2.05	0.29	2.66	5.97	1.01	1.53	1.23
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	100.77	9.86	261.93	46.91	165.57	19.33	0.12	0.01	0.13	52.84	0.09	4.5	0.0	3.94
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	100.77	9.86	261.93	46.91	165.57	19.33	0.12	0.01	0.13	52.84	0.09	4.5	0.0	3.94
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	100.77	9.86	261.93	46.91	165.57	19.33	0.12	0.01	0.13	52.84	0.09	4.5	0.0	3.94
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	100.77	9.86	261.93	46.91	165.57	19.33	0.12	0.01	0.13	52.84	0.09	4.5	0.0	3.94
