	Calb2_tdTpositive_cell_28	Ntsr1_tdTnegative_cell_10	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Ptx4	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.14	0.14
Rab44	0.0	0.0	0.12	0.12
Raet1d	0.0	0.0	0.16	0.16
Rnf133	0.0	0.0	0.08	0.08
Sct	0.0	0.0	0.21	0.21
Serpine3	0.0	0.0	0.29	0.29
Shank1	7.28	15.25	148.7	181.16
Slc4a1	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.06	0.06
Speer6-ps1	0.0	0.0	0.21	0.21
Srcin1	0.0	0.0	138.51	150.57
Stx11	0.0	0.0	0.14	0.14
Tas1r2	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.12	0.12
Tg	0.0	0.0	0.08	0.08
Thnsl2	0.0	0.0	2.99	2.99
Tktl1	0.0	0.0	0.08	0.08
Tubb1	0.0	0.0	0.07	0.07
Txndc2	0.0	0.0	0.12	0.12
Unc13a	0.0	0.0	173.28	184.32
Usp26	0.0	0.0	0.02	0.02
Vgll2	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.11
Vsig10	0.0	0.18	1.2	2.19
Zfp358	0.0	0.0	26.24	28.42
Zfp957	0.0	0.0	0.07	0.07
Zscan10	0.0	0.0	0.04	0.04
mt_AK166684	0.0	0.0	18796.57	18655.33
