	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_14	Cux2_tdTnegative_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Rbp4_tdTpositive_cell_40	Rbp4_tdTpositive_cell_117	Scnn1a.Tg3_tdTpositive_cell_110	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_39	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Crot	0.0	0.11	0.0	0.0	0.0	0.0	0.0	88.52	0.0	0.0	0.0	1.04	0.09	27.52	24.6	25.79
Cxcl12	0.0	0.82	0.0	0.0	0.0	0.0	0.0	168.56	0.0	0.0	0.0	0.0	0.0	47.63	48.26	49.4
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dock9	0.0	11.37	0.07	0.17	0.0	0.0	4.63	43.38	3.16	0.0	8.17	12.32	0.0	61.91	59.75	65.63
Dspp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Egr3	0.0	9.44	0.0	0.24	0.0	0.0	0.0	21.89	0.0	0.0	0.0	0.0	0.0	112.58	98.75	94.2
Esm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.66	0.52	0.55
Fam124a	0.35	0.15	6.21	0.0	0.09	0.84	0.18	37.6	0.34	0.0	0.34	0.25	0.0	16.6	18.12	18.55
Fam184b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.47	0.0	9.48	0.0	0.0	0.0	7.31	7.85	7.45
Fanci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	0.0	1.15	1.35	0.9
Gltp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.94	0.0	0.0	0.0	0.0	0.0	48.21	48.29	53.09
Gm3776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm7244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.49	0.0	0.0	0.0	0.0	0.0	1.14	1.62	1.03
Grhl1	0.0	39.78	0.0	0.0	0.0	0.0	0.0	56.51	0.0	0.0	0.0	0.0	0.0	12.77	12.77	12.33
Gsta1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.38	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0
Hspa13	0.0	7.88	0.0	0.08	0.07	0.6	26.98	193.97	0.0	78.41	10.5	0.89	0.0	31.76	29.17	28.47
Htr2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.32	0.0	0.0	0.0	0.0	0.0	0.24	0.09	0.49
Ilkap	0.0	0.0	29.17	0.0	5.61	0.0	0.0	22.37	0.0	0.0	0.0	0.0	0.0	47.68	51.14	49.31
Kctd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.86	0.0	15.08	0.12	6.33	0.0	22.48	23.72	22.75
Kdelc1	0.0	0.13	0.0	0.0	0.0	0.0	73.57	85.18	0.0	0.0	0.0	0.0	0.1	9.24	8.72	8.48
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif13b	0.0	1.45	0.0	0.0	0.0	0.0	0.57	9.71	0.0	0.0	0.0	0.0	0.0	16.45	15.53	19.12
Kif26a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	3.27	4.13	3.71
Klhl32	0.0	0.0	0.0	82.76	0.0	0.0	0.0	91.43	0.0	0.0	0.12	0.0	0.0	7.27	7.34	8.13
Klkb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.89	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.04
LOC100041346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100861572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.82	0.0	0.0	0.0	0.0	0.0	2.86	10.78	2.96
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lcp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.13	0.2	0.0	0.0	0.0	0.0	2.19	1.83	2.12
Lipm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc27	0.0	11.93	0.0	0.0	0.0	0.0	0.0	53.07	0.0	0.0	0.0	0.0	0.0	8.26	7.98	7.87
Lrrc56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.58	0.0	0.0	0.0	0.0	0.0	3.08	4.24	3.26
Mapk8	0.0	0.0	0.18	65.15	28.86	0.76	54.29	89.62	42.15	15.34	52.12	8.3	0.0	56.23	53.38	56.31
Mir1903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpzl1	7.39	0.0	0.0	0.59	0.0	0.0	0.0	49.34	0.0	0.0	0.0	0.0	0.0	23.62	24.81	25.73
Mrps2	0.0	0.3	0.0	0.0	0.0	0.0	0.4	290.22	0.0	0.0	0.0	2.42	0.0	31.24	29.95	29.57
Nebl	0.0	4.59	0.0	0.0	0.0	0.0	0.0	37.92	0.0	0.0	0.0	0.0	0.0	34.06	27.57	35.34
Nr5a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.13	0.09	0.03
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Oxsm	0.0	0.16	0.54	0.0	0.48	0.66	0.79	60.52	0.0	0.1	0.0	0.26	0.78	7.16	6.05	7.59
Pcdhb8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.74	0.0	0.0	0.0	0.0	0.0	2.35	2.45	1.63
Pex5	0.0	0.1	0.0	0.11	4.27	0.84	0.79	46.43	0.0	0.0	0.0	0.0	0.0	45.3	45.98	43.77
Poglut1	0.0	60.01	0.0	0.12	0.0	0.0	11.92	127.44	0.31	0.0	27.32	37.79	0.0	44.67	43.32	40.7
Pou2f3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.68	0.0	0.0	0.0	0.0	0.0	0.08	0.33	0.2
Prrx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.3	0.0	0.0	0.0	0.0	0.0	0.62	2.1	1.29
Prune	0.25	28.34	0.0	0.1	0.0	0.0	0.13	97.3	0.0	6.42	0.09	1.83	0.0	24.15	23.88	22.47
Psen1	0.0	0.0	0.0	0.0	0.0	36.72	0.13	32.7	0.0	0.0	0.0	0.7	108.95	49.29	47.72	47.82
Ptch1	0.0	1.14	0.0	0.0	0.0	0.0	0.0	4.57	0.0	0.0	0.0	0.0	0.0	22.74	21.68	22.39
Reln	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.45	0.0	0.0	0.0	0.0	0.0	26.59	26.5	29.11
Rimbp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.3	0.0	0.0	0.0	0.0	0.0	1.09	1.39	1.63
Rtn4rl1	0.0	13.94	0.0	0.0	0.0	0.0	35.46	47.59	0.25	0.0	0.09	0.0	0.0	47.79	51.38	53.56
Senp6	0.0	2.75	1.85	39.51	2.04	60.51	20.12	50.23	0.0	6.39	22.28	3.17	6.48	34.49	33.22	36.28
Senp8	0.0	28.13	0.0	0.09	0.0	0.12	52.88	79.41	0.0	0.0	0.0	0.0	0.0	4.71	4.2	4.13
Sgcz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	3.2	3.08
Sgol1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.16	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.14
Slc22a13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.1	0.15	0.08
Slc25a37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.79	0.0	0.0	0.0	0.0	0.0	23.0	22.03	23.41
Snord69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.75	0.0	0.0	0.0	0.0	0.0	17.7	8.34	13.7
Sos1	0.0	23.74	3.91	1.95	0.0	0.0	16.23	46.4	0.0	25.25	22.0	1.11	5.26	20.49	19.6	19.81
Sult5a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.72	0.0	0.0	0.0	0.0	0.0	0.61	0.41	0.36
Tap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0	0.0	0.0	0.0	2.56	1.75	2.67
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbpl1	70.37	10.9	36.76	28.23	0.0	126.92	12.37	147.75	35.7	137.14	9.43	0.95	3.97	55.63	55.86	51.66
Tmod4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	0.0	0.16	0.3	0.25
Tmprss5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.23	0.0	0.0	0.0	0.0	0.0	1.21	1.37	1.6
Ttbk2	0.37	18.48	22.91	25.45	14.56	3.42	28.21	8.43	0.39	11.51	0.19	0.03	7.06	34.46	28.64	33.32
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ubr2	0.0	8.28	0.0	0.08	0.17	0.0	9.29	43.36	0.0	0.0	0.0	0.0	0.0	37.12	36.47	37.59
Wdr31	0.0	0.0	0.0	0.0	0.0	0.0	117.81	184.67	0.0	0.0	0.0	0.0	161.41	8.16	6.26	6.71
Zfp493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.72	0.0	0.0	0.0	0.0	0.0	2.24	1.89	2.04
Zmynd17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.41	0.0	0.0	0.0	0.0	0.0	0.7	0.46	0.84
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	1075.62	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.88	0.0	0.0	9.43	26.24	0.0	9032.87	8417.95	8583.15
