	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_12	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_8	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_8	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_140	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54
Hspd1	293.92	226.93	0.0	0.0	0.0	0.0	353.17	2.79	656.23	1.03	306.4	203.53	123.24	73.56	255.83	150.25	239.91	7.68	101.96	47.87	186.68	235.98	0.29	0.42	0.94	0.0	0.0	0.3	0.0	0.0	189.49	388.1	0.3	1.25	349.86
Kcnd3	43.63	0.2	0.0	0.0	0.0	0.0	26.29	3.75	57.94	0.0	30.42	2.23	0.0	13.6	4.2	7.37	2.19	0.49	0.1	0.0	0.35	0.16	0.0	0.09	0.0	4.79	0.0	0.0	0.0	0.0	0.0	54.44	0.0	0.0	0.0
Lgr4	0.04	26.42	0.0	0.0	0.0	0.0	41.4	54.77	20.31	441.27	26.21	7.6	35.28	2.92	59.87	8.03	41.76	56.99	77.47	24.66	57.85	28.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.44	51.1	72.56	347.81	234.5
Mapk10	294.88	216.02	0.0	0.0	0.0	0.0	374.17	74.2	229.41	0.66	165.99	119.61	124.01	110.51	83.58	105.32	131.0	62.02	83.82	78.24	35.75	108.78	0.0	0.12	0.96	15.62	0.37	0.1	0.08	0.0	149.15	173.26	0.34	2.36	0.9
Mcm3ap	24.7	13.79	0.0	0.06	0.0	0.0	27.61	0.8	24.02	0.0	23.7	6.33	4.15	7.84	0.43	1.38	23.62	0.0	7.01	19.24	16.71	3.25	35.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	44.62	0.05	0.0	0.03
Mir690	18430.57	12961.31	26828.41	15929.17	18365.55	19376.41	14888.9	30464.78	13586.5	19318.5	10245.69	30528.33	39867.27	42000.18	28765.87	28695.45	15669.95	37370.15	37614.4	23271.48	32522.04	16606.18	17241.06	27509.93	44948.68	42282.55	24726.6	17671.81	35532.88	23237.11	48007.3	13202.21	17302.77	26597.61	17318.28
Mn1	170.9	69.49	0.0	0.0	0.0	0.0	75.35	204.8	183.25	0.48	131.95	123.09	42.14	109.13	0.51	33.26	145.31	41.86	9.1	0.0	13.12	27.81	0.0	0.0	0.12	0.0	0.0	0.06	0.0	0.0	73.03	153.1	0.11	0.34	0.11
Morn2	129.95	77.43	0.0	0.0	0.0	0.0	0.0	0.0	115.54	0.0	101.37	0.0	31.97	9.14	0.0	103.92	63.21	38.83	32.34	0.0	1.68	32.22	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.83	442.38	635.56	0.88
Mrps7	91.43	66.47	0.28	0.0	0.0	0.0	86.04	7.01	140.16	19.88	153.4	146.0	0.0	133.64	67.52	0.33	46.45	0.0	100.11	4.82	110.56	12.39	0.52	0.0	0.0	0.6	0.41	0.27	0.0	0.0	106.9	170.55	16.08	0.96	0.0
Mtmr2	88.0	13.01	0.0	0.0	987.44	0.2	70.62	26.57	64.42	0.4	88.53	19.55	66.56	76.95	31.13	89.58	46.29	81.29	147.75	60.44	60.89	88.55	0.22	0.53	314.12	0.77	1.07	0.12	0.0	0.0	115.1	116.69	170.32	0.14	0.06
Nme3	0.28	151.05	0.0	0.0	0.0	0.0	0.0	0.0	85.37	281.25	115.12	98.66	76.81	123.55	158.69	1.87	60.02	48.9	106.59	58.43	51.76	47.19	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	88.05	143.36	0.52	0.0	443.74
Pddc1	113.33	116.75	232.86	63.65	1.07	0.0	207.69	4.41	225.38	1.03	192.5	100.1	83.53	47.09	43.73	3.2	22.88	24.79	60.06	31.7	84.18	25.16	0.88	7.5	8.43	3.61	0.0	1.23	4.92	1.28	2.57	151.32	2.61	1.82	2.26
Pigy	0.39	1.27	0.0	0.0	0.06	0.0	30.39	0.0	0.0	0.11	27.98	14.03	21.64	0.04	0.04	12.18	0.08	0.03	30.12	0.42	0.13	3.01	0.0	0.3	3.21	1.87	0.0	0.0	0.28	0.08	19.14	19.84	1.8	0.07	0.03
Por	1.22	61.53	0.0	0.0	19.26	0.13	111.59	430.75	45.24	52.53	129.19	4.55	0.0	0.0	12.47	42.65	0.0	0.0	0.0	0.93	83.46	0.0	0.28	0.0	0.0	0.0	0.0	0.14	0.0	0.0	32.99	181.13	399.15	0.0	0.07
Ppp2r3c	149.67	35.23	0.0	0.0	0.0	0.0	0.42	79.3	174.17	0.0	80.27	37.93	30.43	6.43	97.63	19.67	60.81	76.08	6.46	54.57	52.49	0.0	0.0	3.53	3.7	0.0	0.0	0.0	0.0	0.0	0.0	105.02	52.13	0.93	0.09
Prdx5	382.5	670.24	0.0	0.0	0.0	0.0	951.23	369.87	270.66	7.44	642.13	478.85	983.03	661.1	290.53	740.35	326.8	414.93	436.67	815.42	801.28	513.72	1.05	1.99	4.52	459.35	1.0	0.54	0.0	6.45	666.15	1072.99	641.47	5.79	2.2
Prkrip1	0.0	45.4	0.0	0.0	0.0	0.0	92.45	0.79	63.93	0.0	46.33	12.0	0.0	31.24	0.0	68.5	11.73	35.38	1.71	31.31	0.83	21.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.39	0.0	0.0	0.11
Qars	0.0	65.68	0.0	0.0	0.0	0.0	129.12	0.61	263.35	381.9	202.6	16.37	39.75	0.0	0.0	2.37	172.49	0.0	30.24	0.0	0.16	105.06	0.0	0.0	0.0	0.36	0.52	0.0	324.54	0.0	125.96	271.31	0.0	0.39	0.33
Rnf19a	9.54	0.0	0.0	0.0	0.0	0.0	35.35	0.0	0.07	0.0	18.65	0.0	0.0	6.84	0.0	4.12	27.66	65.89	42.54	0.0	5.97	3.58	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.22	0.08	0.0	0.0
Rock1	55.29	19.96	13.39	0.0	0.0	0.0	38.26	0.0	48.32	0.1	24.82	21.48	0.0	13.18	114.69	31.91	19.87	64.39	38.29	13.42	39.3	32.24	0.53	0.05	16.78	11.5	0.0	0.06	0.0	0.0	31.97	43.05	0.06	0.07	236.13
Scn1a	61.75	16.16	0.0	0.0	0.0	0.0	37.72	2.27	99.83	0.23	253.47	75.98	141.52	24.26	9.42	12.32	31.18	24.3	106.83	56.5	28.05	91.02	0.0	0.04	34.95	13.61	0.0	0.08	0.0	0.0	68.44	195.91	0.21	0.45	0.23
Slc4a10	407.94	364.72	0.0	0.0	0.0	0.0	217.52	12.96	235.99	0.44	320.21	202.53	309.68	376.26	125.99	249.19	649.47	78.17	82.18	118.37	81.24	258.87	0.0	0.06	0.54	0.0	0.12	0.13	0.0	0.08	147.09	279.11	0.32	1.07	1.01
Slc7a6os	0.0	0.77	0.0	0.0	0.23	0.0	52.92	0.0	6.83	0.0	31.71	1.35	24.16	1.62	0.0	0.0	1.11	18.39	0.0	13.24	0.0	25.09	0.0	0.0	0.0	67.54	0.0	0.0	0.0	0.0	0.0	56.2	0.0	0.0	0.0
Smarcb1	124.67	317.63	0.0	0.0	142.37	0.0	288.91	291.75	205.45	519.42	326.98	186.06	167.59	166.59	96.51	0.0	230.97	158.79	30.35	37.79	135.81	95.48	0.42	0.4	1018.46	927.8	0.4	0.0	0.0	0.0	5.38	538.89	0.66	0.52	374.96
Stx12	76.28	244.49	0.0	0.17	0.15	557.29	77.7	499.21	854.08	2.07	391.52	221.45	230.68	103.65	58.76	6.59	319.78	28.77	3.92	78.02	198.1	117.95	0.59	0.28	1434.98	1869.03	1.39	0.3	0.0	0.2	314.72	406.4	459.21	1688.48	1.46
Tbp	10.76	77.86	0.0	0.0	0.0	0.0	103.07	2.13	0.16	0.0	123.99	54.06	16.26	53.82	9.5	3.71	0.23	0.44	0.0	6.54	76.27	0.17	0.0	0.0	496.2	0.0	0.35	0.19	0.0	0.0	169.81	185.69	0.0	0.0	0.2
Tceal3	125.17	17.07	0.0	0.0	0.0	0.0	59.68	0.0	140.78	126.25	162.1	25.07	80.52	102.28	56.85	22.7	104.33	11.63	26.4	152.77	147.57	51.75	0.0	0.3	0.0	0.0	0.6	0.0	0.0	0.0	18.65	182.18	0.16	0.0	0.33
Tcp1	696.67	344.19	862.16	0.0	0.0	0.0	164.28	96.1	557.14	1.1	327.47	316.49	174.92	431.96	174.79	477.46	330.74	90.71	162.47	200.93	454.87	119.48	0.87	0.55	0.0	0.0	1.09	0.3	0.0	0.0	281.63	293.13	115.76	0.89	1.06
Tctn3	0.0	65.68	0.0	0.0	0.0	0.0	45.19	19.49	114.9	0.44	85.93	45.49	55.96	0.13	47.67	0.0	0.08	54.7	0.0	0.0	0.0	0.11	0.0	0.15	0.0	636.29	0.24	0.0	0.0	0.0	0.0	108.5	0.39	0.15	0.2
Timm17b	2.29	26.11	1.54	1.29	1.6	0.23	5.18	7.98	91.48	7.37	49.8	33.66	1.97	42.75	2.95	45.39	2.32	4.95	7.83	2.12	67.51	25.58	10.62	5.3	1.91	21.04	7.33	3.63	24.47	16.38	105.58	85.31	266.24	13.66	5.85
Tmem107	69.51	0.0	0.0	0.0	0.0	1.6	0.0	73.63	114.79	0.0	128.76	75.39	0.0	0.0	112.99	0.0	0.21	146.66	2.08	0.0	62.71	91.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.26	211.07	0.0	0.0	0.0
Trim37	193.1	40.72	0.0	27.92	0.0	0.0	83.49	5.45	44.79	0.21	156.83	103.08	26.54	25.33	29.95	6.61	22.21	40.9	35.63	33.09	13.26	42.1	0.23	0.17	0.23	0.4	0.0	0.12	0.0	0.0	79.03	214.57	0.12	201.7	0.19
Tsr2	0.05	30.89	0.0	0.0	0.0	0.0	123.0	0.35	0.31	0.32	125.51	74.46	66.14	57.06	74.6	46.93	31.92	53.53	40.33	40.57	61.41	49.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.28	195.99	0.0	0.45	0.19
Ttc33	166.21	126.82	0.0	0.0	0.0	0.0	227.61	0.72	115.39	0.66	177.96	111.34	39.8	112.51	6.75	122.38	122.86	76.67	45.84	228.08	15.9	81.69	0.0	0.36	0.81	0.43	1.07	0.0	0.33	0.0	79.01	284.32	2.73	0.69	0.49
Tubgcp2	16.8	107.52	0.0	0.0	0.0	0.1	57.3	0.42	115.84	0.19	91.28	4.8	16.13	41.36	0.0	53.51	6.73	15.47	74.36	33.57	41.36	13.36	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.28	179.15	0.11	0.27	0.0
Uchl3	146.5	76.57	0.0	0.0	0.0	0.0	143.95	225.99	197.88	0.67	226.79	166.41	229.4	124.81	144.2	316.66	105.8	82.93	336.28	233.32	111.08	184.61	0.0	0.0	0.0	0.87	0.72	0.39	0.0	0.0	67.84	398.51	0.58	0.47	0.0
Ufc1	157.57	140.31	0.0	0.0	0.0	0.0	308.64	88.09	181.33	1.29	346.76	315.82	278.04	28.07	167.78	252.7	71.85	381.52	411.19	89.38	195.67	113.47	0.0	0.69	929.53	0.0	0.69	0.0	0.0	0.0	207.43	177.69	0.85	320.71	0.58
Vamp2	104.83	280.87	0.0	0.0	0.0	0.0	240.28	2.41	120.65	2.5	412.76	99.54	122.57	216.99	74.08	59.0	147.88	93.46	126.59	21.4	30.5	81.11	0.0	0.0	1.02	0.0	0.0	0.33	0.0	0.0	56.82	617.99	86.12	0.58	0.5
Wdr83	0.0	2.51	0.0	0.0	0.0	0.0	15.06	5.37	191.26	0.5	124.31	140.62	63.17	105.55	0.0	38.6	71.58	0.0	0.0	0.47	49.04	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	82.03	241.56	0.0	769.93	139.35
Xab2	0.07	30.83	0.0	0.0	0.0	0.0	162.64	0.0	125.65	0.0	23.85	50.92	0.0	3.14	0.0	1.91	0.0	0.31	0.26	0.86	77.18	62.44	0.0	1.7	0.55	0.0	0.0	0.26	0.0	0.0	0.57	49.23	0.27	200.87	0.13
Zfp828	0.42	33.13	0.0	0.0	0.0	0.0	0.0	86.9	78.91	0.0	47.7	7.36	0.0	0.0	0.1	0.42	68.43	29.59	0.0	0.0	4.37	0.08	51.85	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	93.29	0.0	0.0	0.09
