	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_59	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Fam177a	4.1	30.18	0.93	0.77	3.41	6.09	1.23	100.97	0.79	1.81	19.02	17.56	16.4
Fam181b	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.33	19.15
Ftsjd1	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	5.33	6.01
Fzd2	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59	8.83
Ggta1	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	2.79
Glipr1	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	2.18
Gm5083	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.71
Gm973	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	3.4
Gng12	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.28	44.32	42.29
Gpr17	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.98	29.65
H2-T10	0.38	19.11	0.92	0.0	0.37	0.7	0.79	0.52	0.0	0.43	1.35	2.3	1.82
Heatr5a	0.12	2.9	0.27	0.27	0.21	0.09	0.42	0.35	0.21	0.53	0.9	5.65	5.04
Hhatl	0.0	0.16	0.0	0.0	0.0	37.11	0.0	0.0	0.0	0.0	7.83	12.91	14.21
Hipk4	0.0	14.61	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	7.56	60.21	56.83
Hist1h1c	0.0	16.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	23.08	30.2
Hp1bp3	71.58	246.34	221.61	109.79	3.84	1.28	252.55	49.58	176.58	0.16	78.81	192.47	198.49
Hyal1	0.34	1.16	4.86	1.58	1.27	0.24	1.82	1.05	0.12	2.1	0.95	4.13	4.13
Il13ra1	0.0	5.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	4.1
Isoc2a	0.0	61.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.43	34.84
Itgb6	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.04
Kcnab3	0.0	145.4	0.0	0.0	0.0	0.0	40.4	0.0	0.0	0.0	5.9	54.93	59.23
Kcnn3	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	9.34	7.98
Kl	0.21	1.37	0.16	0.72	0.0	0.23	0.74	0.56	0.25	0.0	0.2	2.87	2.67
Lhx2	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	56.38	59.03
Lpar1	0.0	0.25	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	27.47	22.47	21.45
Mcc	2.84	18.42	0.98	7.42	1.07	0.68	1.2	1.3	1.48	1.08	5.42	6.31	6.03
Megf10	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.05	8.99
Mycl1	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.76	12.95
Myl4	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.13	42.22	37.61
Mzf1	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	7.24	6.89
Ncapg2	0.0	0.04	0.0	0.0	0.0	0.0	0.0	6.09	0.0	0.0	1.77	2.76	2.23
Neu1	0.09	14.51	0.43	1.07	0.0	0.0	0.58	0.25	0.13	0.46	11.3	33.45	35.47
Npb	0.0	21.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.54
Npc1l1	0.0	0.06	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.14	1.02
Nup62-il4i1	0.0	0.12	2.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	1.83
Nup98	0.0	35.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	2.81	14.53	14.94
Palld	0.0	0.08	0.0	0.0	0.0	0.0	0.0	15.76	0.0	0.0	0.1	1.05	0.99
Parp3	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	3.41	3.36
Pcdh1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	79.88	79.04
Pdk2	0.0	70.18	0.0	0.0	0.0	0.0	42.06	5.45	0.0	0.0	23.89	84.61	89.08
Pdpn	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	8.32	9.95
Penk	21119.42	25.43	30305.82	24078.42	18579.64	29110.93	22944.38	23364.23	24984.25	11865.47	3.51	368.19	372.55
Plod1	0.0	42.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	13.37	15.04
Plxnc1	0.0	0.08	0.0	0.0	0.0	0.0	80.62	113.76	0.0	0.0	2.77	25.51	25.19
Pnpla7	0.0	0.3	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.6	8.8	8.12
Poli	0.0	59.07	0.0	0.0	0.0	0.0	0.0	0.0	16.04	0.0	7.43	11.01	12.62
Prodh	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.12	27.13
Ptpn14	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.05	5.09
Pwp2	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.19	20.39	21.93
Pxdn	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.25	38.49	35.82
Pxmp2	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	5.06	5.23
Pxn	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	4.88	0.0	0.38	18.43	19.63
Rbm20	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	2.36
Rgs14	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	61.74	66.59
Rgsl1	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	1.76	1.99
Rnf8	0.0	0.28	0.41	0.0	0.0	70.57	21.94	0.0	0.0	0.0	3.1	36.51	35.78
Rrp9	0.0	99.39	192.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	24.46	31.75
Samd4	6.04	0.04	0.0	0.0	0.0	6.37	0.0	3.01	0.0	0.0	0.94	15.41	13.31
Serpinb1a	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	9.94	10.09
Sh3bp4	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	14.55	15.81
Slc14a1	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.37	6.61
Slc25a10	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.6	9.23	9.36
Slc26a2	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96	4.27
Slc46a3	142.67	80.72	0.0	0.0	0.0	0.0	0.0	0.0	332.4	0.0	1.29	6.0	6.58
Slc8a1	0.0	85.46	0.04	0.0	0.09	0.0	0.1	4.19	0.0	15.17	30.49	45.22	37.06
Slc9a5	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	20.29	18.25
Slc9a8	0.0	0.06	0.0	4.3	0.0	0.0	0.0	0.0	4.16	0.0	2.9	23.52	25.29
Slco1b2	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.03
Smc4	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	3.97	3.29
Snord104	0.0	53.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.55
Snord19	0.0	26.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.45	0.0
Spire2	0.0	1.92	0.0	0.0	0.0	91.21	0.0	0.0	0.0	0.0	0.9	16.19	16.9
Sptlc2	70.75	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	16.83	15.71
Strada	0.15	96.7	0.96	0.56	0.0	2.14	1.2	0.0	139.36	0.22	14.43	25.68	27.12
Suv39h2	0.0	0.07	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.62	3.31	3.75
Sytl4	0.0	0.06	0.11	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.82	0.42
Tap2	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	8.13
Tbcel	0.0	0.06	0.0	0.0	0.0	0.0	16.57	0.0	0.0	0.0	5.12	31.15	30.41
Tbr1	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.29	79.44	81.98
Tex11	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.2
Tfdp1	0.0	215.67	39.78	0.0	74.57	0.0	10.14	0.0	0.0	400.91	54.85	56.42	59.16
Tgm1	0.0	6.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0
Tmem100	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	15.22	12.58
Trim38	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.13
Ttc27	0.0	169.48	0.0	6.81	135.98	0.0	0.0	209.07	0.0	4.67	18.83	14.65	14.23
Vps13c	2.76	11.54	0.91	1.02	2.27	0.0	0.0	8.49	4.8	0.0	1.3	25.02	19.73
Wdr59	0.28	0.68	0.44	0.21	0.33	0.27	0.29	0.47	0.31	0.19	3.99	17.12	17.33
Wfs1	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	94.55	92.85
Wnt7b	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.94	26.39
Xpnpep3	0.73	3.06	0.82	1.69	0.79	0.0	0.3	1.22	1.72	1.06	4.82	8.82	8.43
Ysk4	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	2.07
Zbtb45	0.0	4.59	0.0	23.45	0.0	0.0	0.0	0.0	0.0	0.0	0.98	23.88	26.56
Zfp735	0.0	0.07	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.09	0.02	0.0
Zfp748	0.0	0.06	51.6	0.68	0.0	0.0	0.0	307.06	0.0	0.0	17.73	7.34	6.18
Zfp750	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.03	0.06
Zfp768	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	11.49
Zfp90	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09	11.2	12.26
Zkscan3	0.0	77.98	3.42	0.0	0.0	0.0	0.63	0.0	131.97	0.0	13.22	25.68	23.25
Zranb3	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	5.96	5.3
