	Calb2_tdTpositive_cell_27	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_20	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_73	Cux2_tdTpositive_cell_103	Ndnf_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_27	Ntsr1_tdTnegative_cell_29	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_90	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18
Pms2	0.0	0.04	0.0	0.0	0.0	234.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	19.0	0.0	0.0	0.07	90.3	32.42	50.26	109.84	0.2	0.0	0.0	0.35	0.0	0.0	198.39	0.0	0.0	1.19	0.0
Polr3f	0.37	0.33	0.28	0.16	0.62	157.73	0.0	0.41	0.38	1.37	42.36	0.38	0.9	75.93	83.03	1.57	1.63	0.16	0.96	0.47	0.63	0.77	0.4	0.29	0.26	0.39	0.59	61.26	1.72	0.75	1.47	0.32	3.28	0.21
Prkce	0.1	34.77	0.06	17.69	16.36	145.05	0.0	4.1	0.0	49.57	112.24	0.19	7.34	61.06	63.4	8.78	10.26	0.0	50.98	33.83	28.2	108.97	37.26	79.41	0.1	10.27	77.84	185.03	83.14	12.06	118.15	0.0	14.69	33.75
Ptgr2	0.0	0.23	0.12	0.0	0.0	340.49	0.0	28.36	0.0	120.76	110.78	74.41	92.68	115.34	0.0	0.0	0.32	20.98	0.07	0.0	0.17	0.07	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.02	0.28	0.0	1.22	2.14
Rabl2	0.0	360.92	0.0	0.0	211.53	492.02	0.0	250.84	0.0	88.63	237.06	149.81	0.33	431.73	161.17	0.0	0.0	0.0	12.08	1.44	0.54	263.31	347.22	288.26	303.79	0.0	0.0	279.86	210.26	276.71	175.57	0.0	0.0	33.67
Rasgef1a	0.0	61.37	0.0	41.18	0.0	71.52	0.0	36.61	0.0	70.01	66.13	21.94	0.0	146.85	80.02	0.0	0.0	0.0	41.73	50.58	10.65	40.49	39.3	51.5	130.23	15.17	14.66	0.0	77.76	0.0	22.72	0.0	28.88	0.21
Rbbp7	9.6	11.42	0.17	9.36	2.18	384.67	248.75	74.01	0.0	3.92	114.31	29.68	207.09	409.54	494.3	125.37	254.41	0.0	1.56	484.14	396.57	157.52	389.02	166.28	371.46	42.75	10.2	21.31	374.48	684.28	142.17	0.0	362.08	134.75
Rgs4	0.22	4793.66	5481.44	2392.32	4252.35	2874.2	3996.83	4201.26	318.49	5873.8	4839.36	5539.67	3662.03	3885.16	4053.59	3800.78	5390.4	1295.06	5399.11	5219.32	5187.94	4921.82	6274.8	4012.11	5420.33	2980.79	3790.19	4227.76	5101.58	2315.86	5598.27	0.0	4802.36	6781.39
Rrp12	0.0	2.19	0.0	0.0	0.0	193.28	0.0	2.03	0.0	5.23	18.6	0.75	0.0	45.21	20.89	0.0	0.0	0.0	5.64	20.34	22.37	0.0	0.08	0.0	0.0	0.0	2.65	0.0	0.0	0.0	0.0	0.0	1.78	8.88
Slc17a7	0.0	17.16	28.9	2.59	10.05	93.6	13.0	2.99	0.0	4.73	54.17	79.38	56.89	101.48	31.16	41.49	1.67	0.0	16.18	18.28	76.26	20.06	1.26	45.34	47.31	0.97	13.47	16.88	23.24	67.49	16.02	0.0	22.37	0.68
Sox11	0.0	26.63	0.0	0.0	0.0	200.51	0.0	135.1	0.0	43.95	126.66	55.4	50.95	103.76	92.62	0.0	0.0	0.0	63.78	16.45	14.69	314.22	76.36	29.44	0.0	0.0	0.0	51.49	5.84	1.75	102.13	0.0	73.39	38.08
Tmem132b	0.0	0.04	2.86	1.15	0.0	165.03	37.13	50.32	0.0	5.75	0.93	141.42	3.69	94.34	0.29	38.08	0.0	0.08	5.14	85.53	0.32	57.46	5.5	0.58	0.0	0.0	20.09	51.43	0.0	97.1	2.76	0.0	119.44	0.0
Ubxn7	0.0	2.07	0.0	44.03	0.0	82.17	0.0	0.0	0.0	50.36	4.51	0.03	0.05	0.0	0.0	0.0	0.0	0.0	0.01	12.22	6.66	39.16	0.19	0.04	0.0	0.0	0.0	0.48	25.47	52.71	3.36	0.0	0.0	2.67
Xist	0.08	0.1	0.23	0.04	0.44	0.48	0.14	0.36	0.04	0.41	0.24	0.21	0.0	0.48	0.41	0.3	0.28	0.15	0.25	47.28	0.34	0.05	0.17	0.16	0.14	0.44	0.34	0.29	0.69	1.06	0.35	0.0	0.64	0.07
Zfp300	7.69	23.98	27.21	19.8	25.07	226.87	28.55	20.78	0.94	139.6	35.29	22.36	21.57	114.59	22.04	20.23	20.19	14.5	18.51	32.11	36.09	39.83	18.27	38.87	20.46	31.05	12.84	22.85	36.14	30.83	30.22	1.73	21.42	16.77
