	Pvalb_tdTpositive_cell_39	PvalbD.Slc32a1_tdTpositive_cell_23	Tac2_tdTpositive_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Kcnip3	0.77	0.08	0.23	107.09	100.54	106.97
Lama2	0.0	0.0	0.0	4.47	4.58	5.02
Lef1	0.0	0.0	0.0	3.5	3.38	4.0
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Lrp4	0.22	0.11	0.2	14.58	15.12	16.01
Mctp2	0.0	0.0	0.0	0.73	0.65	0.73
Mip	0.0	0.0	0.0	0.09	0.09	0.24
Ms4a8a	0.0	0.0	0.0	0.09	0.09	0.1
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Oaf	0.0	0.0	0.0	9.32	10.52	8.55
Olfml2a	0.0	0.0	0.0	1.54	2.24	2.08
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olig2	0.0	0.0	0.0	25.27	24.04	26.29
Pbxip1	0.15	0.14	0.0	31.86	30.67	32.85
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Phkg1	2.09	2.31	5.19	16.95	18.38	19.54
Plxnb1	0.0	0.0	0.0	34.3	33.77	34.95
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Ppfibp2	0.0	0.0	0.0	6.87	6.28	6.68
Prr7	0.0	0.0	0.0	58.93	79.63	74.96
Ptrf	0.0	0.0	0.0	12.06	14.09	11.56
Rgma	0.0	0.0	0.0	27.04	31.73	29.97
Rhobtb1	0.0	0.0	0.0	4.2	3.96	4.07
Rnf43	0.0	0.0	0.0	1.87	1.74	2.02
Sall3	0.0	0.0	0.0	2.49	3.16	2.21
Slc38a3	0.0	0.0	0.0	62.3	69.72	71.44
Slc9a3r1	0.0	0.0	0.0	49.0	50.73	53.68
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sod3	0.0	0.0	0.0	15.08	12.83	13.7
Sox21	0.0	0.0	0.0	8.03	7.85	8.1
Sufu	0.0	0.0	0.0	9.27	11.11	9.53
Tbx2	0.0	0.0	0.0	1.71	2.11	2.39
Tbxa2r	0.0	0.0	0.0	1.3	0.93	1.01
Tesk1	4.04	0.0	5.59	59.09	56.63	56.61
Tmbim1	0.0	0.0	0.0	26.9	28.9	29.91
Tns3	0.0	0.0	0.0	23.86	23.21	24.25
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vdr	0.0	0.0	0.0	0.27	0.3	0.33
Vgll3	0.0	0.0	0.0	2.13	2.13	2.47
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Yap1	0.0	0.0	0.0	17.01	15.32	14.85
Zdhhc7	0.0	16.34	0.0	27.69	29.79	28.29
Zfp36l1	0.0	0.0	0.0	20.71	18.86	20.39
Zfp572	0.0	0.0	0.0	0.09	0.09	0.19
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	37.48	0.0	0.0	9032.87	8417.95	8583.15
