	Ctgf_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_28	Rbp4_tdTnegative_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lipt2	0.0	0.0	0.0	7.27	7.38	8.26
Manba	0.0	0.0	0.0	8.03	7.49	7.65
Mcart1	12.64	0.98	2.2	58.96	59.05	56.38
Mcm4	0.0	0.0	0.0	7.95	7.59	7.78
Meis3	0.0	0.19	0.0	34.48	38.06	34.01
Mir491	0.0	0.0	0.0	0.0	3.74	0.0
Mir669e	0.0	0.0	0.0	0.0	0.0	0.0
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Muc15	0.0	0.0	0.0	0.63	0.12	0.52
Ngef	0.0	38.6	0.0	293.26	311.79	319.16
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Ntrk2	44.11	0.41	75.86	244.04	230.22	259.3
Nudt18	0.0	0.36	0.0	22.4	25.54	23.22
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Oraov1	0.0	0.0	0.3	14.33	14.7	15.0
Orc6	0.0	0.0	0.2	24.92	25.12	25.09
Pbk	0.0	0.0	0.0	0.79	0.68	0.44
Pcdh10	0.0	0.0	2.8	96.09	89.16	95.98
Pcdha3	0.0	0.0	0.0	4.97	4.98	5.73
Pde6g	0.0	0.0	0.0	0.34	0.21	0.35
Peg10	0.0	0.0	0.09	12.92	13.6	13.6
Pgap2	0.0	0.0	0.0	12.69	15.83	18.41
Pgrmc2	0.0	47.72	0.0	62.84	62.1	60.62
Prg4	0.0	0.0	0.0	3.94	4.13	1.75
Prkca	0.0	0.0	0.0	74.19	69.97	81.49
Pxt1	0.0	0.0	0.0	0.1	0.0	0.0
Rab23	0.0	0.0	0.0	17.42	17.23	15.6
Rad1	5.67	6.14	14.12	16.04	15.19	15.56
Rag1	0.0	0.0	0.0	0.1	0.03	0.08
Rdh16	0.0	0.09	0.21	0.18	0.19	0.13
Ripply2	0.0	0.0	0.0	4.81	7.1	6.27
Rnf214	0.0	0.09	0.08	46.43	43.52	43.58
Rpl3l	0.0	0.0	0.0	0.68	0.77	0.45
Rsph1	0.0	0.0	0.0	5.1	5.94	5.35
Rybp	0.0	0.0	6.44	38.07	36.05	34.87
Shcbp1	0.0	0.0	0.0	0.88	0.92	0.91
Shq1	0.0	0.34	0.0	4.19	4.98	3.91
Slc22a5	0.0	0.0	0.0	11.85	11.88	12.36
Slc9a9	0.0	0.0	0.08	12.35	12.82	15.3
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Soat1	0.69	0.37	0.79	13.89	11.63	12.83
Speg	0.0	0.0	0.0	75.82	81.03	83.08
Spink8	0.0	0.0	0.0	7.27	5.28	6.42
Sppl3	0.0	0.0	0.1	69.72	74.61	73.59
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tectb	0.0	0.0	0.0	1.12	0.55	0.75
Tmem151a	0.0	0.0	0.15	140.06	152.76	151.94
Tmem158	0.0	0.0	0.0	75.2	98.12	88.24
Tpcn1	0.0	0.0	0.0	26.58	29.21	28.35
Tram2	0.35	0.0	0.0	0.5	0.75	0.67
Trib3	0.0	0.0	0.0	0.58	0.91	0.7
Trim25	0.0	0.04	3.25	3.28	3.13	3.95
Trim62	0.0	0.0	0.0	17.43	19.99	16.33
Trip12	0.0	0.0	10.75	63.25	57.31	62.05
Tspan10	0.0	0.0	0.0	0.05	0.0	0.1
Tspan2	38.17	0.0	0.43	89.2	86.44	99.13
Ttbk1	0.0	0.0	0.0	41.37	40.87	44.19
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tyw3	0.21	0.7	0.0	7.37	7.5	6.98
Ube2j1	0.0	12.9	0.0	79.49	82.59	77.99
Uox	0.0	0.0	0.0	0.65	0.61	0.89
Vamp2	0.0	308.1	0.0	1049.62	1054.48	1042.78
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wbscr17	0.0	0.0	0.07	37.98	45.03	41.83
Wdr44	0.0	0.0	0.0	13.23	12.26	13.91
Wdr6	0.0	0.0	15.51	94.7	113.38	94.73
Zfp783	0.0	0.0	0.07	4.18	4.26	4.66
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c19_tRNA-Ser-AGY	0.0	0.0	0.0	0.0	0.0	0.0
c3_tRNA-Ala-GCY_	0.0	0.0	0.0	23.05	42.35	38.13
c7_tRNA-Ser-TCY	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.5	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
