	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_37	Gad2_tdTpositive_cell_52	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_84	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_13	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Ntsr1_tdTnegative_cell_55	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_11	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_51	Sst_tdTpositive_cell_67	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_64	CAV_LP_Ipsi_tdTpos_cell_34
Atxn3	0.03	0.0	0.07	0.08	0.0	3.42	0.0	3.31	0.0	0.0	0.0	0.0	0.0	1.44	0.08	0.11	39.67	16.83	0.0	0.0	0.0	0.0	0.57	0.0	0.77	96.0	0.16	39.4	0.0	76.95	0.0	0.0	0.0	0.03	0.0	0.0	11.11
Bmi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.91	0.0	0.0	0.0	0.0	0.0	144.89	0.0	0.0	55.89	3.57	0.0	0.0	0.0	42.72	0.0	0.0	0.0	0.0	0.0	33.12	0.0	6.99	0.0	0.0	0.0	0.0	0.0	17.89	0.0
C030046I01Rik	6.06	7.86	24.22	5.77	32.62	11.82	141.55	225.4	24.07	26.25	0.0	4.0	207.8	32.65	32.18	0.78	121.16	60.82	30.43	21.51	1.57	7.76	40.98	59.18	32.89	140.75	27.33	33.21	57.57	118.39	66.74	1.79	1.45	54.42	32.12	444.19	40.91
C630028M04Rik	0.07	0.75	0.0	0.66	0.28	0.0	0.1	0.87	0.0	0.51	0.25	0.39	0.21	0.36	0.92	0.45	0.25	0.3	0.36	0.31	0.48	0.23	0.85	0.86	0.35	0.49	1.0	0.09	0.29	0.67	0.61	0.0	0.0	0.49	0.0	0.32	0.46
Camk1d	0.0	0.0	39.43	5.2	0.12	0.0	0.0	67.47	0.0	2.71	0.0	1.77	0.0	0.0	0.06	0.0	10.67	17.07	6.42	0.0	1.59	1.31	0.0	0.0	20.6	22.09	4.01	2.18	0.84	37.64	82.01	0.06	0.0	0.07	0.0	0.0	4.68
Cd300ld	0.33	0.0	0.0	0.57	0.53	0.0	0.15	1.46	0.24	0.19	0.25	0.34	0.0	1.06	0.21	0.0	0.16	0.22	0.0	0.01	0.05	0.0	0.0	0.3	0.0	0.28	0.0	0.0	0.75	2.4	0.0	0.03	0.0	0.54	0.49	0.0	0.14
Cdkn2aipnl	0.0	0.0	0.0	140.52	0.0	0.0	2.27	225.26	0.32	0.0	0.0	3.76	7.16	0.0	3.83	0.0	99.33	54.78	193.98	0.0	195.31	0.06	0.0	102.68	0.0	0.0	117.47	101.21	30.03	41.55	125.07	0.0	0.2	0.09	216.75	70.31	1.14
Ctnnd2	15.44	0.0	0.0	118.02	268.35	62.75	62.82	342.4	86.4	80.02	151.55	49.11	0.53	121.56	94.92	184.87	258.87	125.15	196.52	103.46	13.53	40.83	210.25	222.72	165.41	168.75	185.12	209.68	64.42	199.81	110.36	0.2	29.26	89.27	63.2	0.0	55.01
Dimt1	0.0	143.35	0.0	44.2	0.0	56.76	192.11	193.09	0.0	99.99	0.0	0.0	0.0	131.63	195.55	121.8	90.39	72.45	105.31	50.48	33.45	46.39	40.72	137.27	0.0	115.18	194.37	83.99	135.49	144.84	59.11	0.32	0.0	48.52	8.92	0.2	140.69
Dut	13.71	0.0	0.0	0.0	0.0	0.0	16.83	63.02	0.26	1.27	0.31	0.17	0.0	32.71	0.98	0.26	11.98	0.0	0.2	0.23	0.08	0.0	0.0	0.0	0.31	1.52	7.46	16.72	0.0	43.53	0.0	0.0	0.0	0.06	0.16	0.0	0.16
Elavl2	0.0	0.0	0.64	71.3	87.74	0.0	0.09	373.21	49.87	36.46	0.0	29.2	4.38	0.0	208.89	18.48	241.96	89.46	106.77	108.13	78.8	109.66	49.52	157.1	67.18	186.95	55.51	121.41	155.31	275.39	82.21	0.0	0.0	46.71	64.66	0.0	73.94
Fam63b	0.27	0.04	0.73	0.0	0.08	11.07	0.0	38.24	0.45	0.09	16.14	36.36	0.0	0.13	12.02	88.89	44.37	8.29	6.85	24.66	0.12	17.41	1.67	8.09	0.17	13.8	26.77	61.95	20.08	48.1	2.57	12.54	0.0	0.05	35.44	39.1	0.36
Fat3	0.01	0.0	0.0	0.0	0.0	0.0	0.0	33.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	21.36	0.0	0.0	0.57	26.6	0.0	0.77	0.0	0.0	0.0	0.0	0.0	2.81	0.03	0.0	0.0	0.01	0.0	0.03	0.01
Fbxo46	0.0	0.0	0.69	0.23	5.49	0.0	0.0	65.75	18.78	1.29	0.0	7.79	0.0	30.28	103.8	0.0	21.91	10.07	9.68	0.0	0.06	2.17	0.0	34.19	21.96	25.09	18.73	38.21	0.0	13.0	18.0	0.0	0.0	7.57	0.0	0.0	7.05
Frs2	0.0	0.0	0.0	0.0	0.0	25.81	0.0	41.06	0.0	3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.07	8.66	0.0	33.12	0.0	0.02	0.0	0.0	0.0	17.7	0.0	61.42	0.0	0.0	1.65	0.0	0.0	0.0	0.09	0.0	0.0
Fxyd7	0.0	0.0	2.6	0.0	325.9	131.27	0.0	169.46	0.0	0.0	0.0	70.59	137.44	0.0	0.0	159.73	211.26	329.26	47.73	85.85	0.0	0.16	0.0	0.0	86.38	53.93	0.0	190.0	46.37	72.81	67.45	0.0	0.0	0.0	0.0	0.0	291.71
Gm16702	82.16	50.89	86.71	62.41	87.62	157.63	39.03	216.91	74.49	135.77	252.99	60.16	63.74	125.19	226.82	245.61	125.01	100.12	60.42	49.03	60.98	26.98	66.38	111.77	83.89	89.82	89.27	124.75	68.57	94.53	311.37	64.9	16.53	78.18	144.55	69.8	83.53
Il34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	316.7	0.0	0.0	0.0	0.0	0.0	0.0	128.86	0.0	88.67	13.25	0.0	0.0	0.1	56.74	0.0	0.0	31.19	135.35	0.51	365.22	56.87	116.08	0.0	0.0	0.0	0.0	0.0	0.3	39.42
Impact	5641.63	5933.6	6539.77	5828.08	6891.15	7007.16	6174.14	4499.85	6826.9	5424.7	7392.12	5000.79	6076.78	7253.7	5764.63	6840.91	3936.93	4302.0	5620.11	5333.97	4910.82	5532.1	5853.51	5542.05	5757.16	6020.42	6867.61	2602.58	6400.32	3111.53	6369.48	4782.92	3375.6	7015.38	6662.18	6284.88	5790.54
Lepr	2.47	4.74	22.48	4.73	2.84	7.21	1.96	41.55	4.73	5.45	8.61	2.39	3.1	3.55	9.94	5.73	9.15	7.58	17.3	2.64	2.47	4.15	6.44	6.34	5.57	6.82	5.12	17.72	5.52	5.72	8.13	6.05	1.05	5.12	3.43	3.57	11.24
Lhfpl4	0.36	1.11	4.31	1.21	1.98	1.33	0.73	75.66	3.04	1.35	2.48	0.75	1.74	0.83	1.9	1.19	34.61	20.29	1.09	46.69	0.87	0.99	1.19	13.2	2.05	2.58	7.81	3.62	6.51	39.87	2.27	5.59	0.0	93.43	7.42	7.65	1.98
Lpgat1	0.04	0.0	34.21	54.79	2.92	33.37	49.42	127.14	0.08	28.54	0.0	62.94	38.79	4.52	93.52	0.0	46.66	55.06	59.27	2.52	45.99	12.84	0.0	102.26	134.82	43.99	38.99	155.81	48.99	160.79	41.47	41.26	0.0	51.03	0.0	26.32	30.14
Mapk14	0.09	165.73	155.82	0.0	7.84	0.0	0.0	72.51	1.69	50.09	0.0	0.0	0.0	0.0	0.62	0.0	94.66	0.0	17.28	0.0	42.58	0.16	0.0	83.07	0.11	136.24	62.5	6.09	2.01	0.0	0.0	0.0	0.0	12.58	0.15	0.0	0.95
Mpp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.43	0.0	124.41	0.0	0.0	0.0	26.68	0.0	89.28	36.65	30.77	0.1	0.0	57.31	31.66	7.2	0.0	9.64	1.73	82.88	0.0	44.83	126.62	0.26	0.0	0.0	0.0	0.0	0.0	0.8
Myadm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.86	0.0	13.8	0.25	0.0	0.0	33.82	32.45	0.0	79.91	82.8	6.13	0.17	0.12	0.04	0.0	23.92	53.7	12.39	52.45	71.74	66.34	19.9	2.16	0.0	0.0	69.64	0.35	0.0	22.68
Nae1	0.08	159.05	243.26	0.0	45.92	12.9	0.0	408.08	11.93	105.55	36.84	0.0	259.7	293.68	270.91	289.31	215.0	204.28	160.28	59.97	2.73	252.77	195.57	0.0	0.0	58.64	0.24	240.71	90.77	250.05	0.0	8.48	0.0	322.12	1176.09	0.0	0.1
Nat8l	0.0	0.0	0.0	1.52	19.83	0.0	0.11	91.91	36.6	41.89	0.0	0.0	0.0	4.18	16.08	0.0	146.09	11.38	2.69	3.65	12.66	19.75	1.88	23.56	27.46	5.94	0.07	40.41	0.32	48.72	0.0	0.06	0.0	0.8	16.36	30.1	0.43
Nceh1	0.1	72.34	47.05	54.47	0.0	64.77	8.28	281.11	134.05	49.21	0.0	0.0	0.0	118.27	182.25	0.0	136.71	118.42	194.52	66.25	0.11	89.26	0.0	195.1	138.97	92.26	400.92	81.91	221.11	175.89	104.5	151.82	0.0	0.0	0.11	14.48	52.26
Prep	0.0	0.0	0.0	131.34	132.58	0.0	0.0	73.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	140.42	0.0	79.67	0.0	0.0	0.94	0.0	13.34	7.43	0.63	1.1	0.0	16.44	0.0	5.32	0.0	0.0	79.08	0.0	0.0	0.0
Rab33b	100.43	32.89	22.66	104.96	28.97	56.7	22.81	248.73	91.04	83.54	54.71	30.04	55.9	64.05	94.06	36.81	72.24	78.68	89.46	49.68	13.58	66.71	43.17	38.72	33.82	38.25	24.17	38.86	37.98	199.13	170.46	29.58	4.2	172.56	61.54	7.46	99.56
Rmnd5b	31.21	0.0	0.0	0.0	131.09	0.0	0.0	117.69	0.0	0.0	0.0	0.0	0.0	0.0	249.21	0.0	41.79	68.09	0.0	0.0	4.39	0.0	0.0	0.0	0.0	0.0	0.0	3.66	44.42	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0
Sfrp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.34	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	14.94	1.49	0.0	0.0	0.0	0.15	0.0	53.81	62.19	30.45	0.0	91.9	23.34	9.12	0.28	0.0	0.0	26.54	0.0	0.25	0.09
Slc10a2	0.72	0.0	0.67	1.6	0.0	0.0	0.22	0.8	0.41	0.0	0.51	0.72	0.0	0.0	1.69	0.11	0.7	0.26	0.0	0.0	0.21	0.06	0.24	0.0	0.0	0.42	0.0	0.53	0.0	0.57	0.16	0.52	0.0	0.91	0.0	0.33	0.11
Slc8a1	0.02	0.0	0.03	25.38	32.94	0.04	0.0	33.84	0.03	1.81	2.84	18.18	47.71	19.9	12.64	4.19	15.93	117.08	13.83	0.0	0.01	0.55	40.77	12.26	28.51	33.74	5.63	70.89	12.21	45.99	0.0	0.09	0.0	0.01	15.17	0.0	90.19
St8sia1	0.05	0.08	0.18	44.18	0.0	0.07	0.06	56.39	1.0	0.26	0.09	0.48	6.89	0.25	0.64	0.2	0.85	2.29	1.44	0.16	1.1	0.02	5.76	42.47	1.78	25.52	0.06	2.54	3.76	29.99	0.18	0.05	0.0	32.13	0.24	0.17	0.09
Syf2	99.73	32.09	174.09	182.71	0.0	149.61	0.0	176.22	0.0	181.28	212.56	0.0	0.0	110.3	0.0	0.0	189.74	37.95	47.55	0.0	0.0	120.87	110.96	85.58	0.0	0.0	236.87	194.85	0.0	206.91	85.29	3.38	0.0	0.0	0.0	0.41	48.57
Tasp1	17.77	0.0	298.97	7.87	58.89	0.0	0.0	137.52	0.0	0.4	0.0	0.0	0.0	0.0	82.44	0.0	0.0	110.47	0.0	83.85	0.0	0.0	0.0	0.9	0.0	0.0	145.1	60.87	0.0	132.29	0.0	0.19	0.0	0.0	0.0	0.0	0.0
Tnfsf10	5.9	6.19	14.34	10.33	12.22	15.92	11.48	20.92	21.08	13.7	18.04	8.07	10.27	15.08	30.29	6.72	40.0	12.62	10.11	9.74	4.84	7.11	12.03	26.65	9.42	14.28	10.22	10.2	13.04	14.59	11.65	14.63	3.28	12.95	16.94	12.23	15.25
Tpr	4.75	0.0	77.99	15.63	2.39	2.37	0.0	16.55	0.0	42.55	28.68	20.44	5.7	5.95	99.96	20.1	60.4	47.33	21.46	8.91	0.93	30.46	5.13	17.55	44.97	22.19	3.27	63.03	95.01	35.36	13.6	0.0	0.0	12.48	12.91	5.79	38.69
Txnl4a	44.12	42.09	237.4	319.25	131.96	46.21	552.18	717.03	21.29	204.29	15.54	595.47	414.04	142.62	350.4	69.34	488.94	308.13	275.7	218.14	130.15	149.41	10.73	323.47	228.76	138.52	83.26	432.41	392.24	624.64	8.94	129.64	0.26	148.28	555.07	57.87	177.08
Ube2d1	137.22	0.0	0.29	115.68	0.0	2.35	219.43	125.8	2.96	0.6	3.41	0.0	26.96	1.11	0.0	0.0	53.4	3.42	63.44	0.73	0.53	1.54	0.28	0.24	0.0	20.53	5.53	95.37	20.29	2.04	3.97	0.0	0.0	109.03	0.0	0.0	0.13
Unkl	0.0	0.0	0.0	58.68	0.0	0.0	0.0	4.66	0.0	0.0	0.0	0.0	0.0	0.23	121.05	0.0	1.96	54.82	0.0	0.0	0.0	38.67	50.95	0.0	0.0	6.83	65.43	48.7	0.09	0.14	17.85	0.12	0.0	1.54	14.22	43.05	0.05
Zcchc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.56	0.0	0.08	0.0	0.0	0.0	0.0	0.18	0.0	25.38	26.89	0.44	0.0	0.0	0.0	0.0	28.43	8.82	0.0	0.0	10.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22
Zfp780b	2.41	0.65	1.1	83.29	4.22	41.48	2.55	135.2	147.04	2.32	1.3	77.86	67.8	46.84	82.3	134.89	10.16	54.47	23.39	1.49	15.5	2.47	0.31	26.23	46.05	47.08	112.92	39.84	20.35	118.11	0.85	120.84	0.53	82.8	6.56	116.52	117.78
