	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Gad2_tdTpositive_cell_75	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_85	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dmrta1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.15	0.0	0.0	0.13	0.11	0.33
Epb4.1l1	0.0	0.0	37.93	0.0	0.0	24.77	45.28	39.97	31.48	7.46	15.19	21.61	13.97	5.68	12.06	46.37	85.21	33.16	17.11	226.35	219.82	236.74
Fam177a	2.63	0.8	1.23	8.99	0.0	6.82	6.7	21.56	12.74	3.65	0.58	15.72	3.32	1.24	7.31	13.64	11.24	5.43	0.63	17.56	16.4	17.92
Fggy	0.0	0.0	0.0	0.0	0.0	0.0	50.17	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	90.73	38.53	0.0	90.11	11.8	11.85	11.59
Gm14431	0.34	0.19	0.16	0.0	0.0	1.71	6.64	3.35	5.03	0.12	0.3	1.99	5.14	1.79	0.61	10.41	1.45	4.65	0.0	8.87	7.17	8.34
Gm17019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	0.43	0.62
Gm4925	0.0	0.22	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.51	0.22	0.15	0.0	0.1	83.97	18.72	0.25	0.79	0.73	0.81	0.94
Gm8898	0.34	0.19	0.16	0.0	0.0	1.71	6.64	3.35	5.03	0.12	0.3	1.99	5.14	1.79	0.61	10.41	1.45	4.65	0.0	8.87	7.17	8.34
Gpank1	0.0	0.0	0.0	0.0	0.0	26.04	10.89	0.0	7.96	0.0	0.61	0.0	0.0	0.0	67.29	127.99	0.0	9.94	4.56	19.75	20.01	17.17
Jtb	0.0	0.0	25.13	0.0	0.0	3.33	20.19	28.59	13.29	3.88	7.23	52.69	0.0	0.0	0.0	93.79	34.46	0.38	0.0	46.02	53.05	49.48
Las1l	0.16	0.0	11.38	0.0	0.0	118.99	73.02	80.83	60.73	0.0	86.21	173.23	0.64	76.42	13.3	105.5	15.48	48.01	118.22	44.99	43.9	41.06
Lnpep	0.0	0.0	19.01	0.0	0.0	1.81	28.41	20.03	20.63	0.26	0.0	11.19	7.77	0.0	6.05	22.96	20.81	1.64	4.99	32.87	27.28	33.21
Mccc2	572.04	0.0	0.0	0.0	0.0	2.53	5.84	0.3	39.86	0.65	0.0	0.14	0.0	3.18	47.7	97.56	22.48	0.0	27.7	19.68	18.89	19.88
Med20	0.0	0.0	28.44	0.0	0.0	0.0	34.23	10.67	38.04	114.52	0.0	0.14	0.0	107.31	0.0	248.1	22.47	0.0	6.14	21.04	23.25	19.06
Metap2	0.0	0.0	57.3	0.0	0.0	97.9	78.61	92.72	94.08	46.6	119.22	64.01	0.74	1.48	71.64	207.44	110.73	132.92	11.03	34.83	33.92	33.46
Mllt6	0.12	0.02	0.0	0.0	0.0	1.53	4.5	8.71	0.0	0.37	0.21	0.0	0.0	0.0	0.55	23.09	0.07	2.56	9.68	61.9	66.63	68.89
Napsa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.51	0.0	0.0	0.0	1.12	0.83	1.4
Pign	0.0	0.0	0.0	0.0	0.0	0.0	24.36	0.06	2.07	9.33	0.0	0.0	14.52	0.0	0.53	27.62	0.0	1.31	0.0	7.15	7.09	8.24
Pqlc2	0.0	0.0	0.0	0.0	0.0	16.04	1.9	35.66	0.0	0.0	0.0	0.0	0.0	0.0	56.77	72.0	0.24	0.0	0.0	11.31	10.58	9.84
Prpf40b	0.0	0.0	32.92	0.0	0.0	30.71	16.53	0.2	4.0	0.22	1.46	0.0	36.02	0.0	23.45	32.13	13.29	7.07	0.0	52.56	53.59	57.39
Pyroxd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	38.75	0.0	0.0	0.0	13.22	0.0	52.49	130.15	14.44	0.0	0.0	12.96	12.17	12.09
Rpgrip1l	0.0	0.0	0.3	0.0	0.0	3.61	4.91	2.07	9.7	0.0	12.46	0.0	1.82	15.31	8.57	25.82	0.69	5.5	0.0	11.64	10.12	11.23
Scgb2b1-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.2	0.0	0.43
Sept1	0.0	0.0	0.0	0.0	0.0	7.07	0.0	0.0	3.91	0.0	0.0	0.0	0.0	0.0	0.0	8.72	4.08	0.0	0.0	0.62	0.39	0.99
Sft2d3	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	2.16	6.63	5.21	0.0	0.15	0.0	17.76	44.33	0.0	0.0	0.0	7.09	7.21	6.96
Smchd1	0.0	0.0	1.73	0.0	0.0	0.0	1.62	26.69	1.63	6.38	0.43	0.04	0.06	0.0	11.43	43.78	3.39	13.04	3.66	17.6	16.14	16.17
Speer7-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.65	0.0	0.0	0.0	2.05	1.33	1.74
Speer8-ps1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.01	0.45	0.0	0.0	1.5	0.85	0.85
Stim1	0.0	0.0	0.0	0.0	116.06	0.0	3.4	0.0	8.81	0.0	0.21	5.98	0.0	0.0	15.13	57.8	0.0	0.0	0.0	62.54	64.6	66.99
Stxbp2	89.07	23.03	21.95	59.7	14.58	22.0	14.31	20.94	41.86	22.44	14.56	23.49	14.11	21.07	18.92	83.66	20.16	39.05	23.78	35.02	32.3	36.06
Stxbp5l	0.07	0.07	0.77	0.19	0.0	7.62	8.48	10.32	9.82	6.37	4.46	1.61	3.42	13.09	9.81	22.08	13.98	14.63	6.78	41.93	33.64	44.5
Trib1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.07	0.0	0.0	0.0	20.64	15.7	8.79
Ubr4	0.0	0.0	1.27	0.0	0.0	8.33	5.73	4.29	8.5	0.43	0.0	8.29	3.31	12.48	10.15	26.29	11.21	7.97	1.16	45.95	42.73	49.32
Zfp710	0.0	0.0	0.0	0.0	0.0	0.66	0.0	8.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.37	0.0	0.0	0.0	10.96	10.61	11.25
mt_AK131586	6370.03	2.54	0.0	4908.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
