	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_37	Nos1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_72	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_22	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
Dnmbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.54	0.0	0.0	0.35	0.0	0.07	0.85	0.0
Dvl3	74.47	81.13	4.25	24.09	0.11	17.79	26.02	10.92	11.34	0.12	11.31	78.26	76.27	0.0	0.0	23.62	33.03	30.6	33.34	48.01
E130307A14Rik	0.0	28.76	0.0	0.23	0.0	56.36	0.0	0.5	0.0	0.21	0.0	40.04	68.79	315.23	0.0	18.4	38.58	4.82	14.6	0.0
Elovl4	48.73	103.49	51.9	71.17	183.43	38.16	72.92	0.0	5.82	159.13	18.98	173.31	191.09	131.11	17.6	87.67	89.23	72.01	66.29	26.68
Fam135b	0.0	0.0	120.51	0.0	0.0	60.6	35.71	0.06	53.28	0.04	1.54	65.66	69.44	0.0	0.0	8.44	16.14	14.24	6.92	35.95
Fam177a	0.08	3.28	2.06	12.77	2.41	34.36	11.32	9.49	1.75	18.14	24.95	3.31	18.6	5.88	1.16	6.5	14.42	14.19	19.02	12.19
Fiz1	0.0	30.12	0.0	0.0	13.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.79	0.0	0.0	8.2	0.36	2.18	3.08	0.0
Flna	0.0	0.16	0.0	0.14	0.0	0.35	0.0	0.0	0.0	19.53	0.06	8.45	12.63	0.0	0.0	2.55	5.1	2.44	4.14	0.04
Gm14430	0.21	3.35	0.0	17.58	1.47	0.0	9.33	0.22	0.0	0.02	0.36	0.0	3.32	0.23	0.0	1.76	6.89	5.97	4.22	0.74
Gm14431	0.0	0.83	0.13	1.62	0.0	2.27	0.0	0.48	0.13	2.02	0.07	2.5	2.08	0.25	0.0	0.53	0.51	0.9	1.65	0.0
Gm14434	0.21	3.35	0.0	17.58	1.47	0.0	9.33	0.22	0.0	0.02	0.36	0.0	3.32	0.23	0.0	1.76	6.89	5.97	4.22	0.74
Gm4724	0.21	3.35	0.0	17.58	1.47	0.0	9.33	0.22	0.0	0.02	0.36	0.0	3.32	0.23	0.0	1.76	6.89	5.97	4.22	0.74
Gm8898	0.0	0.83	0.13	1.62	0.0	2.27	0.0	0.48	0.13	2.02	0.07	2.5	2.08	0.25	0.0	0.53	0.51	0.9	1.65	0.0
Gmppb	0.0	0.0	0.0	0.0	0.0	178.79	72.02	0.0	0.0	0.0	0.27	3.37	32.64	0.0	0.0	25.41	15.94	13.87	19.23	0.22
Gria3	0.0	211.89	0.0	86.49	0.0	241.79	152.08	86.06	101.76	164.88	70.43	191.46	385.2	0.1	153.07	197.47	231.22	241.89	223.69	33.1
Habp4	0.16	8.77	0.0	47.78	0.0	7.49	8.03	0.11	0.27	0.49	0.19	13.87	36.93	0.0	1.87	15.7	19.43	14.9	17.55	3.55
Kcnt1	0.0	68.31	0.0	0.9	0.0	1.05	5.9	0.0	0.06	0.09	0.0	0.05	50.2	0.0	0.0	7.57	8.5	6.18	9.38	0.0
LOC329427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	42.12	0.0	0.0	4.36	2.73	1.44	1.19	0.0
Ldb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.05	0.0	0.0	11.39	0.0	2.69	2.84	0.0
Limk2	0.0	2.11	129.65	53.32	0.18	27.19	0.0	0.0	0.09	7.86	34.09	0.05	32.89	0.0	0.13	16.3	14.26	9.51	8.51	47.53
Lnpep	0.0	27.31	0.0	0.66	0.0	33.96	0.06	0.0	0.0	0.0	0.0	2.19	20.96	6.52	40.49	1.32	0.23	1.58	2.32	22.54
Mas1	0.0	401.69	0.0	0.0	0.0	0.0	149.41	0.0	296.21	0.07	18.96	0.0	158.5	0.0	0.0	124.01	97.06	29.54	34.17	0.0
Mecp2	0.0	3.44	0.0	25.47	3.06	4.18	0.0	12.72	0.17	83.08	0.0	0.34	50.76	19.08	0.0	8.3	5.5	8.41	6.2	0.16
Mib1	0.0	1.88	1.77	0.0	0.0	0.0	0.17	0.92	0.0	2.39	0.0	0.22	19.75	0.0	0.0	4.52	4.32	2.44	3.64	20.52
Mtap1b	265.02	514.1	270.38	503.72	342.57	641.65	711.34	268.27	953.36	515.98	499.42	641.47	1096.71	352.88	193.02	672.19	763.91	380.76	347.27	800.49
Mybbp1a	0.0	34.14	0.0	0.0	0.0	0.0	5.04	2.47	0.0	0.04	14.29	1.7	30.38	0.0	0.0	9.36	5.28	5.39	6.7	0.0
Ntan1	3.92	17.52	164.73	8.3	0.0	1.83	115.52	0.0	31.35	109.61	58.93	0.0	120.46	8.09	65.34	35.74	90.92	81.84	80.61	134.93
Osbp	0.0	0.0	0.0	0.83	0.0	0.0	1.3	0.0	0.81	0.56	0.0	11.32	65.76	0.0	0.0	7.08	9.59	7.51	7.65	3.79
Parvb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.18	0.0	0.0
Pdcd6ip	0.0	0.68	0.05	24.95	0.0	0.38	9.94	0.0	32.75	0.06	0.0	23.52	32.5	0.0	0.0	13.83	10.86	4.28	4.95	15.11
Pdgfc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.87	41.77	0.0	0.0	0.0	0.0	2.24	1.57	0.0
Phc2	0.0	0.0	0.13	0.0	0.0	1.54	0.0	0.0	0.0	0.0	1.5	0.16	18.01	0.0	0.0	6.78	4.48	6.49	4.91	0.0
Pkp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.82	0.0	0.0	0.1	1.55	0.95	1.8	0.0
Ppfia1	0.0	0.0	0.0	28.24	0.0	0.06	0.67	1.59	0.0	0.92	6.21	1.84	60.34	0.0	0.0	5.93	3.84	4.6	4.44	0.0
Rell2	95.27	0.0	0.0	0.0	0.0	22.65	5.26	0.0	0.2	0.0	32.29	2.86	21.76	0.0	0.45	1.57	2.06	2.94	8.75	3.54
Rgp1	1.1	0.0	0.0	0.0	1.24	0.06	0.0	0.0	0.0	3.61	0.08	1.29	16.29	2.71	0.0	0.63	2.22	0.81	0.76	0.05
Rnf152	0.05	0.09	0.0	0.05	0.0	0.08	0.0	4.06	0.08	0.02	0.0	0.06	5.59	0.06	0.06	7.25	5.88	9.78	10.22	0.07
Rnf220	0.0	14.44	0.0	9.05	0.0	48.56	6.67	0.0	0.11	0.3	12.62	0.22	43.06	0.14	0.0	22.95	25.08	17.72	20.04	8.64
Seh1l	401.49	81.09	0.37	3.57	0.18	103.97	0.9	0.0	0.58	65.16	67.11	192.13	130.48	0.0	294.18	48.16	56.35	59.48	54.89	54.06
Serinc5	0.0	0.0	0.0	11.25	0.0	0.0	0.0	0.0	0.06	0.38	0.0	0.08	36.54	3.83	0.45	4.12	2.79	3.07	2.13	0.0
Slc25a30	0.0	49.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.73	0.0	0.0	0.0	0.0	2.25	2.06	0.0
Slc9a1	0.0	0.59	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.82	0.0	0.0	1.92	4.58	2.96	0.52	0.0
St6galnac4	0.0	54.43	0.0	0.0	0.0	0.0	0.14	0.11	0.08	0.1	0.0	3.41	11.42	0.0	0.0	7.87	3.69	5.53	3.56	0.15
Tada2b	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.05	10.97	0.0	0.0	4.84	0.0	0.18	2.01	0.0
Tcf25	2.77	203.23	341.53	123.11	372.85	176.53	309.42	43.42	219.3	199.22	167.7	165.83	387.54	191.58	12.11	218.87	266.17	185.65	190.57	111.19
Thtpa	0.0	0.0	0.0	8.54	0.0	9.2	51.16	39.5	0.0	0.0	73.33	0.0	138.31	0.0	0.0	16.39	13.2	23.7	21.63	2.74
Tpst1	0.12	6.36	0.15	0.0	0.0	0.0	0.0	0.0	0.35	0.09	0.0	0.0	71.29	0.27	0.0	9.96	6.98	3.35	2.44	0.0
Usp16	0.0	7.33	126.78	1.45	38.7	1.14	0.0	0.0	67.99	0.0	0.0	9.46	80.05	0.0	0.0	20.86	22.9	25.25	13.79	0.0
Usp27x	0.0	0.0	0.0	0.0	0.0	0.1	0.0	54.74	0.0	0.0	12.49	94.52	20.74	0.0	0.0	0.63	0.0	2.22	0.85	0.0
Vps13a	0.0	1.31	0.0	8.66	0.0	10.54	15.29	0.0	0.21	4.98	0.93	0.05	20.91	0.0	0.0	12.57	8.46	6.19	7.84	0.0
Wdr61	354.96	31.7	13.0	236.47	124.18	67.35	164.02	52.18	52.66	212.9	496.41	0.36	639.65	54.3	0.0	406.73	221.91	342.26	339.85	29.29
Zbed6	64.95	0.0	0.0	0.0	20.6	0.0	0.0	0.0	0.07	0.03	0.0	0.0	24.13	0.0	0.0	0.0	0.06	0.2	2.75	0.06
Zc3h12b	0.0	0.0	0.0	0.0	0.0	0.0	41.43	19.92	6.38	0.0	0.0	0.0	12.68	0.0	0.0	3.74	7.28	2.24	2.16	0.0
Zfp870	0.4	0.25	0.12	0.07	0.13	0.06	0.12	0.05	0.15	0.59	0.18	0.18	67.83	0.01	1.49	16.75	6.36	4.14	8.45	0.06
mt_AK136262	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.12	1.02	0.26	0.0	0.0	0.0	261.93	210.2	0.19	1.6	0.13
mt_AK142003	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.12	1.02	0.26	0.0	0.0	0.0	261.93	210.2	0.19	1.6	0.13
mt_AK166798	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.12	1.02	0.26	0.0	0.0	0.0	261.93	210.2	0.19	1.6	0.13
mt_AK166978	0.0	0.0	0.0	0.0	0.0	150.0	0.14	0.0	0.0	0.12	1.02	0.26	0.0	0.0	0.0	261.93	210.2	0.19	1.6	0.13
