	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ints1	8.56	21.08	0.44	0.0	0.0	0.0	40.11	41.85	42.62
Jdp2	5.43	6.14	0.0	0.25	0.0	0.0	54.04	55.88	50.43
Kctd12	1.05	28.94	0.0	0.0	0.04	0.0	50.31	45.97	46.67
Kctd16	0.0	73.9	0.34	0.0	0.26	0.0	36.64	26.1	42.37
Klf9	35.97	68.04	0.97	16.4	0.22	0.0	127.72	133.21	122.44
Lgals12	0.0	0.15	0.19	0.0	0.0	0.0	0.8	0.61	0.94
Lonrf1	2.7	20.04	1.92	1.41	1.23	3.94	20.65	19.77	17.87
Lpin3	0.0	0.12	0.0	0.05	0.0	0.0	0.51	0.66	0.81
Lyrm7	0.0	26.91	0.1	0.09	0.0	1.24	12.95	14.27	13.47
Mapt	58.69	121.53	38.59	49.56	80.77	34.42	238.54	239.35	249.5
Mbd3	0.0	7.07	0.0	0.0	0.0	0.0	113.1	126.54	122.32
Mbtd1	6.31	19.61	0.04	2.61	0.0	0.0	14.17	13.57	13.68
Med27	45.85	125.28	1.9	33.36	0.29	0.0	30.95	33.61	33.21
Mef2a	21.53	78.72	0.16	79.69	0.0	0.0	74.48	66.44	78.3
Mink1	8.33	23.03	0.0	7.18	0.0	0.0	186.96	186.51	192.9
Ncln	16.48	49.73	0.0	0.0	0.24	0.0	47.27	49.88	47.27
Nomo1	11.72	56.68	0.0	22.57	0.0	0.0	81.15	79.36	78.97
Ofd1	0.8	23.71	0.56	2.51	0.23	0.0	5.91	6.25	5.69
Phactr1	18.34	95.93	3.04	44.29	103.7	19.2	250.29	240.7	240.9
Plcg1	0.12	14.74	2.75	4.31	0.0	0.0	47.58	47.21	51.72
Ppm1d	0.0	28.83	0.0	0.0	0.0	0.0	14.04	14.41	11.08
Samd12	0.31	121.68	0.25	53.13	2.72	0.0	21.26	15.13	17.59
Scaper	11.29	34.37	0.21	0.04	0.13	0.0	20.96	17.45	21.09
Scrn2	0.0	0.0	0.0	0.0	0.0	0.0	3.36	4.71	5.02
Sec63	30.14	46.25	22.29	22.32	6.37	0.0	40.39	35.34	39.94
Shc3	0.0	6.24	0.0	0.13	0.0	0.0	45.22	41.9	55.7
Shisa7	0.0	51.0	0.0	0.0	3.61	0.0	75.61	74.19	79.5
Slc5a9	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.02
Slc7a11	0.93	6.52	1.22	2.25	2.55	0.63	18.95	17.06	17.43
Slc9a6	19.67	69.56	28.17	0.2	0.35	0.11	78.9	77.05	75.88
Smg1	5.06	41.74	0.53	3.27	2.51	2.03	45.02	36.92	47.73
Srebf1	0.0	15.88	0.0	0.0	0.0	0.37	24.46	27.8	28.11
St6gal1	0.0	43.64	0.0	0.33	0.0	0.0	13.58	12.77	13.39
Tarbp2	0.0	201.24	0.0	0.0	0.23	0.0	20.43	23.36	22.75
Tbpl1	81.66	123.08	19.77	18.38	19.51	15.65	55.63	55.86	51.66
Timp2	11.75	86.15	5.69	13.89	63.84	42.85	243.27	257.05	254.53
Tox2	0.33	36.93	3.1	1.06	8.44	0.0	19.69	23.35	22.45
Trim12c	0.94	2.82	1.43	1.13	0.23	0.44	2.29	2.33	3.58
Trim58	0.0	0.0	0.0	0.09	0.0	0.0	0.21	0.05	0.17
Trpm2	16.35	26.93	0.22	2.76	0.0	0.13	14.96	14.08	14.89
Tspan2	14.11	139.92	0.0	0.0	79.52	78.29	89.2	86.44	99.13
Ttll3	2.85	15.75	0.0	0.25	0.0	0.0	10.76	12.11	10.16
Tuft1	0.0	6.72	0.0	0.0	0.0	0.84	1.81	1.49	1.67
Ube2q1	0.0	95.6	16.18	3.09	0.11	0.17	71.27	73.7	67.97
Upf2	17.65	62.76	0.22	0.0	0.07	0.0	25.26	20.63	25.13
Zc4h2	0.0	269.28	1.07	115.13	0.16	0.0	18.52	19.54	18.26
Zfp646	0.0	24.49	0.0	0.0	0.0	0.0	11.22	11.77	10.28
Zfp658	0.0	31.37	0.15	0.29	0.64	1.53	6.11	5.44	5.13
c4_5S	14.77	0.0	0.0	0.0	0.0	0.0	44.3	16.82	37.79
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	3.78	15.09	26.94	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	10.88	0.0	22.17	9032.87	8417.95	8583.15
