	Ctgf_tdTpositive_cell_2	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_11	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_4	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
Eif2s2	94.85	287.31	213.58	354.85	104.38	118.21	110.48	2.5	30.16	0.0	26.38	106.98
Farsb	0.0	179.6	168.78	75.54	135.77	102.82	231.73	0.0	0.0	0.0	59.46	276.9
Fundc1	0.0	8.58	203.32	202.61	0.46	154.05	110.2	0.0	0.7	0.0	324.39	0.0
Fundc2	0.0	63.31	117.78	47.0	149.35	136.44	79.37	0.25	10.52	0.17	261.96	60.47
G3bp2	0.0	378.07	162.92	108.19	342.75	355.62	304.69	0.0	0.0	0.0	301.59	237.74
Gbas	0.0	82.69	110.2	77.88	283.46	175.98	77.08	0.0	0.0	0.0	77.49	22.18
Ghitm	0.0	1454.39	866.01	708.55	684.41	900.54	1072.1	0.0	0.91	65.07	647.58	766.32
Gm14435	0.46	504.31	486.45	212.94	124.3	280.46	454.07	192.08	0.0	0.0	293.82	341.52
Gnal	0.1	2.14	7.6	94.98	10.05	86.66	17.7	0.25	0.0	1.3	197.25	62.47
Hspa4l	0.0	12.76	92.8	0.0	0.0	69.38	110.28	0.0	0.0	0.0	123.97	4.2
Hspd1	0.0	578.69	408.69	195.91	552.41	321.6	576.98	0.0	0.29	0.16	683.94	608.72
Iars	0.11	107.89	131.27	38.13	0.16	31.44	129.38	0.23	0.15	0.0	116.31	64.67
Kcnip4	0.0	497.45	0.0	278.32	144.81	125.76	162.03	0.0	0.0	0.0	538.74	332.26
Kif5a	0.0	71.55	46.75	42.38	12.57	20.3	63.14	0.0	0.06	0.0	187.21	24.01
Lyrm4	0.0	633.84	215.32	389.14	147.68	456.49	378.52	1.46	0.0	0.0	247.97	342.68
Ncoa1	0.0	52.09	28.12	40.73	19.99	25.14	69.31	0.0	0.09	0.0	96.72	27.94
Ncs1	0.0	254.89	197.4	411.08	228.19	155.53	186.15	0.0	0.17	0.0	623.92	198.01
Ppp1r11	0.0	216.33	298.04	287.32	171.82	271.66	338.02	0.0	0.41	0.0	409.67	144.54
Ppp1r15b	0.0	22.4	16.31	1.11	1.75	2.81	15.46	0.07	0.0	0.07	40.57	0.67
Psmb10	0.0	158.37	94.88	124.04	32.37	207.8	132.36	0.0	0.0	0.0	298.81	42.09
Rab4a	0.0	74.97	0.0	67.63	162.49	112.27	39.73	0.0	0.0	0.0	156.78	0.0
Rdh13	0.3	214.61	74.13	106.82	339.54	69.09	84.13	0.36	0.5	0.0	164.96	78.03
Rrn3	0.0	145.54	106.26	143.17	153.14	206.66	161.37	0.0	0.52	172.08	89.22	70.6
Sdha	0.0	931.51	637.32	444.94	319.52	1222.88	628.58	0.0	0.95	0.0	1436.78	1009.64
Snx32	0.0	419.67	391.1	315.66	321.93	194.91	504.25	0.0	0.0	0.93	353.48	425.71
Stip1	0.0	598.82	324.02	601.53	407.36	344.42	591.2	0.0	0.0	0.0	845.06	439.98
Thyn1	0.0	358.98	187.7	118.08	0.0	158.42	268.34	0.0	0.0	0.0	0.0	183.02
Tmem126b	0.0	482.02	285.47	145.67	155.94	110.33	131.46	0.0	0.0	0.0	219.45	107.58
Tmem74	0.0	0.26	7.15	0.0	0.0	11.32	0.22	0.0	0.0	0.0	17.5	15.58
Tsn	0.0	310.08	237.79	322.03	187.03	183.38	297.58	1.24	0.0	0.0	277.14	197.38
Ube2b	0.0	298.06	179.38	608.2	206.53	318.08	282.46	6.95	0.0	0.0	393.24	412.43
Zfp930	0.0	48.14	46.23	9.18	13.65	85.31	47.54	0.0	0.0	0.0	13.57	10.63
