	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_72	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pdss2	0.0	0.0	26.82	33.27	40.51	0.0	0.0	37.3	0.0	18.07	37.53	34.77	0.52	3.75	0.0	34.86	11.57	79.95	35.91	44.51	30.84	10.03	17.8	239.59	14.74	14.6	15.33
Pemt	0.0	0.0	0.0	0.0	0.0	67.93	0.0	0.0	0.0	0.0	0.0	33.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95	3.05	3.8	3.15
Pgap2	0.0	0.0	23.18	0.0	27.88	0.68	0.48	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	55.86	0.0	0.0	0.0	0.0	0.0	221.5	12.69	15.83	18.41
Phactr4	12.58	0.09	0.0	9.93	2.72	9.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	86.58	5.79	5.68	5.96
Pmf1	0.0	0.0	0.0	0.0	0.0	0.0	35.84	0.0	0.0	29.98	0.0	12.42	0.0	46.66	11.05	70.28	0.34	81.38	0.0	0.0	0.0	0.0	0.0	187.86	4.89	3.84	7.15
Pofut1	0.0	0.0	0.04	0.09	2.35	3.69	0.58	0.36	0.11	0.1	0.58	4.96	3.49	3.75	0.12	0.34	0.06	0.07	0.64	6.9	0.0	1.31	0.28	24.13	12.9	12.57	13.66
Prkci	0.0	0.0	0.0	0.0	10.69	0.0	0.0	0.0	0.48	6.42	0.0	60.62	0.0	45.1	29.02	0.0	0.14	0.17	0.0	0.0	0.33	0.0	0.0	76.1	43.33	41.46	43.77
Rab40c	0.0	0.0	0.0	0.0	0.0	0.0	16.54	2.97	0.0	2.82	0.0	6.58	13.63	13.79	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	127.21	42.0	45.32	41.57
Rexo1	0.0	0.0	0.0	0.0	0.0	0.0	23.22	0.15	8.85	15.09	0.0	2.14	0.31	0.0	14.61	0.0	0.0	0.07	0.0	0.0	0.0	0.0	1.39	53.2	27.57	30.74	32.54
Rnf208	0.0	0.0	54.26	127.64	45.84	62.65	12.08	18.39	15.08	35.4	2.19	14.07	36.16	67.95	54.2	79.5	0.0	43.25	40.93	18.61	33.03	0.0	35.94	113.44	124.6	138.39	125.1
Rnf216	0.0	0.0	0.0	0.0	23.08	5.09	3.83	0.0	1.01	0.0	1.08	2.48	0.18	0.0	3.74	12.64	0.21	0.0	5.34	0.25	23.01	3.39	10.12	63.8	27.69	27.49	26.54
Sall2	0.05	0.0	0.72	14.2	0.07	0.0	0.0	0.0	25.89	0.0	0.0	27.47	9.79	0.0	1.05	0.0	0.07	5.46	26.24	27.59	0.0	4.49	0.93	146.72	28.63	29.51	30.11
Sh3gl1	24.24	0.0	28.15	1.24	0.0	0.0	29.49	0.0	0.0	0.0	0.0	0.0	0.0	30.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.25	40.28	38.6	36.09
Shb	0.0	0.0	0.0	0.0	3.61	0.0	0.0	15.39	0.0	0.0	0.0	0.0	13.91	8.11	4.01	0.0	0.0	0.0	17.8	0.87	0.0	10.51	0.0	20.19	9.92	11.14	9.47
Slc27a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.94	5.16	6.13	5.32
Slc35a5	0.0	0.0	0.0	7.79	33.7	19.12	19.74	60.06	63.31	9.19	41.03	33.65	0.0	41.97	33.37	0.0	36.47	79.17	0.0	74.48	0.09	0.09	20.47	103.89	26.42	26.85	26.24
Slc35f1	0.24	0.08	0.0	39.49	10.4	18.41	16.44	0.0	1.76	35.68	0.24	0.2	1.3	0.0	3.33	0.0	2.39	0.15	0.0	0.24	0.2	1.75	0.58	76.93	44.9	43.37	42.68
Slitrk5	0.0	0.0	0.05	1.18	11.68	12.23	0.0	2.93	0.19	23.69	13.29	22.46	15.9	17.81	1.42	0.92	28.27	0.24	0.16	0.0	0.0	0.0	2.27	28.67	41.42	38.83	41.03
Smarcd2	0.0	0.0	0.0	0.0	6.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	5.4	0.0	0.0	50.93	14.98	15.2	12.9
Snx24	0.0	0.0	0.0	2.56	27.82	48.75	0.0	45.31	54.35	0.15	196.86	0.0	0.0	40.39	114.89	116.32	27.07	5.31	0.0	12.79	0.0	0.0	99.29	169.96	13.72	14.81	12.96
Stam	0.13	0.0	34.29	38.6	20.14	34.89	1.03	31.69	90.95	9.91	57.3	0.85	16.2	63.36	11.03	20.43	48.62	10.18	50.67	27.15	1.39	29.44	3.26	95.8	50.75	48.3	46.74
Taf7l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.66	0.0	0.0	49.6	0.21	0.58	0.32
Tdrd7	1.25	0.0	0.0	0.0	0.0	0.0	2.92	0.0	2.09	0.24	0.23	0.46	13.25	10.67	12.48	2.75	0.0	0.0	0.0	1.35	9.07	0.0	0.61	86.72	28.08	27.4	27.41
Tnrc6c	3.05	0.0	0.17	4.91	21.12	21.57	6.92	6.1	23.73	7.43	15.31	16.81	11.83	31.96	17.65	8.32	5.81	23.88	37.94	12.16	19.63	5.0	10.33	65.23	39.79	38.65	41.82
Tomm20l	0.0	0.0	0.0	0.0	5.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.33	0.35	0.33	0.0
Trem1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.03
Ttll4	0.0	0.0	0.0	0.33	0.0	6.29	0.0	0.0	0.0	12.06	0.0	0.38	0.19	5.63	0.0	0.0	0.0	0.0	5.11	0.0	0.0	0.0	0.23	8.62	8.54	7.04	8.82
Ubxn2a	102.51	0.09	33.48	105.83	70.55	25.2	24.68	40.04	2.91	40.14	15.15	63.56	47.83	72.98	8.04	0.0	34.34	45.31	89.97	4.76	20.48	9.81	15.95	128.72	48.43	41.2	49.0
Vps37c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.09	0.12	34.26	0.0	0.0	53.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.27	23.78	24.48	25.18
Xkr8	0.08	0.1	0.0	0.0	0.2	0.09	39.16	0.0	20.32	0.16	0.24	0.0	0.08	2.97	0.24	0.36	0.31	0.32	0.41	0.31	30.73	0.3	0.39	59.41	2.81	3.24	3.47
Xlr3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	300.64	0.64	1.98	1.49
Ylpm1	0.0	0.0	0.73	2.95	0.72	0.0	4.57	0.63	6.63	3.74	7.51	8.1	22.79	31.99	18.33	0.0	31.75	7.96	31.43	7.64	3.61	0.31	0.55	32.09	51.66	46.9	52.27
Zbtb22	0.0	0.0	6.69	0.73	0.0	0.0	0.0	0.0	3.18	0.0	0.0	0.41	0.0	31.13	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.9	40.02	31.62	34.2	31.51
Zfp143	0.0	632.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	70.61	0.0	64.83	9.2	0.0	0.0	0.12	0.12	0.0	153.75	8.67	7.55	9.49
Zfp157	0.0	0.0	30.01	5.25	8.41	32.04	0.2	0.0	0.0	8.82	0.76	5.74	0.08	25.5	0.0	13.09	0.0	66.9	4.89	4.34	0.48	0.07	0.07	48.01	10.38	9.57	10.6
Zfp212	0.0	0.0	0.0	0.0	0.0	33.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.41	0.0	0.0	0.0	1.62	0.0	0.0	0.0	87.66	11.57	13.4	12.35
Zfp219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.69	0.0	0.0	0.0	0.14	33.44	25.16	25.68	28.56
Zfp276	0.0	0.0	0.0	0.0	0.0	0.0	16.86	0.0	0.0	0.0	0.0	0.0	16.58	0.43	27.65	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	59.7	12.53	12.73	12.32
Zfp319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	3.44	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	25.17	12.77	14.21	14.02
Zfp558	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	18.01	0.12	0.1	1.34	0.16	0.0	0.3	0.0	0.07	0.07	122.38	2.15	1.86	2.3
Zfp770	0.0	0.0	0.0	0.0	0.32	0.0	13.01	8.88	0.0	8.75	5.42	13.44	27.79	0.0	9.82	0.0	17.36	1.6	0.18	3.7	37.06	0.51	0.0	83.26	17.34	15.01	15.31
Zfp804b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.16	0.0	0.0	0.0	0.0	0.0	32.37	1.27	0.46	0.86
Zfp870	23.76	0.12	0.0	71.99	0.23	0.29	0.76	2.33	63.91	0.18	0.08	0.1	17.55	0.2	0.08	0.0	0.0	0.0	30.34	0.1	0.07	0.3	0.09	96.1	5.5	5.5	6.1
mt_AK131586	0.0	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	26.94	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88	0.0	9032.87	8417.95	8583.15
