	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_7	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_32	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm13306	0.0	0.0	0.0	0.0	0.0	11.32	0.0	17.1	1.46	0.03	0.0	7.16	0.58	0.0	0.77	0.0	0.29	2.79	1.65	1.9	0.13	2.24	4.31	0.0	4.89	0.0	30.63	28.29	22.96
Gm14430	2.27	0.0	0.0	0.0	0.0	17.47	8.79	13.78	6.19	15.98	0.03	4.55	5.5	0.47	6.27	0.0	0.11	5.6	4.55	0.54	1.09	2.37	12.18	2.39	0.82	4.29	7.67	5.07	7.49
Gm14434	2.27	0.0	0.0	0.0	0.0	17.47	8.79	13.78	6.19	15.98	0.03	4.55	5.5	0.47	6.27	0.0	0.11	5.6	4.55	0.54	1.09	2.37	12.18	2.39	0.82	4.29	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	11.32	0.0	17.1	1.46	0.03	0.0	7.16	0.58	0.0	0.77	0.0	0.29	2.79	1.65	1.9	0.13	2.24	4.31	0.0	4.89	0.0	30.63	28.29	22.96
Gm4724	2.27	0.0	0.0	0.0	0.0	17.47	8.79	13.78	6.19	15.98	0.03	4.55	5.5	0.47	6.27	0.0	0.11	5.6	4.55	0.54	1.09	2.37	12.18	2.39	0.82	4.29	7.67	5.07	7.49
Gnas	551.4	1169.97	594.96	0.28	0.0	1562.82	1109.8	1126.26	425.03	630.99	252.51	274.46	428.8	331.81	462.03	533.22	211.03	397.89	484.95	439.1	337.93	287.36	376.59	605.6	537.74	663.06	1669.79	1750.51	1663.43
Gpbp1l1	3.29	0.0	0.0	0.0	1.81	38.5	96.24	26.91	17.24	2.51	1.49	8.73	1.78	2.53	7.66	19.31	5.52	16.21	1.26	6.44	25.46	30.41	20.72	15.39	15.4	19.12	23.3	23.52	20.61
Ilkap	0.0	0.0	0.0	0.0	0.0	22.59	163.62	0.0	5.35	1.89	11.86	0.0	0.0	0.0	4.35	0.0	0.0	3.43	13.7	0.0	0.0	38.17	0.0	0.0	0.0	3.14	47.68	51.14	49.31
Jak1	18.55	0.0	0.0	0.0	0.0	72.98	75.01	61.02	32.71	11.94	12.76	53.18	62.3	21.18	55.49	29.41	4.53	18.64	39.27	12.43	13.08	15.65	26.4	37.56	34.19	5.74	101.99	98.06	99.37
Kalrn	1.65	1.14	0.15	0.22	1.74	12.68	47.96	5.38	1.05	2.77	3.35	3.34	4.22	0.05	0.29	4.69	0.05	9.47	1.06	0.81	0.1	5.47	9.15	6.79	11.2	12.46	250.25	239.88	249.16
Miat	2.01	0.0	0.0	0.0	0.0	36.13	0.0	19.81	0.7	13.46	15.66	8.54	1.99	7.93	0.0	0.46	0.0	15.25	2.86	6.24	5.23	0.59	0.58	7.77	12.78	11.25	196.73	185.46	213.96
Myh10	11.37	0.06	0.0	0.0	0.06	24.17	91.3	40.35	20.7	36.54	4.63	37.15	11.95	36.46	4.78	16.34	0.23	11.65	46.41	31.22	0.03	10.24	20.35	33.86	21.94	15.44	136.61	130.54	138.14
Npy	173305.25	0.0	0.0	0.0	1.97	96206.73	82245.2	125016.83	132042.44	149629.49	116117.28	122165.94	132052.33	173863.58	166048.87	191162.16	154857.31	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	145032.54	180453.32	137945.15	214.21	196.57	200.76
Ptpra	28.61	0.0	0.0	0.0	0.0	29.44	279.63	94.31	21.45	31.52	7.46	27.7	4.76	73.16	55.76	12.67	100.19	7.95	85.55	11.71	8.25	9.92	5.82	13.14	6.44	8.67	123.81	126.6	126.44
Rab28	0.0	0.0	0.0	0.0	0.0	20.02	201.1	22.79	18.17	117.52	66.91	0.87	45.56	48.73	0.0	1.06	25.68	43.21	39.99	21.2	17.82	0.0	3.98	30.57	17.74	37.43	73.95	74.55	71.89
Scai	17.19	0.0	0.0	0.0	0.0	23.52	1.91	0.74	22.18	1.97	4.51	11.91	23.15	7.58	1.09	7.14	1.21	1.32	0.87	0.63	10.22	0.78	0.82	5.95	7.87	8.21	26.9	23.82	26.95
Scn8a	1.62	0.0	0.0	0.0	0.04	33.93	51.93	25.38	19.35	14.51	0.83	22.26	37.81	1.37	4.46	11.53	0.0	11.16	6.99	9.25	1.12	9.79	10.7	0.0	8.24	24.0	111.53	100.99	112.93
Sgtb	11.29	0.0	0.0	0.0	0.0	72.24	186.9	0.37	40.15	18.4	10.11	0.0	0.23	18.38	0.0	21.78	31.93	0.0	56.89	1.51	0.0	1.8	30.38	2.75	15.06	40.54	141.85	138.92	138.37
Slc22a17	28.76	0.0	0.0	0.0	0.0	477.59	354.68	154.7	109.91	227.3	104.17	104.93	130.25	139.49	59.16	105.47	31.21	132.1	80.91	29.55	108.26	85.39	38.56	67.22	97.83	127.12	585.25	674.77	635.05
Snap91	28.07	0.0	0.0	0.0	0.23	166.59	212.31	96.3	77.73	55.39	4.04	64.19	71.94	84.7	33.6	89.85	48.38	92.62	78.8	20.49	43.67	17.51	34.81	51.8	114.46	143.33	254.03	253.8	241.24
Sppl3	12.14	0.0	0.0	0.0	0.17	60.21	136.88	56.73	0.06	18.3	1.24	31.48	38.82	7.32	7.67	38.32	5.34	0.0	4.54	4.77	6.6	0.0	0.09	0.61	4.46	67.19	69.72	74.61	73.59
Stt3b	22.54	0.0	0.0	0.0	0.12	30.19	75.12	13.5	0.16	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.71	25.99	0.0	65.68	64.99	63.55
Syn2	100.1	0.0	0.0	0.0	0.0	259.86	528.93	225.59	234.46	169.2	64.62	125.14	83.98	160.98	134.37	100.18	70.81	51.32	230.18	99.26	49.87	83.18	59.41	147.12	136.4	181.79	385.63	397.76	386.53
Tfe3	0.0	0.0	0.0	0.0	0.0	24.79	24.66	2.37	0.05	12.41	0.0	0.15	19.9	38.32	0.0	0.0	0.0	11.81	0.0	0.0	25.05	13.65	0.23	0.0	0.07	8.17	25.74	25.67	26.64
Thy1	74.67	7.38	0.0	0.0	0.0	144.78	178.87	83.73	82.2	108.07	71.79	58.55	160.45	92.73	98.6	64.8	30.03	60.99	83.04	55.77	109.42	78.63	60.78	80.44	72.11	115.2	659.66	677.75	653.67
Tmem132b	1.78	0.0	0.0	0.0	0.0	71.64	65.42	37.65	26.17	15.37	2.54	24.04	57.69	10.98	0.84	0.03	0.29	19.13	4.43	2.03	0.3	9.23	23.64	13.09	24.71	17.05	63.03	59.03	67.55
Ubac1	0.0	1.53	0.0	0.0	0.0	0.12	66.93	15.98	0.07	0.1	0.11	0.0	6.36	0.43	0.0	25.63	0.34	0.06	3.13	0.0	0.08	4.94	0.48	20.67	0.0	0.06	28.98	31.01	28.95
Wbp7	0.0	0.0	0.0	0.0	0.0	12.39	23.56	0.0	0.0	0.0	0.0	4.97	0.04	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.17	5.58	1.73	0.0	25.14	25.82	27.79
