	Ctgf_tdTpositive_cell_7	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ryr1	0.0	0.0	0.3	8.42	7.09	8.38
Sall4	0.0	0.0	0.04	0.08	0.07	0.11
Scn5a	0.0	0.0	0.03	2.41	3.01	2.36
Scn7a	0.0	0.0	0.06	2.25	1.87	2.05
Sft2d2	0.0	0.0	0.04	19.91	18.91	18.73
Shpk	0.0	0.0	0.08	4.01	3.37	3.22
Six1	0.0	0.0	0.08	0.14	0.26	0.11
Skor1	0.0	0.0	0.06	0.16	0.28	0.23
Slc16a13	0.0	0.0	2.63	4.81	5.24	5.24
Slc16a9	0.0	0.0	0.12	1.6	1.74	2.08
Slc18a3	0.0	0.0	0.18	2.09	2.28	2.37
Slc25a47	0.0	0.0	0.14	2.52	2.5	3.19
Stk36	0.0	0.0	0.04	2.17	2.26	2.75
Stx17	0.0	0.02	0.06	14.63	13.6	14.28
Stx18	0.0	0.0	0.4	29.36	29.88	29.39
Tie1	0.0	0.0	0.06	7.93	9.35	10.15
Tlr6	0.0	0.0	0.08	0.48	0.32	0.49
Tnfrsf11b	0.0	0.0	0.08	1.85	1.25	1.23
Trim68	0.0	0.0	0.36	3.27	5.65	5.85
Trim75	0.0	0.0	0.09	0.2	0.19	0.2
Trpv3	0.0	0.0	0.09	0.36	0.42	0.67
Twf2	0.0	0.0	1.37	57.76	61.83	57.56
Ucp3	0.0	0.0	0.09	2.5	2.43	2.39
Vamp5	0.36	0.12	0.59	3.03	2.48	2.96
Vmn2r87	0.0	0.0	0.08	2.25	1.72	2.06
Vnn1	0.0	0.0	0.09	0.2	0.19	0.38
Wisp2	0.0	0.0	0.12	0.17	0.11	0.12
Wnt7b	0.0	0.0	0.06	23.94	26.39	24.84
Zbtb2	0.0	0.0	0.07	8.48	9.2	7.12
Zcchc5	0.0	0.0	0.15	0.5	0.57	0.41
Zfp521	0.0	0.0	0.55	4.01	4.2	4.03
Zfp526	0.0	0.0	0.03	7.22	6.28	6.61
Zfp551	0.0	0.0	0.09	5.0	4.71	4.81
Zfp697	0.0	11.95	0.99	12.97	11.6	12.07
Zim1	0.0	0.0	0.06	2.05	2.14	2.2
Zmynd19	0.0	0.0	0.18	37.25	34.94	34.39
mt_AK131586	0.01	0.0	0.31	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	19.39	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	6.56	9032.87	8417.95	8583.15
