	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_42	Htr3a_tdTpositive_cell_109	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_106	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
Asah1	82.46	97.09	184.45	171.28	162.31	41.13	74.07	0.0	121.12	16.56	322.27	0.21	141.11	0.17	75.85	378.35	0.55	0.0	122.26	166.06	118.57	128.95	39.45
Asxl3	0.0	0.0	23.77	17.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.02	0.35	1.24	0.93	0.0
B3galt1	84.33	51.59	18.5	106.2	28.35	25.67	17.32	0.0	41.67	3.66	82.82	110.67	57.04	0.0	0.0	114.74	0.02	0.0	63.72	153.98	112.9	124.49	41.19
Bloc1s2	116.2	218.08	236.21	183.62	208.7	168.54	187.38	0.0	573.04	8.81	168.72	194.98	0.0	0.0	37.11	313.29	0.0	0.0	136.02	96.48	108.36	85.46	242.53
Bod1	0.0	105.69	60.39	94.14	1.12	0.0	0.0	30.93	6.73	0.0	0.5	21.77	0.37	0.0	0.0	1.61	0.0	0.37	22.89	48.47	39.59	53.61	82.58
Bri3	0.0	0.0	0.0	41.88	28.7	34.47	0.0	5.33	0.0	5.29	4.27	37.91	0.0	0.0	0.0	51.11	0.0	0.0	6.63	5.56	12.95	10.89	0.0
Brpf3	0.0	0.0	0.0	11.98	3.44	0.0	0.0	0.0	13.37	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.49	0.74	0.23	0.0
Cbl	0.0	0.0	2.32	27.1	0.0	15.78	0.0	0.0	0.0	0.0	2.82	0.0	0.0	0.07	0.0	0.16	0.0	0.0	4.0	1.68	1.88	1.56	0.0
Ccdc159	0.0	0.0	0.0	41.29	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	3.2	1.38	0.22
Ccdc85a	0.0	0.0	0.08	56.58	24.54	0.0	0.0	0.0	2.63	0.0	0.05	0.0	0.0	0.0	10.95	0.0	0.0	0.0	0.65	3.17	1.51	1.39	0.31
Cdv3	59.69	24.83	9.23	211.82	29.12	66.13	43.25	1.94	0.0	1.28	112.32	5.75	78.77	0.0	0.89	70.24	0.0	201.68	58.55	94.39	104.55	101.85	1.44
Celf5	31.66	39.17	67.03	34.17	0.35	37.17	30.65	9.8	18.1	1.19	55.33	0.0	13.21	0.17	5.35	21.12	0.56	0.23	32.23	60.86	52.96	57.82	52.94
Cgn	0.0	0.0	0.0	28.18	94.5	0.0	24.9	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35	5.39	5.41	4.09	0.0
D630013N20Rik	0.85	0.0	0.78	2.26	0.0	0.19	0.0	0.17	0.8	0.38	7.43	0.81	0.0	0.0	0.87	0.0	0.0	1.94	0.23	0.34	0.16	0.4	0.56
D730040F13Rik	0.31	0.49	0.72	35.85	21.33	0.22	0.62	0.34	29.54	0.56	0.68	1.16	0.57	0.05	0.66	0.78	0.41	0.45	6.73	2.14	2.69	3.04	0.74
Dgat1	0.3	0.26	1.32	81.1	0.44	1.69	0.0	0.0	0.2	0.0	76.18	0.55	106.96	0.0	0.0	1.7	0.0	0.0	2.28	13.13	3.37	8.81	2.44
Dnajb2	0.0	0.0	1.24	76.19	0.0	0.0	4.7	59.8	3.15	0.0	0.09	59.34	0.0	0.0	5.37	0.0	0.0	0.0	10.22	7.74	19.32	7.78	50.98
Eif2s3x	32.29	154.45	276.39	194.45	39.42	0.45	87.39	25.54	42.94	34.51	148.16	1.33	27.11	0.0	1.43	0.82	12.86	228.27	39.13	66.85	62.43	70.98	0.99
Eml4	0.1	1.83	100.46	37.5	0.75	0.06	0.52	0.36	0.0	0.51	39.33	0.0	0.2	0.0	1.53	0.43	0.08	0.49	4.48	7.57	4.27	4.78	0.0
Ensa	1427.01	1179.67	1186.74	1903.48	816.28	1127.48	1774.78	2052.85	1393.97	1429.37	1483.59	1162.67	876.23	367.35	764.22	1057.38	430.9	375.02	1367.57	1269.88	1258.8	1205.32	1327.15
Fam78b	0.11	0.0	0.0	50.75	19.96	0.0	0.0	0.0	0.0	0.42	10.28	0.0	44.48	0.0	0.0	0.0	0.09	0.0	9.44	3.61	4.48	3.39	0.0
Gm9962	1.64	0.3	1.99	47.26	0.29	0.1	16.44	0.46	0.0	1.01	0.82	0.0	16.17	0.0	0.82	1.06	0.3	0.0	5.62	8.43	13.01	3.35	0.84
Hnmt	173.91	0.0	0.0	236.5	82.35	4.45	0.0	275.4	520.58	83.77	274.37	112.17	0.94	0.0	131.75	0.91	0.0	285.29	332.79	234.78	264.56	222.2	109.9
Hyal2	0.0	0.0	0.0	93.57	0.0	0.0	0.0	0.15	0.75	0.0	0.09	0.0	0.0	0.0	0.0	86.86	0.0	0.0	0.0	3.75	10.15	14.61	0.0
Lrrc40	69.03	4.91	104.0	153.82	20.28	35.75	47.56	0.0	0.0	0.0	150.96	0.0	0.37	0.0	89.73	58.21	0.0	52.97	13.28	47.19	34.99	43.06	33.27
Lrrc49	0.37	0.48	17.41	156.18	58.81	3.16	11.36	0.0	0.12	0.24	71.22	7.43	0.91	0.0	11.55	36.14	0.0	0.0	27.05	26.2	31.25	26.51	24.57
Lrrtm2	32.32	0.0	27.17	71.0	22.03	33.28	0.11	11.18	24.54	144.48	220.96	65.68	22.09	0.0	0.24	29.65	0.0	0.0	28.19	71.2	52.82	54.87	44.78
Lyrm4	101.3	89.98	308.69	562.29	502.97	346.86	231.3	18.06	120.44	65.7	235.28	230.42	242.98	0.0	300.33	226.89	66.59	37.74	140.37	515.06	417.46	456.25	170.03
Mapk1ip1l	54.98	82.27	29.75	107.7	43.84	31.06	6.14	0.13	17.02	23.56	73.59	44.5	41.26	0.11	88.23	32.67	0.37	41.8	19.78	43.96	36.64	37.31	37.44
Mef2d	0.0	0.0	0.75	4.92	0.0	7.33	0.0	0.0	0.0	0.0	19.24	39.35	0.0	0.0	0.0	0.0	0.0	0.0	2.01	1.58	1.26	1.13	0.0
Mfn1	0.0	0.0	0.3	45.06	23.51	0.21	0.14	0.1	0.08	0.07	0.11	0.0	0.33	0.0	0.0	0.32	0.0	0.0	7.06	9.79	7.46	8.37	0.28
Mrpl17	0.15	7.67	16.24	62.55	8.16	9.71	4.91	14.62	46.97	3.14	20.06	9.07	14.16	0.0	0.56	24.25	0.0	0.0	26.68	21.5	21.12	14.89	8.41
Mtap	0.0	0.0	0.0	55.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	0.58	6.47	6.93	0.0
Nbn	139.63	0.0	11.61	140.26	0.0	0.0	0.0	0.0	66.91	0.0	0.14	111.88	0.0	0.0	0.14	30.2	0.0	0.0	10.26	9.48	13.84	16.9	0.0
Ncaph2	0.0	51.05	281.17	161.83	93.44	2.97	0.0	0.08	71.53	91.36	69.18	84.32	44.46	29.74	2.78	0.44	0.0	0.15	32.49	35.88	37.47	30.84	27.67
Ndufs1	296.19	44.72	353.43	647.69	385.97	194.09	151.71	247.03	88.35	0.25	97.05	226.99	414.09	0.14	29.72	477.86	52.79	42.77	186.01	289.42	253.46	282.35	360.21
Necap1	575.62	501.51	607.46	940.69	272.74	149.16	410.88	127.73	600.34	254.16	834.32	296.23	299.19	0.0	238.55	91.61	112.3	554.43	405.86	671.1	542.69	633.76	504.25
Notch3	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0
Nr2c2ap	0.0	2.97	104.57	162.27	0.0	0.36	136.84	0.46	131.33	0.0	0.55	61.54	82.12	0.0	0.0	83.54	0.0	0.0	33.68	17.01	16.43	15.51	0.28
Nras	200.3	139.5	231.02	366.43	81.32	181.91	211.11	70.95	62.7	195.59	234.64	121.06	159.44	0.43	23.26	279.4	0.39	145.8	100.44	268.71	190.6	170.82	159.86
Ola1	244.37	64.08	58.79	517.04	61.25	264.56	137.45	234.45	548.21	304.1	302.4	176.08	308.53	0.0	238.01	219.57	0.0	3.06	463.61	230.12	246.35	240.46	225.98
Otud6b	26.18	1.93	49.59	232.61	135.09	118.09	113.69	1.56	159.47	3.11	164.6	44.83	2.63	0.12	62.15	42.53	17.17	0.0	28.28	112.63	75.77	89.41	48.49
Pacsin3	14.46	0.49	130.97	63.49	0.0	0.53	68.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.57	4.54	4.68	4.53	0.0
Pelo	0.0	0.0	0.0	148.08	3.99	0.0	4.1	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	2.85	0.0	0.0	1.66	0.58	5.12	3.82	0.0
Pls1	0.0	0.0	0.0	42.96	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.11	2.41	2.59	1.59	0.0
Polr3b	0.0	0.0	1.69	28.83	0.0	1.81	0.0	0.06	0.07	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.08	2.2	2.82	3.28	0.4
Ptger1	0.0	0.0	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.25	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.29	0.0	1.64	0.0
Ptpn2	2.3	80.67	157.27	224.12	105.09	0.12	0.0	0.07	0.72	20.67	86.78	97.49	96.04	0.0	0.14	0.87	0.26	0.83	95.02	48.96	49.49	50.03	123.61
Rbfox1	191.09	117.01	210.34	138.77	44.47	95.7	91.48	135.22	120.46	216.83	264.42	184.74	72.9	0.0	207.6	178.27	164.73	0.14	262.87	134.16	164.79	161.04	84.36
Rfc4	0.0	0.0	0.0	95.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.01	28.52	22.91	0.0
Rims3	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.29	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0
Rin2	0.0	0.0	0.0	8.01	38.61	0.0	0.0	0.0	0.0	20.61	0.0	23.03	85.49	0.0	0.0	0.0	0.0	0.0	9.34	13.59	10.82	8.13	0.0
Rit1	85.04	0.0	61.3	93.73	35.84	79.73	0.0	0.0	0.0	0.0	133.41	0.0	50.37	0.0	0.0	122.54	0.0	0.0	33.86	32.81	28.95	35.75	0.0
Rps6kl1	0.0	0.0	0.0	185.53	0.0	4.91	0.0	0.0	0.0	1.04	20.44	0.0	0.0	0.0	0.0	0.0	0.0	94.02	10.86	18.4	19.86	24.14	0.0
Sipa1l1	32.19	40.32	101.74	83.88	25.35	30.48	13.43	58.39	0.59	23.12	71.08	10.03	14.54	0.0	26.68	71.82	0.0	0.07	28.71	30.57	24.85	27.9	15.57
Slc25a46	3.08	8.31	21.64	62.52	57.64	0.67	17.47	41.59	11.03	0.22	134.05	0.43	25.81	0.13	6.85	0.53	0.15	11.97	21.88	36.22	30.07	25.15	1.16
Smarca1	0.26	15.19	129.03	66.76	19.99	23.28	14.19	22.68	0.08	0.0	67.35	0.0	8.68	0.0	0.0	23.61	0.1	166.15	9.82	21.62	20.31	16.7	59.29
Smek2	0.2	0.87	0.18	51.25	0.0	0.0	0.0	0.0	0.4	0.06	34.57	0.0	11.49	0.0	0.0	38.08	0.0	0.0	21.37	16.4	12.54	15.14	26.33
St8sia1	0.65	0.15	0.73	19.51	0.13	0.17	0.52	0.24	0.4	1.1	0.22	0.1	0.32	0.04	1.25	0.55	0.05	0.18	0.26	1.34	2.14	1.72	0.22
Stxbp4	0.61	3.13	0.51	54.44	38.86	16.92	0.21	12.33	0.19	0.06	0.47	0.19	0.08	0.2	0.68	0.65	0.3	0.71	7.74	4.7	4.45	4.78	34.8
Tmem186	0.0	0.0	0.16	157.22	83.16	0.0	0.0	4.11	0.0	70.19	0.0	20.23	0.18	0.0	0.0	66.43	0.0	0.0	0.07	15.74	15.05	13.14	0.0
Tra2a	1.44	7.46	0.0	82.47	0.21	43.19	12.79	8.78	0.19	9.8	0.1	78.74	0.28	0.0	0.0	5.7	0.91	0.28	6.72	17.33	16.5	16.13	2.87
Tspan31	315.57	87.36	1.09	496.07	167.88	330.66	221.43	161.35	217.44	326.26	285.87	0.32	239.75	0.83	193.63	452.89	0.0	0.0	206.77	288.12	275.84	325.68	408.99
Utp18	26.39	8.78	9.3	26.69	14.91	5.88	72.33	0.0	8.92	0.38	11.42	113.32	11.26	0.0	3.81	109.66	0.0	0.19	9.62	32.78	17.67	20.35	12.7
Zc3h8	0.0	92.7	0.0	114.94	295.67	11.02	0.0	0.0	0.0	0.0	87.56	39.35	0.0	0.0	0.44	0.0	0.0	0.0	49.75	50.91	35.04	33.11	0.0
Zfp248	137.13	0.09	7.75	78.63	0.33	0.27	80.02	5.07	5.92	0.72	49.52	55.57	230.22	0.0	5.71	0.21	0.23	16.7	6.99	20.18	29.14	17.62	6.86
Zfp592	1.62	0.0	1.98	19.88	0.0	0.0	0.0	0.0	0.0	0.04	0.19	3.1	0.0	0.0	0.0	0.4	0.0	0.0	1.04	1.21	2.61	0.89	20.32
Zfp943	1.23	0.0	106.45	175.88	0.0	5.42	69.8	0.1	0.0	0.0	0.13	96.64	228.27	0.11	131.98	0.0	0.0	182.91	22.27	21.94	24.4	20.37	78.05
