	Cux2_tdTpositive_cell_68	Rbp4_tdTpositive_cell_62	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Olfr1420	0.0	0.0	0.11	0.11
Pcdh15	5.3	0.0	9.28	9.6
Pcdhgb1	0.0	0.0	8.2	8.43
Pira2	0.0	0.0	0.06	0.0
Pld2	0.0	0.0	13.58	13.72
Plscr4	0.0	0.0	3.38	2.87
Prr18	0.0	0.0	36.8	40.88
Prss12	119.45	0.0	20.87	19.43
Prss22	0.0	0.0	1.99	2.68
Pwwp2a	1.31	1.77	18.77	18.64
Pzp	0.0	0.0	0.07	0.02
Rabl3	0.0	0.0	8.78	8.91
Rasl12	0.0	0.0	5.66	6.34
Rimbp2	5.1	0.0	75.53	80.53
Rinl	0.0	0.0	1.52	1.61
Rnf182	0.0	0.0	8.68	8.96
Safb	7.63	0.0	97.55	94.51
Sass6	1.35	0.27	3.28	3.21
Scand1	0.0	0.0	71.11	91.44
Sdc3	0.0	0.0	108.9	111.8
Sept10	1.46	0.0	4.67	5.54
Sez6l2	4.68	6.06	200.78	199.02
Six3os1	0.0	0.0	2.5	2.72
Slc35e4	0.0	0.0	16.81	17.66
Slc41a1	0.0	0.0	35.26	36.56
Smg1	6.43	4.22	45.02	47.73
Spata2l	0.0	0.0	48.98	41.3
Stk32a	0.2	0.0	5.65	4.58
Sufu	0.0	0.0	9.27	9.53
T2	0.5	0.4	1.87	1.04
Taf4a	0.0	0.0	13.76	12.91
Tas2r137	0.0	0.0	0.1	0.1
Tdg	0.0	2.79	11.07	16.91
Tert	0.0	0.0	0.95	1.1
Tm6sf2	0.0	0.0	3.24	1.89
Tomt	0.0	0.0	9.67	7.96
Trappc6b	66.36	21.09	119.23	110.37
Trim17	0.0	0.0	5.63	7.16
Trrap	3.34	0.7	48.39	50.87
Twsg1	0.0	0.0	23.23	20.6
Ubac1	0.5	0.0	28.98	28.95
Ubap2	0.1	0.14	29.25	30.43
Upk1a	0.0	0.0	1.0	0.47
Vax2os2	0.0	0.0	0.07	0.07
Vmn2r107	0.0	0.0	0.0	0.0
Vmn2r92	0.0	0.0	0.0	0.0
Wnt7b	0.0	0.0	23.94	24.84
Zfp455	8.88	0.0	3.73	3.94
Zfp831	0.0	0.0	9.57	9.79
Zp3r	0.0	0.0	0.05	0.05
c18_tRNA-Lys-AAG	0.0	0.0	3.32	0.0
cx_tRNA-Ala-GCY_	0.0	0.0	32.9	23.21
mt_AK131586	11.77	0.0	25813.35	24561.45
mt_AK137271	0.0	0.0	2.07	0.0
mt_AK166684	0.0	0.0	18796.57	18655.33
mt_BC104337	0.0	0.0	9032.87	8583.15
