	Chrna2_tdTpositive_cell_43	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
AU041133	0.46	0.0	0.0	9.32	0.99	0.33	0.14	0.46	5.52	148.82	0.6	0.1	10.51	14.9	0.15	3.87	2.13	3.25
Ace	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	6.85	23.43	0.0	0.0	0.0	0.0	12.26	8.14	9.12	8.0
Actr3b	0.0	0.0	0.0	0.0	0.0	2.44	30.01	19.35	50.23	71.66	0.0	14.06	55.3	29.38	0.23	131.44	138.4	129.11
Acvr2b	0.0	0.0	5.78	0.0	0.0	0.0	0.0	16.06	7.12	39.85	0.0	6.7	0.0	0.0	0.0	7.08	5.81	6.58
Adamts4	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	6.55	0.0	0.0	0.0	0.0	0.0	15.98	17.45	19.48
Adcy3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81	45.29	12.1	0.0	0.0	0.0	0.0	39.07	40.04	37.65
Aes	27.86	0.0	0.0	2.66	12.1	14.27	13.87	22.94	20.58	128.32	24.15	35.3	59.03	8.34	29.06	498.59	577.92	541.69
Alkbh2	0.0	0.0	0.0	0.0	0.0	0.0	12.31	0.0	0.0	59.45	0.0	0.0	0.0	0.0	0.0	8.05	7.31	6.35
Als2cr12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.07
Amacr	0.0	0.0	0.0	35.16	0.0	0.0	0.0	0.16	0.0	50.66	0.0	0.0	0.0	0.0	9.94	8.67	8.49	8.27
Ano3	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	3.47	68.85	0.0	15.36	42.83	0.0	0.0	67.21	55.03	68.73
Apba2	0.0	0.0	1.7	21.46	12.63	49.97	0.45	33.59	34.29	200.8	46.13	51.73	28.72	96.07	17.16	138.45	137.5	145.47
Arhgap36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.0	0.0	0.0	0.0	0.0	1.85	2.5	2.01
Arhgef26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95	0.0	0.0	0.0	0.0	0.0	16.25	15.83	16.2
Atp11c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.11	0.0	0.0	0.0	0.0	0.0	8.28	7.72	7.95
Atrip	0.0	0.0	0.0	0.0	0.0	6.61	11.91	0.0	0.0	136.22	0.0	0.0	0.0	6.97	18.02	20.39	20.54	18.23
BB123696	0.83	0.0	0.14	0.0	0.0	0.0	0.0	0.18	0.0	63.37	0.23	0.11	0.0	0.0	0.0	0.36	0.12	0.18
Bcorl1	0.0	0.0	0.0	2.37	0.0	0.0	0.0	0.73	0.0	27.55	0.0	0.04	0.0	0.0	1.41	11.02	11.09	10.84
Bend5	0.0	0.0	0.0	2.72	0.0	0.0	13.0	24.42	0.0	76.02	0.29	0.0	0.0	0.23	0.0	9.41	12.05	10.29
Bin1	8.83	0.0	0.89	2.66	0.0	0.22	1.77	19.95	8.69	45.53	0.0	9.83	0.0	0.0	1.66	228.71	237.59	245.82
Btla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.81	0.0	0.0	0.0	0.0	0.0	0.49	0.29	0.41
C030037D09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.52	0.0	22.01	1.04	0.0	0.0	0.0	0.0	8.31	8.19	9.56
Car11	0.0	0.0	38.25	0.0	7.58	1.62	0.0	0.58	1.13	195.63	4.88	0.89	0.0	12.38	0.0	214.47	236.01	224.75
Ccdc116	0.21	0.12	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.68	0.0	0.13	0.0	0.0	0.0	1.85	1.64	1.41
Cd8a	2.32	0.0	0.4	0.85	0.0	0.0	0.0	0.53	2.44	11.14	0.0	0.48	0.46	1.04	0.21	1.31	0.7	1.17
Cel	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	29.62	0.53	0.12	0.0	0.0	0.0	0.19	0.14	0.05
Chrd	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.16	0.0	0.0	0.12	0.0	0.06	27.09	30.65	28.33
Col4a3bp	0.0	0.0	0.06	0.0	0.0	0.0	3.49	0.46	6.41	39.45	0.0	9.08	0.07	5.56	0.0	47.85	44.93	46.75
Creg1	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	5.66	114.65	0.0	0.0	38.86	0.96	26.15	26.95	30.03	25.78
D10Jhu81e	0.0	0.0	0.0	0.0	0.0	47.8	37.18	0.61	2.69	131.37	0.0	44.24	1.47	4.57	6.7	85.3	93.83	90.89
Ddx23	0.0	0.0	0.0	2.99	19.54	0.0	0.0	0.0	0.0	47.05	10.17	0.09	0.0	0.43	0.0	59.87	59.77	55.88
Ddx26b	0.0	0.0	6.31	36.04	0.0	9.94	52.83	34.65	16.94	159.91	35.15	63.8	44.01	46.8	0.41	37.71	34.58	36.9
Dennd1c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.63	0.0	0.0	0.0	0.0	0.0	1.4	1.77	1.66
Dhodh	0.12	0.0	0.0	0.0	37.63	44.49	0.0	0.0	0.0	201.51	95.74	35.08	68.89	49.49	0.09	14.72	17.72	14.98
Eif2d	14.25	0.0	0.0	0.0	0.0	0.47	70.35	48.98	0.2	148.36	0.0	8.93	0.19	0.0	70.83	29.16	32.89	30.14
Elf1	0.39	293.09	0.35	1.21	0.0	0.45	0.37	1.34	0.55	35.64	0.97	0.55	0.9	0.86	0.17	5.92	4.91	5.53
Elfn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.65	0.0	0.0	0.0	0.0	0.0	58.94	59.02	55.68
Epn3	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.61	0.83	0.64
Etfdh	0.0	0.0	0.0	0.0	0.0	69.66	0.0	77.32	0.0	265.27	0.0	11.44	0.0	0.0	0.0	28.84	27.46	28.72
Ezh2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.82	0.0	0.0	0.0	0.0	12.53	4.76	4.28	4.59
Fam123c	0.0	0.0	0.0	0.0	18.6	2.51	0.0	0.0	0.0	53.92	11.35	0.0	0.0	6.76	0.0	19.12	21.66	19.68
Fam176a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.1	0.0	4.29	0.0	0.0	0.0	11.75	11.28	9.64
Fbxo41	0.0	0.0	0.0	22.05	0.0	0.0	0.0	0.0	2.4	40.8	11.96	0.0	14.67	12.92	0.18	61.0	63.74	65.1
Ftmt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.07
G6pd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Galnt11	32.8	0.0	2.44	1.36	0.0	9.22	1.61	3.21	47.09	100.26	2.93	1.75	0.0	1.6	27.32	38.12	38.14	35.07
Gm10220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.76	0.67	0.75
Gm13102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm15698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.13	0.14	0.0
Gm216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	1.89	2.22	2.04
Gm4980	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.75	0.17	0.0	0.0	0.0	0.0	5.65	4.89	5.69
Gm6792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.74	0.0	0.0	0.0	0.0	0.0	0.33	0.62	0.34
Gng2	14.24	237.04	10.53	21.22	27.23	6.33	42.26	34.72	42.84	118.72	0.15	0.0	24.11	21.88	46.39	141.05	136.02	140.77
Golt1a	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	1.19	1.37	1.01
Gp5	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	14.15	0.0	0.0	0.0	0.0	0.0	0.9	1.19	0.84
Gtpbp10	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.42	0.0	70.6	0.0	0.0	0.0	17.18	0.0	8.14	7.06	8.36
Hck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	1.47	1.96	2.59
Hey2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.0	0.0	0.0	0.0	0.0	3.71	3.67	3.87
Icam1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	0.0	0.0	0.0	0.0	0.0	2.76	2.31	2.29
Ick	0.36	0.0	0.05	0.43	0.0	0.48	0.11	3.37	0.06	49.23	0.48	0.07	0.3	0.06	0.06	13.59	12.22	12.46
Il12rb2	0.0	0.0	0.0	3.8	0.0	0.0	0.0	0.0	0.0	27.44	0.36	0.59	0.0	9.37	0.0	2.27	1.95	3.31
Ireb2	0.05	0.0	0.0	16.46	4.37	1.8	0.0	1.67	13.69	37.09	0.72	2.43	17.3	19.94	7.35	35.2	32.41	34.21
Klhl11	0.0	0.0	0.0	8.08	0.0	0.0	0.0	0.0	29.0	67.75	0.0	0.0	4.02	0.0	0.08	33.15	27.4	30.66
Leng1	0.0	0.0	0.0	0.0	0.0	15.83	0.0	0.0	0.0	63.72	0.0	0.0	0.0	0.0	0.18	7.57	8.36	7.43
Lims1	0.0	0.0	0.0	11.5	0.0	0.11	0.0	13.49	5.19	33.89	0.0	0.97	0.0	0.0	16.77	21.07	17.78	18.85
Lnpep	0.0	0.0	0.0	21.56	0.05	0.79	0.0	1.64	21.46	28.93	2.13	8.12	0.07	20.13	19.37	32.87	27.28	33.21
Macrod2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	39.34	0.0	0.0	17.93	5.64	0.1	29.11	28.47	30.48
Maf1	0.0	0.0	0.0	0.43	0.76	0.0	59.58	27.76	56.68	129.57	54.55	14.39	0.37	1.74	0.0	78.73	85.15	82.14
Mapk4	0.0	0.0	0.0	2.26	0.0	0.89	2.16	0.61	0.0	23.26	0.0	0.0	0.67	0.0	2.72	39.26	38.73	38.99
Megf8	0.03	0.0	0.0	5.98	0.02	5.71	0.04	5.93	2.73	12.3	3.59	1.08	2.57	4.39	3.7	58.28	58.89	62.16
Mms22l	0.08	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	1.57	0.12	0.0	0.07	0.09	0.12	0.86	1.04	1.11
Morc2a	0.0	0.0	0.0	17.78	0.0	0.0	0.0	42.56	0.0	45.36	0.0	4.1	5.62	0.0	0.0	29.09	28.97	28.81
Mpst	0.0	0.0	0.0	0.56	0.2	0.0	0.0	0.0	1.89	78.22	0.0	0.0	0.0	0.0	0.0	32.51	38.56	38.84
Neurog3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.07
Nlgn1	0.0	0.0	0.0	10.41	0.0	17.29	14.56	3.42	22.73	123.0	35.98	13.65	0.0	0.0	29.96	36.85	33.59	39.74
Nlrp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.39	0.41	0.48
Nme4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.8	0.0	0.0	0.0	0.0	0.0	5.18	4.55	5.23
Nphp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.71	0.0	0.0	0.0	0.0	0.0	13.62	14.5	13.88
Nr1h3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.92	0.0	0.0	0.0	0.0	0.0	3.46	3.53	3.19
Numbl	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.45	1.46	2.42	0.78	0.27	0.79	0.0	0.07	88.92	93.6	88.07
Nup210l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.0	0.0	0.22	0.23	0.36
ORF61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.14	2.98	0.0	0.23	0.0	0.37	0.08	106.73	123.33	117.39
Odf2l	0.0	0.0	0.0	8.21	0.0	1.41	13.4	0.36	0.0	71.62	0.0	0.0	0.0	0.0	0.0	12.72	10.58	11.83
Pcdhb10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	4.9	4.36	3.75
Pde12	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.16	0.3	0.0	0.0	0.0	0.0	11.57	12.21	10.3
Pdpr	0.0	0.0	9.72	0.0	0.0	0.0	0.0	3.65	0.0	41.47	0.0	0.0	0.0	4.76	4.88	18.98	16.36	19.21
Pex5l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	18.62	4.15	0.0	0.0	0.0	0.0	160.07	158.61	182.2
Phf21a	0.0	0.25	0.1	3.4	5.41	0.0	0.0	0.0	0.12	28.66	0.0	0.08	2.07	0.93	0.91	18.71	19.05	20.41
Plk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.42	0.0	0.0	0.0	0.0	0.0	2.92	3.18	2.13
Pmpca	18.21	0.41	0.0	52.45	14.05	3.52	50.71	63.44	25.76	133.43	3.04	57.7	131.11	121.46	55.07	78.33	77.0	74.67
Pou3f2	0.24	0.0	0.49	1.62	5.47	0.0	0.0	0.65	0.43	34.42	0.34	0.0	0.51	0.43	0.51	13.26	11.79	12.91
Ppfia4	2.95	0.0	0.0	9.59	0.0	0.0	12.93	0.47	13.62	55.42	32.9	0.78	0.06	0.0	0.03	38.1	37.91	38.84
Prdm12	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.18	0.0	0.0	0.0	0.0	0.0	0.36	0.64	0.21
Prmt10	0.1	0.0	0.0	2.52	0.0	0.0	2.81	0.0	0.0	96.03	0.0	0.0	0.0	0.0	13.49	16.1	17.28	15.71
Ptpdc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.99	0.0	36.36	21.6	0.0	0.0	0.19	0.0	18.67	22.55	19.99
Rab13	0.0	0.0	0.0	24.37	0.0	0.0	0.0	0.0	0.0	84.61	0.0	0.0	0.0	0.0	0.0	7.25	6.74	7.77
Rasip1	0.0	0.13	0.0	12.64	2.13	0.0	9.32	4.78	6.68	17.54	0.0	0.0	0.0	8.36	0.0	9.26	10.94	9.48
Rbpms	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.35	0.0	0.0	0.0	0.0	0.0	3.27	3.62	3.62
Rhpn2	0.08	0.24	0.0	0.0	0.0	0.0	0.11	0.12	0.0	0.46	0.31	0.22	0.0	0.12	0.0	4.24	4.78	4.59
Rlf	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	21.05	0.0	0.0	25.15	0.0	0.79	15.34	13.76	15.84
Ropn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.37	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.25
Rps6kl1	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	96.56	0.0	31.13	0.0	0.0	0.0	33.83	39.84	33.92
Rreb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.49	0.0	0.0	0.0	0.0	0.03	22.81	20.08	22.82
Sec24d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	10.06	11.33	10.36
Sec31a	0.13	0.0	20.27	20.73	18.23	15.07	44.1	0.77	0.83	250.73	64.83	21.83	50.53	8.69	36.16	59.39	56.09	57.46
Skp2	0.0	0.0	0.0	7.63	5.68	0.0	24.7	0.0	8.89	52.72	0.0	0.0	0.0	0.0	0.0	5.22	5.01	4.35
Slc16a11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	17.99	23.06	21.37
Slc16a13	0.0	0.0	12.82	0.0	0.0	0.0	0.0	0.0	0.0	80.75	0.0	0.0	0.0	0.0	0.0	4.81	5.24	5.24
Slc25a48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.13	0.07
Slc2a1	0.0	0.32	0.0	0.0	0.0	0.0	0.0	2.54	0.0	74.88	0.0	0.0	0.0	0.48	13.63	78.33	91.62	72.46
Slc6a9	0.0	0.0	0.0	1.92	0.0	12.71	0.0	0.0	0.0	68.36	0.0	26.12	4.52	18.45	0.0	29.53	33.76	29.32
Snord47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.55	0.0	40.42	0.0	0.0	0.0	0.0	0.0	3.48	6.55	17.94
Snord58b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.07	0.0	0.0	0.0	0.0	0.0	0.0	5.39	0.0
Snord72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snx21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.86	23.42	0.0	0.0	0.0	0.0	39.99	46.0	39.1
Spred2	0.0	0.0	0.0	19.99	0.0	1.91	43.82	10.66	0.0	47.15	0.0	4.0	0.0	0.0	0.2	61.42	58.66	58.3
Sprn	0.0	0.0	0.0	9.49	0.0	0.14	0.0	1.03	0.63	69.94	5.53	0.0	15.55	11.44	8.17	142.66	148.93	157.76
Ssxb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
St6galnac2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.19	0.0	0.0	4.73	4.23	4.48
Sympk	0.86	0.0	0.0	3.55	0.0	0.0	0.0	0.1	0.0	38.17	0.13	0.6	4.71	0.49	1.78	78.87	79.01	85.02
Tarsl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	21.87	65.94	0.0	0.0	0.0	7.62	0.0	38.79	39.36	35.69
Them5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Tom1	0.0	0.0	0.0	0.0	0.0	69.1	0.0	0.0	0.33	147.72	32.14	0.0	0.0	0.0	0.09	36.41	35.92	35.44
Tpx2	0.07	0.0	0.22	0.47	0.0	0.33	0.42	1.06	0.22	45.26	0.38	0.13	0.09	0.1	0.23	2.25	2.28	2.27
Trim7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.37	0.0	0.0	0.0	0.0	0.0	2.39	2.51	2.57
Usp53	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	53.58	6.03	1.3	2.61	0.0	0.0	11.95	9.78	11.32
Vkorc1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	34.18	0.0	0.0	9.29	0.0	0.0	55.54	56.94	53.04
Vmn2r46	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	2.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wnt5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.04	0.0	0.0	0.0	0.0	0.0	5.32	5.5	4.73
Zbtb9	2.3	0.75	0.35	12.7	0.0	0.43	0.49	46.85	31.91	77.61	1.14	0.27	1.22	0.15	0.21	15.69	14.88	16.7
Zc3h7b	0.05	0.0	0.0	0.0	20.83	0.0	0.0	0.07	24.05	16.06	0.0	0.0	0.0	0.0	0.13	86.81	85.92	92.81
Zdhhc5	0.0	0.0	0.0	6.01	0.05	0.2	0.0	7.52	9.61	11.69	4.54	7.55	4.25	2.21	5.04	33.67	29.92	29.42
Zfp335	0.06	0.0	4.97	0.3	0.0	0.0	0.0	0.27	0.35	11.55	0.0	0.0	0.0	0.0	0.0	22.0	22.79	23.63
Zfp526	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.59	0.0	0.0	0.0	0.0	0.0	7.22	6.28	6.61
Zfp652	0.0	375.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	15.85	14.74	16.25
c1_tRNA-Gly-GGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	5.86	0.0	0.0	6.26	0.0	0.0	0.0	0.0	15.09	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	7.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.1	10.88	9032.87	8417.95	8583.15
