	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_73	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arfip2	0.14	24.52	0.35	18.9	32.01	17.66	0.0	0.0	19.18	22.21	0.0	0.0	39.1	22.1	0.0	0.0	0.17	11.27	2.76	0.18	0.0	0.0	15.79	5.43	0.12	10.54	101.73	0.68	36.6	0.0	31.12	2.65	29.69	54.09	0.0	0.0	65.0	68.22	65.46
Atrn	0.0	0.03	28.55	7.39	11.13	7.82	3.87	1.43	2.7	4.55	27.18	7.15	4.42	17.5	1.72	16.44	17.02	35.59	4.11	0.0	1.41	33.32	17.48	4.65	2.74	51.66	49.36	10.9	22.16	13.87	0.23	19.83	22.86	19.35	10.23	19.67	85.45	83.79	91.7
BC005537	0.56	0.0	0.0	26.33	9.71	49.33	24.21	47.02	6.94	5.9	0.0	13.16	6.63	33.44	9.95	0.0	14.53	0.0	15.8	0.0	1.26	0.0	53.18	0.0	27.71	52.83	62.77	19.85	20.69	21.01	25.64	0.0	0.64	33.03	28.2	0.0	152.76	160.06	152.41
BC005764	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	5.55	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	86.71	0.0	0.0	5.24	0.32	0.0	0.0	4.17	0.14	0.0	47.64	52.58	50.79
BC017643	0.0	0.0	0.0	27.58	44.17	24.79	54.65	0.0	0.0	44.36	0.0	60.93	0.0	0.49	48.15	0.0	0.0	42.99	0.0	0.0	0.0	0.0	0.0	135.62	244.24	0.0	189.58	42.58	0.0	46.61	0.0	69.65	0.0	0.0	26.31	21.43	17.11	19.46	17.49
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Cacna1g	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.7	32.27	39.81
Calcrl	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.14	0.0	0.0	0.0	0.09	0.11	0.0	0.0	0.12	4.21	3.24	4.58
Camk1d	0.0	0.03	0.08	5.94	8.9	28.46	9.53	3.63	5.31	18.34	5.08	6.6	12.1	9.77	10.48	1.43	15.11	11.63	23.85	0.0	0.0	18.2	15.8	0.0	28.83	35.46	28.47	2.31	26.46	19.5	5.74	4.83	0.0	72.41	5.64	15.45	73.79	63.25	73.79
Cd247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6
Cd59a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.18	88.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.57	8.0	5.82
Cdh2	138.73	0.01	0.0	2.34	0.0	8.47	15.25	18.1	17.44	7.07	11.81	4.03	3.72	0.46	8.98	19.09	43.63	19.63	29.53	31.03	21.43	13.92	1.53	12.22	0.0	0.04	93.87	0.53	9.33	0.11	1.25	3.98	2.43	0.0	1.35	2.03	71.68	72.18	72.03
Celf6	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.42	0.0	5.44	0.0	0.0	0.0	0.22	0.0	0.0	0.1	0.55	5.89	0.61	30.35	0.1	0.15	0.0	0.0	0.0	0.2	0.17	0.44	0.14	16.97	19.67	17.27
Cherp	0.0	0.0	0.0	25.4	10.97	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.57	3.85	0.0	1.24	0.43	0.0	1.53	0.0	0.0	0.0	0.0	0.33	0.0	5.95	34.58	11.26	9.4	10.99	0.0	0.0	0.0	0.0	0.0	0.05	40.48	43.2	43.63
Chrm1	1.64	0.57	1.47	5.51	3.94	3.72	5.59	0.04	3.57	8.53	5.04	0.34	9.57	17.37	8.37	14.73	2.82	0.71	0.61	3.16	2.95	0.9	6.2	1.1	1.22	2.96	51.05	1.21	1.42	7.42	2.44	10.41	1.62	22.95	3.57	0.87	75.01	77.79	71.99
Chst12	0.0	0.0	0.0	60.89	31.12	0.0	0.0	41.17	10.83	0.0	0.0	0.0	2.78	0.0	0.0	24.22	0.0	3.72	26.47	0.0	0.0	0.0	0.0	0.0	0.0	21.75	76.86	36.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.54	20.98	22.12	21.08
Clstn1	0.0	1.47	40.68	13.71	14.85	18.32	63.11	0.0	0.0	15.37	0.0	40.99	19.79	58.62	13.24	14.97	36.82	25.65	4.29	31.43	38.71	0.0	24.21	93.91	82.24	81.23	32.31	18.68	10.42	38.27	7.72	25.51	42.42	31.76	5.55	8.76	777.34	797.87	800.57
Cpne1	0.0	0.0	0.16	0.0	0.0	11.22	9.45	0.0	0.0	0.0	6.1	0.0	34.69	0.0	0.0	21.58	2.88	0.0	6.7	0.0	6.97	0.0	0.0	0.0	14.91	6.52	148.0	0.0	0.0	2.87	20.98	0.0	0.0	3.17	0.0	0.0	33.97	31.9	30.37
Crtap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.34	0.0	0.0	56.5	0.0	42.24	0.0	0.0	0.0	5.74	0.0	0.0	0.0	6.67	7.62	5.93
Cybasc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	13.32	0.0	0.0	0.0	25.3	0.0	0.0	0.0	0.36	0.0	0.0	0.0	100.45	0.0	55.01	63.29	40.74	0.0	0.0	0.0	0.0	0.0	38.75	0.0	14.26	14.31	13.91
Cyp2s1	0.0	0.0	0.0	0.0	0.0	0.0	63.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.56	0.0	0.0	0.0	0.0	0.0	21.81	0.0	0.0	0.0	0.0	63.57	16.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.41	5.5	5.29
Cyp3a13	0.0	0.03	0.19	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.73	0.17	0.0	0.27	0.42	0.2	0.22	0.0	0.0	0.49	0.29	0.0	0.0	0.13	0.92	0.19	0.0	0.0	0.45	0.28	0.18	0.22	0.0	0.07	1.27	0.78	0.96
D6Wsu116e	57.06	0.0	56.48	31.57	24.69	33.67	0.0	0.0	25.49	4.02	0.66	31.54	25.79	63.13	7.14	0.0	10.21	12.14	61.02	0.14	9.11	22.4	19.22	43.76	16.82	46.82	0.0	6.16	0.0	31.52	21.42	2.01	29.52	0.0	1.98	29.49	69.44	67.4	72.05
Dhdh	0.77	0.19	1.05	0.34	0.0	0.23	0.51	0.0	1.69	0.47	0.81	1.01	0.2	0.0	0.0	0.57	0.81	0.0	0.0	0.45	0.17	0.84	0.43	0.86	0.0	1.35	65.01	0.35	0.47	16.23	0.69	0.16	0.0	0.35	0.29	0.38	8.62	9.3	9.67
Dnajc6	0.0	12.2	13.5	53.79	49.08	72.47	84.57	48.8	51.87	51.48	19.52	34.76	44.38	53.05	21.92	28.15	32.3	40.3	44.01	8.32	23.03	53.22	70.49	64.56	135.4	62.44	199.17	25.59	34.17	61.17	26.02	16.9	30.19	70.11	36.68	29.94	167.5	165.18	167.24
Dusp12	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.02	17.07	0.0	3.51	18.83	0.0	0.0	0.0	0.0	0.0	75.94	0.0	65.38	0.0	6.68	19.34	0.0	0.0	2.41	0.0	0.0	0.0	21.84	20.09	20.13
Dvl1	0.0	4.01	6.49	0.0	0.0	1.06	0.0	5.41	0.14	17.67	0.0	0.0	24.15	0.16	13.87	1.41	0.0	0.0	0.19	0.0	0.0	0.0	0.08	0.0	0.0	1.11	31.05	10.55	0.0	0.45	0.0	0.0	0.0	1.0	0.0	0.06	70.36	75.03	72.98
Edem3	0.0	0.0	0.0	0.0	0.0	6.74	0.0	0.0	0.07	12.2	0.0	6.47	5.46	16.21	0.23	6.28	1.4	21.36	22.92	6.35	3.09	27.18	18.61	0.5	6.35	0.0	70.39	6.73	8.92	2.39	6.9	11.1	0.0	8.2	0.0	0.0	25.9	23.9	25.84
Ehd1	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	46.87	6.1	0.53	0.0	0.51	0.17	0.0	2.23	0.0	0.0	4.27	0.0	0.0	0.0	0.0	0.0	0.71	0.0	31.14	11.92	20.73	0.0	0.0	0.0	0.0	10.24	10.05	13.83	28.87	31.98	29.2
Elf2	0.0	0.0	0.0	4.97	6.59	1.99	0.0	3.26	31.27	16.46	0.0	11.63	8.55	3.45	8.34	4.44	5.78	0.0	0.0	0.0	0.0	0.0	0.0	1.86	0.0	1.95	56.95	1.87	0.0	0.0	0.0	6.36	30.65	0.0	1.35	0.0	23.31	23.24	21.29
Elfn2	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.78	0.0	0.0	0.2	0.72	0.0	0.0	0.0	0.0	0.0	58.94	59.02	55.68
Eml1	5.01	0.0	0.0	6.11	7.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.92	0.0	0.0	0.74	0.0	0.18	0.0	0.0	0.0	0.0	1.98	0.0	0.0	94.84	21.51	6.26	0.0	0.24	2.67	0.0	0.0	0.0	0.0	45.19	43.31	43.92
Eno3	0.0	0.0	0.0	0.0	0.0	0.0	51.62	0.0	0.0	0.0	0.0	0.0	0.0	42.28	29.99	0.0	0.0	0.0	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.2	0.0	0.0	0.0	3.08	0.0	13.72	0.68	0.0	37.43	11.28	11.33	10.21
Ephb2	0.0	1.63	0.53	0.78	0.7	1.08	0.43	0.05	0.56	0.3	0.86	0.94	0.65	0.51	0.65	0.52	1.18	0.12	0.0	0.75	0.49	0.25	0.25	2.14	1.23	0.48	7.03	0.54	0.26	0.22	0.4	1.62	1.42	3.02	0.17	0.32	10.98	10.79	12.45
Ercc3	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.18	7.41	0.0	4.34	0.0	0.2	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	58.1	0.0	64.57	59.29	28.74	1.68	0.0	0.0	4.64	0.0	0.0	0.0	27.32	27.83	27.14
Eri2	0.0	0.0	0.0	3.63	5.61	0.0	0.0	0.98	30.51	0.0	0.0	0.0	0.91	0.0	0.0	13.91	0.0	0.0	24.44	0.0	0.0	3.25	0.0	0.0	0.0	0.0	63.1	0.0	0.0	0.0	10.56	0.0	0.0	0.0	0.0	0.0	9.13	8.11	9.06
Fah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.24	0.0	58.11	0.0	0.0	0.0	8.65	0.0	0.0	0.0	0.0	0.0	31.75	26.48	28.3
Fam198b	0.19	0.66	0.87	10.17	5.36	1.26	0.51	0.0	0.67	11.08	0.84	1.28	1.01	0.63	0.66	1.18	0.9	0.83	0.89	1.4	0.14	1.5	1.07	0.21	2.06	0.55	29.19	0.31	0.25	0.67	1.56	0.5	0.34	0.98	0.32	0.26	4.49	3.5	4.54
Fam55d	117.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	9.21	0.0	0.19	20.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.05	10.3	10.74
Fhl2	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	32.62	0.0	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	62.01	59.19
Ftsjd2	0.0	0.32	1.06	9.24	11.75	16.12	2.23	5.89	31.84	4.43	30.63	5.97	3.9	0.0	0.0	21.97	19.02	9.5	57.93	0.0	12.63	0.0	1.11	3.85	0.4	12.68	126.36	12.21	1.84	26.08	18.22	0.77	1.43	52.67	0.72	11.18	77.43	75.87	75.69
Ganab	216.69	21.36	14.11	77.66	111.93	7.97	9.06	0.26	0.12	11.12	0.3	0.47	0.0	45.03	0.0	12.29	23.01	38.79	31.4	0.78	0.0	5.57	41.1	0.32	108.05	47.43	144.9	59.2	17.64	85.6	3.49	38.48	10.6	45.5	0.12	1.41	77.53	79.53	77.78
Gbf1	0.0	0.0	0.0	16.77	28.28	18.48	24.56	0.23	0.52	23.49	10.31	0.19	20.94	16.24	20.15	8.99	17.65	3.78	0.4	0.0	0.35	0.22	18.0	0.0	0.47	0.0	33.06	8.64	0.0	14.28	16.33	23.55	28.64	13.65	12.06	8.56	41.95	40.73	44.25
Gcap14	42.95	0.0	0.0	15.52	0.0	13.03	26.7	0.0	32.6	18.6	25.09	0.54	43.02	9.13	4.85	25.4	24.44	1.02	1.5	37.94	3.33	10.06	0.0	22.13	7.22	10.3	32.9	37.76	0.67	22.64	28.16	4.15	9.85	19.42	0.0	21.28	49.58	45.33	48.03
Gigyf2	0.0	0.09	3.59	2.1	0.22	0.31	0.73	0.13	17.51	2.37	29.35	14.06	18.83	5.98	10.47	13.36	0.05	1.44	8.27	0.21	0.0	4.3	9.02	1.15	27.61	10.62	54.48	0.48	7.59	5.04	2.8	0.07	7.52	1.84	0.94	10.82	32.74	29.92	31.35
Glcci1	0.0	0.35	11.98	0.0	0.0	0.0	0.45	0.0	0.0	0.6	0.0	0.0	0.09	0.0	0.0	9.84	0.0	1.9	0.11	3.77	10.88	7.24	0.08	0.0	0.0	20.78	20.47	0.12	0.33	13.7	0.0	10.17	38.49	0.0	0.0	6.79	25.85	26.16	27.78
Gm13315	0.48	0.0	0.0	0.0	0.0	1.21	6.52	0.0	1.47	0.7	0.0	0.0	3.71	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.4	0.0	2.11	0.0	4.22	0.0	0.0	0.37	0.0	0.65	0.0	7.91	2.53	0.0	0.27	0.22	0.71
Gm3893	0.0	0.0	0.0	28.77	40.06	45.67	2.61	20.5	0.0	8.78	0.0	0.0	38.07	51.5	0.47	1.19	3.25	12.53	5.64	1.36	4.7	0.0	42.27	28.81	0.0	50.97	105.29	1.28	6.15	5.27	35.84	10.01	35.99	11.31	18.03	27.33	35.97	29.31	8.42
Gm7173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.15	0.0	0.0	13.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.13	0.32
Gm98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.11	20.98	20.99	26.13
Gmcl1	0.0	0.0	2.73	0.12	0.0	0.4	13.07	0.0	27.39	28.94	55.17	0.0	10.53	9.94	28.88	0.54	12.74	2.03	0.0	0.0	0.62	63.74	0.44	65.02	9.91	16.19	28.51	30.8	22.72	22.89	0.44	2.06	56.16	25.6	13.33	0.33	27.92	27.69	27.72
Gng2	0.13	0.0	50.77	60.09	62.04	25.89	21.22	27.23	8.79	21.37	0.16	0.0	19.74	33.0	53.86	17.81	42.58	14.54	5.62	0.0	6.33	155.58	23.87	71.01	92.79	42.26	165.77	4.53	34.72	27.93	55.81	0.0	0.21	29.03	6.84	46.39	141.05	136.02	140.77
Havcr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.22	0.23	0.0	0.0	0.0	0.42	0.22	0.0	0.22	0.0	0.0	0.08	0.0	0.15	0.0	0.48	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.26	0.08	1.81	2.55	2.26
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hmg20a	0.13	1.86	45.99	62.54	12.61	36.81	0.0	19.94	12.09	11.41	0.16	0.51	28.78	20.89	43.73	79.0	44.1	2.02	42.88	74.48	0.13	22.43	23.54	75.21	100.78	4.71	127.05	70.58	20.66	5.9	13.95	7.11	0.0	13.65	75.05	6.83	69.55	66.31	69.01
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Iars2	0.0	6.55	0.0	17.47	24.63	0.0	31.52	0.74	0.94	42.06	8.5	1.22	50.08	0.0	0.0	0.89	31.08	0.0	14.6	10.06	0.0	0.0	0.15	0.0	0.64	0.0	133.89	0.16	9.34	3.94	0.0	0.0	0.0	1.09	35.81	0.44	40.94	38.39	36.92
Ifit3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.58	0.01	0.0	0.0	42.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.14	0.0	0.0	0.0	0.0	116.42	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91	7.52	9.54
Irs2	0.0	20.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97	1.27	0.0	0.0	14.1	0.0	0.0	0.0	0.0	6.43	0.0	0.0	0.0	0.78	0.31	0.0	0.0	24.21	0.0	1.82	0.0	0.0	0.0	0.0	6.55	0.0	0.0	24.88	26.48	19.75
Ivd	0.0	0.0	58.77	65.47	2.45	41.58	26.29	0.0	19.09	5.49	50.6	70.69	35.57	48.11	34.32	37.81	14.27	0.58	30.05	0.0	1.34	140.25	2.03	2.23	21.45	0.0	278.9	10.83	33.03	15.1	2.76	66.87	0.0	22.95	4.62	81.93	64.73	70.15	68.85
Jak1	126.18	0.05	79.35	87.22	122.98	34.01	61.65	29.8	14.64	32.83	26.86	33.7	46.81	93.41	35.78	38.01	24.09	56.03	32.38	103.87	7.71	84.87	19.23	129.79	87.95	53.01	208.79	77.95	50.52	62.94	26.6	35.93	28.42	33.57	72.89	92.84	101.99	98.06	99.37
