	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11
Bloc1s2	473.36	0.0	0.0	47.29	0.0	0.0	0.0	0.0	889.42	79.74	179.76	93.75	0.46	274.83	2.83	329.52	336.98	69.76	996.92	131.43	2.7	0.0	0.0	114.77	0.0
Capzb	51.44	1.02	0.0	299.23	0.0	7.86	0.4	2.31	210.47	105.31	217.76	144.62	191.32	206.27	58.33	10.37	31.65	77.33	954.13	91.37	0.48	3.57	0.0	137.75	0.0
Cdc42bpa	18.82	0.0	0.0	100.96	5.01	0.0	0.0	0.0	214.36	124.69	61.34	49.3	98.79	34.21	46.65	26.7	44.97	32.07	230.67	38.08	0.26	0.0	0.0	50.95	0.0
Cisd2	0.0	0.0	0.0	22.17	0.0	0.0	0.0	0.0	161.49	66.66	40.77	10.99	71.96	71.22	62.4	109.3	74.24	18.66	473.57	32.63	0.02	0.0	0.0	58.07	14.18
Cript	0.0	116.76	0.0	215.65	0.0	0.0	0.0	0.0	962.21	184.66	255.47	251.98	0.0	232.06	299.28	468.27	1.94	452.73	1395.14	396.97	0.0	0.0	192.42	462.91	0.0
D430041D05Rik	0.0	0.0	0.0	48.2	0.0	0.0	0.0	0.0	42.28	50.65	10.68	18.8	76.49	3.87	6.87	41.19	20.21	10.57	105.91	72.8	0.05	0.0	0.0	2.95	0.0
Dhcr7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.99	14.86	0.0	0.0	38.75	0.0	0.0	4.53	28.46	1435.27	0.37	0.27	0.0	0.0	35.06	0.0
Dnaja3	0.0	0.0	0.0	4.09	0.0	0.0	0.0	0.0	1.03	59.87	10.07	78.95	18.71	46.21	177.0	7.18	29.03	95.42	920.8	111.01	0.0	0.0	0.0	1.54	0.0
Dpyd	0.0	0.0	0.0	27.35	0.0	0.0	0.0	0.0	0.0	15.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.77	0.0	0.0	0.0	0.0	14.14	0.0
Dync1li2	0.0	0.0	0.86	230.79	0.0	0.0	0.0	0.0	36.03	115.15	62.95	117.03	5.31	19.47	24.81	83.95	32.36	29.97	33.82	48.25	0.34	0.0	0.13	65.12	0.0
Ebf3	0.0	0.06	0.0	0.08	0.0	0.0	0.0	0.0	0.12	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.18	0.09	0.0	0.0	0.07	0.0	0.0
Eef1e1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.75	272.61	48.76	160.04	260.1	0.0	120.43	0.0	0.55	78.22	1135.74	126.35	0.0	0.0	0.0	95.23	0.0
Eif3l	0.0	0.0	0.28	108.48	0.0	0.0	0.0	82.88	236.28	377.67	49.93	10.17	124.29	178.54	113.74	169.8	20.13	156.32	1244.01	290.66	8.24	0.0	0.0	145.26	0.0
Emx2os	0.11	0.31	0.62	0.85	0.43	0.85	0.48	0.75	1.04	0.78	0.8	0.66	0.62	0.66	0.34	0.55	0.47	0.27	2.39	0.94	0.95	0.0	0.45	0.66	1.07
Epm2aip1	0.28	0.31	0.84	86.91	0.0	1.14	0.13	2.43	0.87	0.95	26.94	14.1	3.7	11.61	48.11	20.1	126.34	16.96	198.39	15.02	0.44	3.95	2.68	20.14	0.94
Fam96a	0.54	0.69	0.0	1.28	1.57	90.71	0.26	0.57	3.18	1.87	11.68	53.68	1.31	2.53	217.31	120.99	147.98	67.85	449.46	24.14	4.44	2.75	236.18	24.58	1.07
Fgf12	0.0	0.0	0.0	237.29	0.0	0.0	0.0	0.0	135.53	163.96	165.56	155.29	172.32	185.88	70.79	167.91	171.23	179.98	456.06	292.38	0.47	0.46	0.0	155.05	0.0
Fnbp4	0.0	0.0	0.0	40.77	0.0	0.0	0.0	0.0	27.65	36.05	38.99	16.63	52.92	41.14	51.43	49.78	126.25	7.94	59.39	28.84	12.58	0.0	0.0	14.85	12.14
Fsd1l	0.12	0.89	0.29	0.09	0.42	0.0	20.22	0.0	35.89	2.28	5.59	0.71	0.61	2.57	3.1	0.32	73.88	0.37	292.18	80.16	0.0	0.28	0.32	0.57	0.0
Fubp3	0.0	0.0	0.0	42.77	0.0	0.0	0.0	0.0	42.36	19.66	37.54	11.8	94.23	45.57	91.86	57.81	85.34	48.58	682.92	12.61	0.21	136.08	0.0	46.85	0.0
Gabrb3	0.1	0.0	1.15	282.81	0.0	0.17	0.0	0.0	56.85	17.92	49.71	64.23	2.79	27.36	59.68	94.09	30.31	30.74	683.26	413.73	0.69	0.57	0.0	27.62	1.22
Gfm2	31.91	0.0	0.16	3.65	0.0	0.0	0.07	0.2	126.73	32.46	74.87	34.78	257.62	32.39	16.73	16.19	149.24	0.0	707.24	42.49	0.24	0.0	248.64	72.01	0.0
Gm14436	9.52	0.0	0.32	8.07	1.28	0.0	0.0	8.31	1.21	44.0	8.28	6.51	17.26	12.67	5.85	5.99	8.65	2.28	119.23	15.92	4.26	0.0	2.07	25.8	0.0
Gm5460	0.0	1.2	0.0	3.98	0.0	1.25	0.0	4.63	0.0	1.68	0.41	1.43	1.61	0.76	4.23	1.91	2.65	2.28	20.31	4.59	3.59	4.68	0.0	1.18	0.0
Gm5860	0.0	0.0	1.99	9.24	0.34	0.0	0.0	0.0	0.0	3.85	8.62	0.92	3.83	6.92	5.02	3.23	0.0	1.51	54.54	26.71	0.0	0.0	3.82	0.81	0.0
Gnai1	0.0	0.0	0.0	92.07	0.0	0.0	0.0	0.0	0.4	145.21	53.98	52.28	76.26	117.33	0.25	165.0	234.41	75.96	287.15	58.37	0.24	0.0	0.0	53.4	0.0
Gnaq	0.0	0.0	0.0	179.71	0.0	0.0	0.0	0.22	3.19	52.54	51.43	16.26	60.2	3.09	12.43	15.91	54.69	34.13	29.65	107.16	0.27	0.0	0.0	41.41	0.09
Gpnmb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.25	0.0	0.0	0.0	0.0	0.3	0.15	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0
Hdgf	0.0	0.0	0.0	29.58	0.0	0.0	0.0	0.0	145.05	47.74	21.48	23.58	22.38	39.01	11.61	13.41	6.46	20.89	647.05	155.6	0.69	0.0	0.27	55.28	0.0
Helb	0.26	1.64	0.18	1.02	0.81	0.0	0.09	0.37	0.27	3.41	1.24	0.71	1.4	0.78	1.37	0.33	0.98	0.39	2.8	0.95	0.0	0.88	1.04	0.51	2.09
Hmgcs1	0.0	0.13	0.0	190.07	475.43	0.0	0.1	0.0	279.53	459.01	142.42	115.32	96.38	94.73	176.21	159.68	56.3	186.17	648.33	590.12	0.47	0.43	0.0	381.57	0.0
Htr3b	0.0	0.0	0.09	0.13	0.0	0.67	0.43	0.0	0.54	0.0	0.0	0.06	0.16	0.0	0.75	0.28	1.17	0.0	3.59	0.88	0.0	0.0	1.61	0.07	0.0
Il7	0.0	0.69	0.0	0.21	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.56	0.16	0.0	0.0	0.28	0.23	0.41	0.87	0.0	0.0	0.0	0.74	0.09	0.0
Iws1	0.11	1.26	0.67	43.68	0.78	0.09	0.67	0.0	35.0	26.63	3.13	0.69	0.68	1.22	4.25	1.86	0.92	4.35	73.25	0.54	1.15	0.47	3.16	0.61	3.06
Kpna6	0.0	0.0	0.0	52.96	0.0	0.0	0.0	0.0	6.73	17.84	0.16	0.0	0.0	24.64	3.37	0.0	14.52	0.0	110.27	40.21	0.0	0.0	0.0	0.23	0.0
Larp1	0.03	0.0	0.0	16.78	0.0	0.0	0.0	0.0	0.0	16.8	0.0	17.39	7.18	2.68	2.34	0.23	8.88	36.42	159.64	10.08	0.0	0.21	0.0	0.52	11.86
Lmna	0.0	0.0	0.0	41.83	0.0	0.0	0.0	0.15	102.05	10.04	20.93	41.27	32.63	35.01	23.86	25.13	3.16	21.12	126.13	44.66	0.0	0.0	0.0	83.73	0.0
Miat	0.0	0.0	0.0	66.4	0.0	0.0	0.0	0.0	51.72	32.18	59.49	43.3	21.28	21.68	63.44	42.32	62.08	14.27	283.61	55.76	14.06	0.0	0.0	16.77	0.0
Mir690	13942.93	26828.41	16968.11	25738.25	18365.55	8538.99	19376.41	14765.71	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	32522.04	44948.68	18757.58	42282.55	27759.51	35532.88	48007.3	26521.64
Mt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.84	0.0	0.0	23.13	0.77	0.0	20.66	0.0	0.0	0.0	305.46	0.0	0.0	0.0	0.0	0.0	0.0
Nkiras1	1.33	122.17	1.51	40.51	0.11	0.31	3.59	1.79	43.86	126.42	109.73	137.94	160.93	77.76	141.16	119.16	108.52	117.69	200.54	141.41	7.44	4.59	5.11	144.54	5.83
Nlrp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.09	0.17	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Paip1	156.79	0.0	0.0	125.9	3.48	3.45	6.36	0.31	174.78	215.23	205.71	125.18	450.49	124.54	340.22	343.72	241.61	257.5	563.74	177.77	1.03	1.59	54.14	206.78	202.3
Pclo	0.0	0.0	0.06	64.28	0.07	0.09	0.11	0.04	44.41	9.94	53.95	17.89	12.47	4.89	21.37	15.61	63.33	29.85	74.14	69.55	0.5	0.2	0.12	22.6	0.09
Plekha2	0.0	0.0	0.35	1.28	0.07	0.0	0.0	0.47	0.26	0.28	0.09	0.07	0.0	0.0	0.0	0.28	0.0	0.18	515.15	0.79	0.21	62.54	1.17	0.2	0.21
Ppfia2	0.0	0.0	0.0	107.58	0.0	0.0	0.0	0.0	82.05	42.59	64.04	66.66	12.75	65.65	99.62	36.05	14.84	2.55	220.59	95.46	0.0	0.0	0.0	27.06	0.0
Psd3	0.0	0.0	0.0	146.59	0.0	0.0	0.04	0.0	12.87	61.53	106.99	110.33	18.96	34.13	19.17	39.3	55.84	16.24	212.2	142.9	0.18	0.16	0.0	144.54	0.22
Psen1	0.0	0.0	0.0	17.54	0.0	0.0	0.0	0.0	0.43	0.0	31.54	0.0	0.0	15.09	0.0	0.0	0.0	7.26	912.74	0.12	0.51	32.48	0.0	62.93	0.0
Pum2	0.0	0.0	0.09	0.05	0.07	0.0	0.0	0.0	79.57	10.35	32.16	7.06	109.08	39.67	1.79	5.39	61.93	54.21	688.57	58.6	0.0	18.24	0.0	12.3	124.44
Rab8a	0.0	0.0	0.0	13.15	372.7	76.46	0.0	0.0	0.65	0.17	77.77	0.0	37.85	20.35	0.0	53.04	6.12	1.36	1034.14	118.73	0.77	0.71	0.0	25.84	0.52
Rb1cc1	0.0	0.0	0.0	22.96	0.0	0.0	0.0	0.0	90.38	43.13	35.63	18.41	39.77	18.62	1.14	21.03	23.03	50.12	170.6	22.25	0.11	1.0	46.37	34.3	5.56
Rit2	0.0	0.0	0.0	427.25	0.0	0.0	0.0	0.0	518.54	275.4	417.91	404.99	117.27	448.26	363.77	287.69	501.14	299.95	1107.68	0.39	0.0	0.0	0.0	126.1	0.0
Rundc3a	0.0	0.0	0.0	137.95	0.0	0.0	0.0	0.0	32.68	9.91	22.01	11.66	10.06	14.42	18.93	68.78	14.19	8.98	172.37	26.08	0.0	0.0	0.0	30.26	0.0
Scd2	0.0	0.0	0.0	5.83	0.0	0.0	0.0	11.47	12.34	28.23	27.43	26.07	27.03	41.84	34.55	5.44	181.89	29.94	1030.81	84.38	508.88	106.97	23.81	83.77	108.26
Scn3a	0.0	0.0	0.0	106.67	0.0	0.0	0.0	0.0	85.28	5.75	4.18	1.31	0.17	4.42	1.35	0.07	11.22	17.26	158.93	44.17	0.0	0.0	0.0	16.39	0.0
Sf1	0.0	0.0	0.0	46.35	0.09	0.0	0.0	0.0	0.0	28.05	22.34	43.44	34.75	7.46	6.07	15.82	38.28	6.69	81.82	42.92	0.0	0.0	0.0	30.09	0.0
Sf3a3	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	1.21	0.0	125.22	3.05	66.46	11.62	122.7	0.33	24.84	1076.92	109.3	1.38	229.4	0.0	222.04	0.0
Six6	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.25	0.28	0.48	0.46	0.0	1.25	0.13	1.48	0.7	0.0	0.0	0.0	0.17	0.26
Stub1	0.0	0.0	0.0	213.1	0.0	0.0	0.19	0.68	190.5	4.05	113.58	85.62	7.56	0.0	27.53	1.27	56.21	0.28	636.0	80.39	0.69	0.0	0.36	88.43	0.0
Syt15	2.24	10.25	5.92	5.62	4.05	0.25	0.8	4.07	3.56	2.95	4.36	3.18	5.82	3.12	5.07	2.3	6.87	3.22	13.01	3.68	7.64	6.05	1.95	5.35	3.66
Tatdn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.76	0.0	5.7	5.77	3.13	0.0	3.68	4.48	0.0	0.0	17.67	0.0	0.0	0.0	0.0	6.32	0.0
Tbc1d5	0.0	0.0	0.0	2.78	0.0	0.0	0.0	0.0	12.33	0.24	0.0	23.03	5.9	6.35	19.16	22.1	21.39	0.06	299.11	0.37	0.27	0.0	1.69	0.0	0.0
Tbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	54.06	16.26	53.82	9.5	3.71	0.44	0.0	0.3	76.27	496.2	0.0	0.0	0.0	0.0	169.81	0.0
Trim9	0.0	0.0	0.11	207.18	0.0	0.0	0.0	0.1	129.77	88.57	80.44	2.21	100.33	58.64	37.7	126.73	89.08	79.59	219.4	422.0	0.0	75.09	153.6	94.88	30.06
Wdr37	0.0	1.37	4.72	0.41	0.0	0.0	0.0	0.0	131.25	66.91	39.04	121.4	32.91	52.95	0.21	17.51	108.25	67.7	150.73	50.32	1.03	0.24	0.78	40.8	0.95
Wnk2	0.0	0.0	0.0	26.24	0.0	0.0	0.0	0.0	0.58	1.06	0.0	2.28	9.58	6.49	10.78	12.28	11.12	11.88	20.08	25.0	0.0	0.0	0.0	7.12	0.0
Zbtb38	0.0	0.0	0.0	51.8	0.08	0.0	0.0	0.0	59.43	5.74	45.7	0.0	0.0	0.0	0.0	7.89	10.25	0.0	294.54	6.01	0.0	0.0	0.0	19.45	0.0
Zfp329	0.29	0.06	0.53	43.76	0.57	0.2	0.25	231.95	0.6	16.41	27.87	45.11	35.81	11.57	8.43	26.68	16.9	66.86	314.27	17.93	0.13	0.34	0.23	19.14	0.0
