	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_10	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_29	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
Il11ra2	0.0	0.0	0.0	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.66	0.0	0.38	8.89	0.0	0.24	4.38	0.0	0.0	0.0	0.0	0.04	0.19	0.0
Kcnb1	9.19	0.0	0.0	133.92	0.0	0.0	0.05	0.0	0.0	29.49	0.0	0.0	27.94	30.44	19.48	0.08	22.44	30.71	20.05	6.91	33.59	15.99	0.06	0.0	0.0	29.15	58.24	46.59	0.0
Ly6h	0.22	0.0	0.0	10.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	4.37	0.0	0.0	0.0	0.94	0.0	0.0	5.28	4.72	0.0	0.0	0.0	0.0	0.58	171.66	0.0
Mal2	32.86	0.0	0.0	418.97	0.0	0.0	0.0	0.0	0.17	158.72	0.0	0.0	323.23	284.65	245.52	331.41	76.89	609.71	220.9	56.41	513.71	83.91	0.0	0.28	0.0	136.08	38.71	559.42	0.0
Miat	0.89	0.0	0.0	66.4	0.0	0.0	0.0	0.0	0.05	51.72	0.0	0.0	32.18	59.49	43.3	21.28	21.68	63.44	42.32	62.08	53.45	14.27	283.61	14.06	0.0	1.46	16.77	62.04	0.0
Mir690	18430.57	26828.41	15929.17	25738.25	4195.34	19376.41	14062.21	15339.94	5418.25	30464.78	11918.89	14494.18	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	23271.48	32522.04	44948.68	42282.55	35532.88	21676.6	48007.3	23496.94	26521.64
Nampt	15.82	0.0	15.05	0.13	0.0	8.01	0.0	0.0	0.0	0.57	0.0	0.0	36.24	0.0	45.89	3.09	2.68	2.83	113.37	53.17	60.77	47.23	0.0	6.74	0.0	67.9	45.71	0.49	0.0
Nbea	0.22	0.0	0.0	36.76	0.0	0.0	0.0	0.0	0.0	69.08	0.0	0.18	15.41	40.02	17.89	9.46	6.78	25.3	13.99	26.8	41.91	20.75	0.13	0.07	0.0	0.93	26.77	46.61	0.0
Ncoa7	1.92	0.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	34.18	21.68	42.75	27.13	40.07	64.4	9.6	66.16	60.58	62.56	0.0	0.0	0.0	0.0	29.65	11.54	0.0
Pitpna	0.4	0.0	0.0	131.65	0.0	0.0	0.0	0.0	0.0	22.53	0.0	0.0	41.4	42.16	22.12	222.94	20.16	90.94	41.58	55.88	48.59	45.76	0.0	0.41	0.0	10.39	56.26	325.57	1.12
Ptprn	7.95	0.0	0.0	288.7	0.0	0.0	0.0	0.0	0.0	43.4	0.0	0.19	24.1	22.9	29.86	197.5	54.46	143.35	67.88	182.46	44.99	42.58	13.78	0.0	0.17	177.25	65.75	280.84	0.0
Rars	1.5	48.44	0.0	0.28	0.0	0.15	0.0	5.76	0.0	0.61	0.0	0.0	3.98	58.87	131.09	0.19	99.9	0.0	312.48	0.79	216.71	42.65	0.0	0.0	0.0	0.0	156.82	0.0	0.0
Reep1	0.1	0.0	0.0	155.26	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	41.8	164.98	5.72	0.1	1.44	34.34	1.28	4.94	32.07	25.59	0.19	0.0	0.0	0.0	60.97	125.04	0.0
Rnf169	4.41	0.0	0.0	25.82	0.0	0.0	0.0	0.0	0.0	24.12	0.0	0.0	11.65	14.87	17.83	18.68	12.55	35.45	0.0	0.08	13.07	9.96	0.1	89.38	0.0	2.74	0.0	85.89	0.0
Smc3	35.16	17.83	0.0	29.69	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	24.13	20.4	21.39	55.41	36.28	13.67	2.75	14.26	22.93	0.45	434.68	0.0	5.64	73.52	3.87	0.0
Snord116	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	30.49	1.44	10.89	0.0
Snord116l1	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	30.49	1.44	10.89	0.0
Snord116l2	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	30.49	1.44	10.89	0.0
Sprr2a1	0.05	0.0	0.0	0.77	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	1.29	0.1	2.56	2.09	0.2	1.82	0.0	0.0	0.0	0.09	2.0	0.58
Sprr2a2	0.05	0.0	0.0	0.77	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	1.29	0.1	2.56	2.09	0.2	1.82	0.0	0.0	0.0	0.09	2.0	0.58
Tfdp1	0.11	0.0	0.24	74.64	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	11.06	0.0	47.1	0.0	0.0	90.85	0.42	47.64	0.34	36.09	716.49	0.0	0.0	7.71	69.51	0.0	0.0
Usp31	12.13	0.0	0.0	4.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.42	8.95	14.0	10.46	4.62	0.87	25.17	0.11	8.0	1.05	0.0	0.0	0.0	3.57	2.19	26.37	0.0
Wasf1	246.08	0.0	0.0	417.94	0.0	0.0	0.0	0.0	0.0	144.5	50.57	0.0	208.12	248.78	314.73	475.59	226.56	344.33	291.29	410.58	505.02	420.06	0.29	0.3	0.0	199.51	270.48	589.92	0.0
