	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_78	Htr3a_tdTpositive_cell_101	Htr3a_tdTpositive_cell_105	Htr3a_tdTpositive_cell_116	Ndnf_tdTnegative_cell_2	Nkx2.1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_71	Pvalb_tdTpositive_cell_29	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_6	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_10	Sst_tdTpositive_cell_11	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_30	Sst_tdTpositive_cell_31	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_50	Sst_tdTpositive_cell_52	Sst_tdTpositive_cell_54	Sst_tdTpositive_cell_57	Sst_tdTpositive_cell_59	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_99	Vip_tdTpositive_cell_58
Msx2	0.0	1.88	0.0	0.15	1.29	0.37	0.0	0.42	0.0	0.67	0.29	0.33	0.45	0.22	0.0	0.0	0.3	0.17	0.81	0.0	0.71	0.7	0.31	0.4	0.23	1.0	1.11	1.04	0.15	0.26	0.52	3.0
Pla2g2d	0.33	1.28	0.13	1.05	3.62	2.46	1.6	3.39	0.13	2.35	0.3	1.11	0.72	2.32	3.24	1.02	1.89	1.31	1.33	0.21	4.33	1.7	60.06	2.02	3.01	2.34	1.48	7.65	2.09	1.41	3.17	2.92
Rcan2	476.1	1431.53	1367.08	919.77	1691.34	1520.65	1376.16	1033.5	940.63	1263.21	998.75	962.37	1091.96	1255.44	1118.55	1306.81	1172.13	1164.03	2110.21	785.28	1791.58	2005.14	1743.51	1636.2	1448.8	1424.68	1678.75	1341.72	1269.57	1097.7	1468.89	1378.94
Skint4	0.0	3.5	0.0	0.18	9.95	8.57	14.26	16.59	0.0	11.25	2.2	5.95	4.53	1.29	7.45	5.05	5.64	3.35	9.81	0.0	9.22	7.64	5.13	10.68	7.24	7.17	4.05	11.68	4.57	2.14	10.62	13.78
Soat2	2.93	9.56	0.43	5.55	19.85	16.28	15.56	33.98	3.17	21.76	14.58	9.88	7.86	12.8	20.11	7.57	10.87	14.44	16.56	0.72	43.05	17.07	16.4	19.44	23.75	25.75	22.0	12.42	17.75	7.63	27.15	35.28
Sp110	0.39	13.5	0.12	2.09	13.53	8.27	11.35	17.07	0.15	13.16	8.86	4.6	13.14	8.18	15.58	9.28	10.14	3.14	4.74	0.0	4.69	7.63	6.93	16.25	7.8	14.21	6.02	17.34	9.09	4.97	15.58	29.58
Tmem88b	1.02	4.75	0.02	1.36	7.72	5.35	6.92	21.37	1.16	9.7	5.28	4.3	4.99	5.46	8.99	3.41	3.4	1.02	6.75	0.85	12.32	9.44	7.07	5.27	6.94	9.84	1.8	7.99	7.18	4.79	4.74	13.39
Was	1.24	3.08	0.97	4.0	12.72	14.79	12.54	36.01	0.0	18.36	5.42	10.42	2.88	3.74	6.89	1.46	4.52	3.2	3.43	0.0	14.23	16.39	14.8	12.42	13.44	18.82	12.17	14.72	9.54	4.93	13.16	35.8
Wnt4	0.0	1.63	0.11	0.46	48.13	4.42	15.73	6.24	0.0	2.5	1.67	2.12	0.59	1.48	2.54	1.38	1.9	0.65	0.78	0.0	2.89	2.55	4.47	3.24	1.48	2.63	1.54	6.01	2.32	1.77	3.66	4.68
Zfp553	0.19	1.23	0.22	0.54	1.26	1.08	4.03	6.54	0.0	6.09	0.52	0.48	0.86	0.32	2.28	0.23	1.3	0.42	2.12	0.0	1.84	2.61	3.73	1.22	5.37	10.94	1.62	3.81	3.65	2.24	0.41	1.13
