	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Creg2	105.35	25.62	0.42	2.42	0.27	68.07	51.85	0.67	1.1	0.55	60.16	0.48	0.21	0.5	1.1	0.34	18.87	90.41	1.31	0.0	45.13	184.64	1.33	37.47	10.59	76.77	56.77	2.85	18.01	76.41	67.53	74.79
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Deptor	0.0	0.58	13.73	209.14	0.0	0.0	0.0	0.0	531.71	1.56	0.21	0.0	0.0	0.03	0.0	0.0	0.82	1.13	0.0	8.59	30.48	330.19	0.0	0.0	0.16	213.89	0.7	0.0	3.15	11.5	9.72	12.1
Dnajc27	19.66	0.0	0.0	0.0	0.0	0.0	8.4	0.09	0.0	0.0	5.41	49.55	0.0	0.06	112.2	0.0	0.06	79.18	28.95	77.58	39.36	142.47	50.35	0.0	40.15	25.75	12.55	0.0	19.63	91.95	90.65	89.27
Dusp28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.89	0.0	0.0	8.19	0.0	0.0	0.0	1.02	26.98	31.47	29.99
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Efcab6	0.0	1.08	0.0	0.0	0.0	0.0	1.87	0.0	0.0	0.0	39.29	0.93	0.0	2.05	0.34	0.0	0.0	0.25	0.0	0.0	0.0	133.44	0.0	0.0	0.0	0.0	0.0	0.0	3.5	5.74	6.15	5.76
Fam46d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0
Fbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	0.0
Fbxo31	0.0	3.96	11.02	0.0	0.0	0.0	0.24	12.9	0.0	0.0	0.0	0.0	0.0	3.09	0.0	0.0	0.0	13.29	0.0	5.2	3.49	52.49	2.84	0.0	2.56	0.0	9.71	0.0	12.09	76.48	83.05	77.59
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Foxo1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.06	3.8	0.0	0.0	0.0	27.2	0.0	0.0	0.0	0.0	0.0	45.21	45.79	0.0	0.0	0.0	14.62	0.0	0.0	0.0	18.48	18.95	18.11
Fras1	32.16	0.31	5.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	4.65	44.84	0.5	0.0	0.0	23.03	0.08	0.0	0.02	9.06	8.51	9.72
Gfpt2	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	35.83	0.0	0.0	0.0	38.92	0.0	0.19	2.59	7.86	8.08	8.35
Gm1574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.11	0.0	0.0	0.0	0.08	0.0	0.14	0.07	0.1	0.0	21.12	0.0	0.0	0.0	0.14	0.0	0.0	0.04	0.0	1.48	0.0	1.27	1.73	1.86	1.4
Gm884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.0
Gm9920	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.37	0.0	0.0	0.0	4.15	0.0	0.0	0.0	0.97	2.11	1.09
Golph3	0.0	0.0	91.62	0.0	0.0	0.0	0.0	55.09	0.0	0.0	0.0	0.0	0.0	0.3	12.81	5.18	0.0	9.82	22.73	28.69	30.68	221.17	24.18	0.0	0.12	1.83	36.23	0.0	21.41	82.61	83.83	80.39
Gpr119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.0
Gpr143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.0
Gsta3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	71.46	0.0	0.0	0.0	0.0	0.0	0.0	0.45	3.03	1.74	1.75
Herc2	0.0	26.71	13.45	0.0	0.0	22.58	43.14	47.13	0.03	0.0	13.52	0.05	5.04	5.57	44.82	0.01	53.28	3.74	25.22	54.51	16.7	62.24	22.01	49.47	27.25	34.53	49.39	0.0	14.13	67.41	63.82	69.15
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.11	0.0	0.0	0.0	0.08	0.0	0.14	0.07	0.1	0.0	21.12	0.0	0.0	0.0	0.14	0.0	0.0	0.04	0.0	1.48	0.0	1.27	1.73	1.86	1.4
Iqcd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.08	0.0	0.0	0.0	0.0	0.8	0.0	0.36	2.09	1.52	2.09
Itpr1	1.45	34.72	62.96	6.78	225.98	0.3	13.58	22.58	0.0	0.0	51.6	62.53	30.41	0.16	21.81	20.23	38.04	184.38	6.76	39.13	94.19	120.77	86.9	0.0	20.49	60.13	0.52	0.11	64.04	211.99	196.39	212.52
Kdm6a	2.02	0.0	0.0	77.42	0.0	0.0	0.0	0.0	12.75	0.0	0.0	0.0	0.0	2.64	50.38	0.0	0.0	17.62	0.07	0.0	0.66	95.24	13.92	0.0	0.02	0.0	0.0	0.0	7.46	22.45	14.79	17.17
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif15	0.0	0.24	0.0	0.11	0.0	0.08	0.44	0.0	1.28	0.0	0.19	0.52	0.26	0.0	0.23	0.0	0.14	13.49	0.68	0.14	0.08	1.49	0.34	0.0	0.08	0.08	0.0	0.0	0.09	0.79	0.71	0.71
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lipk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.0
Lnpep	0.0	26.26	45.92	0.21	0.0	0.0	2.5	44.02	1.43	0.0	0.0	0.0	1.43	0.2	0.03	0.0	1.4	16.1	0.0	2.78	0.0	30.32	14.24	5.98	0.0	22.89	0.0	0.0	1.25	32.87	27.28	33.21
Lynx1	182.78	3.99	146.67	0.0	0.0	85.87	48.6	90.62	0.0	0.0	144.7	81.42	0.0	2.03	0.78	81.05	0.23	74.24	81.43	34.62	38.06	197.26	6.38	0.0	52.51	23.29	14.37	1.29	35.16	249.12	247.11	249.79
Magee1	0.0	0.84	17.36	0.0	0.12	0.0	10.56	0.0	0.0	0.0	60.08	100.01	100.69	2.86	3.09	1.91	0.0	108.93	0.22	0.0	127.79	208.01	121.4	0.0	175.98	22.71	0.0	0.0	20.43	117.31	122.31	117.69
Magi2	3.36	47.96	45.97	0.0	0.06	4.18	20.68	88.3	0.0	0.0	0.24	50.73	0.19	23.31	14.05	0.99	52.36	71.77	40.41	9.56	128.14	141.26	28.66	12.19	52.02	59.18	574.28	23.63	19.72	50.5	48.6	53.27
Map3k2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	5.33	0.0	0.0	0.0	0.0	0.0	0.0	43.12	36.93	0.0	0.0	0.0	0.0	0.0	6.2	13.59	12.09	12.24
Marcksl1	0.0	0.0	32.07	89.78	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	11.4	1.78	124.27	0.0	0.0	0.0	18.06	27.81	0.0	2.84	105.99	129.27	112.68
Mbd1	0.0	0.0	0.0	152.84	0.0	38.25	6.49	0.0	0.0	0.0	0.0	0.0	8.66	5.25	59.98	0.0	0.0	84.13	3.82	78.79	0.0	111.35	0.0	1.06	0.28	18.5	31.17	0.0	11.39	26.97	25.65	26.81
Med12l	0.0	22.21	0.0	0.0	0.0	0.0	0.0	1.91	0.63	0.0	0.0	0.0	22.4	0.88	32.41	0.0	0.0	0.4	5.43	0.0	5.25	33.9	1.59	31.41	0.0	9.58	0.0	0.0	4.61	16.99	14.98	16.68
Mfn1	0.67	0.21	33.55	0.0	0.1	0.08	0.0	0.12	0.32	0.12	58.61	0.48	0.0	0.11	0.33	0.02	0.07	1.13	0.53	14.54	91.13	69.29	9.73	0.0	0.07	18.95	1.78	0.38	9.79	44.53	43.92	43.99
Mgat2	0.0	63.6	0.0	0.0	0.0	15.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.05	13.08	0.0	0.0	0.0	16.16	0.0	86.03	0.0	0.0	16.36	0.0	0.0	0.0	5.37	30.08	32.67	29.91
Mink1	4.37	3.23	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.17	0.13	0.32	0.0	0.13	0.0	4.12	0.0	1.41	10.57	34.31	16.12	0.0	0.0	2.08	9.35	0.0	2.78	186.96	186.51	192.9
Minpp1	0.0	87.59	0.33	0.0	0.0	0.67	16.85	3.89	0.0	0.0	0.91	0.82	0.52	0.52	15.51	0.05	2.11	87.59	4.17	0.78	15.96	123.46	1.78	0.0	81.04	12.41	357.01	1.53	10.6	59.35	61.13	56.37
Mipep	0.0	0.0	1.21	0.0	0.0	0.0	0.22	0.0	0.0	0.0	7.42	0.0	0.0	0.0	1.22	0.0	0.0	0.62	4.09	0.0	26.88	142.78	0.0	0.0	0.0	3.28	0.0	0.0	9.58	28.67	30.3	27.57
Morc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0
Muc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Npm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.58	0.0	0.0	0.0	0.0	0.0	0.0	0.36	8.76	11.59	8.06
Nr1i2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.0
Nudt14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.89	0.0	0.0	0.0	0.0	0.0	0.0	166.57	0.0	0.0	0.0	0.0	0.0	0.0	10.74	11.07	12.73	13.56
Oaz2	214.11	0.27	42.92	77.88	0.0	0.0	7.49	118.89	0.0	0.19	0.43	0.0	0.0	5.48	0.09	2.77	0.17	2.77	0.0	160.82	83.75	274.78	81.54	0.0	141.51	47.87	266.82	143.03	21.26	205.75	212.47	201.97
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Pcdhac2	0.0	0.0	71.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83	0.0	14.61	0.0	0.0	0.0	0.0	0.0	0.0	207.02	53.4	0.0	0.48	0.0	0.0	0.0	20.99	41.8	41.32	44.47
Pgc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Phospho2	0.0	0.0	17.45	0.0	0.2	0.0	0.25	104.2	0.0	0.0	0.0	90.55	0.0	0.08	0.0	0.0	0.0	0.14	122.09	0.33	100.95	188.94	7.48	0.0	0.15	83.79	224.16	6.54	15.56	26.23	25.35	22.46
Plaa	0.0	0.0	5.4	0.72	0.0	1.15	0.0	0.25	0.0	0.0	1.33	0.0	0.0	0.0	10.54	0.06	7.58	9.01	1.08	1.91	11.27	40.26	6.14	0.35	14.13	1.72	0.0	0.0	8.34	17.38	15.98	17.12
Ppox	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.28	0.0	190.7	288.69	0.0	63.12	125.92	0.0	0.0	0.0	12.59	20.65	23.95	22.68
Pptc7	6.42	5.01	4.01	0.0	0.0	0.57	0.0	15.05	60.04	0.0	0.0	6.5	0.0	0.0	0.03	8.22	0.0	9.09	12.31	6.25	6.48	93.71	2.36	0.0	13.2	4.82	0.0	0.0	17.25	40.75	41.4	36.47
Rapgef1	0.0	0.08	0.0	0.0	0.0	0.0	1.08	46.56	0.0	0.0	0.07	0.07	0.0	0.44	0.03	0.0	0.0	0.0	0.0	0.0	0.0	52.53	21.02	0.0	0.0	0.17	0.0	0.0	3.18	59.62	59.34	62.33
Rfng	0.0	0.0	42.73	0.0	0.0	127.43	0.0	83.78	0.0	0.0	0.75	0.2	29.71	0.12	0.23	0.0	0.0	0.0	0.0	1.97	57.96	97.66	0.0	0.0	12.8	0.0	0.31	0.0	18.43	81.25	85.04	84.63
Rnf112	6.45	102.66	15.34	0.0	0.0	0.38	80.08	22.25	0.0	0.0	0.13	8.75	37.66	0.44	26.24	0.0	0.0	88.62	1.85	0.0	0.24	125.0	23.19	0.0	75.89	44.68	165.89	0.0	16.86	274.94	298.54	287.09
Rnf183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
