	Cux2_tdTpositive_cell_35	Cux2_tdTpositive_cell_36	Cux2_tdTpositive_cell_94	Cux2_tdTpositive_cell_123	Nr5a1_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_60	Rorb_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTpositive_cell_12	Scnn1a.Tg3_tdTpositive_cell_32	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_93	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTpositive_cell_110	Slc17a6_tdTpositive_cell_9
Gm7337	0.91	2.57	0.0	0.0	0.15	3.5	5.33	0.0	1.65	1.46	1.11	0.0	1.2	0.1	2.21	6.82	5.81	5.66	1.35	0.65
Lipi	3.42	5.38	3.86	9.37	1.63	6.64	3.99	0.39	4.74	6.15	3.98	0.0	3.54	0.72	15.49	21.78	16.37	5.8	6.22	2.97
Nkain3	16.21	14.7	3.39	8.97	7.24	31.36	5.44	0.1	10.79	14.61	10.35	0.73	14.47	2.68	59.71	5.45	19.57	18.92	0.91	3.75
Olfm1	2040.98	1336.92	3046.22	1443.96	2297.21	3489.43	2056.33	734.45	1626.84	1777.29	1944.52	874.65	1759.61	831.32	2977.46	2494.9	1378.48	3121.16	2835.97	1175.81
Olfr536	1.7	0.91	0.62	0.49	1.57	3.01	1.48	0.0	1.08	2.12	2.17	0.0	0.97	0.23	3.33	10.0	2.96	1.28	0.0	1.56
Padi2	14.14	11.97	17.56	21.65	7.99	31.93	34.24	2.26	11.32	21.5	19.42	1.01	21.25	8.33	46.99	49.21	25.28	20.57	20.01	10.83
Pi15	65.06	56.32	23.55	74.41	28.07	86.51	62.77	0.0	35.22	41.41	41.73	1.92	33.08	19.9	94.14	119.68	69.38	57.63	37.0	27.22
Skint4	15.24	14.34	4.01	29.01	8.53	29.21	29.3	0.0	15.57	22.56	15.11	0.03	18.26	4.71	34.78	48.11	30.98	15.68	13.65	13.2
Tnfrsf10b	52.23	48.57	35.8	70.5	24.36	93.75	62.07	0.51	45.33	63.41	36.59	2.5	58.02	24.87	76.11	163.76	96.07	68.04	51.37	24.37
Ube1y1	39.83	20.04	15.05	22.19	19.65	42.57	32.06	0.0	19.94	42.98	17.2	2.51	22.64	9.22	37.93	51.89	43.6	35.97	11.8	10.63
Vmn1r65	12.7	0.48	0.0	66.89	8.84	8.31	37.05	0.0	14.62	20.58	5.92	0.66	19.2	2.16	70.7	39.76	19.37	39.12	3.52	8.46
Vmn2r55	4.27	2.86	2.09	4.01	0.34	9.3	3.05	0.12	3.24	4.6	3.45	0.23	3.67	0.58	10.28	25.15	12.03	5.13	5.91	2.12
