	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_85	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fdx1l	0.0	0.0	0.0	60.6	60.83	60.43
Fstl1	0.0	0.0	0.0	24.3	25.42	26.36
Fuz	0.0	0.0	0.0	15.93	17.43	16.78
Gm13306	0.0	0.0	0.0	30.63	28.29	22.96
Gm20063	0.0	0.0	0.0	7.4	6.97	9.55
Gm20098	0.0	0.0	0.0	0.03	0.0	0.09
Gm2506	0.0	0.0	0.0	30.63	28.29	22.96
Gmnn	0.0	0.0	0.0	6.32	6.83	6.41
Gnpat	0.11	0.0	0.12	52.15	49.78	49.85
Gpr156	0.0	0.0	0.08	1.15	1.35	0.82
Grpr	0.0	0.0	0.0	0.8	0.75	0.62
H2-K1	0.0	0.0	0.0	31.51	30.73	29.74
Heatr8	0.0	0.0	0.0	3.84	2.77	3.38
Hhat	0.0	0.0	0.0	0.52	0.79	0.72
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Iqck	0.0	0.0	0.0	1.86	2.28	1.41
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Krcc1	0.0	0.0	0.0	17.45	15.68	17.78
Krt9	0.0	0.0	0.0	8.31	9.41	8.57
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lemd3	0.0	0.0	16.51	28.92	27.61	26.65
Lrig3	0.0	0.0	0.0	1.33	1.6	1.68
Lrrc55	0.0	0.0	0.0	21.18	20.37	21.13
March1	0.0	0.0	0.0	19.71	18.17	19.97
Mir29b-2	0.0	0.0	0.0	0.0	0.0	0.0
Mlph	0.0	0.0	0.15	1.67	1.61	1.82
Ncoa1	0.0	0.0	38.65	57.47	52.33	56.3
Ncrna00085	0.0	0.0	10.76	15.58	14.18	16.08
Ng23	0.0	0.0	0.0	0.28	0.43	0.0
Nkd2	0.0	0.25	0.19	3.81	3.14	3.0
Nlrp9b	0.0	0.0	0.0	0.0	0.02	0.0
Obfc2b	0.34	60.2	0.0	100.31	106.05	102.15
Pcdha1	0.0	0.0	0.0	1.49	1.67	1.69
Phf10	0.0	0.0	6.61	42.15	39.09	41.24
Plekhg3	0.0	0.0	0.0	8.05	8.4	11.0
Ppapdc1a	0.0	0.0	0.0	7.41	6.19	7.36
Rnf135	0.0	0.0	0.0	2.79	4.25	4.39
Rpph1	0.0	0.0	0.0	0.0	0.0	0.35
Ski	0.0	0.0	0.0	82.09	84.19	83.95
Slc12a1	0.0	0.0	0.0	0.04	0.08	0.15
Slc16a4	0.0	0.0	0.0	4.84	3.26	5.75
Smok2b	0.0	0.0	0.0	0.0	0.0	0.0
Snx29	0.0	0.0	0.0	8.46	7.76	9.3
Spock1	0.0	31.97	30.27	143.7	145.55	144.61
Spock2	0.0	0.1	0.14	393.08	392.03	397.52
Svs3b	0.0	0.0	0.0	0.0	0.0	0.0
Taf4a	0.0	0.0	0.07	13.76	14.03	12.91
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem63b	0.0	0.12	8.44	111.16	115.98	115.3
Tsc1	0.0	0.0	0.2	33.56	31.77	34.93
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txnrd2	0.0	0.0	0.0	14.91	14.84	15.71
Ugt2b35	0.0	0.0	0.0	0.0	0.0	0.0
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Zbtb49	0.0	0.0	0.0	8.16	8.77	8.86
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zpbp	0.0	0.0	0.0	0.89	1.18	0.9
c10_tRNA-Ser-TCA	0.0	0.0	0.0	0.0	0.0	0.0
c11_tRNA-Gln-CAG	0.0	0.0	0.0	0.0	0.0	0.0
c18_tRNA-Ala-GCA	0.0	0.0	0.0	3.14	5.39	8.25
c9_tRNA-Gln-CAG	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
