	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Rbp4_tdTpositive_cell_189	Scnn1a.Tg2_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_70	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_36
Amy2a3	0.27	0.15	0.08	0.44	1.33	0.23	0.0	0.09	0.12	0.18	0.24	0.18	0.08	0.12	0.02	0.0	0.58	0.12	0.06	0.49	0.25	0.11	0.1	0.36	0.14	2.29	0.44	0.2	0.15	0.15	0.28	0.33	0.27	0.24	0.21	0.03	0.14	0.05	0.28	0.05	0.1	0.08	0.63	0.03	0.08
Amy2a4	0.27	0.15	0.08	0.44	1.33	0.23	0.0	0.09	0.12	0.18	0.24	0.18	0.08	0.12	0.02	0.0	0.58	0.12	0.06	0.49	0.25	0.11	0.1	0.36	0.14	2.29	0.44	0.2	0.15	0.15	0.28	0.33	0.27	0.24	0.21	0.03	0.14	0.05	0.28	0.05	0.1	0.08	0.63	0.03	0.08
Ankfy1	2.5	2.89	1.26	5.52	3.63	3.96	1.3	1.21	8.0	2.73	0.98	3.31	1.22	1.92	3.48	0.71	24.22	7.47	6.3	37.38	9.96	6.46	11.78	8.89	6.41	124.82	5.16	3.48	3.77	2.61	7.16	13.16	5.43	10.0	8.6	3.16	3.63	6.9	19.7	99.95	2.63	2.64	2.91	7.11	1.63
Arhgap1	68.67	0.0	0.13	129.66	0.0	145.28	0.0	102.67	320.39	80.68	0.12	82.6	131.32	26.07	4.7	0.0	68.63	57.3	2.73	15.4	55.65	126.36	51.69	98.58	107.46	416.57	195.86	60.19	98.53	28.07	83.3	120.5	69.03	151.06	161.07	66.94	57.58	16.87	53.17	0.0	5.17	59.76	133.26	91.88	150.43
Arhgap32	13.92	24.33	42.35	46.11	76.12	26.93	0.0	17.72	0.03	0.1	3.77	50.97	17.74	50.94	0.03	19.51	16.78	34.93	28.7	49.31	15.56	20.33	15.1	10.57	0.0	183.95	49.88	67.35	12.46	50.33	22.94	28.09	18.97	12.02	7.89	5.39	22.76	15.64	12.77	34.34	23.0	0.66	112.79	47.41	35.67
Atad1	177.9	35.07	0.79	100.27	0.0	426.66	0.0	238.15	0.5	349.49	181.25	110.28	74.99	126.32	96.96	13.78	276.97	394.45	0.7	269.8	282.32	188.9	53.03	207.55	0.0	1012.1	402.36	218.26	69.51	231.75	250.27	249.79	76.14	259.89	218.24	17.88	133.15	372.43	163.63	60.84	145.17	97.59	186.9	153.73	340.13
Atp8b2	0.0	17.41	1.16	0.0	0.0	7.73	0.0	0.1	0.0	0.0	17.12	0.19	0.47	3.08	0.0	0.0	0.0	0.0	3.27	27.09	4.63	9.29	0.0	0.0	0.0	83.27	0.86	4.55	0.0	25.85	7.42	3.69	11.06	5.33	3.25	0.0	0.0	0.0	35.77	40.43	0.05	2.91	0.0	1.95	5.06
Bmyc	30.43	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	48.53	134.51	0.0	0.0	0.0	0.0	0.0	0.31	6.49	3.93	0.0	83.07	194.5	65.82	71.31	0.0	298.6	18.65	68.61	45.27	0.0	15.11	60.42	18.05	4.11	36.02	18.85	0.0	0.0	0.0	0.0	6.84	0.0	1.93	0.0	0.76
Bod1l	46.86	1.56	14.34	6.7	0.0	17.14	0.0	10.67	12.01	51.42	10.31	11.9	3.53	0.05	20.32	0.0	9.58	33.12	1.4	16.41	7.89	0.56	0.0	8.77	11.47	85.28	26.03	50.42	0.23	29.9	12.83	16.69	6.07	13.45	11.38	1.51	34.25	9.86	0.5	14.96	12.12	8.07	68.65	21.21	14.68
Bzw2	73.32	97.38	39.32	0.7	0.0	66.05	0.0	180.77	0.0	117.22	29.42	97.18	0.13	147.26	0.0	0.0	7.08	81.71	59.49	86.13	47.93	0.65	0.0	41.55	49.14	396.78	0.0	146.25	21.51	0.0	14.44	59.6	59.65	33.74	38.43	0.0	0.0	134.41	88.12	3.09	34.14	19.71	76.78	7.0	22.4
C330006A16Rik	90.63	168.73	403.91	714.56	0.34	281.34	0.0	182.19	0.61	151.92	361.54	41.77	4.29	51.0	1.52	410.64	113.37	288.69	179.05	39.09	61.6	82.02	5.22	97.84	1.61	693.64	321.21	277.76	218.12	191.35	254.26	267.99	252.07	411.59	377.98	99.52	41.94	104.73	61.79	144.9	0.0	1.46	287.97	202.47	228.03
Calm2	20249.89	18003.48	20813.5	20740.74	17688.69	19533.68	189.84	19635.16	10185.42	24749.41	21064.56	19971.06	20654.99	16501.66	14978.17	18789.68	14038.93	18742.78	17145.93	18653.08	18187.15	19736.86	17323.44	17700.79	13803.27	9633.09	15940.81	20660.56	16637.95	19581.9	17363.25	16198.04	18644.66	18004.95	15686.41	22860.58	23322.9	18237.98	18313.66	25106.81	19256.69	21777.08	23557.63	18704.89	19735.95
Capn5	0.0	0.0	0.0	76.6	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	1.9	0.7	1.51	4.99	0.0	0.0	46.57	0.0	0.0	0.0	0.0	0.0	6.0	2.04	5.84	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.87	30.39	0.0
Cdk12	27.07	18.05	51.93	68.46	0.1	86.19	0.0	53.86	0.0	25.54	0.0	0.0	59.09	25.82	33.45	185.25	35.32	24.08	92.52	29.23	33.05	62.84	76.72	25.5	14.53	86.87	34.6	26.96	53.09	32.95	29.69	19.25	11.12	35.68	22.48	37.8	12.08	16.43	0.15	0.91	3.45	24.58	0.0	88.65	28.37
Chic1	5.94	0.19	33.4	0.75	22.24	37.02	0.0	16.85	2.01	0.27	76.41	21.7	0.73	1.62	43.64	0.14	2.32	4.02	2.02	17.38	12.93	1.53	24.63	0.54	1.0	169.62	0.35	18.1	18.89	3.38	20.82	23.39	6.14	31.53	17.34	2.9	1.06	10.43	1.19	1.04	15.44	0.17	6.29	3.56	10.75
Chmp1a	34.1	0.28	0.34	0.2	0.0	84.66	0.0	0.0	0.33	0.15	93.89	62.88	26.56	65.06	67.41	36.27	68.0	45.58	0.0	66.47	30.1	67.37	4.14	79.34	0.0	425.83	0.0	144.0	35.52	212.58	48.22	39.88	52.55	95.24	77.21	0.0	0.0	75.88	3.29	2.85	0.0	132.36	0.0	77.87	0.99
Chst1	66.9	5.23	7.64	63.71	15.64	75.8	0.0	202.8	0.0	0.0	54.07	0.0	5.18	64.01	0.6	0.0	8.89	0.0	7.36	0.82	37.53	31.54	4.96	2.67	13.15	211.34	107.41	5.83	18.57	44.59	22.89	37.87	18.28	15.8	50.16	0.0	0.0	68.66	116.56	118.04	12.83	61.69	0.0	55.73	69.9
Cramp1l	4.56	4.0	0.74	0.28	0.1	0.29	0.0	1.66	0.05	7.24	0.04	0.11	15.42	0.2	0.08	0.0	7.69	0.36	0.58	8.64	9.32	2.92	3.69	4.18	0.25	62.61	0.42	1.09	5.12	5.86	2.97	5.32	5.81	3.56	1.46	0.03	0.09	2.92	0.14	0.57	0.08	0.02	0.37	9.52	1.03
D430019H16Rik	7.28	0.08	0.08	75.5	0.0	0.13	0.0	0.11	0.0	0.79	0.0	0.0	0.09	0.05	0.1	0.0	1.97	8.0	0.12	9.79	4.01	0.24	2.96	0.27	0.48	1.43	51.87	0.44	11.65	0.43	0.12	3.13	2.11	3.12	2.97	0.05	0.05	0.04	0.05	0.62	0.0	0.0	0.07	23.2	0.26
D730005E14Rik	0.0	0.06	0.31	0.37	0.0	0.0	0.0	0.21	0.0	0.09	0.0	0.11	0.88	0.11	0.0	0.0	0.71	0.15	0.45	0.47	0.79	0.29	0.0	0.08	0.0	1.61	0.17	0.87	0.17	0.26	0.17	0.0	0.53	0.33	0.15	1.37	0.32	0.2	0.17	0.14	0.08	0.0	0.0	0.36	0.15
Dctpp1	158.78	0.36	108.47	0.0	0.0	0.0	0.0	68.16	0.0	17.87	111.09	0.0	256.85	56.02	0.0	0.0	23.94	0.44	0.0	51.01	83.43	30.46	29.85	54.69	0.0	467.75	116.18	67.79	24.61	69.97	50.39	39.3	90.12	50.77	62.53	272.27	0.0	175.57	0.0	336.26	0.0	0.0	0.0	129.33	0.0
Doc2a	85.85	3.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.7	0.0	0.0	0.0	0.87	0.0	33.34	46.3	13.28	142.46	2.5	16.55	17.32	1.67	57.3	50.47	318.14	0.0	56.42	29.55	13.68	3.29	13.33	2.33	11.01	9.91	0.0	0.0	0.09	0.0	0.0	43.94	132.2	0.0	0.0	0.0
Dpysl3	0.0	163.52	0.0	14.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.55	117.11	1.62	0.0	0.38	119.19	11.79	4.3	12.95	0.8	32.61	49.9	0.94	419.69	75.18	0.0	67.74	0.0	14.02	21.06	67.0	10.88	16.59	0.0	0.0	0.12	0.0	0.22	0.0	0.0	0.0	48.37	58.05
Drosha	46.64	1.74	0.8	2.72	0.0	17.22	1.63	14.62	0.0	63.55	4.81	39.61	0.05	0.06	0.83	100.4	14.99	30.22	0.34	2.48	19.41	8.06	35.08	6.29	66.25	177.07	47.79	47.98	29.76	8.96	15.91	25.78	5.92	17.74	20.88	0.25	0.0	6.21	55.93	0.0	0.72	17.67	6.11	1.95	51.36
Dusp8	100.92	0.04	216.53	0.09	0.0	66.23	0.0	28.02	0.15	99.94	0.0	51.19	0.0	49.99	51.14	0.0	5.35	61.46	0.24	26.45	18.85	65.75	8.5	29.9	0.0	191.26	74.93	85.24	94.6	37.75	51.12	58.09	39.08	76.47	77.1	4.68	4.36	15.97	2.74	5.07	12.87	38.06	144.12	30.15	31.23
Esf1	0.68	28.63	19.73	16.24	0.93	38.58	0.0	72.45	0.0	12.5	109.88	28.76	94.11	0.0	31.04	30.55	23.91	18.37	4.51	20.38	28.7	10.15	36.74	33.52	0.0	152.75	78.15	5.68	4.08	6.92	16.71	25.22	42.58	35.21	28.34	13.44	18.27	15.25	49.21	45.1	26.15	45.87	60.19	5.71	88.12
Etohd2	8.18	0.0	0.0	0.0	0.0	0.24	0.0	0.22	0.0	0.0	24.56	29.87	0.31	0.09	0.0	0.0	0.0	1.07	0.0	0.0	0.11	1.86	0.88	0.0	0.0	82.75	39.46	4.45	0.0	0.0	0.0	3.74	21.28	0.93	2.44	0.0	37.23	0.0	0.0	0.0	0.0	0.0	8.67	5.09	39.93
Fastkd1	3.75	0.32	2.08	1.54	0.0	3.96	0.0	0.42	0.12	0.12	5.45	0.1	0.51	0.98	4.85	0.0	1.18	4.91	5.16	4.17	5.85	33.82	2.52	1.81	3.12	108.78	4.3	4.64	20.99	2.07	3.84	13.31	11.29	5.54	8.55	16.38	0.0	2.92	1.04	1.39	5.94	0.26	0.63	1.31	3.3
Fbxl17	4.36	16.83	6.02	57.4	2.11	14.65	0.0	30.15	5.75	1.21	3.44	15.71	1.57	14.85	1.04	0.75	20.98	13.54	14.14	9.04	7.67	3.93	33.35	3.41	6.86	32.34	8.79	12.22	3.57	3.72	6.15	8.36	4.96	5.59	4.43	22.46	4.49	12.6	7.19	17.31	7.9	3.32	33.84	13.44	10.37
Fbxw17	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	54.19	0.0	20.54	0.25	14.67	0.0	0.0	221.92	7.75	0.0	94.1	0.0	12.88	26.7	32.04	5.92	17.51	0.0	0.0	0.0	16.96	0.0	0.0	0.0	0.0	0.0	0.0
Flot1	27.31	0.13	0.44	0.0	0.0	97.59	0.0	0.12	0.21	0.0	207.82	0.0	60.75	81.74	0.19	0.0	71.67	118.48	22.6	40.25	25.55	3.76	69.53	37.78	0.0	303.55	139.28	88.13	201.92	0.0	55.75	90.65	105.73	23.92	66.27	39.78	71.31	0.0	10.1	0.26	25.65	64.51	154.48	77.78	11.65
Gca	32.26	17.56	0.27	25.81	0.0	63.33	0.0	53.09	0.0	64.59	10.32	111.63	0.07	0.24	1.06	0.0	19.66	25.81	15.99	0.9	49.46	18.47	51.88	1.38	1.97	210.12	18.54	15.71	114.0	79.25	49.49	31.74	43.42	34.65	43.35	90.13	50.72	13.7	49.9	0.0	0.74	0.07	3.69	0.28	66.9
Gdi2	287.55	94.62	196.11	560.29	22.64	806.9	0.0	367.94	0.26	400.01	513.79	218.44	175.38	335.87	698.4	200.61	477.68	556.97	252.51	264.53	254.45	114.87	288.7	326.06	755.89	921.58	599.55	373.91	370.53	737.54	466.32	521.08	432.07	447.95	449.36	90.89	228.12	255.7	153.26	549.05	410.67	33.51	0.14	289.43	355.65
Ghdc	3.04	1.67	1.16	4.81	15.78	7.19	0.0	4.58	1.18	3.74	44.85	0.96	1.56	4.06	24.36	0.22	4.7	3.76	10.33	11.85	10.21	5.91	7.63	0.81	15.73	156.98	2.63	2.02	5.28	7.76	8.07	2.73	5.49	4.04	4.51	1.76	2.92	2.32	2.69	1.11	0.7	4.8	3.35	5.03	4.89
Glyr1	21.62	68.7	155.04	5.68	0.0	15.57	0.0	10.15	0.11	10.52	57.99	1.76	11.96	2.57	1.05	233.93	65.28	134.43	8.22	0.5	17.47	10.19	0.18	61.18	0.0	142.73	92.54	148.73	4.87	139.9	75.74	85.8	69.61	115.85	87.75	105.51	93.0	78.12	74.15	20.91	0.09	6.49	0.0	54.31	69.03
Gm10653	0.0	0.0	0.0	0.36	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.68	0.0	0.0	1.51	1.6	0.0	0.66	0.0	0.0	4.61	0.0	0.0	0.0	0.0	0.5	0.73	0.55	0.54	0.31	0.0	0.0	3.9	0.0	0.0	0.28	1.13	0.0	1.45	1.29
Gm12070	18.25	17.07	9.84	35.16	11.49	22.4	0.0	19.08	17.92	24.5	22.73	13.66	65.59	32.94	18.23	17.37	26.86	31.18	29.48	43.37	23.48	33.67	26.91	25.75	16.19	72.12	32.17	17.95	16.05	17.86	17.27	21.33	26.94	10.52	18.99	24.96	9.89	19.9	19.72	21.4	19.89	20.16	15.72	16.95	19.68
Gm16897	2.68	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	4.34	0.63	0.0	7.62	0.11	0.0	0.0	0.0	0.0	12.93	0.0	8.69	0.0	0.0	2.8	4.56	1.38	3.67	1.98	0.0	0.0	7.53	1.67	0.0	0.0	0.0	0.0	0.0	0.0
Gne	0.0	0.0	1.85	22.23	0.0	4.29	0.0	0.31	0.06	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	13.08	0.11	0.0	1.86	0.06	10.8	0.0	0.0	255.57	0.66	0.0	0.04	0.15	8.46	7.45	16.49	4.77	5.42	0.0	0.0	0.04	0.0	0.0	0.0	84.36	0.0	0.18	0.0
Gpr137c	0.0	0.0	0.0	0.0	72.74	19.88	0.0	0.0	0.0	3.24	0.14	0.0	0.0	4.75	0.13	0.0	0.0	1.49	107.45	28.99	15.93	5.03	20.11	4.33	0.0	125.61	0.0	0.0	0.0	11.4	0.94	2.09	0.0	4.16	6.98	17.5	0.23	1.38	9.48	0.0	0.0	44.82	113.53	42.76	7.86
Gtf2h2	1.17	0.0	0.66	20.74	0.47	0.0	0.0	0.0	0.0	31.44	2.11	148.71	0.0	0.0	0.57	0.0	47.61	137.44	100.06	129.85	44.71	89.55	81.42	117.62	0.0	449.91	0.3	218.72	93.89	79.95	28.52	41.85	41.45	77.41	45.14	0.0	0.0	0.1	0.18	230.5	127.24	123.87	0.0	73.64	7.04
Hars	10.54	243.8	193.98	154.44	0.0	186.04	0.0	557.41	0.9	161.89	229.76	401.12	99.95	177.55	21.79	294.56	62.86	164.1	51.47	103.18	95.17	9.63	47.51	76.05	19.94	389.42	194.01	146.22	167.71	491.89	280.19	240.24	259.74	253.78	249.76	159.29	214.26	243.12	5.26	0.22	10.63	73.88	371.06	264.82	130.56
Hnf4g	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.05	0.02	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.06	0.0	0.0	0.0	0.07	0.02	0.0	0.06	0.0	0.68	0.44	0.0	0.0	0.4	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.11
Htr1f	0.0	0.0	0.16	7.19	0.17	0.0	3.0	0.08	18.5	0.0	0.0	0.11	0.59	0.65	0.0	2.17	4.0	67.38	0.0	0.02	19.33	0.18	57.6	19.48	0.0	238.0	0.0	0.04	0.0	0.0	7.69	18.84	24.77	12.71	19.97	53.83	8.47	161.27	1.21	0.0	0.0	0.0	5.91	81.87	49.79
Iffo2	0.28	0.09	1.15	1.46	0.27	14.92	0.0	0.53	0.0	0.46	0.57	0.0	0.94	0.05	28.26	0.0	1.22	1.22	2.38	2.8	1.17	1.09	0.7	0.12	0.0	4.81	1.4	2.07	1.58	0.87	8.33	1.96	0.4	1.16	1.94	0.53	0.68	0.13	0.31	0.26	0.28	0.0	0.0	0.19	1.05
Jakmip2	46.74	0.12	11.67	1.82	0.0	32.12	0.0	23.59	0.1	67.04	88.38	12.09	0.35	28.92	122.78	275.78	68.29	89.36	2.01	34.31	34.59	30.89	33.41	88.9	0.0	141.13	39.49	0.0	29.95	32.71	66.66	69.96	51.52	93.44	69.59	42.96	49.78	11.38	34.92	102.44	52.31	74.19	0.0	74.29	3.53
Kbtbd7	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	4.97	48.77	26.32	19.32	0.0	0.0	0.0	0.33	7.9	5.43	0.0	16.67	12.65	2.3	1.74	0.0	86.29	2.86	0.0	0.0	0.0	13.09	13.79	4.98	15.61	6.92	0.06	27.36	3.9	0.0	0.1	0.0	10.62	130.89	0.0	53.6
Kcnh7	108.92	2.1	0.97	14.82	0.0	46.85	0.0	22.78	0.0	9.03	8.46	0.0	0.0	0.0	48.26	0.0	2.4	1.83	11.85	2.1	7.59	1.84	63.31	7.5	0.0	364.11	4.07	10.61	35.4	65.72	33.33	32.57	35.11	28.81	17.18	28.87	0.07	2.08	69.22	166.38	24.35	13.76	0.0	34.64	62.8
Kdm5b	16.82	2.18	18.42	65.07	0.0	26.65	1.18	6.9	0.11	17.54	12.8	0.08	10.35	38.77	3.35	0.0	19.56	15.43	22.96	16.53	29.4	11.22	3.0	12.1	0.0	99.43	23.16	37.11	35.79	35.27	19.87	24.45	24.69	27.36	17.43	41.64	5.45	52.51	1.76	1.38	0.05	9.15	59.03	42.97	56.22
LOC626082	0.0	0.0	7.0	0.0	0.0	9.67	0.0	23.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.85	0.0	0.0	20.08	9.42	2.32	0.0	0.0	256.68	14.52	0.0	0.0	0.0	0.0	2.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.05	41.03
Lifr	9.25	17.05	106.66	75.03	8.41	222.78	1.41	17.52	1.4	2.85	9.17	1.37	2.66	1.11	1.81	0.0	56.75	44.07	14.41	53.33	23.36	17.01	10.99	2.03	2.7	104.19	121.08	51.02	95.83	20.02	14.09	15.93	8.98	29.03	21.04	3.51	3.56	0.52	0.7	2.18	3.44	0.57	7.87	74.31	54.97
Lphn2	59.5	23.88	0.12	35.44	0.0	2.34	0.0	4.74	0.0	5.69	0.67	0.0	0.2	0.0	0.0	0.06	3.4	8.06	14.9	22.6	24.5	2.96	0.1	8.47	0.0	122.59	0.1	21.21	13.17	31.64	15.26	16.9	3.07	37.21	16.05	0.0	0.0	0.0	0.0	0.0	0.4	0.04	31.73	0.0	41.17
Lrp1b	11.38	0.0	12.91	2.56	0.0	1.56	0.0	0.0	0.02	0.02	0.0	0.0	0.08	0.0	18.26	0.0	0.15	0.19	1.81	1.21	6.27	6.92	17.89	7.83	0.0	12.91	0.66	8.91	0.89	48.52	5.5	10.13	6.76	2.82	4.37	0.0	0.15	2.12	0.02	0.0	1.15	0.0	20.94	16.82	11.63
Mfsd4	16.05	4.6	161.93	10.37	11.37	6.98	0.0	122.41	20.73	5.31	99.14	10.33	28.75	83.34	29.53	6.53	32.49	166.17	23.83	46.98	35.62	14.08	47.94	13.45	26.18	336.84	19.51	15.92	39.26	127.91	44.72	45.51	37.45	26.54	38.88	71.45	42.05	10.45	20.04	21.86	13.98	12.35	89.82	8.31	131.57
Mir3064	0.0	0.0	48.3	0.0	0.0	0.0	0.0	8.59	0.0	14.42	0.0	0.0	95.92	0.0	13.79	0.0	0.0	0.0	0.0	18.44	44.57	58.09	0.0	0.0	0.0	159.78	0.0	0.0	0.0	0.0	0.0	0.0	17.48	13.2	45.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.94	26.63
