	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_120	Cux2_tdTnegative_cell_14	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_26	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Carm1	1.26	2.44	0.39	0.0	0.0	0.0	0.0	0.44	0.0	62.21	0.0	0.32	0.34	50.34	52.75	51.56
Ccdc109b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.7	0.0	0.0	0.0	1.98	2.79	1.8
Ccdc160	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.64	0.0	0.0	0.0	3.12	2.87	3.02
Cd163	0.0	0.1	0.01	0.25	0.05	0.0	0.34	0.11	0.0	0.0	0.0	0.0	0.26	1.87	1.67	1.55
Cdca3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	1.27	1.01	0.9
Cdk18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.58	0.0	0.0	0.0	28.56	32.08	32.29
Cdsn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.67	0.0	0.0	0.0	2.03	1.94	1.94
Celsr1	0.0	0.0	0.0	0.0	0.06	0.0	0.0	1.25	0.0	1.13	0.0	0.0	0.0	1.93	2.32	2.21
Cenpl	0.19	0.5	0.32	0.37	0.16	0.26	0.82	0.44	0.14	47.83	0.73	0.23	0.22	2.05	1.52	1.72
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ces5a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.18	0.0	0.0	0.0	0.98	1.19	0.95
Chi3l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.82	0.0	0.0	0.0	9.43	8.6	10.42
Chtf8	0.0	0.0	0.52	0.0	0.72	0.0	0.0	0.0	0.0	20.07	0.0	0.0	0.0	58.89	61.05	55.88
Ckap2l	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	18.73	0.0	0.0	0.0	0.57	0.77	0.84
Cks1b	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	80.7	0.0	0.0	0.0	4.57	3.05	2.78
Cpne3	0.29	0.17	0.29	0.17	0.38	0.0	1.16	2.99	0.64	27.78	1.27	0.36	0.57	7.82	7.78	8.94
Crybb3	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.17	0.0	0.0	0.0	1.48	2.16	2.09
Cth	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	4.58	4.16	3.47
Cux1	10.22	34.26	134.81	28.54	10.29	0.0	20.14	124.94	0.0	155.98	34.47	35.83	112.78	46.16	46.79	50.09
Cyyr1	0.0	0.33	0.02	0.0	0.0	0.0	0.0	0.45	0.0	0.31	0.0	0.0	0.0	3.47	2.83	2.85
Dapp1	0.0	0.03	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	4.44	4.03	3.57
Dcaf6	10.54	15.68	41.6	5.23	32.3	11.19	21.47	21.82	17.62	77.39	56.77	12.49	84.64	80.08	75.12	71.58
Dhrs13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.02	0.0	0.0	0.0	6.73	7.73	7.59
Dlg5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	15.65	0.0	0.0	0.0	14.3	13.9	15.68
Duxbl	0.26	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.06	0.0	0.92	2.0	1.18
Fam19a5	0.22	7.37	45.76	0.53	0.0	0.0	0.91	38.57	0.0	60.04	0.0	12.41	0.0	89.06	100.67	99.37
Fam35a	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	54.63	0.0	0.0	0.0	5.26	3.97	4.71
Flt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	6.21	4.61	5.11
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Fut4	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.02	0.0	0.29	0.46	0.22
Gkn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	5.92	5.7	4.65
Glipr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	2.53	2.18	2.29
Gm10548	1.03	0.47	0.26	0.12	0.34	0.34	0.26	0.18	0.68	21.39	0.46	0.19	0.21	2.22	1.5	2.22
Gm13476	0.48	0.0	1.26	0.0	1.22	0.0	0.0	0.0	0.0	7.06	0.5	0.0	0.0	4.17	4.28	4.75
Gm4371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.52	0.0	0.0	0.0	0.68	0.52	0.96
Gm5434	0.0	0.0	0.0	0.87	0.25	0.0	0.0	0.0	0.0	2.27	1.27	0.0	0.0	0.0	0.25	0.16
Gnb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.07	0.0	0.0	0.0	0.11	0.05	0.17
Gpnmb	0.0	0.0	0.04	0.0	0.0	0.09	0.0	0.0	0.0	0.17	0.0	0.0	0.0	1.6	1.29	1.71
Gpr179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.22	0.09	0.17
Gprc5c	0.12	0.01	0.08	0.08	0.21	0.0	0.34	0.0	0.0	0.78	0.15	0.0	0.0	2.54	2.85	3.01
Gprin1	0.0	1.49	0.0	12.63	0.17	0.52	0.0	1.12	0.0	3.46	0.0	0.0	6.43	78.28	83.81	79.23
Gpsm1	0.0	0.21	56.53	5.72	1.32	0.0	0.0	95.22	0.0	130.04	1.67	23.77	0.0	33.44	38.42	34.28
H2-Ke6	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	30.79	0.0	0.0	0.0	32.23	38.73	39.89
Hdac11	0.0	64.03	40.08	70.73	36.4	70.44	0.28	11.26	0.0	122.18	0.48	34.5	0.22	163.09	171.47	168.04
Hddc2	0.0	76.48	69.84	0.0	0.0	0.54	0.0	96.92	0.0	327.76	135.34	0.0	0.0	21.68	22.75	23.31
Hdx	2.83	0.01	30.16	0.0	0.0	0.0	17.25	0.0	0.0	53.26	0.0	0.0	0.0	4.22	2.65	4.71
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.08	0.1	0.07	0.0	0.1	0.0	0.19	0.0	0.45	0.27	0.14	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.08	0.1	0.07	0.0	0.1	0.0	0.19	0.0	0.45	0.27	0.14	0.0	0.38	0.28	0.38
Hist2h3c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38	0.0	1.52	0.0	6.32	7.92	5.65
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igfbp5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	39.8	0.0	0.0	0.0	67.7	69.54	70.69
Itga11	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	1.29	1.24	1.05
Josd1	0.0	57.09	0.65	6.08	2.38	0.0	45.34	0.0	1.54	122.5	0.0	0.09	101.59	70.51	68.79	66.56
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lemd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.71	0.0	0.0	0.0	2.57	1.65	2.34
Lipt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.7	0.78	0.0	0.0	6.86	6.46	6.82
Lrguk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41	0.0	0.0	0.0	1.39	1.0	0.96
Mamdc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.45	0.0	0.0	0.0	0.94	1.06	1.46
Marveld3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.1	0.0	0.0	0.0	0.36	0.68	0.57
Med19	0.0	7.87	25.3	65.69	0.0	0.0	0.0	12.18	0.0	177.19	29.31	65.98	75.6	36.0	35.03	32.76
Micall1	0.0	0.01	0.0	0.0	0.0	0.05	0.0	0.0	8.39	18.23	0.09	0.0	0.0	25.54	25.68	29.06
Mir5109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.27	16.61	0.0	0.0	0.0	0.0	1.53
Mpzl2	0.16	0.02	0.05	0.19	0.11	0.19	0.22	0.0	0.18	0.0	0.0	0.18	0.0	1.55	2.17	1.26
Mtss1	0.0	1.78	0.0	0.06	0.0	0.0	0.0	3.75	0.0	30.66	0.0	0.0	0.0	20.4	22.58	22.27
Nkx3-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	1.44	0.8	1.62
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nlrp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.41	0.46	0.24
Nmb	10.8	0.0	5.51	0.0	0.0	0.0	0.0	0.0	0.0	48.2	0.0	0.0	0.0	8.65	7.46	5.75
Npc1	0.1	0.27	21.38	0.0	0.27	0.07	0.13	30.61	0.0	44.3	3.94	0.0	0.1	33.09	34.16	33.39
Npy5r	0.0	10.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.74	0.0	0.0	0.0	5.09	5.11	5.85
Olfr464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.63	0.0	0.0	0.0	2.32	0.88	1.82
P2rx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.3	4.73	65.69	24.3	0.0	0.0	12.79	15.14	13.47
Pacrg	0.0	1.41	0.0	0.0	0.53	0.0	0.0	0.0	0.0	123.33	0.0	0.0	0.0	15.88	19.2	16.47
Parp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65	0.0	0.0	0.0	2.24	1.97	2.25
Pcdha6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.85	0.0	86.51	0.0	0.0	0.0	6.28	6.93	5.35
Plxna4	0.12	12.47	0.18	0.0	0.0	0.0	13.6	0.06	1.87	0.0	8.9	0.01	2.26	28.71	25.59	30.42
Prkaa1	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	48.97	0.0	1.44	0.0	20.04	19.78	18.73
Pycr2	0.32	0.0	0.0	0.0	4.03	0.46	0.0	0.0	0.0	104.66	0.38	0.3	0.0	29.29	31.46	30.59
S1pr5	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	10.37	0.0	0.0	0.0	13.6	15.22	18.08
Sarm1	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	2.86	0.0	0.03	0.11	17.37	17.42	16.05
Sfrp1	0.0	0.01	0.06	0.0	0.0	0.07	0.0	0.21	0.0	48.19	0.0	0.0	0.0	5.61	5.56	5.12
Sgsm2	0.95	0.53	27.62	18.57	0.0	3.76	0.88	0.97	0.0	22.16	0.62	1.18	0.56	63.85	61.07	67.41
Shisa4	0.0	15.35	47.72	34.52	73.47	43.1	23.78	63.92	104.51	216.84	42.55	18.23	39.85	164.99	179.46	180.47
Slc16a2	0.0	0.01	0.02	34.29	0.0	0.0	24.26	0.0	0.0	72.29	0.0	0.0	0.0	29.0	27.91	29.88
Slco2a1	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.16	0.0	0.0	0.08	1.39	1.25	1.46
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Snora78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.93	0.0	0.0	0.0	1.62	0.76	0.84
Spdya	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	74.04	0.0	0.26	0.0	1.67	1.54	2.06
Speer2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.93	0.0	0.0	0.0	0.0	0.0	0.0
Speer3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
Srrm3	0.0	0.91	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.13	0.0	0.0	33.91	36.39	36.64
Ssxb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	3.41	0.0	0.0	0.0	0.0	0.25	0.18
Supt6h	0.24	40.13	2.76	1.31	41.28	33.69	43.84	21.83	10.52	30.29	15.88	21.94	25.62	82.51	87.27	84.8
Sypl	8.11	0.01	0.0	48.73	0.0	0.0	0.0	31.45	64.74	128.59	0.0	33.38	46.93	23.84	24.79	24.58
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tmem130	8.34	147.35	41.67	43.57	133.8	318.54	252.59	106.47	0.21	654.19	213.09	73.97	120.57	145.28	157.96	145.76
Tmem203	0.0	0.0	5.91	0.0	0.0	0.0	0.0	0.0	0.0	39.83	0.0	0.0	0.0	24.53	25.93	28.41
Tmem68	0.19	83.42	259.13	238.76	113.8	0.69	0.0	294.6	281.89	661.72	122.43	252.44	66.74	43.13	43.9	41.03
Trpc5	0.0	3.21	1.0	2.54	0.0	0.0	0.0	0.0	0.0	4.39	0.0	0.0	0.0	7.87	6.2	9.34
Tspan9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.77	0.0	0.0	0.0	29.09	29.41	32.05
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Unkl	5.6	0.0	0.84	0.0	0.0	0.0	0.0	8.87	0.0	105.88	2.96	59.21	0.0	40.86	39.7	36.94
Zbtb2	0.0	0.0	0.0	0.0	12.63	0.0	0.0	0.0	0.0	21.72	0.0	0.0	14.07	8.48	9.2	7.12
Zfp13	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	48.57	0.0	0.0	0.0	15.14	17.49	15.58
Zfp410	4.06	2.38	2.48	76.98	97.01	3.28	2.44	4.46	53.99	3.56	2.64	79.75	0.76	20.41	18.35	16.89
Zfp53	0.0	0.32	0.17	20.13	0.0	0.0	24.0	0.25	23.09	81.76	29.22	0.55	0.59	3.75	3.26	3.81
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c13_tRNA-Ser-AGY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.69	0.0	0.0	0.0	0.0	0.0	9.26
c16_tRNA-Gly-GGY	0.0	0.0	2.91	0.0	0.0	0.0	0.0	0.0	0.0	78.14	0.0	0.0	0.0	0.0	0.0	5.58
c5_tRNA-Ala-GCG	0.0	2.01	1.93	0.0	0.0	0.0	0.0	0.0	24.87	75.48	0.0	0.0	0.0	3.14	8.1	3.24
c6_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.56	0.0	0.0	0.0	4.63	0.0	0.0
c7_tRNA-Ala-GCY_	0.0	43.74	51.36	27.01	14.81	16.2	63.01	69.77	27.53	113.02	50.96	13.13	0.0	68.54	44.51	52.08
c8_tRNA-Leu-CTG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.55	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
