	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_98	Cux2_tdTpositive_cell_117	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_17	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
F11r	0.0	0.0	0.0	0.33	0.58	0.07	0.0	0.1	3.73	0.26	0.0	0.0	0.0	0.0	0.09	0.08	0.11	0.07	0.0	0.05	0.09	0.0	0.0	0.21	0.37	0.24	0.0	0.31	0.2	0.24	0.0	0.0	0.0	0.19	0.17	0.2	0.0	0.33	0.06	0.2	0.36	0.69	0.14	0.65	1.29	0.0	0.0	0.0	0.0	0.58	0.12	0.1	0.0	0.16	0.15	6.61	5.16	6.02
Fbxl5	51.53	151.13	59.29	41.67	233.83	186.08	0.0	209.41	325.63	0.0	147.27	153.26	14.3	0.0	39.11	47.94	2.57	83.71	15.47	95.31	36.86	48.27	47.18	46.0	14.52	99.16	14.67	54.36	47.38	72.6	109.52	10.23	43.64	0.0	1.21	155.6	0.0	70.37	0.0	48.91	43.35	102.64	9.25	110.96	170.53	80.72	49.02	81.99	64.82	0.61	74.49	56.05	1.01	26.31	0.0	86.23	81.05	82.24
Ftsj3	0.0	0.0	0.0	16.5	201.93	0.23	0.0	0.0	220.67	96.19	0.0	0.0	75.44	0.0	7.6	0.08	0.04	3.09	0.05	0.0	25.04	16.82	0.0	9.03	24.48	0.0	33.84	0.0	0.0	0.0	0.0	41.23	0.0	34.74	4.0	6.53	0.0	0.0	0.0	0.0	0.0	19.35	31.54	0.0	219.77	0.25	0.0	8.94	0.0	0.0	33.91	0.0	3.5	0.0	0.0	29.53	29.37	27.0
Gjc3	14.6	25.33	2.5	19.97	38.78	36.02	0.0	0.39	85.74	16.84	30.66	25.42	13.11	17.2	15.89	14.53	17.8	11.22	11.23	9.72	13.06	13.43	19.56	16.6	14.29	14.0	12.34	18.52	14.69	24.01	13.68	11.13	44.22	14.65	17.11	13.51	15.32	9.99	11.06	13.61	17.99	52.64	40.22	61.68	68.79	634.48	15.27	13.01	9.34	16.3	11.54	13.64	17.27	13.6	1.95	44.74	38.77	52.76
Gm14430	8.29	2.27	0.0	0.0	0.0	21.38	0.0	0.04	73.95	21.04	13.78	20.03	0.0	0.0	6.19	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	0.37	0.47	0.12	11.84	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	3.4	5.79	13.93	20.43	0.0	2.39	0.82	0.0	0.0	4.29	0.72	0.0	8.42	0.04	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	0.0	0.0	21.38	0.0	0.04	73.95	21.04	13.78	20.03	0.0	0.0	6.19	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	0.37	0.47	0.12	11.84	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	3.4	5.79	13.93	20.43	0.0	2.39	0.82	0.0	0.0	4.29	0.72	0.0	8.42	0.04	7.67	5.07	7.49
Gm19557	0.0	0.0	0.0	0.0	0.21	0.04	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.21	0.0	0.1	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.13	0.33	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.34	0.36
Gm4724	8.29	2.27	0.0	0.0	0.0	21.38	0.0	0.04	73.95	21.04	13.78	20.03	0.0	0.0	6.19	15.98	0.27	6.16	0.01	0.03	0.0	4.55	5.5	0.17	11.93	0.0	0.37	0.47	0.12	11.84	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	0.22	12.18	3.4	5.79	13.93	20.43	0.0	2.39	0.82	0.0	0.0	4.29	0.72	0.0	8.42	0.04	7.67	5.07	7.49
Greb1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.08	0.0	0.07	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.05	0.0	0.05	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.57	0.51	0.67
Helb	0.47	0.62	0.43	0.15	0.72	0.64	0.0	0.0	1.28	0.21	0.51	0.4	0.35	0.0	0.04	0.23	0.11	0.18	0.24	0.11	0.45	0.37	0.42	0.22	0.55	0.19	0.63	0.44	0.38	0.34	0.32	0.17	0.8	0.53	0.27	0.13	0.45	0.18	0.27	0.07	0.22	1.92	16.24	1.74	60.86	0.08	0.25	2.7	0.1	0.07	0.38	0.24	0.15	0.29	0.0	3.44	3.38	3.72
Itga4	2.12	5.3	1.64	3.12	7.09	40.42	0.0	0.56	13.73	3.02	4.36	10.52	8.99	0.0	1.94	4.86	4.09	3.79	1.75	1.52	3.93	3.33	5.48	3.93	5.13	3.24	3.3	2.42	3.21	3.53	4.0	2.04	3.83	6.0	4.21	4.05	3.84	3.45	3.54	2.75	3.25	6.01	30.58	20.29	122.41	0.0	2.7	2.74	2.34	3.25	2.97	2.58	2.93	2.79	0.45	11.38	8.49	11.06
Kcnk2	3.48	11.38	0.0	0.0	220.56	140.75	0.0	0.0	250.21	0.0	15.67	104.63	0.0	0.0	1.36	0.07	0.0	38.81	0.68	1.42	16.95	26.82	19.76	24.45	74.9	0.0	28.13	67.36	45.15	0.0	0.78	14.12	0.0	0.98	0.82	0.08	44.95	63.34	0.86	10.66	0.0	2.61	0.0	19.87	188.89	0.0	21.26	39.55	0.0	0.42	43.42	0.58	36.85	1.06	0.0	49.18	51.42	47.87
LOC622124	0.52	0.58	0.22	0.52	1.62	0.84	0.0	0.0	2.39	0.15	0.14	0.08	0.15	0.0	0.41	0.05	0.13	0.05	0.04	0.15	0.18	0.26	0.09	0.08	0.12	0.31	0.12	0.22	0.0	0.0	0.0	0.3	0.34	0.0	0.17	0.14	0.18	0.09	0.05	0.15	0.21	0.18	0.31	1.45	0.84	0.0	0.25	0.26	0.24	0.05	0.0	0.06	0.41	0.08	0.0	0.05	0.03	0.01
Map3k9	4.99	7.43	0.0	0.0	0.0	0.01	0.0	21.83	67.41	1.03	0.0	13.58	0.0	0.0	0.8	2.0	1.7	0.69	1.51	0.0	0.0	0.0	5.08	3.14	0.0	0.0	0.0	0.0	9.0	5.39	0.0	6.13	0.0	0.0	0.27	0.0	4.22	0.0	2.26	0.0	0.0	5.35	0.82	0.02	94.97	0.0	1.46	2.41	0.03	0.0	0.08	0.0	0.11	0.0	0.0	31.85	31.22	33.42
Mdn1	2.91	0.26	0.11	2.28	18.33	0.1	0.0	0.04	71.67	2.72	5.67	3.53	0.0	0.0	8.83	0.22	9.93	18.85	0.0	0.88	2.95	6.72	12.31	0.03	12.39	0.94	6.72	15.48	7.34	1.81	10.72	0.0	18.01	6.98	8.94	0.99	0.66	2.39	4.99	0.23	5.18	6.55	18.05	0.35	9.64	3.41	1.48	8.21	0.0	0.19	2.59	0.54	0.02	0.0	0.0	15.23	12.55	16.12
Meg3	847.89	648.89	38.17	502.48	1270.84	793.91	0.0	0.79	3304.35	216.59	500.8	444.43	478.07	0.0	298.81	538.5	317.11	233.81	650.68	356.91	444.3	304.96	632.18	518.69	448.52	539.11	313.62	805.45	563.91	309.79	688.91	490.95	422.92	645.92	452.48	469.33	448.96	518.15	439.05	361.57	538.61	501.0	1124.33	1212.89	753.11	0.0	443.23	645.27	296.48	302.67	343.21	566.43	471.89	240.66	162.5	1387.58	1233.84	1645.32
Mir3064	27.79	0.0	0.0	0.0	49.88	0.0	0.0	0.0	130.61	8.94	65.86	0.0	0.0	0.0	0.0	10.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.86	0.0	0.0	0.0	57.55	30.23	180.64	53.91	0.0	0.0	0.0	0.0	0.0	0.0	24.68	0.0	7.86	0.0	216.63	192.59	174.23
Mtdh	8.13	13.13	28.3	9.48	0.77	43.7	0.0	0.59	185.66	26.01	27.89	0.0	0.14	0.0	32.94	40.11	0.03	1.08	0.83	0.0	0.69	0.0	0.33	16.39	28.71	0.0	0.53	19.68	1.42	4.91	7.41	9.4	0.7	0.0	9.92	12.54	0.0	0.0	2.59	5.91	13.47	15.47	22.84	48.28	10.11	0.0	24.31	0.0	9.79	0.0	0.0	23.71	0.08	0.83	5.67	55.09	53.26	56.2
Npy	138375.8	173305.25	1.6	115124.65	12448.57	0.0	0.0	27034.99	14635.6	57444.26	125016.83	59230.28	80627.8	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	102118.34	130527.91	173863.58	126989.03	80801.23	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	12.38	0.0	0.0	0.0	0.0	145032.54	180453.32	38762.64	128781.07	137945.15	95298.15	137580.94	120620.2	1.5	214.21	196.57	200.76
Padi2	5.44	4.55	4.05	7.51	15.69	9.92	0.9	0.56	31.95	5.95	8.75	7.67	10.93	3.53	3.06	8.78	5.41	1.88	7.9	5.29	15.49	18.08	5.55	3.77	4.85	3.41	4.93	4.74	10.62	5.22	6.71	3.42	13.36	7.37	13.68	4.25	4.42	3.57	2.93	6.61	5.5	11.91	31.28	23.23	20.57	2.15	5.36	6.01	2.52	4.36	2.93	18.74	4.6	2.82	0.44	19.35	19.34	21.61
Pde4c	0.8	1.95	0.81	0.93	1.49	2.34	0.0	0.16	4.37	1.14	2.17	1.43	2.5	0.0	0.77	1.28	0.81	0.87	1.19	1.23	0.94	0.44	1.01	0.84	1.34	1.85	0.96	1.01	1.18	1.42	1.21	1.36	0.92	1.49	0.44	0.84	2.08	1.61	0.94	0.93	0.97	1.74	2.82	13.5	14.24	0.36	1.06	1.08	0.51	1.82	0.5	0.46	0.74	0.79	0.31	3.15	3.16	2.82
Ppp1r12b	8.79	16.62	1.13	6.98	38.65	73.89	2.67	1.18	52.19	13.98	16.0	19.55	11.33	4.14	10.2	15.04	6.17	4.59	17.62	5.21	6.57	5.68	13.33	5.34	5.81	13.35	5.0	8.25	10.5	7.91	8.29	6.9	15.32	29.09	10.58	7.39	9.82	8.95	7.44	6.86	12.13	21.81	21.26	67.8	68.81	8.53	8.79	6.55	6.75	9.71	6.07	8.94	10.1	8.9	0.0	52.73	42.74	52.78
Ppp1r3b	0.15	0.4	0.0	0.16	0.27	0.09	0.0	0.0	1.07	0.17	0.0	0.09	0.34	0.0	0.04	0.04	0.02	0.0	0.07	0.02	0.0	0.17	0.08	0.06	0.0	0.1	0.07	0.12	0.05	0.0	0.0	0.03	0.0	0.0	0.04	0.0	0.02	0.0	0.07	0.0	0.07	0.19	0.25	0.05	0.0	0.0	0.0	0.0	0.04	0.07	0.05	0.0	0.0	0.0	0.06	0.57	0.48	0.69
Rpl22	12.33	72.99	84.91	1.84	0.28	79.59	0.0	15.28	339.31	6.47	3.23	7.42	21.47	25.93	58.71	5.08	14.32	5.01	16.36	26.54	2.69	34.37	10.56	19.92	7.47	18.93	10.42	14.49	16.46	0.27	10.52	0.21	55.88	0.0	33.47	9.76	22.08	5.81	49.06	79.22	2.8	42.48	46.73	68.25	227.03	0.0	4.24	0.0	0.0	20.42	5.46	72.65	10.95	17.28	94.64	81.32	88.47	82.39
Senp5	0.27	0.4	1.43	0.13	69.06	0.2	0.0	0.42	130.68	0.28	26.4	0.58	0.25	1.16	1.14	17.15	0.52	0.55	9.57	0.35	19.31	17.22	0.13	0.35	0.54	35.33	8.76	8.36	17.69	4.05	0.11	0.28	45.84	0.4	0.03	4.24	12.26	22.13	1.16	0.35	0.18	15.26	10.83	42.08	1.39	0.06	22.23	0.35	0.04	8.33	0.97	0.36	16.79	1.85	0.12	32.11	30.03	30.39
Six2	0.96	0.0	0.0	0.28	0.85	0.64	0.0	0.08	3.84	0.19	0.36	0.25	0.56	0.0	0.1	0.17	0.13	0.0	0.44	0.0	0.17	0.15	0.14	0.0	0.19	0.0	0.27	0.49	0.38	0.03	0.75	0.65	0.0	0.44	0.93	0.25	0.0	0.13	0.31	0.43	0.2	1.02	1.2	1.34	3.24	0.0	0.24	0.3	0.0	0.0	0.0	0.12	0.0	0.43	0.0	0.89	1.01	0.32
