	Gad2_tdTpositive_cell_13	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_4	Tac2_tdTpositive_cell_5
Cnr2	0.5	5.89	4.75	3.48	5.04	4.97	3.48	3.65	1.29	3.77	3.31	4.33	4.35	2.93	2.27	2.92	7.21	3.13	10.47	10.48
Csf2rb2	0.33	4.52	0.31	4.61	4.14	2.84	4.27	5.27	3.55	2.0	3.02	4.65	5.54	0.88	8.93	3.41	7.14	2.11	5.56	11.07
Csnk1g1	0.0	0.65	0.0	14.25	17.57	0.13	4.15	14.16	9.23	2.0	9.65	4.37	3.17	26.03	0.0	14.28	62.05	13.37	42.34	44.04
Cspp1	0.0	12.09	2.16	5.12	13.17	5.42	6.54	1.54	12.06	10.19	3.53	0.0	2.38	9.8	4.55	6.07	44.28	35.55	43.09	85.01
Cyp2j5	0.0	8.13	0.0	1.41	5.21	1.55	3.81	4.59	3.82	1.38	2.37	3.31	3.35	2.6	4.57	2.36	3.92	3.18	6.73	5.03
D730005E14Rik	0.0	0.94	0.0	0.33	0.84	0.0	0.0	0.25	0.2	0.3	0.22	0.3	0.48	0.18	0.24	0.0	0.92	0.44	0.87	0.96
Dnm1	32.45	51.89	24.08	22.6	72.66	86.27	10.67	54.75	65.43	91.12	59.24	10.87	25.46	45.72	55.97	74.07	74.8	73.5	85.84	93.42
E130112N10Rik	1.99	13.72	0.19	3.61	13.15	7.01	11.19	11.98	2.71	5.81	11.08	5.82	5.72	3.5	7.89	6.49	11.95	9.97	16.04	20.79
Exosc1	0.0	0.0	0.0	1.62	41.0	32.02	202.93	33.08	25.5	54.33	118.95	53.17	23.16	0.0	0.0	28.84	139.75	62.03	136.58	132.23
Fam160a2	0.0	35.81	0.43	1.05	19.8	0.04	2.33	3.58	0.61	0.12	23.54	3.3	0.0	0.0	0.62	0.0	27.55	0.09	38.16	0.0
Fam169b	0.0	20.14	0.96	8.33	12.37	6.86	10.01	14.89	6.66	6.59	13.08	8.78	16.43	8.61	10.41	10.62	15.76	10.92	20.81	17.31
Foxr1	0.0	16.8	0.0	4.78	1.61	1.8	5.92	4.78	5.68	3.68	6.4	4.73	5.53	0.96	8.3	3.57	9.08	5.54	8.52	7.21
Frmd5	4.49	42.32	17.47	0.1	8.75	0.33	5.64	4.72	17.4	50.88	14.96	0.71	18.94	0.55	6.5	32.46	60.53	24.19	69.02	102.3
Gadl1	0.06	0.78	0.0	0.36	0.13	0.0	0.27	0.45	0.21	0.37	0.12	0.52	0.29	0.37	0.86	0.41	1.01	0.57	2.01	0.97
Gata5	0.0	1.79	0.0	0.99	1.19	0.76	0.4	2.02	0.64	1.17	1.65	1.53	1.77	0.5	1.54	0.97	1.73	1.91	2.33	1.99
Gm11128	0.17	5.98	0.19	0.35	0.47	0.71	3.07	3.58	4.84	3.96	2.37	3.53	2.62	0.64	1.04	1.07	8.45	4.89	13.26	14.64
Gm19619	0.41	9.5	0.0	3.94	4.23	6.14	4.75	6.54	4.01	3.22	4.29	8.52	6.46	1.6	2.05	2.37	12.01	5.1	6.67	14.2
Gm6300	2.45	89.19	0.56	41.98	45.33	34.98	75.22	62.52	32.97	38.14	52.3	60.82	63.9	33.61	69.62	54.51	84.67	64.82	89.61	78.19
Gnl3	2.76	150.97	0.13	6.15	112.74	0.49	11.19	58.9	90.07	79.96	92.38	93.57	163.37	6.11	76.02	0.0	11.18	135.87	132.6	150.71
Gsk3b	363.59	422.53	211.13	157.61	315.12	282.5	203.02	319.36	281.38	193.3	249.9	251.24	346.58	260.78	196.41	260.02	381.45	272.08	507.58	468.63
Gtf2e2	0.0	3.07	0.0	0.0	72.39	0.0	123.47	43.72	66.61	51.37	0.0	62.89	4.0	0.0	5.66	0.3	84.78	0.0	214.34	145.62
H2-Q4	9.24	47.28	12.74	51.53	48.57	55.38	75.93	53.17	37.18	34.38	41.03	61.1	70.94	19.69	73.23	56.3	109.62	63.83	87.56	116.18
Hmga2-ps1	0.16	2.24	0.0	0.0	0.88	0.31	0.5	0.0	0.48	1.45	0.24	0.0	0.86	1.06	0.36	0.61	1.38	1.34	1.67	1.45
Hsf2bp	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	46.18	0.14	0.0	0.0	0.23	0.0	0.0	0.14	0.07	0.22	0.37
Il5ra	0.17	3.98	0.22	4.85	4.07	4.77	13.39	5.6	8.08	5.56	8.45	5.88	12.76	6.29	4.06	4.9	18.44	9.93	18.43	11.64
Jub	0.0	3.63	0.0	2.64	1.69	1.34	1.33	1.07	1.27	2.04	0.71	1.36	2.12	0.56	1.74	2.2	4.1	1.38	3.84	3.94
Kcna2	18.16	127.03	6.75	73.62	51.03	51.01	122.82	83.1	80.42	70.45	46.36	110.12	86.53	75.49	16.77	7.87	66.46	72.29	139.21	60.15
LOC434412	0.0	0.43	0.0	0.39	0.0	0.0	0.2	0.2	0.19	0.29	0.19	0.44	0.23	0.0	0.56	0.29	0.84	0.05	0.79	1.11
Ldhb	5855.34	8550.52	10118.08	10894.4	10165.1	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	7282.37	11010.48	10182.84	6628.6	11746.38	3870.23	3979.21
Ms4a6c	0.0	30.08	0.54	8.94	10.18	9.43	12.1	4.9	8.21	11.16	12.78	5.07	14.25	2.97	16.74	11.33	25.53	7.4	20.1	28.99
Odz4	0.0	20.17	0.28	0.0	14.01	1.49	0.03	6.59	4.9	0.1	1.89	2.5	5.2	0.03	0.35	0.04	7.05	2.77	29.91	17.71
Pabpc1	1.47	155.35	34.23	68.93	45.73	81.6	0.13	8.81	9.12	10.44	31.7	4.38	13.73	0.48	11.85	10.1	122.06	63.6	172.05	127.28
Phtf2	0.0	0.0	0.0	0.0	38.82	0.0	94.8	15.46	19.93	50.11	10.62	21.32	20.87	0.0	23.3	0.0	38.44	20.67	0.0	76.17
Prr15	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.25	0.0	0.0	0.31	0.0	0.46	0.39
Prr5	0.0	0.81	0.0	0.0	0.0	0.59	0.93	0.35	0.5	0.14	0.46	0.53	0.55	0.0	0.0	0.0	0.74	0.2	1.49	1.23
Rdh18-ps	3.75	0.0	2.51	1.95	6.54	5.03	0.1	0.08	2.92	0.76	1.23	4.68	7.14	2.01	1.03	0.25	9.26	5.83	15.72	12.43
Rragd	1.15	59.51	0.0	0.0	10.72	0.0	0.0	40.63	14.76	0.03	0.86	0.3	51.47	14.76	20.37	1.52	26.47	17.35	61.75	90.21
Runx3	0.0	0.39	0.0	0.12	0.34	0.31	0.43	0.23	0.0	0.09	0.25	0.15	0.67	0.0	0.71	0.32	0.32	0.06	0.18	0.51
Skint4	0.0	13.28	0.0	2.82	5.68	3.63	4.22	6.66	2.39	3.7	5.51	5.55	4.04	2.67	6.41	3.16	9.34	5.09	10.52	7.02
Slc1a7	0.0	2.74	0.65	1.29	1.83	0.17	1.6	1.02	0.9	1.13	1.67	1.1	1.81	0.51	1.08	0.8	2.83	1.61	2.04	2.82
Soat2	2.93	18.83	3.8	6.67	12.15	21.13	15.98	9.57	9.7	9.84	6.71	13.71	11.9	4.75	8.6	5.18	23.03	19.53	19.03	20.15
Ssb	78.59	351.5	122.31	243.31	132.71	279.32	178.4	262.38	217.5	359.93	151.88	221.4	170.91	167.19	203.72	126.6	283.71	275.57	437.64	305.68
Synj2bp	16.38	155.01	20.36	66.08	91.91	63.55	152.49	83.39	59.76	73.44	75.8	83.24	135.89	64.9	113.95	78.1	131.83	98.95	145.09	206.43
Tbx18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.1
Tnfrsf10b	0.0	25.51	0.11	13.38	14.86	13.98	21.84	22.6	14.2	7.74	14.48	20.62	29.93	6.29	14.55	15.24	28.27	18.37	31.34	39.35
Trim36	0.07	4.84	0.08	3.26	4.0	4.97	5.68	4.49	2.81	3.16	5.07	4.75	6.25	1.25	3.88	4.27	6.69	2.86	5.79	8.49
Trim39	0.0	147.23	0.0	30.64	0.21	0.0	0.0	11.47	0.46	4.42	77.0	6.48	44.15	0.11	0.0	11.02	54.55	0.0	41.28	0.15
Ube1y1	0.06	9.3	0.0	4.57	9.47	8.06	10.18	9.41	5.95	5.82	6.17	10.56	13.71	2.77	5.19	7.06	28.53	8.33	69.17	23.51
Wnt4	0.0	3.72	0.0	2.39	2.69	0.97	2.78	1.79	0.84	1.24	1.51	1.48	3.07	0.87	3.31	0.84	3.28	1.72	3.2	5.26
Zfp329	0.0	21.52	1.96	8.76	28.07	88.52	44.08	21.23	19.98	27.34	16.87	53.27	1.52	13.89	36.92	45.27	51.71	3.85	10.95	68.48
Zfp644	8.68	24.56	25.31	8.39	31.26	6.93	0.65	40.0	8.2	21.6	15.91	13.48	35.12	7.75	2.25	54.1	19.96	9.1	63.72	63.35
