	Calb2_tdTpositive_cell_48	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_5
Dnajc5	0.0	0.0	0.0	0.0	102.51	93.89	0.0	108.46	92.01	82.02	116.7	121.79	105.69	25.96	125.59	127.13	126.61	30.4	0.24	26.34	124.33	84.67	58.88	118.19	9.85	68.78	79.49	23.08	122.19	147.47	82.83	73.16	48.78	45.48	109.19	38.22	90.78	96.78	150.77	50.74	66.5	99.91	98.26	58.69	91.81	43.85	25.67	49.39	0.0	0.0	0.16	0.87
Emb	0.0	0.0	0.0	0.0	108.66	159.78	0.0	80.32	2.14	66.77	69.97	0.0	35.73	35.36	52.68	26.45	21.24	0.41	0.0	72.17	67.69	78.47	75.59	71.56	3.01	0.0	0.11	0.0	25.9	0.0	80.54	0.0	20.97	9.55	61.4	8.42	17.73	95.82	24.6	61.26	135.58	44.59	85.85	43.78	0.0	0.0	0.0	52.56	0.0	0.0	0.0	0.14
Entpd4	0.0	0.0	0.0	0.0	9.35	6.38	0.0	69.02	17.23	23.34	27.6	35.13	50.03	47.93	64.0	23.64	0.26	19.13	0.29	75.58	23.24	24.36	57.33	54.15	0.0	26.7	45.23	0.28	26.58	4.83	61.83	31.28	73.97	53.68	66.68	19.42	8.12	45.93	25.64	102.87	11.59	14.17	24.77	13.22	80.39	43.05	67.52	54.61	0.0	0.0	0.0	0.0
Fsd1l	0.0	0.0	0.21	0.04	7.22	10.15	0.55	20.51	19.65	0.13	10.06	4.93	0.3	26.82	27.79	14.05	22.95	3.3	0.35	0.11	13.68	1.82	23.62	0.0	4.98	0.16	0.0	0.12	1.58	14.61	0.1	0.34	17.36	14.15	18.06	2.75	0.0	7.04	1.14	0.36	0.04	5.22	5.78	0.29	20.49	2.15	9.09	7.91	0.54	0.0	0.32	1.09
Golph3	0.0	0.0	0.0	0.0	2.33	3.54	0.0	12.51	2.15	37.97	37.73	23.65	52.36	0.0	128.28	69.61	31.84	6.25	1.69	35.6	25.24	47.48	36.63	36.42	0.0	0.0	67.41	0.0	72.83	23.25	0.0	20.18	0.24	26.63	21.75	61.15	6.76	2.3	3.51	14.64	0.46	10.68	11.18	16.79	2.33	8.76	10.93	32.99	0.0	0.0	0.0	0.0
Katna1	0.0	0.0	0.0	0.0	50.41	62.87	0.0	59.46	0.0	58.84	31.51	0.0	41.31	55.28	31.28	0.0	139.19	0.31	0.0	69.34	0.0	53.48	46.63	0.0	0.0	0.0	0.0	0.0	110.84	0.0	11.47	73.14	17.85	26.9	47.98	0.0	0.0	40.19	62.05	0.0	0.0	0.0	0.0	0.0	82.11	0.0	6.44	0.0	0.22	0.0	0.0	0.63
Kcnc3	0.0	0.0	0.0	0.0	4.92	7.36	0.0	10.1	6.18	7.5	3.21	15.58	10.08	5.98	12.39	12.47	9.13	2.87	1.21	7.84	1.74	11.58	8.77	1.36	0.0	0.0	0.06	1.64	6.09	4.31	6.75	1.34	15.04	5.05	18.42	9.2	19.58	5.08	7.27	0.89	1.88	1.87	19.57	0.09	5.34	13.46	2.21	8.74	0.0	0.0	0.0	0.0
LOC100642166	0.0	0.0	0.0	0.36	60.96	60.31	0.0	65.97	11.02	10.9	0.91	15.23	9.43	20.87	61.84	53.14	30.69	6.31	8.95	1.36	31.97	21.48	9.83	55.35	13.09	32.58	0.87	5.11	12.64	0.29	5.22	26.64	9.67	24.43	30.23	2.72	7.67	10.86	10.03	59.19	5.47	12.1	8.92	0.63	50.08	10.34	7.8	31.8	0.25	0.86	0.0	0.56
Ldhb	3513.57	2593.67	5274.92	5876.73	6832.63	8752.31	3963.33	8798.32	8750.45	10894.4	8525.9	8892.3	7735.26	8217.62	8583.06	8517.89	9220.91	9343.6	6570.82	8808.99	8223.21	8574.79	10165.1	9166.61	7814.88	9602.81	7343.35	5915.04	7785.08	7061.15	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	6703.36	7724.63	10182.84	11746.38	3251.53	772.26	731.57	5873.38
Lnx1	0.0	0.0	0.0	0.0	52.02	81.99	0.0	32.16	33.2	144.95	25.42	90.55	18.68	54.19	112.81	70.76	62.94	45.46	40.24	110.0	65.66	99.8	169.25	64.81	5.03	68.29	65.99	5.91	98.0	84.52	0.0	6.65	115.5	21.23	162.33	53.29	3.6	38.84	117.18	170.88	88.55	0.0	37.65	44.92	175.57	82.75	119.45	104.16	0.0	0.0	0.0	0.0
Lpcat4	0.0	0.0	0.0	0.0	39.11	3.56	0.0	8.81	0.0	0.0	5.8	74.81	1.51	82.99	31.33	0.34	31.45	14.4	0.47	51.65	14.95	30.45	52.72	63.47	0.0	8.0	21.34	0.31	31.86	0.0	0.0	43.54	39.91	36.05	27.28	0.22	4.77	33.17	5.94	9.23	34.23	45.63	20.04	54.86	37.29	0.0	0.0	70.38	0.0	0.0	0.0	0.0
Lsamp	823.42	0.14	0.0	870.67	62.12	101.56	0.0	89.41	11.68	34.95	51.45	81.96	84.18	131.04	74.99	121.12	177.52	59.24	51.57	114.5	62.92	114.11	141.42	27.58	28.83	34.47	37.83	93.99	149.63	101.49	60.14	51.7	72.07	65.08	118.18	25.05	26.17	69.48	62.81	96.87	61.31	37.81	74.72	80.28	58.94	75.12	29.19	37.14	0.0	0.0	0.0	0.15
Mrpl1	12.11	0.0	14.3	19.23	88.63	93.27	40.39	62.88	82.0	83.36	56.32	94.75	60.09	31.53	80.11	34.94	43.99	30.61	10.72	31.13	8.85	60.83	33.63	37.35	15.58	4.94	2.48	87.03	40.55	45.83	14.28	101.65	37.86	25.91	12.8	41.68	39.32	63.44	18.73	4.99	38.33	20.97	41.96	15.33	24.84	32.8	19.55	74.84	10.91	15.41	8.04	162.67
Puf60	0.0	0.0	0.0	0.0	146.59	143.37	0.0	95.08	249.19	14.49	240.81	85.38	166.89	178.39	149.45	117.08	137.66	81.05	69.5	134.61	202.71	0.33	54.43	6.38	1.0	169.08	76.8	0.16	92.98	4.28	11.58	159.18	62.49	58.96	0.0	292.89	126.31	117.42	76.35	102.5	69.08	89.3	1.19	125.38	193.51	144.78	111.6	163.04	0.0	0.36	0.0	1.42
Pvalb	0.0	0.0	0.0	0.0	2258.23	3332.67	0.0	1987.37	1559.12	2144.98	1365.09	1711.38	1726.65	1185.42	1292.73	1298.9	1590.34	1199.86	636.78	1414.35	1662.23	1383.0	1316.24	1251.83	538.76	1724.33	878.33	1174.35	1917.82	1000.74	1740.57	1202.67	1769.21	1815.89	1408.27	1731.8	1698.2	1628.71	1974.07	1237.21	1344.6	1735.34	1295.74	1797.97	1199.14	1472.89	1914.29	3516.69	0.0	0.0	0.0	0.43
Rhebl1	0.0	0.0	0.0	0.0	114.09	111.23	0.0	81.05	50.48	3.24	73.15	0.0	19.82	66.47	139.46	0.0	38.18	45.75	64.22	21.04	16.38	0.0	11.55	0.0	0.0	66.43	0.0	0.0	0.0	0.0	25.58	0.0	0.0	17.57	69.61	0.0	0.32	0.0	4.43	0.0	64.77	0.0	0.0	0.0	136.18	0.0	0.0	0.0	0.0	0.0	0.0	0.31
Serf2	63.26	46.74	28.2	58.4	153.3	208.37	0.59	179.65	125.24	147.29	216.61	189.5	93.97	117.91	160.51	270.12	189.3	89.69	114.74	178.51	108.46	195.89	119.57	114.62	117.28	103.52	103.46	66.44	126.45	58.1	89.14	87.66	136.33	198.7	207.46	117.75	233.1	206.93	120.52	101.64	103.37	171.7	190.28	286.36	163.36	136.2	142.14	70.22	0.0	0.0	25.84	66.31
Snord116	0.0	0.0	0.0	0.0	5.24	7.69	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	0.0	10.13	0.0	0.0	4.97	5.44	0.0	21.33	0.0	8.33	0.0	0.0	2.38	0.0	3.39	4.84	5.67	13.15	7.64	3.68	3.4	0.0	3.94	0.0	3.61	16.41	9.68	4.39	4.61	0.0	0.0	1.69	0.0	0.0	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	5.24	7.69	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	0.0	10.13	0.0	0.0	4.97	5.44	0.0	21.33	0.0	8.33	0.0	0.0	2.38	0.0	3.39	4.84	5.67	13.15	7.64	3.68	3.4	0.0	3.94	0.0	3.61	16.41	9.68	4.39	4.61	0.0	0.0	1.69	0.0	0.0	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	5.24	7.69	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	0.0	10.13	0.0	0.0	4.97	5.44	0.0	21.33	0.0	8.33	0.0	0.0	2.38	0.0	3.39	4.84	5.67	13.15	7.64	3.68	3.4	0.0	3.94	0.0	3.61	16.41	9.68	4.39	4.61	0.0	0.0	1.69	0.0	0.0	0.0	0.0
Syt2	0.0	0.0	0.13	0.0	9.09	14.63	0.0	21.44	15.67	16.73	20.8	7.48	10.07	0.8	12.96	0.0	5.13	3.67	0.0	39.22	0.65	8.09	41.45	0.23	0.0	2.83	7.75	0.0	2.23	0.36	3.39	6.89	41.2	10.3	5.17	0.6	8.14	12.5	0.64	11.34	1.64	5.09	11.19	10.32	22.93	0.0	0.13	24.66	0.85	0.0	0.17	0.1
Tcf12	0.0	0.0	0.0	0.0	19.95	23.37	0.0	0.15	0.0	0.0	3.79	0.58	0.0	29.0	36.94	0.15	24.2	0.0	1.99	3.18	0.0	0.99	0.0	0.0	2.97	0.69	0.0	0.06	0.82	0.0	13.57	0.12	30.92	0.18	0.0	18.09	0.0	0.97	0.51	0.45	0.0	10.92	0.0	0.0	21.79	0.0	0.0	0.05	0.0	0.0	0.0	0.19
Trappc1	0.0	0.0	892.21	0.0	246.25	154.71	1.27	227.8	76.86	473.57	167.61	138.09	501.21	204.78	523.22	500.26	193.75	132.27	117.96	220.85	202.06	93.6	167.21	109.9	0.0	64.36	249.25	168.73	128.66	0.0	93.41	240.5	227.4	182.34	379.87	645.31	61.33	206.5	0.0	318.93	243.77	75.31	241.02	155.41	208.0	222.83	443.35	232.69	0.0	0.94	0.0	0.53
Ube2d1	0.0	0.0	0.33	4.35	40.53	47.54	0.0	63.0	14.99	50.41	100.46	57.63	6.1	69.12	88.88	61.18	92.39	48.74	1.88	83.45	36.62	13.2	48.12	122.08	10.8	52.73	4.15	1.44	96.68	80.46	8.24	0.37	2.39	6.62	83.72	44.74	3.43	44.55	1.24	2.96	63.0	36.74	1.15	60.72	94.03	10.5	40.9	2.08	0.0	0.0	0.0	8.6
Wdr35	0.0	0.0	0.0	15.72	5.88	9.57	0.0	18.21	49.7	3.67	27.6	22.79	5.03	14.89	61.78	0.14	38.72	5.68	24.68	10.42	23.77	0.0	28.74	1.58	10.02	19.83	0.0	27.65	0.54	0.28	0.0	24.94	79.84	33.59	2.95	11.99	20.3	32.86	24.2	2.43	13.04	37.92	30.21	21.12	0.0	58.39	5.61	9.65	0.0	0.0	0.0	0.33
Wwp1	0.0	0.0	0.0	0.05	9.26	11.96	0.0	11.35	11.77	12.41	2.2	26.18	26.42	0.32	74.37	4.34	10.8	0.32	0.0	1.19	5.18	20.19	55.03	0.65	0.12	23.92	1.99	0.06	21.17	3.0	0.0	14.79	24.39	3.91	39.01	24.26	14.26	1.27	0.94	2.67	0.16	12.92	0.11	6.95	2.47	16.94	7.32	0.95	0.0	0.0	0.0	0.07
