	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_104	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_7	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_29	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_46	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gsg1l	0.0	0.0	0.0	0.0	0.0	4.02	0.0	0.1	0.05	0.0	0.0	0.0	0.07	0.03	0.03	0.06	0.23	0.15	0.21	0.0	0.24	0.0	0.0	0.0	0.0	0.22	0.0	68.85	61.79	72.47
Hacl1	0.0	0.0	0.0	0.23	0.02	0.46	0.0	0.0	0.0	0.15	0.0	0.0	0.04	0.06	0.0	0.14	106.13	0.0	0.0	0.0	0.95	0.0	0.0	0.11	0.25	0.0	0.0	5.44	6.21	5.62
Ift172	0.0	0.0	0.97	0.46	0.0	20.33	0.0	51.45	79.89	0.42	1.02	0.0	0.0	0.0	2.77	0.89	30.37	0.0	1.3	0.0	20.58	0.0	0.0	4.24	0.0	0.16	0.12	36.37	33.52	36.9
Kank2	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.13	0.0	0.04	0.0	0.37	0.1	0.12	0.31	0.0	0.1	0.05	0.08	0.0	0.61	0.0	0.22	0.06	0.0	0.0	0.31	5.72	7.31	6.18
Kif15	0.13	0.0	0.08	0.6	0.1	0.68	0.0	0.56	0.99	0.34	0.87	0.0	0.16	0.08	0.02	0.18	0.31	0.0	0.19	0.0	0.13	0.0	0.07	0.3	0.5	0.0	0.0	0.79	0.71	0.71
Kras	0.0	0.0	4.18	8.33	0.0	39.77	0.0	0.0	4.82	0.0	34.42	0.0	0.1	13.6	0.06	34.46	11.72	2.9	0.97	0.0	40.89	0.0	2.73	0.06	37.12	4.0	94.9	62.01	59.49	61.92
Llgl1	0.0	0.0	0.0	0.38	0.0	34.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.26	0.38	0.0	0.0	1.74	0.0	0.76	33.9	37.16	37.52
Ormdl1	0.0	0.0	0.0	7.33	0.0	160.42	0.0	0.1	227.69	0.32	0.0	0.0	0.0	24.56	7.8	0.0	0.0	0.0	0.0	0.0	303.14	0.0	0.0	0.0	20.92	0.0	0.36	9.74	9.58	10.11
Pag1	0.0	2.92	0.0	0.08	0.0	20.7	0.0	0.04	0.2	0.07	7.15	0.06	0.03	0.12	0.08	0.04	1.05	0.08	0.04	0.0	26.75	0.0	0.04	0.03	23.66	0.12	0.0	12.55	11.49	12.95
Pter	5.85	3.17	0.0	0.0	4.82	42.57	0.0	13.67	3.21	0.0	37.9	0.0	0.72	35.57	2.52	0.0	0.0	0.0	0.0	0.0	14.28	0.0	0.0	39.39	9.44	0.0	8.79	5.39	5.64	3.96
Reep1	12.67	0.0	20.49	0.0	26.33	122.18	0.0	156.31	216.98	161.91	13.72	0.0	0.25	0.0	1.76	0.0	54.6	0.0	0.0	0.0	233.59	0.0	0.65	46.1	43.4	4.71	32.43	107.81	106.11	104.33
Rgag4	0.0	0.13	4.33	0.0	0.0	27.13	0.0	0.04	0.0	6.31	0.0	0.0	0.0	3.67	0.15	0.0	2.72	0.0	0.0	0.0	38.27	0.0	2.13	0.0	0.0	0.0	0.0	14.06	13.98	12.39
Rgs4	3228.45	4969.56	5481.44	4271.16	5464.61	237.72	2.55	5873.8	4839.36	5539.67	4332.71	3575.18	5399.11	5219.32	5037.98	5187.94	4921.82	3617.88	6274.8	5381.62	3036.8	3732.04	2898.03	3589.98	5420.33	5598.27	6781.39	495.03	470.64	483.11
Rnasel	3.05	1.83	2.79	63.2	1.58	4.98	0.0	82.67	3.36	2.78	3.6	2.94	3.41	3.8	2.94	2.45	3.16	5.46	2.5	0.16	95.27	0.41	0.8	2.88	3.3	3.18	3.33	8.39	7.52	8.53
Sh3rf3	0.0	0.1	0.07	1.11	0.3	36.22	0.0	0.22	0.77	0.41	0.14	1.51	2.64	0.06	0.08	0.77	0.37	0.41	0.26	0.0	12.71	0.0	0.0	0.2	0.0	0.38	0.28	16.15	14.61	15.92
Shank1	5.03	5.24	3.44	2.66	2.22	12.28	0.0	13.22	12.92	6.01	8.65	16.34	4.93	1.57	4.3	3.95	11.09	9.44	7.71	1.19	16.25	1.02	1.95	3.6	20.7	12.25	14.54	148.7	139.9	181.16
Shoc2	0.16	0.28	0.0	0.0	7.44	101.41	0.0	0.92	3.45	1.59	65.44	0.0	86.68	0.03	0.05	96.72	42.47	0.0	80.04	0.0	243.68	0.0	0.09	16.79	0.0	0.0	0.0	41.89	37.75	38.05
Srsf6	0.0	22.81	0.11	8.43	0.0	22.03	0.0	126.07	249.86	2.21	12.42	0.0	0.0	29.56	1.8	2.5	59.54	9.48	0.0	0.0	13.72	68.74	0.0	5.32	52.55	60.89	82.47	78.5	82.94	77.17
Trappc6b	0.0	67.87	0.0	32.07	0.0	85.38	0.0	232.25	15.24	0.0	124.82	67.85	0.17	17.21	11.38	80.06	483.03	24.79	0.27	0.0	138.65	51.18	0.0	60.76	49.24	0.0	32.14	119.23	116.89	110.37
Trim39	0.0	0.0	0.0	0.14	0.16	81.36	0.0	33.68	0.15	0.15	0.0	14.81	0.14	0.12	42.85	0.34	203.7	0.0	33.21	0.0	70.2	0.0	0.0	0.09	0.0	0.68	23.82	22.87	23.34	21.75
Usp33	0.0	2.75	0.0	0.0	124.35	157.73	0.0	235.95	115.58	90.52	244.7	0.0	150.97	79.75	0.0	88.81	0.1	0.16	138.95	0.0	254.91	0.0	73.66	35.47	27.94	0.0	0.32	99.71	93.96	96.49
