	Chrna2_tdTpositive_cell_49	Pvalb_tdTpositive_cell_48	PvalbD.Slc32a1_tdTpositive_cell_13	PvalbD.Slc32a1_tdTpositive_cell_14	Sst_tdTpositive_cell_100	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Efcab6	0.0	2.0	0.0	0.0	0.0	5.74	6.15	5.76
Fam186b	0.0	0.17	0.0	0.0	0.0	1.11	1.02	1.08
Fam189a1	0.0	63.94	0.0	2.04	0.0	47.7	48.05	48.23
Fstl4	0.0	61.16	0.23	0.0	0.0	16.09	13.78	16.47
Get4	0.0	22.38	0.25	0.0	0.07	55.98	62.01	56.66
Gfra4	0.0	24.57	0.0	0.0	0.0	40.32	48.59	47.21
Gga1	0.14	27.94	0.16	0.0	0.0	52.2	55.13	54.96
Gm527	0.0	0.78	0.0	0.0	0.0	7.99	6.75	8.1
Gm7120	0.0	176.64	0.0	0.0	0.0	18.92	34.59	35.55
Grik3	0.05	19.96	0.03	3.31	0.01	37.3	36.28	36.36
Gys1	0.0	57.52	0.0	0.1	0.0	12.8	13.74	12.16
Hook2	0.0	13.07	0.0	5.47	0.0	14.98	15.85	14.02
Kcnt1	0.0	1.07	0.04	0.06	0.0	77.78	78.9	85.59
Kif11	0.26	0.77	0.67	0.4	0.26	1.19	1.2	1.5
Kif26b	0.0	20.27	0.0	0.0	0.0	2.88	3.43	3.79
Lgr5	0.47	1.46	1.02	0.7	0.18	1.81	2.4	2.44
Ly6h	0.0	9.26	0.28	1.66	0.0	305.82	367.1	337.26
Macrod2	0.0	29.45	0.0	0.0	0.0	29.11	28.47	30.48
Mapk13	0.0	0.39	0.0	0.0	0.0	0.65	0.54	0.89
March8	0.0	96.19	0.0	0.0	0.0	35.97	35.62	36.66
Med25	0.0	0.47	0.0	0.0	0.0	59.42	67.15	67.28
Mfap3l	0.0	34.68	0.0	0.0	0.02	25.45	20.18	25.68
Ncor2	0.52	6.49	0.0	4.75	0.06	47.65	50.12	57.88
Nhlrc3	0.0	53.61	0.0	0.0	0.0	5.88	6.98	7.78
Nlgn2	0.21	30.8	14.94	23.11	0.03	132.5	135.21	131.05
Nuak1	0.0	12.47	0.0	0.0	0.0	42.03	41.11	41.92
Nubp1	0.0	14.31	0.0	0.0	0.06	17.71	16.92	16.56
Osbpl11	0.05	51.12	0.05	0.0	0.0	14.34	14.11	12.95
Pacs2	0.12	6.3	0.04	0.06	0.03	62.85	66.6	75.48
Ptpru	0.0	0.19	0.0	0.0	0.0	23.57	24.74	26.08
Rab1b	0.0	90.05	12.02	0.0	0.41	158.54	173.27	167.43
Rab43	0.0	10.88	0.0	0.0	0.0	13.43	14.19	12.43
Rabep2	0.0	8.59	0.0	0.0	3.53	9.77	11.34	10.72
Rin1	0.71	14.69	0.93	0.42	0.43	40.41	39.93	40.75
Rtp4	0.0	0.34	0.0	0.0	0.0	4.25	2.51	2.88
Shank1	5.19	13.1	9.12	5.7	0.23	148.7	139.9	181.16
Shb	0.0	9.48	0.09	0.0	0.0	9.92	11.14	9.47
Ski	0.04	11.25	0.0	0.0	0.0	82.09	84.19	83.95
Slc16a1	0.0	55.32	0.27	0.0	0.7	23.48	23.61	24.18
Slc25a32	0.0	15.84	0.0	0.0	0.0	8.87	8.67	7.64
Slc35e1	1.43	28.45	0.78	1.91	1.81	32.57	31.4	29.98
Snta1	0.0	13.13	0.0	0.0	0.0	25.48	30.84	30.12
Sox8	0.07	0.18	0.0	0.0	0.0	44.76	43.15	32.46
Src	1.21	18.0	1.77	2.11	0.0	70.08	73.11	71.61
Tcf23	0.0	0.13	0.0	0.0	0.0	0.48	0.33	0.35
Tecpr1	0.05	26.07	14.2	0.0	0.0	59.71	59.83	62.65
Tspan4	0.0	56.14	0.0	0.0	0.0	16.88	16.55	15.04
Uhrf1	0.0	4.3	0.0	0.0	0.0	1.27	1.48	1.62
Unc119b	0.0	23.77	0.0	0.0	0.0	21.35	22.4	20.12
Vsig2	0.0	25.22	0.0	0.0	0.0	12.86	11.9	11.71
Xylb	0.0	7.93	0.0	0.0	0.0	4.87	5.03	4.83
Zbtb25	0.0	2.89	0.0	0.0	0.0	14.89	12.79	15.23
Zfp458	0.0	0.15	0.0	0.0	0.0	3.85	2.68	3.6
Zfp622	2.53	37.1	9.05	0.38	6.33	29.77	31.42	29.21
Zfp710	0.33	22.49	0.0	0.0	0.0	10.96	10.61	11.25
Zmynd10	0.0	0.31	0.0	0.0	0.0	3.74	4.22	3.4
mt_AK131586	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	2.6	36.67	0.0	0.0	0.0	18796.57	17507.83	18655.33
