	Rbp4_tdTnegative_cell_16	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fam110a	0.0	0.0	5.02	5.5	6.17
Fam195b	0.0	103.14	102.95	110.67	103.91
Fcrlb	0.0	0.0	0.94	0.44	1.77
Fhl4	0.0	0.0	0.63	0.94	0.88
Fn3krp	0.0	0.0	38.77	36.29	25.96
Foxi1	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.03	0.03	0.06
Gm12238	0.0	0.0	0.0	1.05	3.46
Gm16381	0.0	0.0	0.0	0.0	0.42
Gm1715	0.0	0.0	0.2	0.19	0.62
Gm5434	0.0	0.0	0.0	0.25	0.16
Gpr37l1	0.16	0.0	166.73	179.09	183.06
Hhla1	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.14	0.14	0.14
Hivep2	0.0	0.0	91.36	84.2	96.55
Hoxd8	0.0	0.0	0.07	0.07	0.07
Igfbp7	0.0	0.0	37.77	40.85	41.59
Ikbkb	24.03	0.0	29.39	26.42	28.05
Inhbc	0.0	0.0	0.05	0.05	0.1
Itgb8	0.0	0.0	21.22	18.52	23.65
Kcnk9	0.0	0.0	46.91	40.93	50.68
Kera	0.0	0.0	0.05	0.05	0.05
Klf4	0.35	0.0	6.12	5.73	4.28
Klhl12	0.0	0.0	33.49	32.04	32.28
Lao1	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.11	0.1	0.11
Lxn	0.0	0.0	52.5	50.32	48.0
Mertk	0.1	0.0	25.29	21.03	26.02
Mgl2	0.0	0.0	0.95	0.77	1.08
Mgp	0.0	0.0	45.72	42.58	40.94
Mir215	0.0	0.0	1.32	1.24	1.36
Msh4	0.0	0.0	0.03	0.03	0.06
Mthfs	0.0	0.0	7.23	5.7	4.93
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nol4	0.0	0.0	68.21	60.89	65.55
Nron	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr875	0.0	0.0	0.1	0.09	0.0
Palm2	0.0	0.0	21.01	17.83	20.89
Patl2	0.0	0.0	0.12	0.19	0.0
Pcdha9	0.0	0.0	7.06	6.55	7.66
Pcdhgb8	0.0	0.0	2.52	1.89	2.44
Plcl2	0.09	0.0	48.89	47.95	46.14
Ppap2b	0.0	0.0	183.07	186.52	198.55
Ppp1r13b	0.0	0.0	46.63	47.78	45.5
Ppp1r16a	0.0	0.0	56.2	61.66	62.56
Pramel5	0.0	0.0	0.1	0.0	0.05
Prex2	0.59	0.06	20.86	16.59	21.5
Ptpn13	0.08	0.0	7.45	6.34	6.4
Ptprz1	0.13	0.05	65.78	60.39	76.37
Pvrl2	0.0	0.0	5.96	7.7	6.95
Raver2	0.0	0.0	15.78	14.93	14.76
Rfwd3	0.0	0.0	19.01	18.56	18.54
Rlbp1	0.0	0.0	21.25	21.05	20.33
Ryk	0.0	0.0	20.16	19.78	18.76
Scara3	0.0	0.0	20.09	21.7	23.66
Scrg1	0.0	0.0	44.63	37.18	36.22
Sgms1	0.0	0.0	25.38	23.06	23.72
Sipa1l1	0.08	0.0	155.29	141.67	160.84
Slc2a2	0.0	0.0	0.04	0.07	0.16
Slc6a18	0.16	0.0	2.57	1.94	3.66
Slco6c1	0.0	0.0	0.04	0.04	0.04
Slit1	0.0	0.0	38.98	41.29	42.41
Snord116	0.0	0.0	1.22	1.15	1.9
Snord116l1	0.0	0.0	1.22	1.15	1.9
Snord116l2	0.0	0.0	1.22	1.15	1.9
Sox8	0.0	0.5	44.76	43.15	32.46
Spg20	0.1	0.0	25.24	24.5	24.57
Stmn4	0.0	0.0	296.95	326.33	304.73
Tacr3	0.0	0.0	2.53	2.24	2.35
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tet1	0.08	0.0	3.75	3.32	4.28
Tlr3	0.0	0.0	7.99	7.52	9.55
Tmem146	0.0	0.0	0.81	0.87	0.87
Trat1	0.0	0.0	0.9	0.28	0.93
Tspan14	0.0	0.0	39.03	42.33	45.64
Ttc38	1.73	0.0	7.84	7.69	7.21
Ttc39d	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Vmn2r37	0.0	0.0	0.1	0.0	0.08
Xpnpep2	0.0	0.0	0.25	0.08	0.09
Zfp382	3.38	0.0	14.56	13.16	13.42
Zfp652	0.0	0.0	15.85	14.74	16.25
Znhit2-ps	0.0	0.0	35.2	42.26	42.98
Zp3r	0.0	0.0	0.05	0.05	0.05
cx_5S	0.0	0.0	1.52	3.47	2.14
mt_AK131586	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
mt_BC081549	1.68	0.0	0.19	175.25	190.99
mt_BC104337	0.0	0.0	9032.87	8417.95	8583.15
