	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_104	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36
Gm8773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.88	0.0	12.14	1.63	9.99	0.0	1.45	11.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpr133	0.0	0.0	0.0	0.0	0.0	0.04	0.0	2.18	0.0	0.0	1.1	2.37	4.43	14.79	5.44	1.55	4.98	4.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H2-Ke2	492.02	286.0	0.0	390.75	333.42	116.22	5.19	142.55	47.29	187.24	218.18	322.25	159.2	210.1	203.79	153.81	198.6	203.21	0.0	130.64	259.38	176.36	0.0	0.83	69.41	94.59
Il11ra2	0.16	0.2	0.14	0.22	4.1	0.0	0.38	0.24	0.15	0.0	0.21	2.82	2.35	3.62	0.41	0.96	1.27	4.28	0.21	0.17	27.58	0.0	0.28	0.0	0.09	0.06
Large	7.77	8.38	0.0	92.59	12.6	76.55	1.32	3.69	0.0	1.69	27.26	37.87	48.13	41.75	45.65	75.58	38.65	35.73	16.93	167.17	45.6	2.51	21.74	0.1	3.49	71.47
Mad2l1	95.61	0.0	0.0	0.0	0.0	254.43	0.0	0.0	0.21	0.37	30.06	25.84	4.93	45.83	22.47	17.06	38.9	18.39	0.0	0.0	0.0	0.26	0.0	172.88	0.0	0.0
Mas1	0.32	19.59	0.14	0.0	0.0	0.16	0.0	75.82	0.0	0.0	0.0	124.01	97.06	50.19	19.69	21.29	31.66	29.54	0.0	0.0	0.0	0.0	0.0	0.31	0.0	70.81
Mcm4	0.0	0.0	0.0	0.09	0.0	0.06	0.0	0.0	0.0	2.25	19.35	15.62	4.07	2.86	19.57	7.45	13.23	12.4	0.0	0.0	0.08	0.0	0.0	137.49	0.0	0.0
Otud5	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	4.63	6.15	4.62	8.94	3.26	6.24	3.18	0.0	0.0	8.87	1.06	0.0	0.0	0.0	0.49
Pcsk1	280.27	8.38	0.0	8.95	4.21	0.16	0.65	0.0	1.66	40.02	85.25	97.9	60.32	40.56	31.26	18.1	67.96	53.44	0.0	0.0	95.48	0.0	70.85	0.0	0.0	4.12
Phospho2	0.0	0.0	0.16	0.0	0.0	0.19	0.0	2.17	0.0	4.18	35.97	19.12	32.54	59.86	34.48	14.75	15.56	36.55	0.0	0.0	0.14	0.0	0.0	0.18	0.22	25.9
Prune	0.0	0.1	0.0	5.95	0.0	0.38	0.0	0.0	0.0	0.0	25.35	14.34	16.86	19.04	43.43	26.17	22.36	21.97	0.1	6.42	0.09	0.0	0.0	0.0	0.0	0.0
Ptgs2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	6.77	0.83	0.07	2.47	0.0	6.39	4.07	6.92	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0
Rab9b	0.27	0.2	0.0	0.09	0.07	0.27	0.41	0.45	0.37	0.0	7.39	4.03	15.38	15.16	6.85	1.42	17.33	13.64	0.21	0.0	0.97	0.0	0.0	0.3	0.4	0.18
Rabif	76.6	74.18	0.17	0.0	274.18	0.46	20.05	10.76	0.47	96.74	112.63	92.69	130.22	197.08	118.48	111.38	135.36	99.75	0.82	9.45	0.0	0.24	0.0	157.55	0.0	0.0
Rasl10a	0.0	0.0	0.0	21.9	0.0	11.75	3.2	0.0	0.0	0.0	9.13	0.27	13.15	24.08	18.65	7.93	6.12	11.22	0.0	0.27	0.0	0.0	0.0	0.0	0.0	9.64
Rgs20	39.83	0.82	0.53	182.56	0.63	2.76	10.7	102.01	2.48	240.03	43.59	31.86	69.44	60.95	33.44	59.68	16.35	22.05	1.28	0.45	0.92	1.09	0.0	0.23	1.21	21.06
Rps6ka2	0.0	0.0	0.0	0.75	0.0	9.22	0.0	7.36	0.27	15.31	7.79	14.78	10.81	6.25	3.43	5.42	6.77	4.66	0.0	26.43	0.0	0.0	0.0	0.0	0.0	43.57
Rrp7a	0.0	0.51	0.0	0.18	0.13	20.12	0.0	6.16	9.72	65.88	60.94	92.09	51.53	103.31	56.07	58.18	49.71	48.96	136.71	0.0	0.0	194.96	21.62	1.99	0.0	46.57
Scamp3	0.0	37.53	0.0	95.74	75.55	0.27	0.0	0.0	0.0	79.79	47.26	75.52	68.46	44.38	41.29	93.26	51.49	71.9	0.0	0.0	10.3	0.0	0.0	3.44	9.79	38.47
Slc35e3	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	9.31	19.72	17.4	21.23	5.15	6.49	7.84	15.54	4.12	0.0	1.54	7.3	1.58	8.48	0.0	0.87
Spnb1	0.0	0.0	0.0	2.84	0.14	0.02	0.0	0.0	0.0	0.12	0.14	1.77	1.25	1.71	0.44	0.17	1.64	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
St8sia3	32.89	0.36	4.53	61.22	176.24	0.76	54.68	41.31	0.91	245.29	77.45	88.07	41.69	68.25	66.91	113.0	61.01	67.75	46.17	81.29	91.25	118.23	20.54	79.7	31.15	30.88
Sult2b1	48.82	0.0	0.0	81.01	0.22	0.36	65.47	0.0	0.0	0.0	41.3	34.74	63.22	29.97	47.09	30.7	72.64	74.35	0.0	0.0	428.88	0.0	168.56	140.32	0.0	0.0
Txn2	353.78	264.12	0.27	180.83	271.54	352.02	160.71	280.65	21.34	239.53	332.78	283.85	248.37	297.68	308.83	405.38	331.01	396.73	0.43	411.48	192.02	357.8	210.68	77.66	5.49	365.17
Wdr70	2.26	0.0	0.55	1.0	0.0	16.65	0.78	3.45	0.0	0.0	17.68	12.97	23.82	28.17	10.98	23.82	14.19	19.79	1.77	0.0	80.47	0.0	0.0	0.0	0.22	70.04
mt_AK136262	33.84	75.42	0.09	0.05	0.0	0.0	0.0	0.0	0.01	0.11	9.86	261.93	210.2	12.15	50.19	19.33	8.22	0.19	0.61	1.14	52.84	4.5	0.0	240.38	68.82	2.48
mt_AK142003	33.84	75.42	0.09	0.05	0.0	0.0	0.0	0.0	0.01	0.11	9.86	261.93	210.2	12.15	50.19	19.33	8.22	0.19	0.61	1.14	52.84	4.5	0.0	240.38	68.82	2.48
mt_AK166798	33.84	75.42	0.09	0.05	0.0	0.0	0.0	0.0	0.01	0.11	9.86	261.93	210.2	12.15	50.19	19.33	8.22	0.19	0.61	1.14	52.84	4.5	0.0	240.38	68.82	2.48
mt_AK166978	33.84	75.42	0.09	0.05	0.0	0.0	0.0	0.0	0.01	0.11	9.86	261.93	210.2	12.15	50.19	19.33	8.22	0.19	0.61	1.14	52.84	4.5	0.0	240.38	68.82	2.48
