	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_92
Park7	647.58	0.76	410.66	307.48	503.79	508.35	650.19	406.37	523.6	866.74	386.38	699.51	188.6	791.0	795.39	1310.25	1025.09	135.47	655.31
Pde4c	0.29	1.91	1.67	5.06	1.78	0.99	8.09	3.12	15.86	1.66	0.98	1.74	1.94	1.7	2.63	2.75	1.81	1.32	4.7
Phyh	0.0	0.0	0.0	0.0	33.43	0.0	122.24	232.29	3.63	529.98	307.52	316.26	98.96	289.22	100.95	389.27	309.37	107.6	231.16
Pik3ca	2.02	0.22	0.03	0.0	13.61	0.49	6.25	8.12	118.87	40.99	4.14	21.39	4.32	0.66	6.52	55.72	10.97	100.97	26.54
Pls3	0.0	0.0	0.0	0.0	8.79	3.61	147.31	0.0	2.06	361.17	55.62	142.25	182.5	33.72	86.03	431.19	39.67	56.63	80.53
Prosc	0.0	0.0	0.0	0.0	0.14	0.04	3.5	0.37	0.76	97.84	2.8	24.93	2.51	52.83	114.71	58.38	11.95	3.41	38.24
Rmnd1	0.0	0.0	17.14	0.0	0.0	0.0	4.79	0.0	0.0	57.84	0.0	114.21	0.0	46.47	93.14	173.04	0.0	0.0	67.9
Rrp1	117.72	0.17	312.44	0.0	0.29	275.58	196.19	8.62	1.58	220.37	95.68	172.85	17.35	133.65	45.52	134.7	51.63	1.16	10.55
Sacm1l	0.0	0.0	179.12	0.0	0.0	0.0	117.88	4.96	0.3	159.9	55.03	82.77	96.49	33.07	122.73	67.85	277.67	314.79	194.88
Sars	0.0	0.0	28.05	0.0	92.22	0.26	192.97	37.81	3.74	464.94	111.2	130.76	123.78	206.93	158.9	262.98	204.04	116.57	89.95
Sco2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.34	0.0	0.0	12.56	0.0	0.0	0.0	5.28	143.96	0.0
Sgip1	0.0	0.0	0.0	0.0	0.15	0.0	13.36	16.57	18.3	47.03	14.91	41.81	5.39	41.9	42.62	58.96	44.02	7.72	28.58
Spry4	0.0	0.0	0.1	0.0	19.79	0.03	38.51	0.05	0.91	94.03	12.46	38.9	0.0	62.68	25.36	105.23	4.82	0.05	39.59
T2	0.2	0.0	1.31	1.6	1.1	0.2	1.14	0.0	0.0	0.74	0.0	1.02	0.0	0.88	0.8	1.81	2.32	0.71	0.93
Ttc3	49.9	0.0	110.72	0.06	231.34	3.79	340.31	65.53	28.11	425.66	226.43	333.74	230.37	243.15	348.05	429.86	138.09	184.63	363.78
Ttc37	0.0	0.0	0.0	0.0	0.53	0.0	0.0	8.22	0.19	1.09	11.4	8.18	0.0	0.0	0.55	26.4	0.17	0.05	2.93
Ttyh3	0.0	0.0	0.1	0.0	0.49	0.0	0.0	0.5	5.14	3.16	0.81	1.22	0.75	2.19	3.32	18.02	4.36	1.64	0.51
Uba1	0.0	0.0	0.0	0.12	23.49	0.17	28.1	0.97	6.16	93.45	15.01	59.6	22.42	145.29	125.46	206.04	2.9	158.73	87.99
Ucn2	0.0	0.93	1.81	4.3	0.6	0.0	0.0	0.64	0.98	0.99	0.0	0.46	0.73	1.09	3.56	0.85	1.06	0.28	0.18
Wfikkn2	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.6	0.3	0.17	0.39	0.0	0.2	0.28	0.36	0.82	0.42	0.34
Wwox	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	156.65	37.44	32.63	0.0	33.53	89.75	103.33	0.0	0.11	106.89
mt_AK131579	18764.23	19273.1	34292.23	55662.18	73067.83	55281.42	56311.06	94403.3	50469.69	17392.87	60705.47	30389.16	56120.42	45312.1	46620.23	16390.07	59803.41	51796.42	44271.34
