	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_182	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Akr1cl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.08
Aox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44	0.08	0.04	3.41	3.8	3.95
Armc8	9.38	0.0	0.0	0.0	0.0	0.08	0.0	52.04	0.0	0.0	18.06	0.0	0.0	0.0	0.0	0.02	78.35	31.94	55.93	70.61	25.68	51.01	48.74	48.28
Atp13a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	1.48	0.0	0.0	0.12	17.38	0.0	18.41	27.12	0.37	4.28	39.61	91.7	99.84	96.26
Birc7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.17	0.48	0.53
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Camk2g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	147.16	0.0	0.0	68.57	23.74	91.58	63.89	28.56	180.29	188.2	179.49
Ccdc112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.99	3.44	0.0	10.48	10.78	9.82
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.61	93.01	75.81	76.52	2.83	30.63	28.29	22.96
Cd244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.01	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chit1	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.36
Clcn7	1.01	0.0	0.0	0.0	0.0	20.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	12.16	15.38	11.88	7.74	88.13	36.73	37.43	39.43
Coq9	0.0	0.0	0.0	18.92	21.45	0.0	0.0	388.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.26	16.55	56.45	86.51	57.68	75.3	76.4	73.36
Crkl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	5.54	0.18	0.0	31.14	28.3	26.35
Ctnnal1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	4.93	4.58	5.84	0.02	12.31	12.28	13.35
Cyp4f18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	1.06	0.0	0.0	0.35	0.28	0.24
Dhodh	0.18	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	12.21	59.38	25.51	21.61	1.83	14.72	17.72	14.98
Dr1	215.51	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.85	0.45	2.34	0.04	41.32	40.01	35.96
Eif2c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.42	0.0	0.0	0.0	1.29	2.67	4.98	11.78	38.59	36.53	36.5
Fahd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.0	0.0	33.22	0.74	83.48	57.17	38.36	21.67	22.55	23.46
Fam171a1	0.0	0.0	0.0	0.19	197.48	0.17	0.37	0.08	0.0	0.0	0.98	0.09	0.0	0.0	0.12	0.04	4.03	2.31	11.44	5.11	1.74	56.35	54.87	54.77
Fam176a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.34	0.0	8.26	3.55	0.0	11.75	11.28	9.64
Fam177a	2.05	2.8	0.52	1.44	6.39	0.15	8.99	2.96	3.42	6.26	1.72	0.0	0.0	0.0	14.66	31.78	9.09	9.2	11.25	14.19	20.73	17.56	16.4	17.92
Fam195b	0.0	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	757.8	0.0	0.0	0.0	228.23	231.51	0.0	29.68	23.04	14.51	45.51	107.47	102.95	110.67	103.91
Fam65c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.32	0.21
Fastkd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	16.52	0.09	12.08	16.34	0.0	7.6	6.7	5.72
Fktn	0.2	1.3	0.12	4.23	0.5	5.53	3.47	0.0	0.45	0.84	0.7	0.6	0.0	0.75	4.9	0.0	31.66	56.6	21.61	18.27	0.24	25.4	20.54	27.02
Foxg1	0.14	0.0	0.0	0.29	0.12	0.0	0.1	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.77	1.12	25.08	36.59	1.74	8.63	1.82	83.41	89.76	85.33
Gabpb2	0.56	0.44	3.92	1.56	0.53	0.37	3.01	24.74	135.83	2.26	1.1	0.92	0.0	0.28	2.12	1.37	2.64	1.24	6.87	2.16	2.66	9.12	8.58	8.74
Gdf10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8	8.03	6.67
Gm10565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.11	0.27	0.23
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.61	93.01	75.81	76.52	2.83	30.63	28.29	22.96
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0.15	0.0	3.4	1.12	3.28	5.97	6.2	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0.15	0.0	3.4	1.12	3.28	5.97	6.2	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.61	93.01	75.81	76.52	2.83	30.63	28.29	22.96
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.12	0.03	0.0	0.0	0.0	0.0	0.15	0.0	3.4	1.12	3.28	5.97	6.2	7.67	5.07	7.49
Gmpr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	37.12	100.89	69.14	34.0	67.56	24.09	24.69	23.07
Gstz1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	8.99	0.0	0.33	0.0	10.5	169.0	76.76	42.05	52.54	51.85	38.24	41.43	36.89
Hars2	0.0	0.0	0.0	0.0	61.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.53	0.1	24.53	12.0	0.0	23.06	20.94	19.55
Hhatl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	0.0	12.91	14.21	15.6
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hmgn3	700.2	0.0	0.48	0.0	0.0	0.0	0.0	0.37	0.0	17.0	0.0	0.0	0.0	297.99	15.5	373.2	110.99	283.41	192.18	225.87	225.75	87.3	88.27	80.73
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hs3st3b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.73	0.56
Kalrn	0.15	0.06	0.22	0.2	0.34	0.06	0.15	6.03	0.63	0.2	0.21	0.04	0.0	21.08	0.46	0.13	14.54	11.14	21.24	18.67	31.55	250.25	239.88	249.16
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Kif9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.17	3.48	3.26	2.64	28.99	4.63	4.25	5.51
Lrp10	0.0	0.0	256.05	0.0	0.0	0.0	0.0	196.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.36	0.1	0.72	1.37	0.0	18.03	22.06	21.75
Ly6c1	11342.15	27337.17	20023.87	17299.55	17167.84	22997.34	27599.67	25912.2	30945.52	30804.82	20851.1	9971.48	11430.32	19618.61	19833.84	24317.47	0.0	0.0	0.0	0.0	229.51	65.79	66.56	70.09
Map3k14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.06	3.41	3.77	2.72
Mapkbp1	0.18	0.0	0.5	0.06	0.22	0.0	0.05	0.43	0.57	0.34	0.0	0.15	0.0	0.13	0.43	0.07	4.3	0.67	4.41	3.81	3.38	28.61	27.57	30.3
Mastl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	0.73	0.0	0.44	0.79	0.74
Med20	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	14.78	0.0	56.02	0.0	0.0	0.0	0.0	70.89	96.56	16.11	53.7	0.16	21.04	23.25	19.06
Mir1192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.56	0.0	15.59	5.31	0.0	1.16	1.09	0.0
Myh6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	2.77	7.71	1.24	1.5
Nudcd1	0.0	0.0	1.73	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.0	0.0	0.0	0.0	0.0	0.0	4.65	2.66	1.46	14.93	0.0	11.65	11.87	11.78
Nudt21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.56	144.86	101.64	29.4	0.0	51.69	53.19	48.56
Olfr461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.29	0.51	0.22
Optn	22.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	1.03	0.0	0.0	24.85	13.56	14.66	14.72
Pak6	0.0	0.0	0.0	0.0	0.02	0.0	0.29	0.18	0.29	0.0	0.14	0.0	0.0	0.12	0.11	0.11	5.86	21.52	10.56	3.1	7.96	53.89	55.79	57.27
Pcdhb14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.65	6.62	4.89	6.76
Phactr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.41	3.38	5.36	19.38	66.7	67.73	71.18
Pigo	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.03	4.54	1.94	0.02	17.48	15.46	16.75
Pion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	0.0	0.16	0.46	0.02	4.33	4.46	4.51
Poll	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83	0.0	0.23	0.0	0.0	0.0	68.26	0.0	0.0	0.0	13.0	9.02	120.35	8.56	9.86	7.65
Ppfia1	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	4.96	0.03	1.66	4.6	3.27	22.74	22.61	22.25
Ppp1r8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	31.52	4.82	14.54	18.51	3.14	34.14	36.42	31.18
Ptpla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.24	253.67	0.7	10.57	56.15	16.49	18.82	18.1
Pts	0.87	4.27	10.48	8.34	4.05	0.86	4.37	13.5	28.9	3.62	2.56	6.97	0.0	17.35	7.5	24.53	62.18	10.13	64.45	54.65	68.4	32.06	38.38	33.41
Pydc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
Rgs7bp	0.07	0.84	2.46	1.07	1.5	0.47	4.26	0.52	2.73	0.82	3.83	0.39	0.0	5.03	0.86	2.13	47.84	31.02	43.53	44.7	57.71	124.57	101.66	124.47
Rif1	0.0	0.0	0.0	0.05	0.0	0.41	0.0	0.04	0.0	0.0	0.0	0.0	0.0	104.1	0.05	0.0	2.6	0.53	6.64	4.71	0.0	10.09	7.03	9.28
Sec24d	0.0	0.0	0.0	0.0	35.95	0.0	0.0	4.1	0.0	0.0	0.0	182.05	0.0	0.12	10.67	10.56	3.4	0.16	0.41	1.77	0.02	10.06	11.33	10.36
Sema4g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	15.72	16.16	16.98
Shc1	0.45	0.1	0.0	41.42	0.15	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	46.48	0.0	0.0	0.42	0.0	0.0	0.11	6.21	8.94	9.62	8.87
Slc15a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.16	0.65	22.86	8.4	35.54	18.89	18.04	19.79
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smyd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.91	0.0	0.06	27.08	0.24	57.2	59.2	9.02	42.46	44.54	43.41
Snord100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.07	0.0	0.0	18.52	0.0	0.0	0.0	6.28	2.96	0.0
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.84	1.84	0.0	1.81	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.84	1.84	0.0	1.81	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.84	1.84	0.0	1.81	1.22	1.15	1.9
Spire1	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.39	0.08	0.0	44.35	14.6	23.78	28.36	43.42	93.54	91.17	91.85
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d22a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.32	0.0	0.0	0.0	0.0	0.0	249.66	0.0	0.0	14.55	5.24	3.54	3.51	2.53	29.09	28.2	27.61
Tecpr2	0.37	0.14	0.25	0.21	0.12	0.0	0.71	0.09	0.29	0.12	0.25	0.09	0.0	0.23	0.41	0.17	3.43	1.44	4.87	3.95	6.16	37.36	37.41	39.21
Tfap2e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.04	0.14
Thap6	0.68	0.0	0.0	0.28	1.75	0.0	5.23	0.57	0.0	0.0	1.61	0.35	0.0	1.26	0.54	0.38	0.39	0.61	0.48	0.69	0.27	2.34	2.42	2.02
Ticam1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.94	0.0	0.0	13.53	0.05	13.33	0.0	0.0	4.95	4.96	4.96
Timm50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.94	51.07	0.0	4.21	18.26	41.0	41.99	46.28
Tox4	154.8	4.47	15.52	6.89	1.19	41.53	8.44	3.12	4.65	11.6	20.73	0.11	1.67	2.99	11.14	4.5	30.58	25.54	27.68	55.74	24.83	40.03	39.71	38.54
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Zfp654	0.0	0.0	0.0	0.0	73.49	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03	0.29	4.67	0.01	12.06	10.24	11.52
Zfpl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	7.02	0.0	4.76	0.73	14.15	9.16	19.99	30.12	33.09	31.9
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
c5_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.31	0.0	3.33	0.0	0.0	25.13	15.57	9.58
