	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_15	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_8	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_21	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
3830406C13Rik	0.0	0.0	0.0	0.0	1.82	5.18	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	147.43	3.78	85.33	0.0	0.0	154.04	44.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	153.19	0.0	118.37	533.73	0.0	0.0	0.0	43.84	32.81	23.46	44.34	23.87	42.28	31.68	35.75	22.91	20.24	21.78
4930444G20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.14
5830433M19Rik	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.0	0.0	2.84	0.0	0.0	0.0	0.0	18.01	0.0	0.0	0.0	0.0	0.0	9.28	0.0	0.0	0.0	5.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	108.11	0.0	0.0	0.0	0.85	0.97	0.0	1.1	0.0	0.85	2.13	1.49	8.78	7.3	7.42
8030443G20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A730020M07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.36
AF366264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.52	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	0.0	0.0	0.0	1.14	0.12	0.31	0.0	0.0	0.1	0.12	0.0	0.12	0.04	0.08
Ankrd42	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.71	0.0	0.0	0.0	0.0	0.0	6.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51	0.0	0.0	0.0	1.44	0.0	0.0	0.0	135.82	0.0	0.0	0.0	3.47	0.24	13.04	3.09	5.85	5.15	2.72	3.99	14.08	11.49	13.4
Atg16l1	0.0	0.0	35.74	0.0	0.0	0.0	8.18	0.0	0.0	0.0	0.0	0.0	170.64	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.35	0.0	0.0	0.0	2.55	0.0	0.0	0.0	0.0	190.43	7.31	0.0	0.0	8.89	0.0	0.44	279.77	0.0	3.42	0.0	10.34	4.82	19.56	8.63	8.09	9.68	10.83	15.74	49.31	48.42	49.31
Atp10d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0	0.0	0.0	9.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.61	0.0	0.0	0.0	0.0	0.0	0.0	81.96	6.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	2.62	2.58	2.64
Atp8b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.97	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.73	0.0	0.0	0.09	0.12	0.16
B3gat3	0.0	0.0	0.0	4.47	26.46	15.56	1.54	21.14	203.29	16.44	3.85	0.0	40.5	0.0	0.17	0.0	18.41	4.88	30.77	0.0	43.34	32.14	0.0	0.0	15.94	0.0	81.7	0.0	0.96	16.23	0.0	21.23	0.0	0.0	0.0	15.55	0.0	0.0	6.29	7.9	298.6	0.0	0.0	74.53	11.48	14.96	25.21	7.55	23.55	14.17	21.19	16.7	138.52	165.08	159.06
C030039L03Rik	0.08	0.67	2.0	0.46	0.53	1.43	1.25	1.16	0.41	0.5	1.87	1.06	1.64	0.71	0.46	0.3	0.5	0.13	16.26	0.4	0.9	0.73	2.26	27.87	5.77	0.81	1.37	30.51	0.92	0.77	153.53	1.25	2.01	1.51	33.97	0.93	1.81	0.43	0.18	1.55	200.47	1.88	1.11	2.06	5.87	2.56	0.61	12.28	2.73	11.76	4.43	12.81	9.48	9.42	9.42
C630020P19Rik	0.0	0.0	0.09	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.03	2.45	0.0	8.08	0.0	0.25	0.0	0.11	0.38	0.0	0.0	14.6	0.0	0.05	0.0	0.0	0.0	0.13	0.0	0.13	0.26	0.0	0.0	0.0	0.0	0.0	0.0	68.74	0.0	0.8	0.11	15.7	3.08	14.8	2.72	1.81	5.86	6.56	2.94	1.88	1.76	1.78
Casp7	0.0	0.0	3.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	3.66	3.29	3.43
Ccdc149	0.0	0.0	31.37	69.3	76.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.49	7.18	0.0	0.0	64.31	0.0	0.0	0.0	0.0	0.0	0.0	0.15	4.9	0.0	0.0	0.0	0.0	0.0	0.0	9.84	4.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.77	0.0	0.0	6.15	6.02	8.62	1.35	8.44	4.98	11.92	5.79	4.38	39.05	41.65	37.22
Ccdc64	0.0	0.0	0.0	0.0	0.0	28.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	14.31	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.19	0.0	0.0	0.0	1.95	1.11	0.33	1.41	0.4	0.49	0.56	0.76	39.07	40.24	36.84
Ccl27b	10.98	0.0	5.41	0.0	16.36	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.0	5.27	0.0	4.03	9.38	0.0	0.0	2.47	0.0	5.02	0.0	0.0	40.26	2.42	7.77	7.33	0.0	2.75	0.0	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	8.98	0.18	114.56	125.27	74.98	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Cog2	0.0	0.0	123.8	1.42	7.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.97	0.0	112.03	0.0	0.0	0.0	3.9	0.0	0.69	0.0	0.0	9.44	12.83	7.6	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.21	0.0	0.0	24.94	14.57	7.89	28.55	10.35	31.62	15.94	13.15	16.59	23.92	24.55	23.95
Col8a1	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.12	1.77	1.64	1.41
Cox11	0.0	6.16	0.0	0.0	0.0	0.0	10.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01	0.0	50.33	0.0	0.0	0.0	22.02	16.89	0.0	6.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.97	0.0	0.0	116.91	0.0	0.0	0.44	8.36	6.53	8.31	10.06	10.39	12.14	5.36	10.23	19.79	20.71	20.94
Cpsf3l	0.0	0.0	0.0	6.9	11.97	0.0	0.0	0.0	0.0	0.2	13.19	0.0	140.37	7.81	0.45	5.68	0.68	0.0	0.15	0.0	0.0	0.0	0.0	0.0	43.98	1.41	0.0	0.0	0.0	0.0	1.98	0.4	1.29	0.0	0.0	1.19	0.76	0.0	0.0	0.0	389.04	0.0	0.0	0.0	24.67	27.45	23.83	9.6	20.93	12.06	19.26	19.3	27.54	28.88	26.1
Csad	0.0	0.0	0.12	138.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.89	0.0	0.0	0.0	0.18	0.0	0.3	0.0	0.0	0.0	0.0	0.0	2.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7	0.0	0.0	0.17	0.0	161.67	0.0	0.35	14.98	12.7	18.13	4.4	12.34	13.36	11.64	7.02	8.78	19.22	19.71	18.4
Cyth2	0.0	0.0	0.0	0.0	1.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	8.21	0.0	0.17	0.0	101.45	30.14	0.0	0.0	0.0	0.0	0.0	4.1	0.0	0.16	0.0	0.0	46.45	0.0	0.0	0.0	14.62	13.53	4.52	13.77	3.16	10.53	16.78	16.93	68.24	74.9	71.28
Dnahc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.56	0.0	0.0	2.02	0.03	0.81	0.84	0.31	1.59	1.27	1.46
Dpp9	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3	0.0	0.0	0.0	5.44	3.51	0.0	0.0	22.48	33.06	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	264.85	0.0	0.11	0.0	15.74	13.99	8.68	10.74	11.48	11.51	12.49	16.84	54.7	54.84	57.68
Drd1a	0.0	0.0	0.0	48.96	0.0	0.0	0.0	21.15	0.1	0.0	0.24	0.0	0.0	0.0	0.0	116.35	1.91	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	94.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.91	0.0	0.0	0.0	2.22	8.29	9.3	18.85	7.38	10.09	9.61	5.78	32.64	32.57	27.84
Dtx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.93	5.69	7.12	5.84
Efhc2	0.0	2.82	0.0	0.0	80.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.84	0.0	0.0	0.0	8.84	0.0	0.0	3.15	11.62	16.26	5.67	3.81	1.7	1.64	1.24
Egfl6	0.0	0.21	0.3	0.14	0.0	0.2	0.0	0.0	0.28	0.0	0.0	0.42	0.49	0.16	0.0	0.0	0.0	0.16	0.13	0.34	0.17	0.85	0.0	0.24	0.0	0.27	0.34	0.0	0.09	0.39	0.17	0.0	0.28	0.72	0.0	0.0	0.0	0.0	0.0	0.66	304.92	0.15	0.15	0.0	0.0	0.1	0.0	0.11	1.12	0.44	1.41	0.04	2.35	2.46	2.51
Egln2	26.1	0.53	58.32	0.0	0.0	0.0	5.74	0.0	0.0	5.9	2.45	2.47	0.0	0.42	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.94	8.9	0.79	20.44	0.0	0.0	1.26	64.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.32	0.0	0.0	0.0	1.54	18.08	4.73	3.56	10.02	7.13	7.39	3.65	70.11	80.45	72.08
Fam101b	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.11	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.81	10.47	11.04
Fam177a	0.08	5.32	68.13	4.1	1.41	6.33	4.73	0.93	1.41	0.77	3.41	6.09	1.81	0.88	3.43	5.0	8.04	91.79	1.52	1.69	1.23	100.97	2.68	0.86	16.78	5.09	1.99	9.0	0.46	6.69	0.79	6.92	5.88	132.99	1.16	30.06	37.2	56.19	0.54	0.39	137.75	2.32	1.54	1.81	10.32	7.93	14.42	11.21	10.72	13.41	14.19	19.02	17.56	16.4	17.92
Fastk	0.0	0.0	0.0	0.0	0.0	0.0	4.29	0.0	0.19	0.0	6.12	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.77	0.0	0.0	0.0	3.14	0.0	0.0	0.23	0.0	0.54	11.06	0.0	0.0	0.0	0.0	0.0	253.81	205.04	0.22	3.49	28.71	41.57	24.06	19.86	9.9	28.19	22.3	18.88	89.23	98.2	94.35
Fdx1l	4.4	0.0	0.0	3.97	15.55	0.0	4.87	93.0	0.0	8.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.97	0.0	8.01	39.56	0.0	0.0	0.0	0.0	171.06	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.0	0.0	0.0	282.37	4.86	0.0	0.0	18.08	34.14	36.13	41.27	31.4	10.9	31.94	24.87	60.6	60.83	60.43
Gas1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	0.0	0.0	0.0	0.0	38.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.95	8.27	9.45
Gm10509	0.0	0.0	92.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.63	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	219.48	0.0	0.0	0.0	0.0	0.0	247.81	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	403.27	0.0	0.0	0.0	1.44	0.0	0.0	9.48	15.82	15.58	19.23	10.25	5.51	4.8	5.67
Gm13306	10.98	0.0	5.41	0.0	16.36	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.0	5.27	0.0	4.03	9.38	0.0	0.0	2.47	0.0	5.02	0.0	0.0	40.26	2.42	7.77	7.33	0.0	2.75	0.0	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	8.98	0.18	114.56	125.27	74.98	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm15997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17	0.0	0.0	0.0	0.0	1.16	0.2	8.62	0.0	0.0	0.0	1.19	1.0	1.2	0.48
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.13	0.0	0.09	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.19	0.21	5.81	2.35	3.62	0.41	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	10.98	0.0	5.41	0.0	16.36	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.0	5.27	0.0	4.03	9.38	0.0	0.0	2.47	0.0	5.02	0.0	0.0	40.26	2.42	7.77	7.33	0.0	2.75	0.0	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	8.98	0.18	114.56	125.27	74.98	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm6537	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.77	5.18	2.37	0.0	6.07	0.0	1.4	0.79	1.87	2.32	2.13
Gm8615	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.32	0.0	0.27	0.0	0.0	0.0	0.0	0.0	6.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.29	0.0	368.84	0.3	0.0	0.0	0.0	10.55	0.67	0.0	0.07	0.0	1.01	1.58	0.19	0.2	0.42
Gm949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.04	0.0	0.0
