	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_104	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_37	PvalbD.Slc32a1_tdTpositive_cell_31	Rbp4_tdTnegative_cell_15	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_6	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_46	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_63	Vip_tdTpositive_cell_66	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Bri3bp	14.85	0.7	0.71	64.59	24.69	0.79	0.63	2.69	0.83	154.62	0.96	1.81	26.6	0.35	129.28	64.86	0.39	0.08	0.59	55.39	44.35	4.7	25.82	43.74	59.89	22.61	62.44	20.28	0.06	81.41	11.5	4.28	18.82	156.85	0.69	1.31	195.86	1.45	122.96	0.75	54.03	23.67	0.7	29.87	43.93	6.24	56.85	34.94	0.19
Cacng3	549.12	0.0	0.0	3.87	227.32	0.0	74.48	0.0	23.97	0.0	0.28	0.32	105.7	0.0	2.18	719.43	0.0	0.0	0.0	322.04	785.09	0.42	442.89	915.11	219.81	522.62	0.27	0.29	0.0	311.12	0.38	5.57	506.52	194.66	11.05	176.55	0.36	0.81	0.25	1.22	119.94	327.13	174.28	374.35	10.27	199.31	169.68	0.2	153.07
Chd5	2.18	13.38	0.0	41.48	3.4	0.45	1.56	0.0	0.0	0.0	0.0	0.46	5.31	0.04	3.29	2.45	0.0	0.0	0.0	4.96	27.85	0.0	9.62	3.54	0.0	2.04	5.82	2.62	0.0	9.6	0.36	1.88	3.75	0.05	5.95	0.75	1.46	7.62	0.12	0.0	19.85	3.63	3.66	15.89	7.6	4.01	0.74	3.6	2.19
Cplx1	7.14	6.39	283.89	538.79	283.63	4.41	20.78	4.46	0.0	113.76	387.54	0.0	173.86	0.18	412.0	543.36	0.59	0.0	0.0	0.0	305.92	0.0	169.2	63.09	357.7	597.65	68.43	367.61	15.8	0.08	0.26	0.55	0.22	87.06	0.0	175.2	200.4	65.22	0.7	166.03	161.37	160.81	36.13	0.0	124.11	52.31	10.3	127.45	433.46
Ctnnd2	24.58	68.74	43.13	94.29	131.56	10.7	0.0	82.54	30.03	0.08	0.07	8.85	226.08	0.0	106.5	63.14	0.22	0.14	0.0	418.26	126.31	2.5	89.32	172.25	206.67	129.99	0.2	25.56	29.26	89.27	54.4	0.26	63.2	149.4	76.28	59.89	105.6	98.62	168.49	39.98	34.73	87.67	135.52	78.57	261.64	100.76	133.38	195.93	176.25
Cycs	1007.4	775.78	287.6	549.44	377.63	351.97	313.88	350.89	2.47	156.05	1.7	710.71	1060.95	92.95	471.09	729.12	2.59	456.4	243.92	529.38	1187.37	267.72	534.28	1377.6	944.69	595.83	488.37	562.36	436.35	405.2	351.53	569.52	527.54	648.06	552.42	173.97	496.4	400.25	209.95	459.69	609.82	832.68	1365.44	979.07	1335.02	912.69	659.93	948.61	1663.38
Fam134b	0.0	0.0	0.0	0.77	92.03	0.0	282.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.44	0.54	0.0	46.79	47.38	1.59	0.0	93.71	15.6	120.57	75.24	0.0	0.0	0.0	203.98	0.0	203.36	0.33	100.5	127.15	104.82	152.4	0.0	0.0	0.0	0.63	58.73	51.88	0.09	84.48	62.35	0.0	43.5	54.81
Fam81a	0.0	0.53	0.45	312.07	423.66	0.0	0.0	173.64	0.0	0.0	0.44	0.0	247.84	2.08	443.87	180.8	0.0	0.1	0.0	142.48	229.46	0.11	0.0	0.22	12.76	100.28	0.14	0.15	0.13	26.71	0.0	0.14	0.17	0.99	77.79	9.53	180.32	114.6	16.99	0.64	13.5	1003.42	234.31	51.97	146.82	421.49	143.37	87.42	57.07
Glrx	188.64	0.0	0.0	0.14	198.76	48.1	0.35	426.7	0.0	268.47	505.76	0.0	677.7	0.31	682.25	217.77	0.0	0.0	0.0	294.96	315.53	0.0	238.48	534.74	304.46	322.41	997.65	0.0	0.0	0.0	0.0	263.32	0.0	0.0	0.0	0.0	0.41	0.47	0.29	0.35	131.8	62.16	114.41	0.22	0.0	113.12	0.0	133.23	128.37
Gm5177	29.27	41.0	21.6	25.96	33.63	14.63	16.39	43.27	33.07	16.39	13.79	25.02	29.83	15.53	21.7	47.71	6.22	13.45	3.41	15.67	33.29	15.26	39.81	52.48	41.82	28.04	63.09	33.03	16.06	27.06	22.03	33.38	29.63	31.02	25.63	25.43	16.93	27.07	19.27	16.93	32.41	19.66	39.3	28.88	36.53	30.33	38.58	42.59	35.49
Gng3	530.27	475.43	383.21	952.78	725.78	468.7	292.03	473.94	446.42	819.02	414.08	379.97	1440.03	3.35	1156.13	943.88	1.03	0.17	0.0	881.16	676.08	262.18	1133.62	1323.7	641.77	947.05	1196.37	1079.36	575.76	855.76	962.06	526.21	751.21	1529.45	1201.35	695.38	272.4	328.27	885.73	845.0	1072.73	509.42	1457.83	2011.91	1106.57	1185.31	1429.14	1365.08	1153.21
Got1	706.2	137.63	600.37	682.51	658.04	469.22	299.84	759.78	3.04	397.51	74.39	2.61	529.03	0.59	951.03	1339.87	54.05	538.41	0.0	177.83	667.29	0.15	551.24	990.63	1101.0	571.63	1240.6	217.38	0.0	551.9	362.48	27.45	0.24	626.16	216.58	355.01	959.01	263.25	663.18	279.96	782.23	820.54	992.56	443.47	544.03	587.55	416.46	376.52	321.17
Higd1a	209.22	516.93	53.93	399.41	217.41	140.51	1305.69	0.0	275.05	586.43	83.2	0.2	387.38	1.3	620.32	895.8	0.23	0.0	5.18	94.1	347.36	0.17	747.99	364.27	530.62	479.23	450.89	433.96	282.22	488.02	304.59	115.95	322.56	245.57	1164.78	926.5	386.97	295.33	424.37	40.16	667.7	429.89	832.94	310.03	595.95	1178.9	157.89	423.47	211.73
Hint1	1040.24	1341.48	1632.19	1473.0	1144.17	2018.15	629.17	533.56	777.82	1025.81	512.86	797.52	1482.18	535.44	728.9	1972.84	996.21	386.99	288.29	522.34	1090.41	256.46	1862.69	3415.53	505.57	1065.06	2139.67	1542.85	974.52	1400.16	1041.12	298.3	2051.49	1658.6	1771.97	767.55	1137.68	1067.26	1196.95	1263.03	1237.69	547.19	449.16	1520.15	645.47	1221.51	1049.59	519.28	1253.41
Idh3b	459.86	0.0	2135.88	651.96	645.82	256.71	801.6	96.98	144.42	301.13	0.28	0.0	842.23	1.34	4.74	693.4	0.29	0.19	0.0	0.68	439.77	144.42	161.15	685.96	1695.45	699.43	707.53	0.0	753.68	316.1	1.14	289.54	207.22	88.82	497.99	231.13	75.98	323.6	3.06	61.18	841.0	539.87	257.43	850.27	878.77	886.85	359.34	160.43	444.87
Mapk10	57.38	103.72	126.16	90.09	229.86	200.31	63.67	105.38	126.82	0.11	26.96	0.0	209.2	0.36	164.43	343.51	0.24	0.2	0.0	66.45	269.2	0.22	357.75	125.84	213.28	201.76	0.11	65.58	0.15	222.4	51.71	7.25	0.87	64.57	119.41	55.41	225.53	0.67	100.62	90.82	106.74	229.55	178.58	113.36	168.74	144.53	76.64	52.12	130.64
Mrps14	209.2	113.35	0.0	202.84	266.14	0.0	213.08	94.91	318.59	94.87	381.66	131.23	310.08	0.21	148.54	236.82	0.22	0.0	0.0	91.23	45.95	86.73	51.57	58.21	70.83	237.01	562.21	41.12	0.0	62.57	94.16	74.7	149.07	294.21	106.26	101.03	166.37	81.97	96.91	77.91	151.71	207.44	251.71	128.83	265.44	177.57	322.51	370.46	278.81
Ndufa9	993.56	0.0	79.96	709.64	206.4	27.54	0.0	0.0	257.08	236.42	0.65	0.75	585.24	0.62	1038.1	781.22	0.33	0.44	0.0	429.95	644.32	223.13	568.96	730.03	337.02	614.47	1043.1	519.55	1287.5	150.36	400.45	178.33	306.28	0.37	225.27	717.83	585.63	572.68	172.83	203.08	388.06	583.02	432.8	1333.93	1119.85	712.15	1167.57	1105.8	709.65
Nme7	125.08	91.8	45.56	285.27	160.05	149.02	119.33	182.64	59.59	46.42	71.69	40.16	117.47	1.97	164.99	226.65	1.59	1.23	2.02	73.99	180.71	4.27	102.79	171.17	68.92	254.77	189.04	127.07	69.57	54.21	54.7	62.74	26.88	63.52	114.79	58.29	263.05	144.06	129.39	122.3	127.25	128.84	85.02	211.1	247.52	343.36	180.78	212.4	251.89
Nus1	129.19	0.31	0.0	82.8	20.33	0.07	0.29	0.0	0.15	0.0	0.29	0.0	0.12	1.57	49.6	72.44	0.09	0.32	0.47	11.91	0.71	0.27	47.9	22.17	5.54	58.31	0.09	0.22	0.0	0.28	0.27	0.21	0.21	12.43	0.0	0.14	20.08	1.11	0.6	1.2	37.82	14.63	0.12	0.0	3.68	0.0	99.77	0.64	0.0
Ppp3r1	52.26	21.85	10.63	75.51	8.4	20.97	105.85	127.03	38.67	9.21	0.15	2.91	156.96	186.89	192.04	205.47	0.3	0.0	0.0	185.05	252.09	3.67	67.74	82.06	520.55	124.57	191.91	50.59	3.17	327.84	9.2	102.44	5.36	53.88	9.29	21.87	19.52	14.2	13.62	61.15	60.01	226.77	175.93	104.87	153.32	247.65	77.0	282.95	220.78
Sirt3	0.0	143.99	0.0	220.44	591.6	0.0	0.32	0.3	28.45	1.2	0.3	0.0	328.88	0.0	724.54	408.64	0.0	0.0	0.0	0.0	295.48	85.29	57.55	336.27	0.8	411.86	195.4	10.32	0.27	301.88	0.0	0.0	38.96	1.04	396.16	231.08	0.39	0.0	0.55	0.66	0.0	204.51	1.84	100.79	523.26	429.72	272.35	106.41	0.0
Slc8a1	39.4	32.0	33.92	4.07	31.92	1.01	0.3	5.22	15.29	0.0	0.02	0.03	6.88	0.02	49.2	37.67	0.0	0.03	0.0	12.56	34.59	0.03	1.2	9.05	2.94	138.65	0.09	0.0	0.0	0.01	0.03	4.55	15.17	0.0	0.12	33.92	19.04	7.42	0.04	0.0	10.44	33.96	58.84	28.82	20.64	23.88	24.39	40.39	76.32
Syt1	156.74	13.77	214.2	800.47	540.62	487.57	181.06	342.42	2.14	0.1	311.9	69.92	318.63	0.59	520.69	886.29	0.72	0.3	0.0	425.57	795.94	0.33	743.33	413.14	943.19	875.34	578.45	779.89	160.88	180.64	136.47	47.91	118.35	441.77	212.48	244.98	193.73	280.53	151.19	47.24	169.13	410.41	371.32	469.56	352.36	275.25	231.57	450.86	450.1
Tuba4a	299.36	202.99	0.0	585.15	513.02	212.26	0.0	0.0	55.97	0.0	0.41	0.24	1313.34	1.38	278.56	466.87	0.21	0.14	0.0	343.28	114.07	0.15	513.36	126.13	131.09	239.95	7.78	402.84	0.0	271.29	505.93	0.78	232.68	12.37	0.8	163.27	416.93	1.19	369.08	173.33	266.75	547.7	1091.65	560.9	672.03	909.56	514.92	733.06	452.89
Ubb	32253.84	32217.54	29335.03	26671.71	31186.09	24653.16	28302.9	33033.08	29220.91	31728.87	25558.22	29035.09	28296.97	29549.68	29405.14	19035.01	15498.57	25061.72	21858.6	31623.03	31415.92	27320.03	30046.08	30412.88	32576.6	25699.37	32905.97	26801.18	34072.44	35368.68	29160.15	33803.89	31243.31	38561.98	34059.86	33756.05	29075.38	26776.97	28092.24	25467.07	26417.68	28133.08	31907.29	31090.16	29072.44	29214.82	35026.92	33691.16	30646.34
Uqcr10	977.72	857.88	173.67	613.43	928.37	467.58	198.29	375.26	794.39	715.03	77.93	707.07	1711.0	273.27	1128.78	1712.94	478.7	0.73	584.02	780.69	1071.99	466.3	734.65	1542.0	580.86	683.16	480.22	807.19	1842.8	955.81	373.78	806.47	881.4	1013.78	657.72	567.71	485.1	468.85	226.67	345.99	615.61	769.3	1351.44	2000.17	1862.16	1566.63	903.39	1877.62	1752.69
Uqcrq	1197.62	1114.13	485.83	963.64	940.96	709.42	207.64	1064.98	529.44	274.04	610.72	0.0	2704.23	2.68	1029.05	1648.54	191.96	372.81	517.32	1228.08	1799.0	468.25	1203.6	1213.94	1320.21	953.48	1303.9	612.75	1649.28	1622.97	548.25	1410.34	1380.13	1206.01	1020.21	1782.77	1301.79	596.18	1187.27	470.7	639.08	990.63	2180.85	1970.83	2260.32	726.73	1305.38	1343.09	2761.43
