	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_12
Fam58b	0.0	0.0	28.85	101.76	0.0	55.12	0.0	7.23	0.0	0.0	127.22	0.0	18.01	27.75	0.0	0.0	16.03	30.63	0.37	0.0	0.0	26.3	0.0	57.07	0.0	0.0
Fzd3	2.8	0.04	16.64	21.49	10.73	25.0	13.58	21.13	8.36	19.73	17.86	3.33	9.3	2.52	5.8	23.63	9.24	14.71	20.43	19.47	46.99	2.38	12.54	21.45	0.04	0.36
Grin2b	0.14	0.0	155.84	176.53	131.16	129.71	186.2	100.1	149.12	202.94	263.84	97.76	119.36	87.9	89.41	45.81	66.37	41.23	65.75	60.86	60.34	23.18	21.67	117.63	0.0	0.09
Gsk3b	48.47	0.16	297.97	330.71	157.61	400.36	422.49	345.2	315.12	386.01	487.89	203.02	281.38	193.3	277.36	249.9	251.24	249.16	346.58	299.19	196.41	261.4	260.02	272.08	75.67	0.42
Hsf2	0.0	0.0	59.7	23.27	16.78	43.78	6.06	22.44	50.29	88.61	64.1	7.4	29.19	13.15	17.47	37.56	13.72	45.22	27.58	26.29	13.79	15.82	6.38	26.27	5.22	2.08
Ldhb	7486.96	5274.92	8798.32	8750.45	10894.4	8583.06	8517.89	8808.99	10165.1	9166.61	7814.88	11261.44	9074.03	13571.31	7287.29	12546.17	9106.97	8513.41	9755.78	8390.99	11010.48	6703.36	10182.84	11746.38	3251.53	5577.5
Med19	0.0	0.0	41.38	0.0	0.0	57.82	18.39	11.28	29.05	0.38	105.65	0.73	0.0	0.14	0.0	0.0	4.03	0.24	3.83	33.41	60.75	0.0	0.0	20.35	0.0	0.0
Mrps18c	0.0	0.0	347.02	321.15	118.91	347.85	141.71	180.83	12.86	248.27	341.76	243.8	274.24	118.76	8.01	115.95	234.24	170.72	223.39	243.72	33.21	1.11	242.88	45.64	0.0	0.0
Myef2	65.62	0.92	195.36	160.99	80.05	215.5	185.43	215.35	271.28	291.76	301.19	101.26	104.38	61.72	92.17	155.55	115.24	203.48	204.47	138.2	79.55	186.5	140.89	129.24	1.91	143.8
Nucks1	105.52	0.03	60.52	51.96	62.29	89.24	60.69	65.79	55.94	62.53	124.87	61.27	44.66	21.22	40.84	42.96	17.76	75.71	82.8	53.34	2.41	48.46	31.72	36.79	0.0	0.62
Paip1	165.45	0.0	314.98	271.48	110.96	311.13	224.37	287.51	240.67	391.7	384.92	198.95	180.97	154.29	111.78	220.35	121.24	135.7	157.81	96.62	172.8	161.47	191.59	162.13	0.0	0.0
Pam	15.92	0.0	129.07	170.79	9.49	81.28	86.58	105.68	149.27	65.44	162.61	16.51	45.33	21.98	31.48	58.76	57.64	137.05	60.8	31.8	126.61	79.61	20.12	60.54	0.0	0.0
Pggt1b	0.0	0.0	2.6	32.31	21.13	28.87	9.29	60.95	0.0	0.0	66.94	0.0	0.0	33.7	1.33	0.0	4.59	28.05	32.94	8.88	0.0	0.0	3.14	0.0	0.0	0.0
Pja1	0.22	0.22	84.98	177.94	155.35	192.44	320.08	245.62	235.16	160.9	676.61	193.28	277.37	251.08	116.58	454.93	312.2	219.14	261.99	376.85	327.2	92.65	112.88	223.28	0.0	0.0
Ppp2r5c	0.0	0.0	165.71	187.6	37.05	257.15	122.76	193.16	138.65	188.28	204.66	66.03	208.34	145.12	14.29	60.19	179.08	269.68	161.79	149.68	135.22	69.6	134.64	110.31	18.08	0.0
Rbm18	0.0	649.66	215.58	239.79	56.51	205.57	111.97	115.31	226.91	190.43	606.44	169.53	60.95	88.27	0.0	92.18	315.34	222.16	138.97	119.19	216.86	61.1	62.36	0.79	0.0	0.0
Rian	0.0	0.0	52.93	60.88	57.74	58.92	98.89	98.35	89.98	86.11	67.55	56.29	38.36	54.37	29.35	40.98	17.21	67.85	45.64	51.58	44.39	40.82	27.95	72.66	0.0	0.0
Rsrc2	328.43	68.24	87.18	112.18	80.92	191.19	49.46	39.92	72.65	180.54	207.3	64.72	91.35	57.29	83.9	17.69	57.68	12.98	37.45	100.51	79.07	30.65	33.55	147.96	0.0	0.0
Sars	222.47	366.78	373.48	346.2	271.57	280.53	407.76	231.73	305.02	538.12	589.7	515.93	284.01	222.17	566.56	223.05	226.19	304.01	244.72	280.18	223.59	242.69	169.7	383.71	0.0	0.19
Scrn1	0.0	0.0	56.69	67.04	0.0	55.38	50.31	43.0	36.96	21.08	195.41	0.0	92.42	25.62	40.55	10.46	159.07	119.14	58.51	29.7	0.0	11.22	47.07	0.44	0.0	0.0
Sf3b2	106.53	0.0	72.91	31.98	86.48	93.04	57.2	66.1	56.05	58.27	163.87	15.4	42.1	48.82	17.03	130.84	93.79	84.32	114.12	48.24	76.65	19.95	72.01	85.56	0.12	0.0
Slc24a5	57.93	116.63	92.8	114.56	46.7	54.66	122.54	140.73	138.87	226.72	183.3	79.12	61.38	68.99	102.61	110.41	57.84	163.62	92.6	65.02	71.85	125.74	74.25	120.39	3.2	108.23
Tmem60	572.65	0.0	292.32	251.26	453.37	386.52	179.15	330.99	296.39	273.9	490.61	431.27	318.18	48.0	295.01	216.89	141.78	269.17	255.48	16.96	241.68	113.61	180.21	286.63	0.0	0.0
Txnl1	0.0	0.0	80.52	73.26	17.47	92.12	2.99	55.77	35.84	52.85	236.71	35.17	35.27	26.17	28.17	20.79	46.04	93.18	81.32	29.31	99.66	5.74	28.3	83.9	0.0	0.0
Ube2v1	390.11	5.08	481.04	606.18	605.65	460.17	551.47	745.89	497.37	456.8	906.88	496.71	550.41	511.63	482.75	694.7	515.16	721.91	595.35	681.34	276.45	495.28	620.06	775.44	0.0	0.0
Yars	0.0	0.0	81.38	0.97	90.69	70.8	105.82	42.46	133.6	226.84	77.36	166.88	83.01	102.45	8.59	20.73	77.85	155.14	56.0	61.59	125.98	0.0	40.83	88.83	0.0	0.0
mt_AK136262	0.0	0.0	0.0	0.01	0.04	0.04	0.05	0.17	7.2	0.21	0.04	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.0	0.06	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.01	0.04	0.04	0.05	0.17	7.2	0.21	0.04	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.0	0.06	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.01	0.04	0.04	0.05	0.17	7.2	0.21	0.04	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.0	0.06	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.01	0.04	0.04	0.05	0.17	7.2	0.21	0.04	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.04	0.0	0.06	0.0	0.0	0.0
