	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
B020004J07Rik	0.75	0.12	1.24	5.52	0.0	2.8	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.38	0.46	0.0	0.0	0.0	0.37
B230219D22Rik	14.57	44.58	137.1	248.18	3.78	15.87	27.77	0.0	6.33	8.33	8.25	7.1	7.03	86.41	4.93	41.36	7.12	67.18	5.99	55.42	12.33	7.43	9.06	24.56	24.7	26.74
Bmi1	1.27	1.17	47.63	89.35	0.0	0.0	0.0	0.0	0.0	4.85	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	11.64	8.48	5.86
Bmp1	0.61	55.33	39.15	89.32	5.7	0.0	0.0	0.0	0.0	1.1	8.97	0.42	0.11	0.09	0.0	0.67	0.0	0.0	34.25	0.06	0.0	0.0	0.18	0.39	0.46	0.83
Btnl9	0.0	0.0	0.04	0.24	0.0	0.0	0.0	0.0	0.09	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C87436	0.0	0.06	92.84	187.44	0.0	0.0	0.0	0.0	0.0	0.38	0.2	172.3	0.0	0.0	0.0	0.0	0.0	0.0	1.06	107.8	0.34	0.0	0.72	24.36	22.12	15.01
Cacna1d	0.0	1.38	2.55	15.72	0.41	0.0	0.0	0.0	0.0	0.09	0.25	4.66	0.0	0.0	0.0	1.82	0.14	0.0	21.68	0.0	0.04	0.0	0.33	5.07	6.16	5.57
Ccdc163	1.3	49.61	0.4	107.68	20.73	0.0	0.0	0.0	120.9	0.0	1.98	1.0	50.55	66.01	0.0	0.0	5.29	0.0	8.63	0.0	0.0	0.0	0.0	8.85	4.95	15.87
Cenpw	0.0	70.14	0.0	269.22	200.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	95.36	0.0	30.08	13.94	0.0	0.0	0.0	0.0	25.7	21.19	0.09	19.49	19.92	18.93
Chn1	3376.95	2709.93	2487.07	2936.89	1713.9	1208.87	1239.7	0.0	1088.89	2049.67	2502.85	1487.13	1871.16	3054.16	2229.08	1588.94	1699.91	1300.07	1640.95	1282.1	1463.64	2152.55	1606.12	1813.22	1642.72	1571.62
Chrac1	223.96	0.0	223.81	506.74	29.87	0.0	0.0	0.0	0.27	0.0	128.38	0.49	180.1	0.0	0.97	55.74	1.93	129.7	0.0	246.64	0.15	0.0	0.0	103.21	119.31	105.41
Cntn2	0.09	1.92	0.73	41.44	0.0	2.02	0.21	0.0	0.15	17.66	2.08	0.83	2.02	0.0	0.2	0.0	0.71	0.53	6.47	0.13	0.41	0.04	0.13	1.96	2.23	1.42
Cox4nb	0.46	60.31	53.47	140.33	0.29	0.0	3.2	0.0	0.77	69.9	15.47	0.26	0.33	0.13	0.08	0.09	0.05	0.0	0.2	3.07	0.18	0.18	0.06	2.53	8.64	4.32
Cyb561d1	0.0	0.0	0.44	88.87	26.51	0.0	0.0	0.0	0.05	2.68	0.08	0.0	0.0	0.0	0.0	4.14	62.92	6.03	0.0	0.0	0.87	51.21	0.0	4.1	6.14	3.74
D19Wsu162e	0.4	0.18	4.66	5.46	0.37	0.3	0.0	0.0	0.2	0.82	0.3	0.0	0.0	0.0	0.09	0.29	0.14	0.0	0.24	0.36	0.41	0.23	0.42	0.83	1.05	3.65
D3Bwg0562e	327.45	140.63	81.67	448.9	24.44	0.76	176.21	0.0	51.05	90.75	166.84	161.08	148.4	87.92	98.27	149.84	0.59	132.2	3.96	45.29	88.87	26.15	85.88	225.04	159.92	145.44
Dcun1d1	0.0	110.9	98.35	290.15	345.53	99.12	124.18	0.0	109.65	108.15	74.51	144.66	74.64	200.41	88.71	124.5	160.55	6.17	29.87	133.95	96.91	84.29	57.38	90.04	88.78	83.37
Dnaja2	6.47	102.99	149.51	456.56	304.13	0.0	116.93	0.0	0.0	135.43	57.71	392.17	83.86	51.98	434.59	248.08	0.0	3.0	32.0	179.36	1.13	161.7	103.1	124.53	143.29	119.41
Dph2	0.0	0.0	83.06	240.35	0.27	0.0	0.0	0.0	0.0	0.07	18.53	0.0	145.04	0.0	0.0	0.0	0.0	0.0	0.0	100.11	0.0	0.0	0.0	19.71	16.65	6.33
Dstn	268.35	302.27	354.87	1210.86	833.94	1326.16	239.73	0.0	203.71	816.19	627.64	23.12	369.02	499.9	800.49	444.78	393.09	473.76	330.05	672.85	443.76	223.73	641.17	550.02	513.62	603.9
Eef2k	0.31	1.78	22.2	31.57	0.4	0.26	0.14	0.0	0.71	16.42	5.2	0.19	0.07	0.27	0.72	0.49	0.19	0.62	2.94	0.21	0.28	0.21	0.22	6.48	3.05	2.99
Egr2	0.26	0.0	236.94	118.7	0.0	5.16	0.0	0.0	118.29	0.19	94.49	6.79	0.0	0.0	340.24	58.04	10.87	179.38	0.0	0.04	0.0	0.0	22.0	7.94	3.01	5.38
Eif2b2	0.0	44.52	0.0	303.77	133.34	0.0	0.0	0.0	44.59	214.7	0.32	310.55	0.0	0.0	0.0	0.0	71.46	0.0	122.75	0.15	0.24	0.0	53.64	20.63	28.45	37.46
Elp2	389.08	342.01	85.12	614.2	90.43	0.2	7.54	0.0	0.23	118.81	129.02	8.5	104.34	217.46	161.33	258.11	374.71	285.98	149.31	0.04	0.79	160.62	420.9	199.84	182.05	203.36
Evi2b	0.0	0.0	0.0	8.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.66	0.0	0.0	0.0	0.0	1.14	0.05	1.09	0.58	0.2
Extl2	52.15	115.62	524.36	304.64	181.74	0.0	118.18	0.0	222.74	112.31	126.56	0.14	385.72	87.45	22.09	76.37	79.27	359.3	201.83	538.57	0.17	205.65	118.37	119.55	91.18	104.78
Fam103a1	25.81	611.12	518.22	966.41	427.66	1019.95	988.36	0.0	113.17	1089.77	512.73	296.9	412.28	470.23	673.82	377.53	419.07	482.94	345.27	733.34	733.89	309.43	726.51	555.79	445.34	447.89
Fam164a	419.37	178.32	141.49	616.51	262.15	0.0	335.75	0.0	225.44	176.65	291.97	0.12	373.19	73.34	223.59	198.6	208.19	790.59	242.85	214.85	240.58	96.95	203.43	142.59	125.74	128.11
Fam89b	0.0	1.49	0.08	117.81	0.0	0.0	0.0	0.0	91.94	0.0	0.0	115.72	0.0	0.0	0.0	2.6	15.67	0.0	0.0	0.0	0.65	0.0	0.0	12.91	28.99	13.41
Gemin7	0.0	0.0	80.13	136.75	0.0	0.0	0.0	0.0	0.3	0.26	0.0	161.96	149.29	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.17	0.62	117.88	9.54	16.24	21.21
Gemin8	0.8	55.81	4.26	25.55	0.76	0.63	1.93	0.0	0.89	113.99	10.62	0.47	0.59	0.0	1.93	0.75	0.42	5.31	0.67	1.79	6.22	0.0	0.85	16.38	13.13	10.08
Gm10373	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4224	0.0	0.0	0.06	0.71	0.0	0.34	0.0	0.0	0.0	0.23	0.06	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.03	0.0	0.24	0.0	0.09	0.0	0.0	0.0
Gm9866	694.81	14.41	0.11	417.02	308.35	0.0	112.34	0.0	132.74	114.96	0.2	98.47	234.49	182.37	0.0	71.54	0.0	251.75	151.92	74.61	0.0	175.84	51.69	137.62	106.74	92.61
Gnal	87.39	88.33	0.14	125.71	0.0	0.52	92.41	0.0	13.12	65.36	0.14	90.51	18.38	0.0	118.87	41.78	3.25	2.95	0.32	13.25	18.46	36.45	100.37	31.47	27.13	24.39
Gucy1a3	176.24	48.53	6.21	143.4	0.1	0.0	0.24	0.0	0.0	0.0	45.89	0.0	15.14	0.0	0.0	8.83	32.0	0.0	0.86	0.02	0.03	0.0	0.03	1.72	0.44	0.22
H1f0	122.01	71.8	0.0	124.47	61.91	0.0	0.0	0.0	0.0	12.45	10.63	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.84	0.54	0.0	0.0	1.02	7.98	11.02	13.05
Hipk1	0.56	70.1	41.83	144.67	100.52	0.0	31.29	0.0	68.28	0.09	76.68	3.97	59.2	79.93	0.05	41.25	73.29	86.85	36.81	55.81	41.3	48.91	16.71	55.31	32.76	40.83
Hnrnpul2	0.0	3.35	19.18	46.36	0.0	1.46	0.0	0.0	0.98	12.5	35.05	0.07	0.15	0.06	0.14	0.59	0.63	7.37	0.53	5.9	1.63	0.16	20.64	14.73	7.79	13.19
Hpca	934.63	1160.55	1162.28	1688.47	818.91	895.17	772.14	0.0	516.18	960.73	724.27	599.84	779.01	473.82	627.67	839.89	1130.05	902.15	868.96	1030.08	588.57	843.32	1260.42	187.52	230.93	166.55
Hps4	0.0	34.61	0.13	132.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.66	0.0	0.0	0.0	6.68	0.0	0.0	119.93	0.04	0.0	0.0	0.14	5.24	1.57	2.07
Ier5	7.94	4.96	26.8	127.39	15.14	5.84	0.0	0.0	0.0	19.11	0.46	0.6	0.26	11.34	9.56	20.88	52.77	10.97	0.48	0.0	51.15	20.71	19.92	16.19	18.59	16.12
Katnb1	0.0	70.55	55.28	79.4	0.07	0.0	0.0	0.0	0.06	2.63	43.34	0.0	0.0	0.0	0.0	35.04	0.08	0.0	0.12	1.63	0.29	0.0	0.16	19.08	33.61	25.24
Kbtbd3	0.33	96.89	11.96	229.65	29.22	0.0	0.0	0.0	31.65	0.0	11.83	0.0	7.19	0.28	27.26	0.0	0.0	0.0	0.0	2.34	7.81	0.0	34.25	43.66	23.8	30.01
Kcnh7	66.51	65.1	11.23	202.57	48.82	0.0	112.7	0.0	84.17	160.82	40.41	70.78	0.22	9.03	24.12	49.93	0.75	305.59	54.64	97.67	0.0	61.01	119.92	28.81	16.84	17.18
Kdm2a	39.24	11.58	20.37	89.02	0.76	31.9	0.0	0.0	5.56	8.29	5.43	0.0	0.0	4.33	9.86	0.0	3.07	0.0	64.68	31.77	0.08	5.2	0.07	5.75	4.39	2.92
Klhl20	0.73	0.08	2.48	138.16	0.1	0.14	41.38	0.0	0.32	0.1	0.4	0.11	0.53	0.08	0.0	36.31	0.06	0.23	13.27	0.08	4.73	0.26	0.0	11.46	6.93	8.54
Klhl31	0.0	0.1	0.19	0.55	0.03	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.04	0.0	0.0	0.16	0.08	0.0	0.0	0.0	0.15	0.08	0.0	0.05	0.33	0.38
LOC100044193	4.81	69.02	46.96	154.81	21.79	8.52	79.12	0.0	21.49	21.88	13.14	2.55	30.92	5.56	65.9	43.01	9.36	14.99	33.68	116.65	33.51	0.54	69.97	48.97	33.68	28.86
Lin7c	152.84	127.95	249.7	265.9	84.6	140.87	12.43	0.0	406.27	193.4	99.47	244.05	5.22	12.79	0.47	112.57	0.0	65.29	0.03	5.12	175.47	0.0	135.84	81.33	59.97	49.76
Lmo4	361.88	139.16	99.07	520.75	294.39	57.57	34.04	0.0	0.16	205.5	55.36	6.84	10.75	69.22	84.22	416.38	30.36	168.61	172.99	189.07	14.49	12.63	102.43	72.66	112.08	83.24
Lrfn5	0.0	2.3	35.93	108.78	214.03	0.0	0.0	0.0	82.93	0.05	48.57	36.62	78.34	0.0	0.0	30.02	0.0	0.0	1.02	0.06	0.0	86.83	4.21	7.88	6.7	10.47
Ltn1	5.47	0.95	0.0	64.4	1.82	91.56	50.84	0.0	19.26	50.28	0.21	0.0	2.44	0.0	79.27	0.41	131.8	0.0	3.16	0.0	17.9	0.52	25.55	17.98	8.95	9.3
Luc7l3	66.94	153.42	282.58	309.92	226.16	171.39	116.25	138.55	127.93	215.69	82.76	275.61	97.27	151.74	15.53	92.19	138.75	284.76	50.41	106.94	71.0	147.97	78.02	183.98	135.86	110.74
Lypla1	0.0	159.75	29.76	243.1	199.17	0.45	0.24	0.0	152.17	0.58	162.51	0.36	127.13	0.0	0.27	77.37	0.41	622.95	253.5	142.68	28.44	0.36	0.4	81.33	81.38	65.58
Marcks	536.37	253.64	385.14	927.66	628.99	565.08	472.53	0.0	510.78	699.44	495.83	313.76	340.56	114.22	116.21	310.68	504.54	203.71	401.99	663.36	276.21	250.87	799.23	182.78	92.78	100.08
Mecp2	0.07	19.21	8.87	57.8	45.74	15.96	1.93	0.0	4.01	20.89	2.45	0.0	5.58	0.0	15.3	3.04	8.79	7.45	0.3	19.99	34.63	0.0	4.71	5.24	8.41	6.2
Med6	0.0	143.43	165.4	478.48	0.0	0.0	15.3	0.0	0.0	0.0	135.98	95.74	363.66	310.44	35.26	0.0	30.94	0.0	185.48	132.04	0.13	179.96	1.97	88.5	96.82	88.01
Mtm1	0.0	8.95	78.42	135.52	125.41	0.0	0.0	0.0	2.69	0.0	0.0	0.0	58.03	0.0	0.0	4.75	13.03	0.0	0.0	0.0	0.17	0.0	0.12	4.84	1.02	2.05
Nebl	0.0	0.05	0.0	157.08	22.35	207.79	0.0	0.0	22.47	0.0	0.0	0.0	0.0	0.0	0.0	9.63	0.0	0.0	0.0	11.84	0.0	0.0	0.0	1.5	1.38	1.86
Nemf	189.54	56.76	162.72	360.88	30.46	214.71	21.73	0.0	0.06	2.92	58.83	157.78	83.66	76.97	79.34	75.26	45.81	82.54	144.19	169.45	84.36	20.56	66.62	101.14	99.38	69.57
Nicn1	67.47	147.02	459.31	372.36	2.82	0.0	135.05	0.0	0.31	10.7	393.13	793.84	66.02	107.22	238.32	385.28	137.18	499.77	380.71	247.11	182.28	36.82	205.67	190.36	213.13	175.01
Nudt19	0.0	26.47	86.97	135.15	44.67	0.0	14.04	0.0	0.0	0.2	165.64	58.77	0.0	5.7	103.85	19.98	0.0	0.0	4.62	100.31	103.21	0.0	0.43	22.72	32.34	36.97
Olfm3	0.0	2.16	0.38	125.3	0.0	0.0	129.99	0.0	0.0	53.18	153.7	113.13	52.39	0.0	17.2	54.48	0.0	12.81	0.0	0.0	0.03	54.86	197.18	63.52	31.77	46.05
Pdxdc1	11.08	71.36	33.5	140.0	119.44	7.46	5.37	0.0	2.2	17.43	43.41	49.75	28.05	2.96	125.71	47.17	5.67	77.6	12.25	113.41	90.68	16.37	67.25	35.79	36.53	39.54
Phax	26.93	164.0	41.76	326.45	142.59	126.17	0.0	0.0	81.65	68.49	272.3	129.87	86.98	215.39	112.1	45.1	273.44	86.42	54.49	290.96	77.66	263.65	77.39	116.5	123.4	116.66
Phlpp2	0.0	33.8	0.02	53.62	0.0	0.0	0.0	0.0	3.67	0.02	0.0	0.8	0.0	0.04	28.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	4.01	5.54	4.36
Polr2l	34.94	58.15	85.76	327.03	83.93	25.56	51.41	0.21	59.01	98.73	46.7	70.42	114.56	75.43	72.44	165.72	146.41	54.83	83.91	56.29	182.11	77.45	48.15	71.97	105.39	80.97
Prcp	0.0	52.19	0.03	158.38	149.65	65.65	7.09	0.0	0.0	4.88	0.11	0.0	0.57	0.0	5.56	132.44	0.0	182.9	0.36	0.26	0.0	0.0	82.42	3.92	3.48	9.59
Prrx1	0.0	0.0	0.14	0.25	0.1	0.06	0.22	0.0	0.07	0.11	0.0	0.03	0.09	0.12	0.08	0.0	0.16	0.0	0.1	0.28	0.11	0.03	0.09	0.19	0.34	0.56
Psma6	23.15	623.75	744.28	604.73	479.17	426.47	106.85	49.35	1.36	283.88	1016.11	195.8	463.3	708.17	260.07	469.26	175.14	248.73	567.28	665.94	649.57	886.81	484.99	505.73	570.54	438.13
Psmd4	16.95	229.53	267.11	474.43	151.85	0.0	204.29	0.0	1.25	104.01	195.99	387.96	153.75	0.0	336.69	216.38	0.0	111.03	0.09	0.09	258.52	164.01	66.28	187.43	181.25	176.85
Rgs4	4301.63	2604.26	3554.62	4793.66	4051.91	3726.59	2452.58	0.0	3187.17	4839.36	4315.87	4053.59	3267.12	95.73	718.52	3698.23	3145.3	4166.93	5219.32	5037.98	1721.21	2719.87	3769.97	551.79	516.4	518.01
Rnaseh2a	1.24	33.81	48.77	82.27	0.31	0.83	0.56	0.0	47.38	1.31	42.64	19.85	77.14	0.64	62.56	24.31	0.04	0.52	16.42	57.28	0.83	0.21	0.5	13.49	21.93	16.77
Rnps1	93.66	125.48	168.73	525.54	298.65	0.0	118.07	0.0	156.76	140.97	168.68	38.65	334.71	54.58	12.35	293.36	95.14	373.71	114.81	182.13	276.07	36.03	172.53	152.0	134.2	142.59
Rspo2	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.41	2.8
Rufy3	205.9	129.17	52.02	271.48	225.72	78.64	2.4	0.0	115.46	225.86	189.79	87.78	125.36	62.22	89.35	214.34	185.93	73.93	166.1	347.32	169.08	21.96	95.68	149.34	137.59	150.7
Scaper	0.0	0.05	28.68	203.6	0.04	0.0	53.85	0.0	56.68	3.47	0.03	0.0	0.0	18.38	10.14	3.9	0.0	0.0	57.58	90.25	67.03	45.06	0.05	13.34	13.41	11.31
Scn2b	890.37	651.71	717.38	1152.79	757.09	569.81	637.45	0.0	688.84	717.59	965.17	986.6	613.92	688.17	649.03	967.62	205.06	427.35	912.88	498.2	543.75	480.66	679.76	1536.36	1127.2	1215.81
Sec23a	198.71	51.86	146.85	141.73	0.0	195.7	99.13	0.0	7.53	0.05	89.85	154.07	1.75	48.56	88.81	124.31	0.0	0.0	78.43	2.06	90.05	0.0	124.97	120.84	81.84	101.38
Sh3bgrl	0.0	211.59	443.72	254.16	164.39	0.19	0.24	0.0	0.57	249.63	35.62	0.17	0.0	382.25	142.84	180.3	76.66	426.94	278.55	120.09	4.17	111.64	53.98	130.36	106.4	117.58
Sh3rf3	81.3	19.03	0.28	87.98	0.25	0.0	0.1	0.0	0.04	0.77	0.24	0.0	0.2	0.11	0.17	25.85	0.04	0.14	0.06	0.08	0.03	0.0	0.0	12.26	10.04	8.97
Slc25a12	233.79	198.58	4.61	648.12	0.08	258.38	111.52	0.0	136.13	306.8	310.0	659.03	30.57	212.61	109.41	219.08	195.24	300.03	152.01	387.68	178.66	141.42	415.43	163.63	174.13	161.64
Slc37a3	0.19	42.83	56.91	96.0	28.83	0.0	0.0	0.0	0.11	0.05	41.7	0.0	0.0	0.0	6.52	4.44	0.0	0.0	12.1	22.3	0.0	0.0	0.27	51.82	34.98	30.04
Slc39a10	728.35	123.99	207.59	847.11	318.77	260.89	216.46	0.0	204.32	196.45	303.9	118.27	29.01	55.15	101.64	168.32	94.01	2.84	446.87	218.05	160.31	67.93	73.91	181.38	105.94	106.97
Slc7a14	17.35	20.74	34.82	63.82	45.04	15.94	14.49	10.65	27.83	88.06	42.71	70.43	10.52	11.47	43.39	32.43	19.93	27.37	47.19	16.72	24.74	17.71	45.31	46.1	43.07	45.4
Slc8a1	87.58	23.85	67.17	87.21	31.02	1.45	15.86	0.0	19.15	27.12	2.72	0.02	23.89	19.61	37.91	33.6	29.46	28.74	1.66	31.0	0.11	1.46	25.05	33.96	29.78	30.49
Smarca1	0.0	1.31	40.81	53.42	0.0	0.0	0.0	0.0	0.0	5.07	39.42	125.51	0.0	0.0	0.0	0.0	69.19	179.64	0.03	23.39	0.06	0.0	0.03	21.62	20.31	16.7
Smcr8	12.91	34.62	0.68	63.47	36.9	0.0	0.0	0.0	0.0	0.0	5.47	5.47	0.0	0.0	0.0	0.0	0.0	0.13	0.01	0.0	0.03	61.6	0.09	1.87	1.82	3.16
Smyd3	164.25	0.04	0.05	155.79	0.22	83.23	0.45	0.0	47.64	130.6	11.13	0.0	0.23	0.21	67.96	38.07	89.29	103.92	127.37	86.35	0.24	0.24	0.47	45.41	31.13	48.66
Snap25	26182.83	20995.4	19986.44	24880.43	23752.44	25194.29	22198.58	0.16	20475.86	24000.2	21827.11	24648.02	22891.51	21261.82	23051.34	22039.64	21226.95	25542.47	21954.45	22725.47	20633.02	18219.59	20516.03	20846.74	19146.26	18964.09
Ssx2ip	0.0	14.61	49.26	180.8	0.33	0.0	0.0	0.0	0.0	52.35	34.05	1.03	83.0	154.68	33.04	0.0	0.0	75.52	0.09	0.07	0.11	0.0	0.28	28.24	25.81	18.41
Stk38	0.0	39.59	0.71	145.45	0.0	0.0	30.51	0.0	0.07	0.23	0.0	83.64	0.0	0.7	0.0	0.77	0.55	65.77	0.03	0.07	8.07	0.0	39.93	4.79	7.72	9.68
Supt4h1	5.9	283.38	418.54	629.68	261.25	173.14	510.58	0.0	341.0	236.27	217.77	144.69	135.52	77.59	135.14	449.28	274.4	594.79	149.15	209.81	255.53	133.15	215.45	293.19	296.29	341.4
Taf9b	0.0	0.95	327.34	397.85	55.0	552.87	142.88	0.0	0.78	248.63	254.85	0.31	0.17	232.93	136.34	380.97	0.0	28.62	13.98	26.23	46.4	171.47	1.24	138.36	93.54	101.7
Tcea1	30.04	140.12	240.81	784.83	35.58	6.85	48.71	0.0	122.06	292.56	127.76	172.51	72.31	80.18	148.77	23.79	303.81	448.99	114.39	109.84	4.7	27.36	160.3	182.0	129.74	134.96
Tcp11l2	183.38	17.6	146.46	349.98	0.0	249.55	0.0	0.0	0.76	73.84	280.06	187.0	0.14	123.04	0.15	70.23	3.7	262.07	156.71	0.9	4.05	0.58	259.06	74.91	79.86	67.64
Tnrc6c	43.26	8.26	29.89	56.89	8.66	22.25	15.67	0.0	47.81	11.87	23.36	22.55	1.35	15.11	6.76	2.1	48.22	0.11	24.64	1.74	33.69	18.75	0.18	41.05	36.21	35.29
Tox4	108.14	135.08	96.8	209.21	1.77	6.23	11.74	0.38	4.45	32.23	9.29	133.52	82.35	40.41	57.6	45.58	111.35	17.98	6.8	8.82	8.74	6.1	73.25	56.55	55.74	40.03
Tra2a	0.0	8.87	60.74	187.86	14.69	0.0	0.0	0.0	0.84	106.34	11.27	34.99	3.77	16.09	0.43	0.23	35.99	0.0	0.24	39.23	12.56	0.5	73.78	17.33	16.5	16.13
Ttc26	1.52	33.26	0.79	110.77	1.21	1.76	1.86	0.0	4.31	7.84	1.47	1.67	48.0	0.67	84.47	1.34	1.88	2.5	1.26	0.44	2.29	0.36	0.54	7.45	6.11	9.24
Uchl1	123.21	162.31	288.73	641.22	456.4	325.3	152.87	0.31	85.49	483.55	352.05	334.63	615.24	494.97	409.16	567.97	539.61	719.31	92.01	493.67	401.62	86.87	233.03	342.76	324.13	384.22
Usp36	0.0	21.25	0.0	69.67	0.16	0.77	37.01	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	13.36	0.0	0.28	19.45	15.87	0.0	0.02	4.58	3.64	4.59
Xab2	0.58	2.02	236.61	179.05	60.06	92.89	0.0	0.0	4.11	0.0	0.0	15.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.89	0.0	25.97	35.88	20.76	37.97
Zbtb33	0.0	1.98	0.0	75.8	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.68	1.19	10.9	0.0	13.44	5.01	0.0	0.0	0.03	1.79	1.93	5.0
Zfp316	10.76	4.22	7.63	45.29	5.74	11.93	14.35	2.36	8.7	8.62	8.81	15.28	10.11	5.49	8.73	9.68	5.53	8.5	14.42	9.11	8.86	9.39	8.85	14.4	10.17	9.73
Zfp937	25.2	42.02	12.36	125.35	39.03	3.96	23.96	0.0	15.17	63.33	45.03	3.16	10.44	3.81	17.33	12.51	4.11	16.81	8.61	8.53	14.04	17.95	13.3	13.49	15.3	15.27
