	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_57	Ndnf_tdTnegative_cell_5	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_81	Pvalb_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rgs17	0.0	0.0	0.11	66.07	0.07	0.25	0.99	11.63	44.5	0.06	0.0	0.11	0.55	0.0	0.09	43.89	18.66	11.64	31.71	0.37	6.27	0.04	84.83	163.07	0.0	26.78	21.28	29.91
Rph3a	0.0	0.16	5.94	56.21	0.14	96.16	0.52	232.26	40.55	43.48	0.0	0.42	2.3	1.37	0.44	43.61	22.79	52.64	17.39	1.74	43.55	0.0	144.15	167.1	0.19	260.55	249.44	277.37
Scn1b	0.0	0.0	0.0	9.52	0.0	1.16	0.0	2.99	5.85	1.59	0.0	0.0	0.0	0.0	3.88	27.82	3.2	5.21	42.44	9.78	5.6	0.0	33.84	106.85	0.0	508.98	541.93	555.14
Sept3	0.0	0.0	0.11	193.37	0.11	20.17	0.54	7.76	26.18	13.68	0.11	1.02	1.63	0.11	0.0	53.65	18.76	0.87	52.12	0.35	13.93	0.7	165.83	129.83	0.48	270.67	257.5	265.53
Snf8	0.0	0.0	0.0	77.56	0.0	0.63	0.0	39.71	0.0	0.0	0.0	124.27	0.0	0.0	0.0	17.03	0.0	0.0	31.15	2.0	1.31	0.0	145.45	0.0	0.0	87.11	92.9	89.11
Socs7	0.0	0.0	0.61	38.81	0.0	0.0	0.02	6.18	15.09	4.29	0.0	0.0	27.5	0.0	0.0	8.01	0.0	4.12	0.06	0.22	0.67	0.03	0.31	0.0	0.0	56.67	54.53	51.79
Srsf11	0.0	201.31	7.3	50.38	3.59	67.26	83.93	380.98	51.4	146.11	0.0	0.58	2.05	19.37	33.67	100.67	29.07	58.51	38.7	1.11	103.48	7.41	344.51	547.26	0.17	103.34	100.44	104.69
Suv420h1	4.89	18.42	29.48	38.45	1.3	9.54	6.83	10.49	4.19	2.43	13.31	9.43	21.53	3.43	4.66	5.68	3.14	2.12	3.24	5.69	43.54	3.96	24.9	30.5	4.75	31.06	28.68	33.44
Tcf20	0.0	0.0	0.06	11.65	0.0	4.8	0.0	3.57	5.78	4.07	0.0	0.0	36.58	0.0	0.63	14.92	1.3	0.1	32.33	0.16	2.6	0.02	6.74	60.32	0.0	41.58	41.79	43.86
Tmem181c-ps	0.0	17.81	53.63	64.62	53.88	21.43	0.08	98.84	27.57	3.15	14.48	0.22	27.36	17.27	33.61	15.58	8.9	17.87	38.05	11.58	208.06	0.0	95.64	307.52	0.0	30.95	28.56	25.72
Ubn2	33.24	0.06	1.28	18.21	0.5	7.08	0.0	34.17	2.95	1.49	0.25	0.0	196.56	1.99	5.05	33.32	1.2	5.04	6.08	5.99	139.93	16.53	8.31	103.9	0.6	16.76	13.28	16.9
Unc80	0.0	0.0	0.03	39.4	0.0	4.1	0.0	15.93	25.2	14.06	0.0	0.06	0.46	0.0	16.1	25.55	15.8	14.12	39.17	48.24	380.76	0.01	26.94	128.13	0.0	84.37	69.19	87.32
c7_LSU-rRNA_Hsa	26.16	16.0	37.91	86.96	26.52	21.85	6.89	49.13	15.72	25.46	13.75	95.55	52.53	50.85	19.46	16.01	60.12	23.77	63.77	38.36	95.08	27.51	823.92	432.95	44.74	94.71	85.64	91.89
c8_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.1	10.02	0.0	0.0	0.0	24.66	0.0	14.19	0.0	0.0	0.0	0.0	0.0	0.0	58.58	0.0	0.0	28.42	73.18	71.59
mt_AK132098	2188.6	3215.46	4775.02	3857.44	3601.98	11869.87	6129.44	6636.2	5183.26	12410.34	3678.03	2313.06	4761.71	2876.21	4263.52	7432.39	9933.94	10889.61	6412.84	9572.18	5861.73	2345.3	7229.73	4304.27	2821.78	4857.0	4144.16	4779.18
mt_AK162500	6229.01	8489.12	12997.01	5216.86	6211.67	18017.62	16972.65	15862.29	13510.06	31266.91	8406.25	14108.84	20312.88	7235.15	10405.06	7502.38	18115.72	13178.06	13163.08	9688.78	16571.2	4200.23	8831.3	5518.46	6340.67	16158.33	15507.36	15898.39
mt_AK167037	2188.6	3215.46	4775.02	3857.44	3601.98	11869.87	6129.44	6636.2	5183.26	12410.34	3678.03	2313.06	4761.71	2876.21	4263.52	7432.39	9933.94	10889.61	6412.84	9572.18	5861.73	2345.3	7229.73	4304.27	2821.78	4857.0	4144.16	4779.18
