	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	PvalbF.Gad2_tdTpositive_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hopx	0.0	0.0	0.0	49.63	61.3	63.91
Ikzf1	0.0	0.0	0.0	2.34	1.95	2.18
Il11ra2	0.0	0.0	0.0	1.73	1.86	1.4
Il17rc	0.0	0.0	0.0	3.88	3.69	3.73
Ino80b	0.0	0.0	0.48	19.25	23.11	24.79
Katnal2	0.0	0.0	0.0	4.98	5.32	4.97
Kcng3	0.0	0.0	0.0	3.4	2.35	3.81
Kpna4	0.0	0.0	0.51	58.6	57.09	56.33
Krt1	0.0	0.0	0.0	3.32	3.2	2.92
Lamc2	0.0	0.0	0.0	10.35	10.13	9.64
Mpv17l2	0.0	0.0	0.0	23.54	33.46	28.35
Mybpc2	0.0	0.0	0.0	0.51	0.41	0.42
N4bp2	0.0	0.0	0.0	3.81	3.48	4.38
Necab1	0.41	0.0	0.69	77.53	66.55	73.48
Ngfr	0.0	0.0	0.0	2.13	2.73	1.77
Nkain1	0.0	0.0	0.0	47.92	51.3	48.5
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlrp3	0.0	0.0	0.0	0.39	0.41	0.48
Nphp1	0.0	0.0	0.0	13.62	14.5	13.88
Pdcd11	11.17	0.0	0.0	12.87	12.55	12.83
Pls1	0.0	0.0	0.65	8.94	7.54	9.48
Popdc2	0.0	0.0	0.0	0.49	0.3	0.4
Ppp1r2-ps3	0.0	0.0	0.0	1.1	0.0	1.19
Prmt10	0.0	0.0	1.9	16.1	17.28	15.71
Prrc2a	0.0	0.0	0.0	151.78	159.49	169.12
Pwp2	0.0	0.0	3.7	20.39	21.93	19.87
Rho	0.0	0.0	0.0	0.21	0.34	0.16
Ric3	0.0	0.0	24.76	49.52	47.84	48.08
Rilp	0.0	0.0	0.0	1.88	1.52	2.43
Rnaset2b	0.0	0.0	0.0	18.72	21.85	27.23
Rps6ka4	0.0	0.0	1.54	41.49	40.5	37.81
Rxrg	14.96	0.0	0.0	24.34	26.63	23.94
S100pbp	0.0	0.0	0.0	29.61	27.38	27.3
Sema6d	0.04	0.0	0.12	28.79	27.47	31.61
Shank3	0.0	0.0	0.33	90.7	90.32	94.66
Skiv2l	0.0	0.0	0.0	44.73	49.03	48.76
Slc25a46	0.56	0.15	51.39	55.05	52.28	54.58
Slc35a3	0.0	0.0	6.05	12.91	11.54	11.36
Slc36a1	0.0	0.0	27.71	40.34	37.04	38.5
Snord42b	0.0	0.0	0.0	21.63	5.09	5.58
Snx20	0.0	0.0	0.0	1.05	1.18	1.29
Snx8	0.0	0.0	0.0	10.36	12.14	11.67
Stam	0.13	0.0	43.63	50.75	48.3	46.74
Stxbp4	0.49	0.79	0.56	10.19	9.85	10.06
Tapbp	0.09	0.0	0.46	21.33	22.67	21.53
Tmco6	0.0	0.0	0.0	13.84	11.87	13.23
Tmem2	0.0	0.0	2.09	7.03	7.19	6.84
Tmem42	0.0	0.0	0.0	27.68	24.83	28.1
Tmem54	0.0	0.0	0.0	0.19	0.35	0.19
Tmem98	0.0	0.0	0.0	13.5	14.27	16.45
Trim60	0.07	0.0	0.0	0.08	0.04	0.03
Ube2u	0.0	0.0	0.0	0.36	0.28	0.08
Unc119b	0.0	0.0	7.22	21.35	22.4	20.12
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vwa5a	0.0	0.0	0.0	8.54	8.66	9.97
Wnk4	0.0	0.0	0.0	3.7	3.08	3.86
Wscd2	0.0	0.0	0.0	36.78	36.67	38.34
Xirp2	0.0	0.0	0.0	0.51	0.52	0.67
Xpc	0.0	0.0	1.58	15.02	13.52	13.86
Xrcc1	0.0	0.0	12.79	24.12	26.97	26.19
Zfp13	0.0	0.0	0.0	15.14	17.49	15.58
Zfp384	6.54	0.0	0.61	31.83	29.65	31.6
Zfp618	0.0	0.09	0.0	2.37	1.98	2.5
Zfyve1	0.45	0.0	0.25	32.39	34.07	32.01
Zkscan2	0.0	0.0	0.0	16.42	15.07	16.88
cm_tRNA-Leu-TTA(m)	0.0	0.0	0.0	669.38	548.77	764.29
cx_LSU-rRNA_Hsa	8.32	34.65	22.09	272.2	423.36	376.93
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	13.8	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
