	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_46	Scnn1a.Tg3_tdTpositive_cell_83	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Gm8898	0.75	1.54	0.0	0.0	0.0	18.85	0.0	0.0	0.09	0.36	0.11	2.08	0.06	0.0	0.0	0.19	35.56	0.0	16.47	6.83	0.13	3.27	2.05	0.0	0.0	0.09	32.55	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	3.76	0.37	3.49
Gpr19	413.12	435.3	0.0	0.0	442.05	0.0	0.0	0.0	134.7	166.26	0.0	2.96	31.12	1.49	0.0	0.0	7.08	0.0	0.0	0.0	190.35	79.18	113.15	0.0	14.38	80.34	147.65	0.0	0.0	0.0	0.0	0.0	134.41	11.41	9.09	307.51	61.5	0.0	0.0
Gtf2a1	406.43	94.55	40.56	61.27	0.27	136.58	170.74	0.0	224.96	90.29	5.89	72.5	0.0	255.25	213.88	0.0	170.85	353.53	91.09	232.38	191.7	225.27	180.76	71.07	83.82	95.46	100.06	22.94	226.21	0.0	0.0	75.95	225.44	129.82	26.67	5.93	87.69	10.49	4.67
Hlf	0.0	0.0	86.34	217.36	243.99	0.44	41.27	0.0	154.36	122.99	132.54	0.22	0.09	0.0	173.08	0.0	141.39	92.76	83.87	209.15	115.87	337.22	116.41	0.0	73.65	31.11	138.35	0.0	0.0	0.0	0.0	56.94	225.17	0.05	58.92	36.08	0.05	0.0	2.01
Hnmt	79.48	207.47	238.7	74.55	0.0	0.0	236.5	0.0	0.0	155.62	162.67	210.32	55.25	0.0	96.56	0.0	185.77	547.06	226.19	141.14	104.91	624.73	0.0	0.0	726.19	117.21	171.93	0.0	0.0	0.0	0.0	313.83	416.12	1098.74	0.0	323.39	0.0	211.16	694.13
Ifnar1	36.21	51.16	26.81	101.29	128.28	213.17	47.2	5.43	76.6	21.71	85.38	38.19	25.08	14.71	145.83	39.97	56.17	42.12	85.83	80.78	125.55	133.85	86.07	29.35	58.68	96.5	81.83	18.46	54.73	20.22	17.59	60.87	105.25	37.57	34.74	23.14	116.63	33.1	28.36
Kalrn	0.26	3.04	23.6	51.36	12.15	0.52	56.42	0.0	36.84	25.21	39.91	44.24	4.54	0.17	62.79	0.63	66.6	66.75	29.67	89.35	2.95	40.04	3.86	0.17	68.36	16.57	67.43	0.58	0.04	1.0	0.0	16.98	18.18	3.95	2.74	14.16	32.49	3.83	28.1
Kcna2	0.82	40.84	41.14	9.3	38.84	0.21	17.7	0.0	12.96	47.02	0.33	0.52	0.15	0.43	3.14	0.16	42.77	34.48	89.34	143.49	14.44	47.44	40.35	3.49	98.89	10.1	114.42	0.29	0.35	0.04	0.27	0.0	37.07	9.9	0.07	25.67	25.22	1.85	18.9
Lin7a	0.11	356.52	16.08	38.03	80.62	92.28	54.19	0.0	197.85	109.27	25.66	28.09	0.0	0.29	11.52	0.0	130.3	62.02	115.72	308.66	85.15	7.17	35.8	0.0	74.47	205.54	154.95	0.0	0.12	0.0	0.0	178.83	107.24	0.05	0.16	28.55	0.0	0.0	82.89
Lmo4	0.0	24.08	240.77	122.72	227.14	36.28	489.56	0.0	91.84	253.48	49.33	124.49	178.78	0.84	366.7	87.54	146.82	277.34	136.36	145.74	196.51	1.1	565.1	0.0	230.57	236.31	0.38	34.11	0.0	0.0	0.0	0.0	0.0	25.86	0.0	25.3	133.89	108.04	46.53
Med12l	0.0	0.0	0.0	20.83	0.0	0.0	2.11	0.0	25.6	18.88	5.29	0.0	0.07	0.0	0.31	0.0	0.0	0.0	2.22	5.25	0.0	0.0	6.65	0.0	0.0	9.58	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mef2c	0.2	905.2	343.37	75.16	472.78	173.45	1036.79	2.36	745.01	541.18	264.73	285.55	240.54	4.93	334.78	0.0	570.19	367.17	523.28	406.92	47.4	256.12	317.98	0.2	483.5	640.23	416.12	0.0	0.11	0.0	0.0	99.44	226.76	261.35	193.75	145.27	145.8	159.32	295.56
Mrps22	0.0	0.0	0.0	101.26	0.0	0.0	0.0	0.0	0.0	192.85	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	2.68	123.24	233.7	0.32	0.0	0.0	0.0	23.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nrcam	0.79	142.85	27.84	161.83	1.1	85.26	40.01	2.01	65.4	14.79	17.01	68.16	0.1	0.23	79.34	1.49	87.99	51.62	53.0	75.71	4.55	6.81	71.57	0.21	89.84	49.65	151.23	0.17	0.84	0.36	0.15	2.92	74.04	57.2	15.12	0.61	38.57	63.63	7.88
Pclo	25.72	2.39	6.32	49.44	32.52	7.21	37.62	0.0	26.98	61.38	15.44	56.32	10.62	5.59	29.96	0.3	96.39	49.98	7.6	114.71	79.72	56.39	22.74	0.0	94.11	42.82	33.29	0.0	0.0	0.34	0.0	24.69	44.99	23.99	15.07	10.0	10.94	21.08	16.79
Pi4ka	0.0	39.24	40.89	50.88	93.22	25.92	19.73	0.0	48.73	38.56	16.96	29.45	0.84	1.08	1.17	0.0	31.69	69.74	38.69	43.23	28.21	2.81	14.76	0.0	54.1	59.5	115.27	0.0	0.0	0.0	0.0	26.55	0.17	0.26	48.03	6.26	1.68	0.98	1.66
Ppig	0.0	46.03	21.81	41.78	74.92	42.28	26.45	0.0	53.69	90.75	70.82	86.62	28.2	0.36	53.13	0.18	80.91	18.14	83.49	107.31	43.15	70.41	101.78	0.0	92.68	86.19	141.53	0.0	30.84	0.63	2.01	4.83	18.33	39.92	4.75	7.82	48.18	2.67	31.06
Ppm1k	180.73	153.87	170.94	175.09	110.45	361.11	519.48	1.9	239.02	265.84	384.92	392.34	34.51	109.34	795.7	1.56	185.82	559.37	384.42	476.1	543.59	231.98	225.08	1.65	198.04	263.04	626.2	93.7	0.21	368.67	232.59	284.62	248.05	236.45	159.58	52.15	375.03	90.01	196.23
Ptpn4	0.0	0.0	0.0	21.51	0.0	58.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.62	0.0	0.0	0.15	0.0	0.0	5.73	0.0	0.2	22.95	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0
Slc23a2	0.0	20.31	22.57	91.19	16.82	0.0	1.05	0.0	0.05	66.5	3.64	4.8	33.04	0.0	0.25	0.0	18.87	46.41	46.93	100.33	23.26	21.38	0.0	0.0	31.24	0.28	22.9	0.0	0.0	0.0	0.0	118.05	0.0	60.28	0.22	7.05	0.0	0.0	1.12
Sncb	0.0	54.53	110.48	367.19	120.61	64.98	56.82	0.0	86.42	240.08	63.33	47.5	64.35	3.0	252.34	0.0	136.35	146.45	107.07	226.09	119.55	198.78	123.33	0.0	245.72	226.73	233.62	0.0	0.0	0.0	0.0	170.04	117.52	26.65	36.25	15.73	12.74	12.36	31.6
Snord116	5.85	0.0	7.4	4.85	0.0	0.0	0.0	0.0	5.42	0.0	6.48	7.05	0.0	0.0	14.79	0.0	9.5	7.97	2.61	0.0	3.43	6.89	5.71	0.0	8.45	6.89	9.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0
Snord116l1	5.85	0.0	7.4	4.85	0.0	0.0	0.0	0.0	5.42	0.0	6.48	7.05	0.0	0.0	14.79	0.0	9.5	7.97	2.61	0.0	3.43	6.89	5.71	0.0	8.45	6.89	9.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0
Snord116l2	5.85	0.0	7.4	4.85	0.0	0.0	0.0	0.0	5.42	0.0	6.48	7.05	0.0	0.0	14.79	0.0	9.5	7.97	2.61	0.0	3.43	6.89	5.71	0.0	8.45	6.89	9.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0
Sphkap	0.0	0.0	23.9	24.23	10.28	0.0	6.14	0.0	63.76	3.03	4.2	0.0	0.0	0.09	0.0	0.0	2.11	0.0	15.12	89.63	7.33	0.12	0.0	0.0	38.13	31.05	12.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	1.12	0.0	0.0
Stmn1	10414.48	10776.66	10587.49	9820.07	11391.73	10788.4	10862.63	2682.21	7426.91	9729.87	12096.72	8248.22	9467.14	6131.07	9462.09	10015.46	9224.38	10267.64	7791.86	8069.93	13005.25	11961.92	8724.02	6980.74	10665.83	8022.74	7861.7	3328.08	6841.51	3912.39	3112.47	10788.95	9399.34	10789.21	9222.0	12161.23	10051.01	11287.74	9866.46
Strbp	141.68	189.98	50.57	52.68	219.43	644.52	118.06	0.0	224.35	139.33	269.47	129.28	13.36	1.52	457.8	0.18	225.25	253.28	133.25	383.88	430.91	323.24	308.39	32.15	235.33	205.03	550.85	33.87	0.09	1.19	0.06	442.69	444.96	85.32	45.25	45.82	44.8	37.79	49.56
Synj1	0.18	41.83	134.98	41.65	122.44	84.39	113.73	0.0	112.2	120.91	126.08	107.89	25.58	11.67	107.82	0.05	128.32	154.2	36.19	134.99	0.0	69.92	82.46	0.0	131.3	104.91	69.75	0.0	0.0	0.0	0.0	95.41	46.62	167.47	248.27	94.77	150.74	134.31	136.73
Tagap1	0.0	8.73	0.0	0.0	577.69	103.98	320.45	0.0	409.06	264.85	6.36	171.13	15.46	0.69	504.13	0.0	133.93	0.0	47.15	170.28	269.16	0.33	359.53	0.56	0.52	274.17	86.53	0.0	460.29	0.22	0.0	55.64	252.48	138.56	5.17	74.01	124.9	8.54	9.3
Tdrkh	111.62	0.0	0.0	0.2	0.0	0.0	6.7	0.0	35.17	0.0	0.0	89.49	0.0	0.66	0.0	0.0	0.08	0.0	0.0	0.0	0.0	53.6	17.42	0.0	0.05	0.08	3.35	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.0	55.86	0.0	0.0	0.0
Tmem181c-ps	21.22	57.31	61.34	187.27	157.45	72.09	82.6	7.37	112.48	35.94	63.68	47.4	21.81	0.14	54.35	1.21	46.52	40.47	39.17	72.63	80.31	81.12	25.85	0.15	78.36	47.14	78.59	1.33	9.38	8.29	0.2	65.77	56.55	10.4	29.91	22.46	42.46	31.1	16.64
Tmf1	81.18	40.54	34.74	105.0	9.49	112.6	54.88	0.0	167.84	65.86	84.5	130.13	31.8	27.84	255.48	191.02	51.13	118.61	48.58	168.96	188.92	168.01	85.45	0.55	4.02	100.05	121.53	1.96	15.69	97.06	88.89	45.09	133.69	34.56	7.7	7.17	33.23	23.99	39.25
Uchl1	2.87	370.95	686.02	557.05	126.49	0.0	290.84	0.0	522.58	598.22	481.87	739.06	458.67	5.74	207.92	0.0	478.4	292.24	334.46	452.99	565.67	332.81	495.15	0.0	129.61	399.52	404.85	0.0	0.0	0.46	0.0	534.44	812.28	711.05	545.96	203.08	151.29	441.41	361.35
Wfikkn2	0.18	0.0	0.19	0.38	0.3	0.0	0.3	0.0	0.1	0.0	0.84	0.0	0.0	0.2	0.0	0.24	0.07	0.21	0.27	0.21	0.56	0.0	0.67	0.0	0.51	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.0	0.13	0.0	0.07
Zar1l	0.0	0.0	0.0	0.0	78.07	0.0	0.0	0.0	13.36	28.16	0.0	0.0	0.0	0.0	0.0	0.0	25.73	0.0	0.0	23.48	0.0	0.0	0.0	0.0	20.59	49.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfand6	19.14	14.1	292.84	328.04	935.0	0.0	56.04	82.58	363.21	597.92	45.04	477.32	0.15	0.36	453.23	0.0	156.03	127.86	0.18	165.1	0.0	11.9	153.02	0.0	160.17	252.62	148.21	61.88	0.0	0.0	0.0	31.73	12.52	380.68	99.13	269.75	138.28	222.29	265.12
Zfp187	318.25	300.31	22.76	318.99	542.44	297.46	214.37	95.39	219.12	331.89	257.06	202.45	2.16	142.17	353.78	119.42	198.7	114.44	199.7	373.64	243.76	341.46	117.7	3.28	140.45	194.55	361.76	194.12	0.92	2.18	0.86	751.39	369.08	243.02	33.02	6.4	53.84	48.94	124.48
