	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_48	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hsd17b1	0.0	0.0	0.0	0.53	0.79	0.31
Ikbip	0.18	0.49	0.49	12.87	13.9	12.63
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Ints5	0.0	0.0	0.0	17.06	18.81	15.83
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ldb3	0.0	0.0	0.0	5.58	4.94	5.38
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Mir384	0.0	0.0	0.0	0.0	1.8	7.88
Ms4a15	0.0	0.0	0.0	0.59	1.46	1.14
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mta1	0.0	0.0	22.21	51.69	54.19	55.54
Mxd4	0.0	0.0	0.0	56.59	54.35	59.83
Ncor1	5.39	5.78	9.32	87.37	80.71	92.95
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nle1	0.0	0.0	0.0	12.32	14.41	14.81
Nop56	0.0	0.23	250.94	83.35	93.71	84.19
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Otop3	0.0	0.0	0.0	0.04	0.12	0.04
Pfkfb4	0.0	4.88	0.0	10.46	10.34	11.37
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Pnmal1	0.0	0.0	0.0	121.15	122.07	114.48
Ptgs2	0.0	0.0	0.0	8.98	8.44	8.98
Rbm17	0.0	32.77	0.0	59.56	64.19	62.63
Rnf24	0.0	0.0	0.0	25.62	24.48	22.78
S100b	0.0	0.26	0.0	142.33	130.78	139.88
Scpep1	0.0	0.0	0.0	19.01	20.26	17.06
Sec24d	0.0	0.0	0.0	10.06	11.33	10.36
Sgcg	0.0	0.0	0.0	0.06	0.39	0.14
Slc35e3	0.0	0.0	0.0	26.84	28.01	27.12
Slc6a20a	0.0	0.0	0.0	18.88	22.85	20.77
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smo	0.0	0.0	0.62	8.27	8.75	8.9
St8sia5	0.0	0.0	0.0	60.82	59.54	62.73
Sys1	0.0	0.0	2.03	40.03	42.24	43.51
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tnfaip6	0.0	0.23	0.45	10.12	9.22	7.98
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Usp49	0.0	0.0	0.0	9.47	8.3	9.91
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vgll4	0.0	0.0	0.0	22.35	20.03	22.6
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr93	0.0	0.0	0.0	0.22	0.57	0.27
Zcwpw1	0.0	0.0	0.0	6.0	6.45	5.5
Zfp112	0.0	0.0	0.0	6.62	7.69	7.82
Zmynd19	0.0	0.0	0.0	37.25	34.94	34.39
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
cm_tRNA-Gln-CAA_	397.68	110.79	24.75	49.12	63.11	35.22
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	22.17	9032.87	8417.95	8583.15
