	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_6	Htr3a_tdTpositive_cell_18	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Col4a2	0.79	0.0	13.82	0.0	0.05	0.0	7.71	17.67	0.0	2.27	5.01	0.0	8.4	5.19	11.59	0.23	0.0	4.16	6.76	0.0	0.0	0.0	1.12	0.0	0.34	0.06	5.93	0.0	0.0	0.0	0.04	0.09	0.14	0.0	25.54	27.44	33.03
Cspp1	25.09	22.62	49.45	12.91	0.0	2.42	4.45	0.0	1.21	3.55	31.8	2.58	5.23	10.86	11.41	18.69	2.07	3.97	5.25	0.0	2.9	7.28	2.06	25.11	3.26	0.0	25.37	0.0	0.14	10.51	11.42	0.0	14.2	7.73	14.17	11.85	13.71
Ddr1	0.0	14.26	76.45	0.0	0.0	61.46	0.0	0.0	0.0	0.0	10.4	1.13	5.15	2.89	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	17.77	0.3	0.0	0.0	1.42	0.0	0.0	4.08	0.0	5.87	24.97	0.0	49.01	57.35	57.3
Dnm1	22.71	32.91	63.53	8.22	0.0	16.52	18.81	0.03	4.76	32.34	29.95	2.61	24.23	17.51	36.06	21.22	22.97	0.76	28.7	0.37	16.71	9.78	1.46	6.65	20.33	0.0	36.26	0.0	0.0	44.55	0.3	8.02	31.16	1.11	785.48	840.55	821.55
Gatsl2	12.49	70.49	47.31	0.0	0.0	0.0	1.4	1.07	0.31	31.16	21.87	31.2	0.16	3.91	26.03	0.47	24.81	31.06	5.23	41.01	1.83	1.51	23.04	26.63	12.37	0.0	6.08	0.0	0.38	0.0	27.36	13.79	12.03	0.0	48.97	45.54	51.81
Gm13306	0.0	0.0	28.87	8.68	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	18.38	0.27	0.0	0.0	2.47	0.77	0.0	0.29	2.79	1.65	1.9	2.24	4.31	0.0	40.26	0.0	0.0	0.0	4.89	1.61	7.83	0.0	30.63	28.29	22.96
Gm2506	0.0	0.0	28.87	8.68	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	18.38	0.27	0.0	0.0	2.47	0.77	0.0	0.29	2.79	1.65	1.9	2.24	4.31	0.0	40.26	0.0	0.0	0.0	4.89	1.61	7.83	0.0	30.63	28.29	22.96
Gsta3	14.97	0.0	34.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	37.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	1.74	1.75
H3f3a	101.31	131.33	312.37	155.74	0.0	137.95	130.88	18.92	89.14	62.82	130.37	229.38	177.24	114.89	17.13	82.02	202.46	142.15	76.6	4.71	146.96	45.64	54.22	87.97	5.7	0.73	320.06	0.0	103.27	90.63	139.12	130.36	50.27	17.58	311.17	344.21	316.42
Ifitm7	0.0	0.79	28.46	0.0	0.18	0.27	0.66	0.27	0.23	0.2	0.24	0.15	2.12	0.19	29.42	0.28	0.16	0.0	0.0	1.04	0.0	0.77	0.49	0.12	0.41	0.0	0.58	1.4	0.0	0.0	0.0	0.0	0.0	0.0	1.18	1.06	0.8
Npy	138375.8	173305.25	1.46	115124.65	0.0	77711.12	149629.49	134232.96	105498.11	116117.28	120987.76	122154.33	36041.21	117863.77	130527.91	173863.58	126989.03	166048.87	191162.16	154857.31	134158.33	153405.37	147732.76	110523.31	151963.58	0.0	985.16	0.0	0.0	145032.54	180453.32	128781.07	137580.94	68416.93	214.21	196.57	200.76
Odz2	6.72	0.0	75.69	0.0	0.0	0.0	2.33	0.01	0.0	1.14	0.22	6.49	18.73	7.75	46.39	0.0	12.62	19.15	4.9	5.76	12.8	5.45	9.54	16.57	7.21	0.0	16.95	0.0	0.0	6.93	4.26	10.24	1.53	0.14	28.0	27.04	28.76
Plcb4	22.07	10.69	61.01	6.8	0.0	0.0	0.02	0.0	0.04	0.03	0.0	11.64	51.46	0.33	46.07	0.0	2.05	0.09	8.85	20.41	0.0	0.0	0.0	0.0	7.64	0.0	9.97	0.0	0.0	0.54	0.55	11.98	0.0	0.0	30.97	23.96	33.02
Ppp2r5d	0.0	51.38	132.91	48.32	0.0	0.61	2.84	0.17	0.09	0.36	29.16	3.75	53.39	41.26	6.87	44.81	3.57	30.99	63.3	0.0	0.78	63.79	3.16	70.07	22.08	0.0	9.35	0.0	0.0	2.12	0.75	44.88	77.09	0.0	86.86	87.92	85.01
Prdm10	0.0	3.8	69.92	0.0	0.0	30.04	0.0	0.0	0.0	3.62	0.0	7.65	2.94	3.97	0.0	1.09	0.0	3.77	8.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.14	0.0	2.01	20.41	0.0	0.0	0.0	0.0	10.54	7.71	9.24
Psd3	33.92	5.53	16.2	35.63	0.0	6.21	35.94	25.29	0.69	15.57	45.87	24.28	48.84	4.78	0.39	0.07	11.17	15.4	10.69	4.31	33.09	16.94	18.68	22.29	2.81	0.0	48.59	0.0	0.13	0.09	11.4	0.46	14.76	0.08	186.39	161.39	187.14
Ptcd1	5.85	0.0	74.18	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	16.07	39.93	22.88	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.39	0.0	0.0	0.95	0.0	0.0	0.0	0.15	0.0	0.0	0.0	19.81	23.04	21.17
Ptpdc1	0.74	0.0	25.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	0.0	0.0	0.0	10.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.07	0.05	0.0	0.0	0.0	18.67	22.55	19.99
Rab30	13.41	37.27	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	49.88	0.0	0.0	0.0	17.89	0.0	0.0	0.0	0.12	0.0	0.0	0.0	14.88	13.63	14.09
Rnf112	15.51	21.88	98.58	0.0	0.0	0.0	2.13	3.86	0.99	10.89	0.82	7.7	30.17	12.59	0.43	3.17	1.87	5.32	7.97	5.46	4.84	0.0	1.33	0.0	21.84	0.0	35.02	0.0	0.0	1.35	6.16	68.02	17.27	0.0	274.94	298.54	287.09
Rps2	83.5	72.12	45.37	15.76	0.0	0.0	11.19	3.57	0.14	7.77	35.45	6.74	42.31	6.22	0.59	28.97	3.96	14.13	38.64	3.66	0.22	6.58	0.0	42.98	11.55	0.0	45.07	0.0	0.0	65.2	36.44	6.09	23.86	0.0	595.68	661.67	632.58
Sept5	35.73	51.99	118.16	24.39	0.0	71.54	0.19	2.48	0.47	0.0	30.03	34.02	106.39	28.41	41.79	1.74	2.04	56.94	53.12	29.73	57.92	11.44	29.07	29.54	17.86	0.0	54.96	0.0	0.0	1.76	14.05	13.48	19.26	0.0	835.64	844.16	829.9
Slc6a17	10.59	17.39	68.64	23.48	0.0	28.09	44.15	15.59	8.34	50.21	15.91	18.73	25.48	0.33	24.62	0.9	43.22	51.37	17.43	11.31	24.92	0.26	14.12	1.43	6.16	0.0	22.54	0.13	0.0	0.45	0.73	9.48	15.17	8.93	242.23	238.44	246.45
Slc7a2	0.63	0.7	1.64	0.11	0.0	0.05	0.13	0.26	0.09	0.29	0.13	0.23	0.42	0.15	0.68	0.16	0.07	0.12	0.08	0.16	0.28	0.03	0.05	0.08	0.45	0.16	0.53	1.26	0.37	0.16	0.05	0.11	0.16	0.92	13.05	12.6	13.08
Tceal5	33.74	48.45	247.26	30.35	0.0	173.67	60.43	66.8	31.82	33.68	63.78	29.92	45.58	3.83	38.19	5.5	0.0	0.0	0.0	12.52	37.2	15.13	12.7	6.21	29.34	0.0	34.03	0.0	0.0	38.48	28.17	53.09	29.24	18.75	126.15	124.0	119.84
Tef	0.0	47.97	130.55	0.95	0.0	0.1	0.19	0.03	0.03	0.42	16.56	0.0	26.54	20.71	24.69	31.01	0.07	0.08	1.07	0.0	0.05	0.0	0.0	1.47	0.94	0.0	13.75	0.0	0.0	0.0	0.0	0.0	31.13	0.0	235.69	246.71	214.72
Tnks2	28.4	1.15	21.28	0.04	0.0	4.55	0.23	1.2	0.0	16.0	0.14	0.21	23.21	5.33	25.64	0.0	0.0	13.08	15.93	0.0	5.82	0.0	0.0	3.52	0.04	0.0	38.34	0.0	0.0	6.29	0.0	0.0	8.84	0.0	72.37	67.98	67.4
Tnrc6b	4.7	3.95	10.42	1.42	0.0	7.88	3.6	0.06	7.68	0.45	3.31	2.44	5.21	4.46	2.93	0.16	5.01	2.98	3.74	0.15	2.53	0.04	1.73	0.31	1.52	0.0	9.13	0.04	0.0	0.7	1.12	14.1	0.05	2.35	23.16	19.07	23.71
Tspan17	0.0	0.0	25.76	0.0	0.0	0.0	37.95	30.47	0.0	0.0	14.57	2.16	38.56	15.97	12.69	0.0	0.0	0.0	0.42	20.13	3.95	0.0	0.0	0.0	0.0	0.0	7.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.39	46.39	44.45
Tusc3	25.64	68.48	82.36	89.53	0.0	0.0	26.41	61.77	20.22	36.31	7.67	38.87	62.88	0.82	107.86	26.72	36.22	32.04	43.17	4.5	44.43	1.77	26.07	1.42	0.0	0.0	153.11	0.0	0.0	34.96	8.5	30.21	16.88	0.0	339.79	358.73	329.81
Twsg1	14.45	0.0	22.35	3.65	0.0	0.0	0.0	0.0	0.09	3.26	3.98	3.04	0.0	22.21	30.99	0.0	0.0	0.03	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55	0.0	0.0	6.54	18.47	0.0	0.0	0.0	23.23	22.45	20.6
Ykt6	45.85	21.88	143.5	20.11	0.0	0.0	0.13	0.1	0.05	48.86	30.18	13.6	24.4	28.45	0.0	0.1	22.6	2.35	45.43	53.69	28.1	0.67	17.14	32.06	1.0	0.0	23.78	0.0	0.0	20.05	0.0	0.24	5.04	0.0	89.2	88.57	87.68
