	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_66	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_106
Mynn	0.0	31.51	0.0	0.0	1.1	0.29	8.99	0.0	9.39	0.0	5.32	0.36	0.0	0.0	0.07	12.47	5.91	0.0	24.49	0.0	0.88	70.83	0.0	94.87
Nfe2l1	0.0	30.93	8.55	0.0	28.89	0.17	3.22	14.78	76.25	20.06	91.87	19.28	15.75	2.66	9.95	28.9	38.8	17.67	31.48	41.52	54.29	34.9	3.76	57.21
Pdcl	0.0	48.91	0.0	0.0	95.3	0.0	28.81	44.6	50.36	67.94	107.91	76.54	73.14	68.54	28.43	32.49	3.2	38.84	36.2	42.8	61.17	76.61	128.21	228.34
Per1	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	6.07	0.12	0.0	0.0	3.1	0.07	0.15	0.12	0.09	0.0	2.8	7.59	0.0	0.0	29.54
Pisd	31.27	98.69	0.0	0.0	126.63	0.28	45.42	8.34	72.34	0.73	117.43	40.4	75.86	291.41	70.47	91.82	2.08	131.97	1.56	76.25	11.31	74.35	2.56	354.12
Polr1c	0.0	0.0	0.0	512.51	121.79	0.47	188.15	132.0	160.14	71.96	108.2	107.39	32.09	101.5	110.61	58.93	73.26	177.55	165.04	101.76	48.45	149.84	71.98	259.6
Ppp2r5e	0.0	0.0	0.0	0.0	44.32	0.0	12.56	29.63	64.59	2.93	33.86	1.46	16.72	0.0	22.76	25.63	44.58	45.52	58.0	28.2	41.65	81.32	1.48	77.49
Prkag1	0.29	0.0	0.0	0.0	335.96	0.74	121.76	197.59	210.24	177.58	278.49	149.35	332.74	309.65	194.96	192.11	188.37	190.37	141.5	179.55	196.36	220.37	115.84	436.75
Prkcb	0.0	0.08	0.0	0.06	35.6	0.4	12.95	22.09	15.72	30.77	36.4	29.46	30.94	49.45	21.51	9.83	23.19	38.0	46.98	31.07	18.65	60.91	23.52	38.07
R3hdm2	0.0	0.0	0.0	0.82	8.6	1.26	0.0	23.0	4.94	2.14	19.25	14.99	13.78	58.42	1.51	12.14	19.18	18.3	71.92	10.97	2.28	16.91	3.64	82.13
Rab8a	0.0	0.0	0.0	0.0	80.67	0.0	156.0	95.98	52.47	0.79	44.3	118.09	58.53	41.63	45.51	36.89	15.17	56.87	0.54	12.45	96.41	109.58	58.14	203.35
Rimbp2	0.0	0.0	0.0	0.26	3.03	0.29	0.0	0.89	0.11	0.0	0.0	0.0	0.15	9.31	6.8	1.0	0.06	1.24	1.51	0.0	0.0	21.72	4.82	37.48
Sf3a1	0.0	0.0	0.0	0.0	13.61	1.33	0.0	24.07	20.96	0.0	2.4	24.92	12.17	21.86	0.06	1.73	27.32	16.87	0.0	0.0	0.0	37.41	0.04	49.31
Syncrip	0.0	2.66	0.0	93.89	51.24	0.0	27.85	16.31	40.11	48.41	24.56	24.79	11.83	0.0	22.72	18.95	2.89	50.49	28.76	15.31	0.87	30.83	44.89	102.69
Uchl5	0.0	128.04	0.0	0.0	126.12	18.64	295.4	109.42	178.78	98.85	180.37	280.14	243.98	176.56	46.7	248.45	134.32	186.72	154.22	121.74	155.71	186.5	170.0	302.21
Uvrag	0.0	0.0	0.0	0.0	1.7	0.0	0.0	1.52	0.89	2.06	2.2	0.0	1.1	0.0	0.0	0.0	6.28	0.0	0.47	0.0	0.0	13.51	14.7	53.3
Ylpm1	0.0	0.0	0.0	0.0	3.3	0.08	0.73	2.95	0.0	26.38	4.57	13.23	1.91	5.44	6.63	4.31	3.74	7.51	8.1	24.6	3.96	16.5	0.55	32.09
Zdhhc16	0.0	0.0	0.0	0.0	37.13	0.0	0.0	1.27	46.79	0.0	0.0	2.23	37.48	0.0	0.0	0.0	113.59	0.0	0.0	0.0	28.27	76.23	30.98	145.43
Zfp365	0.0	0.0	0.0	0.0	46.05	0.29	0.99	18.5	59.27	29.1	44.01	48.68	113.22	54.51	52.11	41.33	60.76	53.99	44.84	104.05	35.5	86.46	52.74	79.14
Zfp426	0.0	0.0	0.0	0.0	29.8	0.0	0.0	41.58	43.6	26.46	0.0	0.0	14.52	0.0	39.86	31.03	0.0	39.92	0.0	0.0	0.0	0.0	0.0	149.88
