	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_67	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_96	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aldh2	0.0	18.99	0.0	0.0	0.0	0.94	3.14	0.0	0.0	0.0	0.17	0.04	5.45	0.0	8.11	37.56	0.07	0.0	0.0	0.0	0.0	22.34	74.65	73.82	71.96
Ankrd13b	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.99	0.0	2.02	0.0	0.09	0.16	0.29	0.0	71.45	73.14	72.36
Arhgdib	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.5	0.0	0.0	0.0	0.0	0.0	243.16	50.34	0.0	0.0	0.0	0.0	0.0	18.31	14.23	13.52
B3gat1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	54.28	27.09	26.05	35.16	30.46	12.31	21.88	0.0	0.0	0.0	0.0	0.0	160.08	155.74	161.44
Bai2	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.5	0.0	0.0	0.05	0.3	0.0	0.0	0.27	0.06	0.0	0.0	0.0	231.59	239.36	249.07
Cacna1g	1.16	0.03	1.97	0.05	0.0	0.0	3.01	4.94	0.0	0.18	3.13	0.06	0.06	0.0	0.44	0.03	0.27	0.0	0.0	1.44	0.0	0.0	33.7	32.27	39.81
Cdca7l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.95	1.43
Chia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	3.27	3.7	3.78
Crkl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	12.31	0.09	0.76	0.01	0.03	0.0	14.28	22.19	17.09	0.0	0.03	0.0	0.0	0.0	31.14	28.3	26.35
Cstad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	4.26	0.0	72.44	0.0	0.0	0.0	0.0	0.0	0.0	3.74	3.53	3.48
Ddit4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	8.8	0.0	0.0	0.0	0.0	0.0	0.0	42.7	58.14	37.5
Dmwd	23.46	0.3	0.0	0.0	5.52	0.0	0.0	0.0	1.06	1.65	28.88	8.21	0.0	13.69	0.0	36.62	28.56	0.0	11.85	0.0	0.0	0.0	100.0	111.98	108.17
Dnalc1	4.27	18.69	17.66	0.0	0.13	0.71	1.49	0.26	0.15	2.13	22.79	1.44	1.84	9.25	19.64	24.6	7.31	0.9	0.38	0.73	0.08	0.0	67.35	64.52	65.11
Duox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.05	0.15
E030003E18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.19	10.67	11.31
Eed	2.49	0.12	0.0	0.2	0.0	0.0	40.48	18.41	0.0	0.0	0.0	4.21	11.51	0.0	30.1	120.81	0.0	0.0	51.35	0.0	10.13	0.0	16.7	17.13	15.39
Fads2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.3	134.06	142.84
Fam53a	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.06	20.61	20.59
Fbxl19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.14	0.0	0.0	0.0	0.26	0.0	2.66	0.0	0.0	0.0	0.0	0.0	56.65	56.33	54.78
Fkbp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85	4.86	5.23
Foxk1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.9	10.41	0.04	0.02	0.0	0.0	2.07	0.0	0.0	0.02	0.0	0.17	0.0	23.74	24.68	24.65
Gabrq	13.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.84	0.16	0.0	0.0	0.0	0.0	0.0	1.44	0.79	0.97
Glb1l	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.0	0.0	7.96	0.0	0.0	0.0	0.0	4.59	0.0	6.38	7.81	7.17
Gm10538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.83	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05	0.05
Gm15413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.34	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.11
Gm16576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.68	0.54
Gm17660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.68	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
Gm973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	3.4	4.02
Golt1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	1.19	1.37	1.01
Gpat2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.25	0.27
Haus2	40.41	0.48	0.96	2.4	1.05	0.76	4.42	1.04	0.9	17.43	49.41	1.11	1.72	1.98	2.28	165.11	32.72	33.5	0.69	33.08	3.87	11.57	19.22	20.31	22.78
Hfe2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.68	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.97	1.87
Hgf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.76	3.17	4.81
Hic1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	3.3	2.32
Hist1h2bk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.54	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0
Hs3st2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	32.96	21.99	0.0	1.59	24.3	82.56	1.32	0.0	0.0	0.0	0.0	0.0	51.35	52.11	49.81
Ifitm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	80.58	0.26	0.0	0.0	0.0	0.0	0.0	22.84	22.8	22.07
Ino80b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.25	23.11	24.79
Itpr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.68	0.0	0.0	0.0	0.0	0.0	0.0	2.23	1.99	1.86
Kctd2	5.01	0.0	0.0	0.0	0.0	10.41	0.0	0.0	0.0	5.06	0.21	16.95	0.0	9.32	2.42	67.54	5.58	0.0	0.85	0.0	0.0	0.0	73.64	79.6	73.51
Klhdc8a	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	3.76	21.22	0.71	0.0	0.0	16.52	0.0	0.0	1.0	0.0	0.0	4.88	10.79	11.57	10.51
Lama3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	2.18	1.91	2.55
Lphn2	73.57	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	22.16	0.0	0.0	4.2	70.28	0.0	0.0	0.0	0.0	0.0	0.0	51.0	46.86	49.63
Mdga1	0.0	0.0	0.02	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.1	0.0	0.0	0.09	0.0	0.0	0.1	0.0	0.0	10.01	11.08	11.17
Miat	0.16	0.0	0.02	0.05	2.62	0.05	1.11	0.0	0.0	0.7	4.42	13.46	4.26	11.87	1.4	20.16	0.59	2.78	0.24	0.0	0.0	0.0	196.73	185.46	213.96
Mmrn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	3.75	2.99
Mpeg1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	15.96	16.02	16.24
Nell2	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.31	9.15	49.31	37.67	81.17	10.12	53.8	63.1	88.4	50.08	0.0	20.94	44.88	98.64	0.26	447.3	471.39	442.87
Nnat	36.92	0.0	2.69	0.0	0.0	0.0	0.0	22.94	20.12	167.8	44.24	16.18	13.13	72.75	43.86	64.61	57.97	0.0	0.0	0.0	59.38	18.01	263.05	306.83	281.49
Nrbp2	66.19	21.86	67.51	0.0	0.0	49.55	0.79	0.0	0.09	31.21	66.63	38.0	91.21	27.47	38.95	104.13	36.54	0.0	0.0	9.07	0.0	0.0	123.98	131.14	139.93
Pabpc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.99	0.0	0.0	0.0	0.0	0.0	0.0	1.83	1.45	2.01
Pacs2	11.05	0.03	0.07	0.0	0.0	11.39	1.47	0.18	0.04	0.19	0.0	0.03	1.01	0.1	0.07	15.77	0.62	0.0	0.0	0.0	0.43	0.16	62.85	66.6	75.48
Palb2	0.0	0.0	22.2	0.0	2.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.56	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.64	1.3
Plxdc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.46	0.0	0.0	0.0	67.39	0.0	0.0	0.0	0.0	0.0	0.0	21.14	17.63	22.23
Ppp1r18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.87	0.0	0.0	0.0	0.0	0.0	0.0	6.34	7.47	6.54
Prox2	0.47	0.04	0.11	0.0	0.66	0.31	0.9	0.2	0.16	0.19	0.14	0.06	0.26	0.25	0.12	16.84	0.19	0.95	0.31	1.22	1.26	0.17	4.38	3.61	4.22
Psg17	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.15	0.69	0.0	0.0	0.19	0.0	0.0	0.0	0.05	0.09	0.2
Ptch1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.02	0.0	0.0	6.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.74	21.68	22.39
R74862	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	5.69	0.0	7.46	0.0	31.45	0.0	0.0	0.0	0.29	0.0	0.0	5.8	6.2	4.9
Rab32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.77	0.0	0.0	0.0	0.0	0.0	0.0	1.3	2.18	1.54
Rab5c	0.71	3.41	0.0	1.55	0.0	0.0	0.0	0.0	0.72	0.54	52.14	0.0	1.12	7.48	0.0	0.0	3.86	1.1	0.0	0.0	0.0	0.0	172.31	181.94	176.72
Rbm20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	1.86	2.36	2.73
Rgma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.33	7.63	0.04	0.0	0.0	0.0	0.0	0.0	27.04	31.73	29.97
Sdpr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.19	0.0	0.0	0.0	0.0	28.75	0.05	0.0	0.0	0.0	0.0	7.29	7.66	8.78	6.39
Slc22a23	13.19	0.0	8.57	13.59	28.87	11.61	0.0	0.0	33.66	0.0	16.24	0.04	0.0	0.04	0.0	50.56	23.8	3.45	23.09	0.68	0.0	11.14	39.19	38.53	38.48
Slc2a12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	2.15	1.92
Slc4a4	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	7.89	24.99	13.12	18.92	24.09	11.72	56.95	6.55	0.0	0.0	0.0	0.06	0.0	69.79	64.08	73.14
Slit1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.72	0.12	0.0	0.0	0.0	0.09	0.0	38.98	41.29	42.41
Sncg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.99	0.0	0.0	0.0	588.88	0.0	0.0	0.0	0.0	0.0	0.0	3.78	4.75	5.49
Sst	110572.87	47293.26	92299.24	48476.57	39954.99	72114.03	41248.39	79456.04	80147.45	39114.0	46171.02	45987.89	45687.49	57147.69	50199.22	41941.87	56460.73	33804.89	78404.02	70180.73	40569.83	43001.18	558.6	588.98	558.0
Sugp2	3.64	0.0	0.0	12.59	2.25	0.0	0.0	0.0	0.0	0.77	8.6	8.63	0.0	0.92	0.08	19.02	0.08	7.52	0.61	5.23	0.25	0.0	63.49	63.87	67.29
Tdgf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.39	0.8
Tdrd12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.74	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.23	0.25
Tifab	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	1.83	2.51	1.95
Tmem132e	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	23.2	0.0	0.0	0.1	13.86	0.0	30.55	13.69	0.0	0.0	0.0	0.0	0.0	10.29	11.16	11.83
Tom1l1	0.0	0.0	8.5	0.0	0.0	0.0	0.0	2.89	7.29	0.0	0.0	1.45	0.0	0.0	0.0	61.61	0.0	0.0	0.0	0.0	4.63	0.0	21.69	18.85	19.79
Tspan14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	39.03	42.33	45.64
Ttll3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	30.47	0.0	0.0	0.0	0.0	0.0	0.0	10.76	12.11	10.16
Txlnb	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.87	5.61	0.0	0.0	0.11	0.0	0.0	0.95	1.2	0.93
Vasp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.06	0.0	0.0	25.45	0.0	0.0	0.0	0.0	0.0	0.0	10.86	11.43	11.8
Xlr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.24	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.92	1.01
Zbtb7c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	6.28	20.16	0.0	0.0	0.0	0.0	0.0	0.0	2.64	2.89	3.3
Zic2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.56	11.48	10.46
