	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_32	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_23	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_11	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Gm6602	27.06	2.02	33.72	56.88	24.43	18.62	8.54	6.01	25.29	9.09	26.65	32.9	12.95	36.96	15.86	52.47	13.55	13.48	12.24	7.32	8.93	4.65
Gm7337	1.82	0.43	1.86	0.62	0.5	0.38	0.25	0.0	1.0	0.27	0.55	1.07	0.2	0.95	0.59	3.27	0.0	0.23	0.0	0.22	0.17	0.32
Gna11	172.57	28.55	111.57	103.41	53.46	140.23	67.4	0.0	20.89	0.0	0.11	0.0	0.0	80.58	20.46	145.35	77.75	77.04	0.07	0.0	20.53	0.0
Gna13	0.1	0.14	0.09	0.42	0.06	0.0	0.0	0.06	0.29	0.22	0.09	0.06	0.05	25.02	0.03	60.26	0.0	0.01	2.74	0.01	0.0	0.0
Gngt1	0.74	0.3	7.66	0.58	1.55	1.26	0.74	0.0	1.94	2.65	1.61	2.96	3.05	1.81	0.0	2.73	0.0	0.0	0.26	1.77	0.66	0.62
Grm5	48.0	21.67	151.35	193.91	32.12	129.27	21.63	0.0	46.86	48.65	19.0	162.7	145.68	148.43	67.56	196.75	52.53	51.87	23.37	13.89	56.01	0.03
Hdac3	0.0	202.02	328.49	0.0	221.51	495.06	0.0	0.0	0.11	24.01	223.78	0.0	2.3	81.71	153.63	183.02	75.06	0.0	0.0	0.15	0.15	0.12
Hist1h2bq	0.0	0.13	0.34	0.12	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.03	0.09	0.09	0.05	0.1	0.0	0.07	0.0	0.28	0.0	0.0
Hist1h2br	0.0	0.13	0.34	0.12	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.03	0.09	0.09	0.05	0.1	0.0	0.07	0.0	0.28	0.0	0.0
Hmmr	10.13	6.34	19.59	23.72	9.77	84.83	5.36	6.14	12.11	8.97	8.85	14.98	16.99	12.56	4.12	24.42	3.95	6.99	5.6	5.91	4.46	3.13
Hsd11b1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1059.91	0.0	496.07	0.0	0.0	0.0	0.0	0.0	0.0
Il2ra	0.24	0.25	2.23	2.12	0.29	0.63	0.26	0.86	1.26	0.47	1.47	1.21	1.69	1.21	2.12	2.56	0.31	0.87	0.38	0.96	0.36	0.13
Kbtbd10	6.64	1.02	8.23	5.89	3.7	6.23	2.14	4.18	5.1	8.39	8.28	8.41	3.67	6.36	37.66	8.91	2.25	2.71	3.41	4.54	1.11	1.3
Kctd20	0.0	0.09	101.28	0.0	11.57	0.0	0.83	0.0	0.47	91.41	39.43	233.01	0.0	12.15	23.7	71.28	7.49	0.0	0.0	0.37	0.0	0.0
Lpp	2.32	0.75	4.22	3.78	1.45	1.62	0.59	0.85	2.19	1.21	2.08	4.23	2.45	2.63	1.81	4.08	0.92	1.39	0.36	1.54	0.79	0.67
Map2k6	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.44	3.71	113.04	0.0	0.0	29.02	0.0	83.41	0.0	0.0	0.0	0.0	0.0	0.0
Mfsd11	20.7	4.09	197.46	25.59	80.64	8.74	74.41	3.43	12.2	9.36	12.9	6.55	31.89	135.2	6.06	155.37	2.7	4.92	5.25	27.91	8.33	3.95
Mfsd2b	5.5	3.06	6.56	13.52	4.26	4.35	2.32	4.89	4.07	1.78	4.96	7.17	1.57	4.13	1.64	5.35	2.37	17.4	1.73	3.13	1.76	1.95
Mob3c	3.12	1.19	12.7	6.18	4.08	6.55	4.87	11.81	4.45	2.68	4.4	7.78	8.25	9.49	8.6	10.18	1.31	2.8	2.82	1.37	7.38	0.96
Ms4a15	0.31	0.12	0.56	0.0	0.21	0.61	0.58	0.22	0.39	0.0	0.21	0.53	0.23	0.6	0.08	1.13	0.15	0.0	0.0	0.0	0.0	0.0
Muc13	0.0	0.0	0.16	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.01	0.13	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
Nr1d1	362.16	93.13	543.35	0.0	137.15	3.74	0.0	0.0	198.42	357.59	185.96	2.28	0.58	174.33	69.13	314.41	64.14	1.72	37.57	9.82	0.12	0.09
Pcdhb5	2.02	0.18	4.51	2.17	0.1	1.68	0.0	0.0	1.5	0.39	0.7	2.95	1.68	51.92	0.55	16.3	0.0	0.75	0.41	0.58	0.42	0.2
Pclo	2.39	6.32	76.61	32.52	37.62	15.44	10.62	0.3	96.39	49.98	9.33	79.72	56.39	41.19	94.11	80.24	23.99	15.07	10.0	10.94	21.08	16.79
Pde4c	1.91	0.87	5.17	3.84	1.16	6.65	3.39	2.73	2.91	1.93	3.45	4.01	2.23	2.66	2.24	3.59	8.25	4.07	0.79	2.48	0.68	0.95
Pdk4	0.0	0.12	0.73	0.26	0.2	0.19	0.29	0.0	0.18	0.0	0.7	0.75	0.44	0.0	0.01	0.31	0.15	0.0	0.0	0.26	0.0	0.09
Pgbd1	0.0	0.0	96.37	0.0	0.33	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	4.02	0.09	137.03	0.0	0.18	0.0	0.0	0.0	0.0
Pi15	35.13	6.36	52.31	57.97	35.58	24.62	10.25	4.09	34.52	16.19	32.87	35.34	24.6	31.82	24.65	50.17	13.88	14.51	6.79	10.76	10.13	7.59
Prdx6b	0.2	0.0	0.0	0.53	0.25	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.58	0.0	0.0	0.0	0.0	0.21	0.0
Psmg4	122.66	0.0	109.23	0.0	0.0	0.0	0.0	0.0	78.53	44.85	0.84	0.0	105.0	66.27	0.33	103.94	84.93	0.0	0.0	0.0	0.0	0.0
Rbm28	32.96	10.89	74.87	24.5	58.7	18.84	5.16	6.7	18.57	46.06	21.98	16.56	7.17	11.8	53.46	84.82	13.12	20.24	52.15	25.88	23.91	12.13
Rdh1	47.17	6.01	76.94	68.67	40.65	44.57	14.52	43.54	47.5	23.92	56.77	44.95	47.28	45.49	40.08	73.73	17.86	23.93	12.31	22.52	20.17	19.08
Rfc5	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	74.07	24.16	154.87	0.0	0.0	0.0	0.0	0.0	0.0
Ric3	7.64	0.0	0.0	0.0	12.32	66.23	18.32	0.0	139.67	48.74	0.07	31.43	116.71	229.2	19.74	208.28	0.0	0.45	0.38	0.08	13.12	4.42
Rnf167	497.99	166.18	559.0	301.09	189.67	233.14	290.26	720.74	399.36	0.46	183.83	192.87	412.56	269.32	166.74	522.29	0.19	26.62	125.77	129.95	62.53	116.4
Scml4	0.0	0.08	0.69	0.28	0.45	0.08	0.01	0.08	0.21	0.29	0.22	0.01	0.56	0.14	0.13	0.73	0.35	0.33	0.05	0.3	0.06	0.2
Sept8	28.1	6.02	61.23	0.0	11.84	13.38	38.13	2.38	1.89	23.01	3.36	0.0	0.0	11.97	3.62	60.77	0.0	6.94	0.0	6.8	9.77	0.0
Snx14	43.6	0.0	142.89	0.0	58.87	86.39	0.08	0.24	70.28	147.07	5.69	0.0	3.3	61.31	0.7	138.76	2.09	5.85	0.0	0.0	57.68	4.69
Sptlc2	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	29.83	0.0	27.72	0.0	0.0	0.0	0.0	0.0	0.0
Ssh2	0.11	0.0	2.34	0.0	0.81	30.66	0.0	0.0	0.05	18.48	0.0	0.0	0.0	34.72	0.03	72.14	12.15	3.21	0.18	0.0	4.97	0.0
Stmn1	10776.66	10587.49	7191.65	11391.73	10862.63	12096.72	9467.14	10015.46	9224.38	10267.64	9644.83	13005.25	11961.92	5079.76	10665.83	3428.93	10789.21	9222.0	12161.23	10051.01	11287.74	9866.46
Tcta	0.0	164.3	213.87	0.0	112.69	150.71	0.15	0.0	0.14	0.0	179.38	36.42	193.22	76.77	0.09	215.32	10.1	0.0	272.19	5.54	59.68	70.17
Tnfsf10	16.13	4.13	37.89	18.16	10.48	19.3	7.18	3.34	16.01	9.28	12.9	22.09	22.98	15.44	6.89	16.49	3.38	62.25	22.2	10.77	9.42	14.46
Zfp1	206.46	0.24	223.58	3.43	1.87	4.05	114.0	0.83	4.89	104.39	0.44	221.52	2.85	56.39	19.73	175.23	0.65	12.27	0.57	118.94	0.63	108.75
Zfp568	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.05	0.09	0.0	0.13	0.0	0.05	0.14	0.0	0.22	0.0	0.0	0.0	0.12	0.0	0.0
Zmat4	0.0	23.85	64.84	0.0	22.76	116.21	0.0	0.0	2.34	9.04	63.9	236.47	9.43	208.41	173.49	319.79	0.14	0.0	22.45	0.0	13.43	0.0
c18_tRNA-Ala-GCA	0.0	30.68	168.38	26.48	38.68	19.72	12.53	0.0	0.0	0.0	37.43	0.0	15.46	0.0	0.0	227.93	0.0	0.0	0.0	0.0	31.38	0.0
