	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Itgb5	5.48	0.0	0.0	0.0	29.46	28.45	30.72
Jak3	0.25	0.0	0.0	0.0	5.2	4.32	4.81
Kcnma1	140.19	0.0	9.87	44.08	74.17	60.49	78.81
Klf11	0.35	0.0	0.0	0.0	6.11	6.52	6.05
Klhl1	13.33	0.0	0.0	0.0	3.13	2.88	2.48
Lancl2	256.2	0.0	43.79	92.47	77.76	75.63	63.63
Ldb2	11.52	0.0	0.0	0.0	50.55	48.2	45.35
Lrp2bp	25.66	0.0	0.0	0.0	0.52	0.41	0.36
Mafg	149.96	0.0	11.78	8.32	54.59	52.65	49.92
Mc4r	43.6	0.0	0.0	0.0	1.46	1.95	1.07
Mcm9	2.5	0.0	0.0	0.0	3.04	3.39	3.22
Mir692-1	5.99	0.0	0.0	0.0	1.35	0.0	1.4
Mllt4	44.77	0.0	1.54	1.63	42.53	41.5	42.39
Mmp11	69.08	0.0	0.0	0.0	1.41	1.33	1.32
Mtus1	37.41	0.0	0.0	0.0	24.5	24.85	24.14
Mxd4	44.96	0.0	0.0	0.0	56.59	54.35	59.83
Naip1	9.37	0.0	0.0	0.0	0.37	0.12	0.12
Nlrp1a	2.72	0.0	1.34	0.75	2.56	2.09	2.3
Npr2	32.12	0.0	0.0	16.15	35.79	37.33	37.73
Nup50	61.85	0.0	14.82	5.18	24.06	24.48	22.56
Oca2	46.67	0.0	0.0	0.0	0.25	0.33	0.1
Olfml2a	0.13	0.0	0.0	0.0	1.54	2.24	2.08
Olfr102	139.21	0.0	0.0	0.0	0.0	0.0	0.0
Olfr221	24.15	0.0	0.0	0.0	0.11	0.1	0.0
Olfr701	0.22	0.0	0.0	0.0	0.0	0.0	0.03
Pcdhga9	37.64	0.0	0.0	0.0	11.68	10.47	10.54
Pcnxl3	16.38	0.0	1.45	12.49	27.31	28.15	29.54
Pcsk7	110.23	0.0	0.0	0.0	18.18	16.48	17.69
Pdia5	24.92	0.0	0.0	0.0	5.22	4.66	5.79
Pigo	57.06	0.0	5.92	0.0	17.48	15.46	16.75
Pkhd1l1	0.02	0.0	0.0	0.0	0.12	0.09	0.1
Pkib	25.84	0.0	0.15	0.14	3.75	3.56	3.72
Plcd1	12.09	0.0	0.0	0.0	12.4	12.81	11.34
Plcz1	28.94	0.0	0.0	0.0	0.54	1.03	1.31
Pld1	12.61	0.0	0.0	0.0	4.61	4.54	4.78
Pmepa1	55.52	0.0	23.48	0.0	33.96	33.05	32.31
Ppip5k1	43.54	0.0	20.01	21.71	66.18	64.87	65.93
Ppm1f	50.49	0.0	37.5	0.08	46.8	46.46	46.2
Pramef8	107.62	0.0	0.0	0.0	9.6	9.87	10.19
Pramel3	0.17	0.0	0.0	0.0	0.03	0.07	0.0
Prr16	87.01	0.0	0.0	0.0	9.3	10.52	10.11
Prrc1	90.79	0.0	0.0	0.42	13.02	13.51	12.87
Qtrtd1	68.39	0.0	32.45	12.13	12.93	13.79	14.03
Rab7l1	84.62	0.0	0.0	0.0	6.66	6.36	6.97
Raph1	69.98	0.0	0.08	4.29	24.17	19.87	22.43
Rarb	123.57	0.0	11.98	0.0	21.59	22.3	17.81
Rasa4	47.2	0.0	3.15	0.0	5.56	5.17	4.58
Rims4	15.88	0.0	0.0	0.0	57.06	56.54	59.93
Rnf122	3.88	0.0	0.0	0.0	3.66	4.15	4.44
Rprd1b	137.01	0.0	16.58	1.83	21.17	21.76	20.48
Sbk1	95.64	0.0	25.05	28.72	50.91	56.15	49.9
Scamp1	443.89	0.0	45.89	74.32	186.31	183.9	173.43
Serinc5	53.47	0.0	0.0	1.67	47.51	47.26	50.14
Serpina3a	0.51	0.0	0.0	0.0	0.55	0.24	0.78
Serpinb6a	217.4	0.0	0.0	83.14	38.9	41.07	39.72
Serpinf1	168.64	0.0	0.0	0.0	11.69	14.03	10.97
Sike1	100.18	0.0	0.0	0.0	25.68	23.76	25.84
Slc16a12	20.08	0.0	0.0	0.0	1.9	2.01	1.6
Slc24a1	0.05	0.0	0.0	0.0	0.13	0.21	0.1
Slc25a39	209.34	0.0	25.24	79.16	61.39	65.52	64.37
Slc5a8	0.06	0.0	0.0	0.0	0.07	0.03	0.08
Snx29	8.58	0.0	0.0	0.61	8.46	7.76	9.3
Sorcs1	38.83	0.0	0.0	0.08	22.98	19.94	24.33
Sorcs3	5.24	0.0	0.0	0.0	26.5	23.84	29.89
Spag6	6.25	0.0	0.0	0.0	5.7	5.55	6.52
Srpk3	119.38	0.0	0.0	0.0	6.97	6.76	8.66
Tcerg1l	139.41	0.0	0.0	0.0	9.76	10.65	9.84
Tgfb1i1	54.57	0.0	0.0	0.0	9.64	8.72	7.29
Tmem198	15.61	0.0	1.14	0.75	66.23	69.79	68.44
Tmem37	56.71	0.0	0.0	0.0	1.09	2.25	2.77
Tmem47	246.78	0.0	11.25	0.1	73.03	64.48	76.03
Tmtc2	8.7	0.0	0.0	0.0	6.96	6.51	7.24
Trem2	93.38	0.0	0.0	0.0	18.34	22.94	22.08
Tubb6	268.95	0.0	0.0	0.0	6.67	6.95	6.98
Tusc1	11.77	0.0	0.0	0.0	6.38	10.92	8.48
Usp2	197.42	0.0	19.39	0.86	55.91	59.57	57.68
Wipi1	7.16	4.17	0.0	0.0	19.96	20.38	21.51
Ythdc2	96.52	0.0	1.06	0.15	20.51	18.96	18.43
Zfp11	141.47	2.59	4.43	7.04	8.97	7.94	7.93
Zfp26	44.43	0.0	8.96	0.17	7.34	7.04	7.87
c11_5S	204.17	0.0	16.66	0.0	1.25	3.24	7.4
c19_tRNA-Ala-GCA	44.45	0.0	0.0	0.0	3.74	0.0	0.0
c19_tRNA-Ala-GCG	14.82	0.0	0.0	0.0	0.0	2.87	3.14
c19_tRNA-Ala-GCY_	57.73	0.0	0.0	18.67	33.13	15.1	24.4
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
