	Calb2_tdTpositive_cell_8	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_32	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_33	Rbp4_tdTpositive_cell_62	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18
Gdap1	46.94	0.0	36.44	0.1	29.25	9.78	0.0	36.8	332.65	0.0	0.0	347.73	500.7	58.34	98.46	55.85	0.1	21.18	0.07	111.95	24.38	85.28	0.17	0.12	60.33	88.88	23.88	71.12	210.59	129.69	15.3	4.84	0.2	0.14	216.53	183.0	232.28	166.77	0.0	38.12	150.58
Gm13544	0.26	0.0	0.26	0.35	0.08	0.08	0.13	0.26	0.0	0.28	0.12	0.08	0.58	0.2	0.06	0.08	0.19	0.0	0.06	0.33	0.0	0.0	0.0	0.0	0.04	0.0	0.22	0.4	0.19	0.23	0.24	0.0	0.0	0.0	0.28	0.69	0.31	0.32	0.3	0.88	0.0
Gm5464	0.0	0.07	1.4	1.34	3.12	0.47	1.04	0.94	3.56	0.0	0.63	1.18	2.56	2.12	2.2	2.31	0.79	1.0	1.25	1.16	0.32	4.22	0.0	1.07	2.98	0.61	0.69	2.37	2.7	3.38	0.64	0.0	0.6	2.14	5.21	7.01	4.69	6.83	0.7	7.38	2.67
Gm5607	2.41	1.39	9.63	9.05	9.71	11.1	6.74	12.37	19.44	2.89	2.57	14.29	12.29	9.24	11.78	14.33	12.84	7.45	6.67	11.2	10.7	9.2	1.04	6.73	5.05	8.19	10.31	9.95	11.59	10.92	7.33	1.63	3.74	1.34	12.5	23.57	16.47	19.94	15.74	14.12	9.75
Gm6300	27.24	33.26	92.76	88.08	58.43	96.08	77.42	97.5	154.24	36.0	58.92	117.19	112.94	138.72	77.15	143.53	88.85	96.77	50.65	91.29	80.07	68.78	23.27	78.41	35.07	55.41	94.68	206.09	172.26	142.18	83.45	1.76	52.38	22.82	122.23	166.69	162.24	135.79	159.67	139.68	84.02
Gm6313	9.73	0.0	21.83	23.98	10.96	17.71	2.48	19.82	19.56	14.42	19.98	19.4	36.95	20.17	23.95	14.69	21.13	9.71	15.41	21.48	11.8	21.27	0.69	14.95	12.07	10.67	12.25	27.95	17.85	26.4	10.05	3.15	6.8	3.21	38.35	29.7	25.53	23.55	42.44	35.27	18.85
Hist1h2bq	0.03	0.0	0.08	0.03	0.0	0.0	0.09	0.41	0.34	0.0	0.0	0.0	0.16	0.22	0.13	0.06	0.0	0.0	0.03	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.1	0.09	0.08	0.0	0.0	0.0	0.19	0.12	0.06	0.14	0.0	0.0	0.0
Hist1h2br	0.03	0.0	0.08	0.03	0.0	0.0	0.09	0.41	0.34	0.0	0.0	0.0	0.16	0.22	0.13	0.06	0.0	0.0	0.03	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.1	0.09	0.08	0.0	0.0	0.0	0.19	0.12	0.06	0.14	0.0	0.0	0.0
Kcnq1ot1	14.64	28.7	62.38	71.85	36.63	68.42	51.02	72.56	97.12	31.01	54.79	85.09	79.65	94.58	62.65	87.36	64.39	62.99	29.12	56.69	53.7	61.22	12.22	54.72	32.34	43.14	63.67	154.05	117.41	130.81	54.16	5.75	35.46	10.37	81.1	101.73	104.06	87.79	91.27	112.93	72.57
Lipi	0.59	0.32	2.99	1.53	1.02	6.52	2.42	2.28	4.55	0.0	1.18	2.11	4.54	5.57	1.29	2.63	2.39	0.91	0.41	2.79	1.61	2.0	0.29	0.61	0.29	1.52	1.93	6.25	2.66	2.59	3.16	0.23	0.53	0.0	3.22	8.28	3.54	4.45	3.78	5.18	2.23
Mark3	1.81	2.1	10.94	30.09	0.14	0.0	0.0	11.49	157.07	0.0	0.0	0.0	116.62	1.71	0.5	26.88	0.77	0.93	0.16	1.17	80.41	69.44	0.0	0.0	0.13	16.92	0.0	0.78	14.74	0.31	57.49	0.0	0.47	0.0	57.94	162.1	77.99	37.87	13.21	12.52	1.19
Nuf2	0.97	1.09	3.49	2.73	2.6	4.58	3.2	4.74	5.42	1.98	3.38	6.45	5.12	4.89	3.82	2.84	3.66	3.34	2.35	1.99	4.49	4.29	0.29	1.44	0.36	2.2	3.46	8.55	4.56	6.22	6.06	0.12	0.96	0.82	3.09	13.82	5.9	6.87	5.24	8.17	3.55
Oas3	1.05	0.75	2.4	2.43	4.39	3.58	1.36	4.65	2.26	4.17	1.74	5.43	4.47	5.79	3.23	4.79	5.54	0.9	2.7	5.52	5.67	4.84	1.64	4.47	1.75	4.08	4.93	6.3	4.03	2.58	1.65	0.0	0.66	0.0	3.74	10.01	4.88	11.2	7.16	8.5	7.33
Pi15	4.37	0.75	24.75	23.69	19.02	26.45	20.65	23.62	52.31	4.12	15.31	40.11	33.91	26.89	24.98	33.34	26.56	26.74	19.37	26.27	21.37	25.77	1.23	22.87	11.69	12.99	25.09	31.58	40.81	36.43	18.44	1.3	13.07	5.98	33.38	55.79	33.08	44.07	52.08	59.85	26.33
Psg28	1.66	7.17	21.63	16.17	7.58	18.93	12.22	11.91	18.07	2.01	9.6	23.32	25.48	19.78	17.39	22.99	13.99	14.05	5.56	13.5	13.05	6.12	1.08	11.93	7.84	5.93	19.34	37.54	30.11	23.85	12.53	1.01	5.04	1.88	18.11	21.51	18.57	14.37	22.86	27.67	8.29
Rasl11b	0.0	0.0	160.42	99.88	16.23	0.0	57.8	113.58	76.81	0.0	0.0	152.71	259.92	24.16	125.27	17.52	0.0	0.51	149.2	1.68	103.36	100.81	2.12	137.35	0.24	5.41	2.79	149.61	52.14	94.32	16.12	91.34	87.08	31.68	24.67	350.62	171.92	140.5	0.0	133.5	5.72
Rdh1	10.58	6.15	30.49	55.34	39.24	68.05	33.51	43.24	76.94	30.51	25.14	83.87	43.89	54.69	46.0	65.1	44.13	39.81	21.21	44.74	37.8	34.19	8.94	29.26	18.62	32.5	42.0	63.93	60.67	52.52	38.43	3.23	28.06	4.61	33.13	64.88	59.03	71.11	93.02	108.78	31.82
Rgs4	2604.26	1925.78	3554.62	4793.66	4051.91	4337.51	5481.44	3740.02	5464.61	1027.63	2439.32	5873.8	3187.17	4839.36	4315.87	5539.67	4276.53	3885.16	3925.76	3800.78	4595.67	5390.4	2622.49	4377.15	3267.12	3788.71	5219.32	5187.94	4921.82	4036.2	6274.8	5381.62	2722.47	3732.04	4444.37	4094.9	1856.98	4012.11	5101.58	5598.27	6781.39
Rgs9bp	0.1	0.0	0.33	0.4	0.04	0.61	0.05	0.13	0.59	0.0	0.0	0.39	0.29	0.24	0.21	0.35	0.51	0.07	0.14	0.21	0.2	0.08	0.0	0.0	0.13	0.18	0.11	0.73	0.3	0.21	0.35	0.0	0.06	0.0	0.94	0.56	0.56	0.65	0.37	0.4	0.06
Slfn9	2.94	8.2	20.04	16.19	7.12	15.41	18.35	21.26	16.07	2.69	4.99	25.69	29.77	23.02	13.01	13.88	12.06	17.44	7.69	18.24	8.46	17.13	2.7	18.36	9.34	9.58	16.48	49.3	31.0	33.08	22.78	0.35	6.07	3.17	22.87	27.7	26.26	28.05	20.83	26.49	17.25
Sprr2a1	0.04	0.0	0.04	0.04	0.14	0.06	0.05	0.06	0.87	0.0	0.06	0.0	0.48	0.21	0.0	0.21	1.5	0.0	0.0	0.0	0.18	0.28	0.09	0.13	0.0	0.27	0.28	0.05	0.53	0.51	0.05	0.0	0.0	0.08	0.1	0.65	0.43	0.76	0.0	0.0	0.0
Sprr2a2	0.04	0.0	0.04	0.04	0.14	0.06	0.05	0.06	0.87	0.0	0.06	0.0	0.48	0.21	0.0	0.21	1.5	0.0	0.0	0.0	0.18	0.28	0.09	0.13	0.0	0.27	0.28	0.05	0.53	0.51	0.05	0.0	0.0	0.08	0.1	0.65	0.43	0.76	0.0	0.0	0.0
Tigit	0.98	1.06	29.03	30.01	17.58	35.37	14.47	32.25	41.85	24.17	6.45	37.26	22.95	29.32	32.98	26.81	23.34	15.53	19.65	28.02	30.0	36.75	7.19	19.47	27.47	11.11	28.91	43.07	40.97	35.2	25.8	0.98	10.18	2.52	31.46	36.64	65.89	35.24	35.54	31.01	26.18
Vav1	0.19	0.12	0.33	0.39	0.39	1.5	0.39	1.68	1.82	0.59	0.52	0.52	1.07	1.66	1.45	0.15	0.79	0.58	0.52	0.82	1.11	0.0	0.25	1.0	0.11	0.56	0.99	0.91	2.03	0.87	0.0	0.0	0.11	0.0	0.79	1.22	2.32	1.28	0.7	1.05	0.69
Zfp71-rs1	79.79	13.29	88.99	255.87	49.69	163.08	47.61	73.77	80.92	19.14	48.27	103.63	113.77	115.21	84.93	88.37	75.73	61.17	26.66	88.13	52.53	56.52	20.76	63.98	27.9	91.14	73.54	193.97	122.37	116.55	82.0	4.9	34.93	13.59	215.58	146.14	196.82	95.33	115.35	119.75	73.39
