	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_59	Chrna2_tdTpositive_cell_1	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Scnn1a.Tg3_tdTpositive_cell_102	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_8	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_31	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_51	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930483O08Rik	0.0	0.0	0.0	3.73	0.0	5.26	0.0	2.1	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.33	1.8	0.15	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.51	0.81	0.0	0.0	0.6	0.0	1.2	0.69	0.35	0.97	0.74	0.5
4930555G01Rik	0.08	0.0	0.0	0.7	4.03	19.64	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.07	29.62	0.0	0.0	10.5	0.0	0.0	0.0	0.0	10.4	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.22	0.0	0.28	0.73	0.62
5730455P16Rik	17.39	0.6	21.71	0.4	33.11	388.34	0.81	3.63	29.26	0.18	0.53	0.41	0.19	0.51	66.7	0.48	31.35	98.33	138.69	10.0	34.8	1.05	0.52	0.37	193.44	18.17	2.41	401.94	1.75	0.57	25.44	0.0	39.94	41.19	10.4	12.23	0.7	137.97	0.49	3.13	0.35	0.16	0.01	0.0	0.18	0.27	1.0	0.3	0.48	0.09	0.43	0.47	39.06	31.76	45.77	40.6	45.23	45.98	44.24	46.5
5730494N06Rik	0.1	0.27	0.0	0.0	103.94	378.43	248.09	77.82	0.46	0.0	0.0	0.0	0.0	0.0	0.0	1009.89	0.0	0.95	0.24	193.77	0.43	126.05	0.0	0.47	6.65	0.0	0.48	0.33	0.0	1.88	0.3	0.0	26.59	73.94	60.96	111.79	1.36	0.0	0.8	0.0	177.27	5.44	1.18	0.0	0.57	42.09	40.58	0.0	0.0	87.91	8.76	0.0	44.97	38.4	26.14	21.96	27.08	39.61	38.28	36.33
6720463M24Rik	0.0	0.0	0.0	0.0	0.0	32.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	2.04	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.17	3.01	0.15	1.67	3.4	3.05	3.43
9030204H09Rik	0.0	0.55	0.0	1.32	1.19	166.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	1.6	0.81	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.97	1.01	0.0	0.0	0.0	0.0	0.0	1.98	1.44	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	1.7	1.71	0.16	0.32	0.32
A230056J06Rik	0.0	0.0	0.0	0.21	0.04	197.54	141.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.11	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.03	0.0	2.43	0.26	0.12	65.75	0.19	0.0	0.0	0.0	0.13	0.07	0.0	0.0	46.45	0.43	0.0	0.0	0.0	0.29	3.89	5.99	2.08	0.44	0.88	0.69	1.01	0.84
A330076C08Rik	0.0	0.0	0.29	0.0	0.0	0.34	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.13	0.07	0.23	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.87	0.63	0.69
AA543186	0.89	0.0	0.0	1.05	0.0	1.52	0.67	0.0	0.23	0.0	0.0	0.0	0.22	0.0	0.48	0.0	0.68	0.0	0.33	0.15	1.33	1.1	0.0	0.7	0.0	0.6	0.0	0.0	0.0	0.53	1.23	0.0	0.0	0.99	0.55	0.65	1.31	1.02	0.0	0.94	2.01	0.3	0.33	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.42	0.0	2.14	0.0	0.27	0.22	0.0	0.47	0.56	0.67
Amdhd2	219.17	0.0	191.04	0.0	0.0	672.76	105.71	0.0	0.0	0.0	0.0	44.19	0.0	0.0	32.84	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	7.98	0.0	4.69	0.0	0.0	63.83	0.0	247.47	0.0	343.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27	9.89	1.04	4.31	5.56	15.29	17.88	16.77
Amigo3	0.0	0.0	0.0	0.0	0.0	309.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.96	5.01	4.83	5.81
Anks1b	59.17	0.0	177.27	24.09	3.31	122.22	22.81	30.18	0.0	0.0	68.96	13.91	35.63	22.23	127.09	37.98	0.6	47.9	17.77	18.36	0.5	0.0	7.4	0.06	0.13	70.26	122.92	4.86	0.0	0.0	60.69	0.0	77.75	39.16	57.45	93.28	106.03	0.55	57.38	0.0	0.0	0.0	37.34	0.0	25.75	0.0	99.42	46.14	0.97	36.71	30.4	64.73	62.27	60.85	39.65	38.52	38.4	136.15	132.0	139.16
Apba2	0.11	0.73	0.0	24.43	3.41	394.78	0.0	0.0	0.0	0.0	0.0	0.0	47.93	0.11	10.28	371.61	0.12	1.89	16.4	0.0	46.58	3.64	81.39	22.63	0.0	104.89	30.38	0.0	0.1	0.11	58.0	0.0	23.0	128.67	34.39	28.77	1.03	24.88	0.54	0.0	31.28	0.15	0.0	24.42	0.0	172.93	0.29	47.27	225.73	1.92	0.15	0.14	39.52	24.2	23.28	27.68	22.51	138.45	137.5	145.47
Arl4d	0.1	0.0	0.0	0.0	0.0	320.81	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.08	36.46	18.86	8.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	7.89	12.14	9.16	5.39	52.47	47.65	26.44
B230312A22Rik	1.05	0.0	0.0	0.0	0.15	394.11	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.28	38.56	0.45	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.33	0.0	17.06	0.0	3.33	0.0	5.19	0.0	0.0	0.0	0.0	0.0	0.26	57.27	0.26	0.0	0.16	0.0	155.35	0.26	0.22	0.0	4.88	0.07	3.36	1.88	1.73	29.4	30.16	29.99
B4galnt1	0.0	0.0	0.0	0.0	0.0	228.5	0.0	3.35	0.0	0.0	63.13	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	72.58	3.42	80.04	128.88	0.0	0.0	0.0	163.57	0.0	0.0	20.91	0.0	0.33	0.0	0.0	0.0	0.0	0.0	201.53	18.48	16.95	6.04	14.58	19.75	125.68	137.59	125.52
Baat1	0.0	0.0	0.0	0.0	0.0	300.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	4.29	1.36	0.47	17.49	58.78	0.13	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	30.41	0.0	0.0	0.0	0.0	4.47	0.72	2.84	1.26	1.69	16.12	19.07	17.68
Barhl2	0.07	0.0	0.71	0.19	0.16	2.53	0.63	0.0	0.0	0.14	0.0	0.0	0.0	1.78	0.64	0.36	0.18	0.0	0.4	0.0	0.0	0.57	0.35	0.17	0.0	0.4	0.49	0.25	0.0	0.01	0.27	0.0	0.0	0.22	0.22	0.57	1.28	0.0	0.0	0.0	0.65	0.0	0.0	0.41	0.32	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.47	0.39	0.85	0.6
Camk2b	0.04	113.53	110.44	66.99	70.44	248.58	98.93	16.52	0.0	0.0	105.78	9.09	10.16	163.11	95.11	208.83	36.06	115.65	88.31	14.09	121.91	66.58	112.53	14.09	2.06	19.01	83.51	29.14	0.0	0.0	25.15	0.0	32.18	203.92	71.21	219.94	151.78	12.05	62.72	108.43	65.57	17.99	57.6	2.12	0.0	0.0	6.31	57.25	1.9	49.06	10.31	12.92	107.35	85.35	73.92	90.47	114.56	532.26	557.69	545.35
Capzb	222.4	164.37	75.6	213.19	148.06	715.13	210.08	173.72	0.0	2.04	233.46	129.25	219.98	222.17	235.99	738.1	1.73	487.45	188.38	93.82	21.45	9.58	402.31	170.5	168.89	94.64	206.18	0.0	0.0	0.0	83.66	0.0	156.48	221.0	127.28	107.63	246.85	524.06	373.07	415.64	339.91	231.51	161.16	440.76	217.53	0.47	366.16	451.66	0.62	144.4	0.91	111.63	238.13	231.48	253.65	268.26	279.46	243.55	265.18	244.08
Cd99l2	121.67	0.0	0.0	0.0	0.0	270.42	12.98	52.37	0.0	0.0	0.0	60.39	0.1	219.46	62.51	7.52	0.0	0.0	29.66	0.0	0.0	33.27	0.0	0.0	0.0	100.79	0.0	0.0	0.0	0.09	0.0	0.0	44.67	44.85	26.86	28.37	0.0	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	228.57	99.3	0.13	60.77	46.05	57.5	66.12	62.0	63.12	61.37	65.28
Cdh16	0.06	0.48	0.0	0.36	5.73	7.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.13	0.0	0.46	1.17	0.18	0.62	0.0	0.12	0.93	0.0	1.28	1.41	0.0	0.0	0.75	0.0	0.6	1.44	0.21	0.39	0.52	0.14	0.2	0.0	0.0	0.0	1.08	0.0	0.0	0.0	1.38	0.46	0.0	2.1	0.0	0.0	0.22	0.52	0.3	0.24	0.11	0.75	0.21	0.82
Celsr2	0.01	0.01	1.04	0.0	0.0	20.02	9.26	4.33	0.0	0.0	9.32	0.0	30.91	0.0	0.0	0.54	0.0	0.0	21.15	0.0	0.0	0.0	11.89	7.36	0.0	0.0	0.09	0.0	0.0	0.0	21.0	0.0	18.79	21.12	10.88	4.1	18.85	0.0	0.0	3.79	5.68	0.09	28.58	34.94	0.0	0.0	0.22	0.26	0.0	2.54	0.04	0.0	20.02	8.97	14.23	14.01	13.58	73.45	73.3	82.99
Cenpj	0.0	0.0	0.0	0.0	0.0	170.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	0.0	0.39	1.93	1.67	1.63
Cep120	84.37	0.0	0.0	0.0	59.98	176.73	126.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	0.0	14.29	0.0	0.0	78.31	51.42	0.0	3.81	6.52	0.0	0.0	0.0	0.0	0.0	14.09	8.8	4.46	0.1	0.13	0.0	0.0	0.11	1.18	147.72	0.09	14.04	0.0	6.33	1.61	0.0	70.78	0.0	0.0	52.71	8.42	5.21	8.18	7.64	9.3	32.6	32.28	30.05
Dennd2a	0.19	0.0	0.0	0.0	0.0	106.7	10.05	0.0	0.0	0.0	0.4	0.0	0.08	0.0	0.0	126.73	88.59	0.0	0.0	0.0	0.0	41.28	0.0	0.0	175.82	0.0	44.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.12	0.0	0.0	0.53	0.0	0.0	0.0	3.61	0.0	0.0	0.0	0.0	0.0	0.0	3.49	0.0	1.39	0.0	13.72	13.99	14.37
Egfl8	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	2.29	2.88	3.16
Esrra	0.44	0.0	0.0	0.0	2.63	80.53	0.25	0.0	0.0	0.0	0.0	0.0	15.65	0.0	0.0	0.0	5.0	0.0	4.73	1.58	0.0	5.0	6.08	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.19	1.51	0.07	0.0	0.0	0.0	0.24	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.61	0.0	0.0	1.1	0.0	0.54	1.06	0.27	1.7	0.73	43.22	51.27	47.48
Fam43b	0.0	0.0	0.0	0.0	0.0	60.8	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	67.73	0.0	0.0	0.0	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.91	3.77	24.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.33	0.0	0.0	0.0	0.0	0.0	0.51	0.5	2.91	2.19	1.19	30.66	33.57	27.0
Fert2	0.0	0.0	0.0	0.0	0.0	223.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	80.92	0.0	10.56	26.59	0.0	0.11	168.24	66.24	0.0	139.56	0.0	0.0	0.0	0.0	0.0	9.67	0.0	4.38	20.39	8.6	0.19	0.58	38.66	0.0	0.0	0.0	0.17	0.0	45.36	0.0	0.0	45.91	0.0	0.0	0.17	0.0	0.0	37.76	17.04	33.13	27.06	28.69	14.02	12.99	12.94
Fn3krp	0.0	0.0	0.0	0.0	0.0	38.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	2.17	0.0	0.0	0.0	0.0	0.0	0.0	3.28	2.72	0.0	1.31	0.07	0.0	0.0	0.0	33.72	0.0	46.4	0.0	0.0	0.0	19.59	0.0	0.0	0.0	0.0	0.0	1.94	0.69	0.89	3.25	0.35	38.77	36.29	25.96
Gla	0.73	0.0	5.21	0.14	1.36	181.11	143.59	5.18	0.8	5.88	2.57	2.35	105.95	2.73	14.79	2.92	6.25	1.09	0.44	1.43	0.1	0.0	0.71	1.86	1.44	12.97	0.36	9.27	0.0	0.16	0.88	0.0	4.4	1.32	12.3	1.82	12.03	0.92	11.22	0.38	0.49	0.78	1.25	2.85	0.81	0.66	0.88	1.86	2.08	1.73	3.17	0.17	26.61	19.1	5.84	5.91	10.33	9.91	11.13	8.43
Gm10406	0.0	0.0	0.0	0.0	7.12	289.23	69.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.08	0.0	29.11	0.0	40.67	22.97	0.0	0.0	62.51	0.0	0.0	102.29	31.67	0.0	0.0	11.74	0.0	4.76	1.95	12.2	0.23	55.94	0.0	0.0	29.65	0.0	0.0	0.0	0.0	134.91	196.94	0.0	0.0	0.0	3.52	52.75	76.53	9.63	4.49	4.65	4.55	2.55	7.94	7.92	7.63
Gng10	249.68	465.29	0.0	0.38	166.97	951.3	130.8	165.46	0.0	0.0	0.0	158.67	0.0	0.0	0.0	0.0	0.0	0.0	191.58	51.68	152.11	0.0	0.0	92.46	0.0	0.0	0.0	445.93	0.0	0.0	0.0	0.0	85.21	135.54	163.03	71.44	86.64	186.9	364.21	0.0	352.82	0.46	177.83	158.34	0.0	473.94	0.0	279.88	0.0	95.82	0.0	0.42	135.54	209.99	141.57	103.05	146.88	66.87	72.96	73.76
Gpr123	0.09	0.97	38.45	0.0	0.0	180.94	99.14	0.14	0.0	0.0	21.52	0.2	0.0	0.36	0.0	0.0	20.74	0.0	16.28	0.0	0.07	15.06	0.0	0.08	2.85	0.0	0.0	0.1	0.0	0.05	31.69	0.0	53.82	20.99	46.69	105.9	251.31	0.37	43.86	24.86	304.48	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	42.61	0.0	26.83	121.77	98.91	41.43	72.33	61.78	36.08	38.01	37.63
Grlf1	0.68	1.05	21.27	31.37	0.0	83.28	4.18	35.91	0.0	0.0	7.97	0.77	2.42	0.05	0.7	1.8	2.25	67.84	2.65	1.33	5.39	4.34	0.8	0.64	36.5	2.68	0.81	0.0	0.0	1.3	1.57	0.0	4.86	5.12	12.05	33.38	42.09	2.51	1.33	0.87	0.42	0.18	4.34	7.16	0.09	1.55	6.48	127.41	4.27	1.83	4.94	0.16	2.71	8.65	8.48	7.44	9.13	71.07	67.29	71.92
Grm7	0.03	0.1	0.0	0.0	153.01	320.58	0.52	12.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.66	0.0	0.0	0.0	0.0	0.0	134.61	0.19	0.0	124.17	0.0	0.0	234.87	0.0	0.0	0.0	0.0	9.72	44.42	28.32	2.33	158.23	0.0	0.0	0.0	46.03	4.29	0.0	0.11	21.51	0.0	0.0	0.0	0.0	0.0	0.12	1.72	14.88	6.33	8.64	5.64	3.46	38.61	37.39	39.11
Gzmm	13.94	0.0	0.0	0.0	0.0	197.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	8.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.47	0.0	1.65	0.0	2.81	2.5	1.93
