	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_56	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_60	Htr3a_tdTpositive_cell_61	Htr3a_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTnegative_cell_32	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_3	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_81	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Ankfy1	2.85	3.51	2.59	46.54	2.68	40.24	3.58	8.45	2.47	3.31	7.01	1.86	2.67	17.3	119.16	15.33	14.74	20.36	1.99	0.1	5.71	2.07	9.14	1.82	5.34	1.49	7.98	8.6	3.16	3.63	6.9	19.7	99.95	2.63	2.64
App	271.42	148.6	75.81	297.15	120.1	344.86	790.51	269.79	370.67	203.73	522.06	111.51	902.83	238.26	539.2	230.17	211.47	305.31	339.3	20.74	7.72	373.47	87.2	424.61	652.61	0.53	203.49	183.38	207.06	150.28	202.88	338.81	43.86	138.14	298.5
Atp2b2	116.65	381.23	205.69	276.65	385.63	132.94	536.64	252.13	317.81	296.36	1.6	0.3	0.0	68.86	0.18	74.76	145.66	215.66	121.21	347.99	348.7	306.99	189.05	476.88	317.96	312.51	327.32	306.97	355.5	417.93	105.24	253.92	822.81	240.63	304.98
BC018473	20.86	27.08	20.25	57.01	62.69	96.68	87.06	65.63	78.95	2.94	6.11	7.16	22.35	28.28	19.71	30.51	21.52	24.12	11.59	27.13	45.67	45.24	21.83	20.07	13.02	21.83	3.4	3.98	4.93	3.83	2.65	2.89	5.3	1.22	2.63
C230004F18Rik	3.55	0.0	0.0	36.93	0.0	2.76	47.29	16.07	0.0	0.0	0.0	0.0	0.0	37.88	0.0	1.44	29.95	15.04	0.0	0.45	4.87	68.5	0.0	0.0	21.67	0.0	37.78	31.01	2.75	149.79	18.62	38.27	433.34	0.0	0.0
Ccdc36	304.55	450.86	83.96	161.32	198.43	226.36	229.55	114.15	267.9	18.13	22.39	3.09	5.25	10.28	2.57	8.43	11.02	13.96	136.84	31.43	19.37	11.46	81.27	8.48	10.6	11.8	4.79	3.16	1.75	3.1	0.34	1.6	2.19	1.91	1.01
Ccdc77	0.0	0.0	0.0	90.64	0.0	0.0	10.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	107.95	79.72	0.0	0.0	0.0	0.0	0.0	71.02	0.19	0.0	2.86	4.19	0.12	0.0	0.0	0.0	0.0	0.0	0.0
Cpne7	178.69	31.86	0.0	37.8	172.44	3.63	188.4	74.56	16.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.5	0.65	24.38	26.55	62.3	105.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cxcl14	306.92	182.34	321.96	14.93	614.07	166.6	55.02	180.34	300.43	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	423.71	39.97	0.0	0.0	0.0	0.0	0.0	10.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D330022K07Rik	0.22	21.04	0.0	1.15	0.0	1.25	0.14	0.51	0.32	0.0	0.0	0.56	0.0	2.88	0.0	0.57	8.5	0.0	25.84	0.0	0.0	0.36	0.48	0.54	0.29	1.3	2.26	1.52	0.0	0.22	0.32	0.11	0.58	0.62	0.0
D830005E20Rik	71.21	122.81	56.3	71.04	158.49	127.97	112.31	111.66	192.9	15.14	10.5	18.61	12.29	119.77	10.79	48.92	110.91	72.71	25.11	0.12	107.99	55.16	127.63	76.94	91.06	93.07	42.51	44.54	7.84	32.24	21.91	44.17	34.37	15.26	10.59
Dcun1d4	84.38	0.0	193.0	0.66	0.0	0.0	93.15	60.72	63.14	0.0	0.0	0.0	0.0	0.0	0.0	10.26	4.35	0.11	14.08	0.0	0.0	17.39	0.0	0.0	0.34	0.27	44.4	52.3	112.04	6.49	3.91	5.14	46.9	0.0	4.03
Dgkb	100.62	62.34	145.43	123.33	19.87	0.0	116.38	15.81	191.81	0.0	0.0	0.0	0.0	0.0	0.0	77.03	0.0	0.0	40.98	0.07	176.31	0.0	106.29	9.59	72.51	78.01	4.79	3.41	0.0	0.0	0.0	0.05	1.18	0.0	0.0
Dner	48.53	191.52	143.84	326.36	107.84	246.41	302.73	563.93	433.48	0.0	0.0	0.0	0.0	138.65	0.0	0.08	81.05	123.13	131.84	98.18	9.96	0.05	209.03	0.0	0.13	4.24	1.23	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.07
Epha7	43.84	3.13	77.08	108.28	0.0	0.13	0.0	0.0	106.17	50.18	0.0	0.0	0.0	132.04	0.0	13.1	0.17	87.72	379.08	0.0	4.92	218.57	0.24	75.8	37.23	23.92	72.15	71.55	104.26	44.8	0.07	107.29	45.7	0.09	0.0
Fgf13	3.76	174.69	3.83	479.44	3.2	4.59	224.72	98.41	289.26	0.62	1.06	0.73	2.03	3.49	1.29	50.62	30.59	96.89	530.97	1.28	5.04	133.6	5.56	178.25	328.6	6.47	38.79	34.13	3.06	2.76	3.26	73.63	5.16	30.96	25.77
Gabrg2	413.73	985.3	423.96	477.02	1375.65	361.55	1956.35	535.55	754.48	365.34	0.54	0.0	0.0	376.49	0.28	25.93	463.45	315.0	1889.48	562.25	546.22	1191.56	913.06	1398.63	281.03	921.77	449.14	419.85	363.89	415.19	460.93	283.15	458.45	161.93	175.43
Gad1	2223.08	2632.42	1779.24	4652.07	1330.43	4056.53	3271.28	3075.57	3838.68	0.0	0.0	0.0	0.25	1216.68	0.97	679.04	1348.13	1059.21	5407.6	2450.43	1425.44	672.62	1628.0	1381.56	1865.6	1048.65	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.09	0.0
Gad2	530.96	31.69	392.39	1137.91	265.39	1345.44	869.92	1743.59	634.25	1.02	0.53	0.0	0.0	192.51	0.31	502.18	317.75	307.73	83.56	1.21	174.13	626.9	680.59	179.25	371.86	480.85	0.3	0.51	0.13	0.46	0.16	0.16	1.49	1.68	0.14
Gcm1	0.85	0.86	0.33	5.06	2.45	0.24	0.8	0.22	2.96	0.14	0.58	0.0	0.0	2.46	0.93	2.64	0.0	0.23	0.0	0.0	0.0	5.01	3.52	0.46	0.52	1.73	0.34	0.4	0.27	0.67	2.56	0.2	3.68	0.15	0.3
Gm11648	0.0	0.0	0.0	0.33	0.31	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.12	0.22	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.25	0.0	0.0	0.38	0.0	0.0	0.0	0.11	0.0
Gm14430	19.76	34.51	0.0	0.62	0.24	0.29	35.4	17.13	0.0	0.0	0.0	0.0	0.0	14.85	17.88	0.66	0.0	21.08	1.61	0.04	0.0	0.0	0.0	22.16	8.99	0.0	5.97	4.22	2.35	0.0	13.98	0.21	0.0	0.0	0.0
Gm14431	0.21	6.37	0.64	3.38	0.0	1.23	9.12	0.14	4.31	1.02	0.0	0.0	0.0	0.88	0.0	1.85	4.7	1.28	0.0	0.0	1.85	6.73	0.84	0.0	1.14	2.97	0.9	1.65	1.51	0.0	0.0	3.76	0.0	0.37	3.49
Gm14434	19.76	34.51	0.0	0.62	0.24	0.29	35.4	17.13	0.0	0.0	0.0	0.0	0.0	14.85	17.88	0.66	0.0	21.08	1.61	0.04	0.0	0.0	0.0	22.16	8.99	0.0	5.97	4.22	2.35	0.0	13.98	0.21	0.0	0.0	0.0
Gm14827	49.07	0.0	23.34	0.0	0.41	0.28	0.8	0.38	110.5	0.0	0.13	0.0	0.0	3.05	0.0	61.24	2.62	9.54	0.0	0.0	0.0	42.66	0.0	0.0	0.15	16.42	0.55	3.7	0.73	0.0	0.0	0.93	0.0	0.58	0.0
Gm17821	176.61	279.45	203.4	361.6	313.93	542.95	367.35	363.43	344.22	66.93	109.25	94.62	112.96	282.16	114.83	208.21	239.24	124.76	196.43	24.98	305.08	204.96	277.37	254.76	269.57	187.56	129.34	128.38	123.33	165.14	135.52	173.73	217.21	163.36	69.39
Gm4724	19.76	34.51	0.0	0.62	0.24	0.29	35.4	17.13	0.0	0.0	0.0	0.0	0.0	14.85	17.88	0.66	0.0	21.08	1.61	0.04	0.0	0.0	0.0	22.16	8.99	0.0	5.97	4.22	2.35	0.0	13.98	0.21	0.0	0.0	0.0
Gm8898	0.21	6.37	0.64	3.38	0.0	1.23	9.12	0.14	4.31	1.02	0.0	0.0	0.0	0.88	0.0	1.85	4.7	1.28	0.0	0.0	1.85	6.73	0.84	0.0	1.14	2.97	0.9	1.65	1.51	0.0	0.0	3.76	0.0	0.37	3.49
Hdhd3	0.0	0.0	301.77	160.87	0.0	0.0	107.74	181.11	0.0	0.0	0.38	0.0	0.0	241.73	0.0	108.26	0.0	0.0	0.0	604.87	555.19	160.51	0.38	0.0	226.37	0.0	38.44	33.49	0.0	0.0	94.9	0.0	0.0	0.0	0.0
Hnrnpl	91.92	111.45	57.29	104.76	40.86	34.85	36.02	50.3	87.36	12.44	47.07	19.9	11.26	55.01	53.87	69.11	52.82	31.91	28.87	34.87	27.51	65.25	38.63	37.04	31.78	35.88	61.25	73.98	23.93	15.4	3.39	13.38	10.3	6.57	6.88
Htr3a	161.75	218.79	95.38	20.92	950.53	0.0	0.16	34.02	415.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	320.17	0.0	0.58	0.0	9.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Impact	4846.86	3107.56	5742.52	4360.67	5401.16	6720.17	3045.77	4178.64	4356.55	155.28	3.6	0.2	402.51	4481.98	939.87	4127.93	4974.58	3757.75	4782.92	3375.6	3215.68	7015.38	4812.38	4355.62	4906.17	5046.37	1389.64	1383.16	862.76	602.68	549.01	1023.53	600.51	692.28	673.41
Khdrbs3	42.43	0.71	0.0	242.95	204.55	155.25	233.57	8.95	286.21	12.94	0.64	0.0	0.0	8.82	0.0	0.16	172.01	5.42	4.15	6.19	4.31	2.03	3.18	4.65	0.98	0.0	143.81	159.28	2.12	31.83	160.26	29.39	225.21	69.9	77.35
Mageb16-ps1	3.08	4.14	3.42	3.98	6.96	8.07	8.47	2.12	9.49	1.95	2.51	1.44	2.67	15.39	3.4	2.88	17.19	10.15	2.68	0.0	14.14	8.09	10.36	2.94	11.99	8.97	3.52	3.95	0.98	5.39	5.06	4.69	0.87	4.29	0.81
Mll2	45.13	38.14	26.83	33.01	25.89	26.72	42.46	29.47	26.18	29.85	15.82	9.8	22.37	31.88	20.62	32.61	14.45	15.4	18.8	6.38	28.42	21.33	42.5	24.7	23.78	19.85	31.79	33.51	27.56	2.93	28.12	17.59	5.9	14.7	19.86
Msx2	1.62	1.85	0.33	2.01	1.09	1.32	1.03	1.39	2.68	0.14	0.0	0.4	0.0	0.33	0.0	0.81	1.65	0.28	0.17	0.17	0.94	0.48	0.51	1.42	0.94	1.13	0.38	0.21	0.13	0.0	0.15	0.42	0.45	0.23	0.0
Myst3	0.0	0.0	0.0	21.86	0.0	0.25	0.8	0.6	17.3	11.56	0.13	0.0	0.35	0.0	2.01	0.0	2.08	22.27	0.0	0.0	0.0	35.56	7.52	0.0	0.0	43.81	4.16	3.11	0.03	0.31	34.86	0.26	0.05	0.0	0.0
Necab1	84.3	166.22	0.46	205.14	89.65	2.04	750.93	356.71	364.61	0.0	0.16	2.33	0.48	187.04	0.24	0.79	0.56	31.3	0.16	30.78	1.14	0.61	0.39	109.11	174.1	729.06	71.96	79.88	1.1	29.25	0.57	27.38	80.07	53.88	2.45
Nr2f2	532.15	66.19	0.3	209.45	176.86	384.59	458.04	185.91	686.12	0.0	0.0	0.0	0.0	0.08	0.0	0.0	218.76	234.95	6.86	0.0	46.24	82.63	0.19	149.76	0.0	39.7	0.0	0.53	0.0	0.0	0.06	0.0	0.2	0.07	0.0
Nrxn3	218.78	53.04	45.3	288.62	149.72	260.93	423.29	581.27	669.68	117.42	0.08	0.0	0.0	558.87	0.3	349.56	338.78	68.81	100.97	214.78	147.21	325.17	731.65	131.43	579.91	383.83	91.91	91.73	85.07	98.97	11.24	106.25	89.09	74.62	90.35
Nudt2	168.09	0.55	0.0	0.0	0.0	212.55	100.44	228.36	74.32	136.53	0.0	0.0	0.0	182.33	0.0	70.41	0.0	137.84	100.85	0.0	0.0	0.0	0.0	221.29	187.64	130.12	41.34	45.16	180.15	10.54	0.0	0.0	0.55	123.62	0.0
Ogfrl1	26.85	0.09	0.0	200.97	0.0	0.27	731.2	16.78	402.02	74.25	0.0	0.0	0.0	23.95	0.0	0.12	0.23	0.0	1.34	0.08	13.22	9.25	45.88	0.0	0.09	27.47	60.56	47.44	42.85	60.84	55.57	90.18	104.63	6.03	123.23
Olfm1	175.5	150.49	378.64	374.25	238.99	6.95	402.04	308.53	241.35	369.43	0.6	0.0	0.0	43.17	0.97	4.83	23.95	187.44	722.97	177.7	183.43	3.24	0.3	2.8	6.83	147.99	267.56	304.21	492.47	268.93	286.82	141.07	194.75	689.16	548.57
Pak1ip1	29.4	221.84	190.63	222.67	0.49	83.74	18.53	304.45	420.74	246.74	0.0	0.0	0.0	206.79	0.0	166.75	40.43	260.4	0.0	432.95	0.0	129.39	0.0	441.79	184.74	3.51	152.44	159.77	70.78	0.16	74.87	224.78	0.0	71.42	99.7
Pcid2	0.0	186.14	0.0	124.63	0.0	67.05	68.14	130.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.97	0.0	93.67	0.0	0.0	0.0	106.13	126.6	0.0	0.19	0.0	37.27	31.67	108.73	0.1	0.0	0.0	0.0	0.0	88.51
Pdcd4	162.83	250.93	163.85	389.15	70.61	354.97	415.01	679.47	514.84	50.87	0.72	59.2	85.62	199.04	61.53	111.37	175.81	158.56	93.31	57.93	179.47	158.42	98.22	158.07	78.43	132.86	202.86	258.19	31.5	12.23	76.97	116.37	78.96	9.71	66.5
Pi15	19.31	18.96	25.37	45.56	26.74	35.84	45.09	30.37	45.89	9.09	2.19	0.44	5.45	23.19	10.14	18.95	29.92	17.98	10.47	3.61	27.91	25.18	39.73	32.86	21.51	36.0	11.91	11.82	13.88	14.51	6.79	10.76	12.4	10.13	7.59
Plcxd2	0.0	76.59	0.0	57.63	5.79	0.0	201.35	1.86	49.48	0.0	0.11	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.22	0.0	0.0	0.05	61.41	126.47	0.0	0.22	1.62	2.38	0.0	0.08	1.26	0.08	0.06	0.04	0.0
Prune2	244.39	394.82	80.29	74.87	140.11	60.57	141.69	191.76	147.58	12.74	0.63	0.0	0.0	216.59	0.12	262.71	122.39	152.87	46.75	0.0	65.44	147.66	12.23	51.69	94.67	90.81	112.69	119.37	24.77	1.91	26.82	19.27	7.44	3.11	2.53
Ptprr	0.0	0.0	0.26	17.02	0.0	268.55	0.0	35.84	50.64	0.0	0.0	0.0	0.32	0.0	0.13	185.2	0.0	0.0	0.0	0.0	0.0	0.0	0.16	29.07	0.37	0.0	9.98	7.78	0.0	0.0	109.9	0.0	1.23	0.0	0.0
Rab3c	538.43	209.41	257.27	656.24	125.31	685.27	753.36	447.27	931.36	19.46	0.25	0.0	0.8	75.69	0.23	55.55	242.24	120.79	20.66	169.99	227.75	351.79	206.23	167.64	334.4	356.56	18.39	24.17	18.79	7.78	13.09	40.23	8.71	7.03	13.42
Rbm15	3.21	5.56	0.0	14.69	0.0	8.51	1.96	6.5	13.62	0.41	7.69	10.79	0.0	21.91	7.39	0.09	10.92	0.0	5.5	0.0	5.54	0.0	6.54	83.67	0.0	0.0	13.11	13.86	5.29	0.17	10.41	70.03	0.0	0.0	0.37
Resp18	3321.63	1838.16	1375.44	2647.38	4917.75	1050.64	1467.56	1877.07	1984.44	917.49	0.0	0.0	0.0	447.93	2.36	1312.28	1707.64	786.55	2567.27	3668.19	2307.67	2301.13	1167.54	2688.23	3286.72	2252.53	689.82	663.31	326.81	2150.99	506.7	321.76	377.72	1508.1	1069.6
Rgs12	512.76	0.0	2.12	93.99	1.11	12.26	262.75	183.44	226.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.0	0.0	0.0	0.0	0.0	3.7	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shisa9	0.0	80.1	101.39	0.09	0.0	0.0	123.37	1.32	140.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.16	78.67	0.08	0.0	150.24	0.0	21.11	0.4	96.41	62.93	3.24	6.31	0.0	0.0	0.0	0.06	0.0	0.0	0.0
Slc2a4rg-ps	97.79	0.0	0.0	64.9	0.0	0.0	0.0	79.36	0.0	0.27	0.0	0.0	0.0	127.6	0.0	0.1	134.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.57	23.91	0.0	0.0	0.0	4.36	0.0	0.0	0.0
Snord116	0.0	8.17	5.93	4.02	13.32	8.3	5.78	2.42	0.0	4.88	0.0	0.0	0.0	3.64	0.0	23.95	6.5	6.33	3.58	0.0	0.0	6.24	0.0	0.0	8.52	5.04	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0	0.0
Snord116l1	0.0	8.17	5.93	4.02	13.32	8.3	5.78	2.42	0.0	4.88	0.0	0.0	0.0	3.64	0.0	23.95	6.5	6.33	3.58	0.0	0.0	6.24	0.0	0.0	8.52	5.04	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0	0.0
Snord116l2	0.0	8.17	5.93	4.02	13.32	8.3	5.78	2.42	0.0	4.88	0.0	0.0	0.0	3.64	0.0	23.95	6.5	6.33	3.58	0.0	0.0	6.24	0.0	0.0	8.52	5.04	0.0	0.0	0.0	5.24	4.47	2.75	0.0	0.0	0.0
Syt4	371.08	87.2	31.92	421.83	0.0	164.48	389.63	450.15	585.72	67.16	0.97	0.0	0.0	425.69	0.08	186.65	133.21	278.21	8.1	275.2	263.49	331.55	15.59	161.82	383.14	158.85	236.85	267.64	251.44	203.86	112.23	119.32	242.14	121.98	119.99
Tceal8	129.86	98.41	74.11	151.56	0.38	6.93	656.77	273.34	228.78	182.32	2.51	0.0	0.71	207.06	34.21	79.3	7.22	10.9	0.0	174.04	76.07	125.54	317.32	185.65	0.77	80.8	89.19	81.37	166.19	244.19	202.15	96.4	76.86	196.27	95.74
Trappc6b	0.0	0.0	44.43	143.18	0.0	0.0	63.54	49.88	249.48	0.0	0.0	0.0	0.0	0.0	0.0	113.16	146.82	0.75	0.0	329.26	0.0	0.14	24.37	24.94	190.83	16.72	73.15	52.24	6.98	548.8	0.0	7.96	111.63	168.11	0.0
Ubb	32253.84	30893.82	32217.54	19659.13	33033.08	31728.87	20887.37	20387.68	19097.99	28296.97	29549.68	13714.94	21858.6	31623.03	27320.03	25010.86	32576.6	25699.37	32905.97	34072.44	26875.69	35368.68	33803.89	38561.98	34059.86	33756.05	27147.21	27451.26	31907.29	31090.16	29072.44	29214.82	35026.92	33691.16	30646.34
Vmn2r55	0.59	1.81	1.14	4.57	1.56	3.94	3.62	3.86	2.34	0.23	0.0	0.3	0.0	2.63	0.27	1.71	0.93	1.36	2.96	0.0	0.86	1.35	3.07	1.79	1.19	0.47	0.75	1.32	0.82	1.14	0.3	0.51	1.49	1.3	0.31
Zfp71-rs1	51.11	71.75	63.25	116.18	89.61	149.02	105.0	119.99	119.29	17.53	26.22	40.86	13.1	89.29	40.54	66.16	74.02	48.95	40.9	0.48	97.35	63.62	82.74	85.49	93.52	68.08	37.99	36.79	28.95	64.2	35.68	46.67	51.87	44.15	17.09
c9_tRNA-Ala-GCA	0.0	0.0	0.0	19.77	0.0	0.0	0.0	11.92	19.51	38.83	0.0	0.0	0.0	0.0	0.0	13.32	0.0	0.0	0.0	0.0	132.28	0.0	0.0	0.0	0.0	0.0	16.66	16.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK142726	461.34	246.52	198.26	370.28	38.87	0.0	872.35	135.26	149.98	499.76	190.0	83.01	117.28	999.77	129.36	452.15	587.13	540.31	144.81	265.3	335.23	0.0	557.23	750.76	89.91	214.75	666.77	629.98	249.44	43.34	619.32	474.64	0.0	128.81	3.49
