	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_67	Ntsr1_tdTpositive_cell_1	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_180	Scnn1a.Tg3_tdTpositive_cell_61	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_34	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Car11	1.81	37.01	0.0	2.35	2.28	2.11	0.0	0.0	0.0	0.0	0.33	39.99	0.0	0.0	1.72	0.0	0.17	0.0	5.45	12.64	6.04	117.04	1.56	0.65	0.49	0.0	14.86	68.81	0.0	0.0	48.05	32.93	43.59	0.0	0.0	0.0	0.0	39.99	19.53	4.89	14.36	45.05	13.62	16.27	11.72	59.23	0.0	22.93	17.74	0.0	0.0	2.1	0.0	0.0	0.0
Ddx52	1.41	66.05	0.0	38.71	35.24	31.16	0.0	0.0	0.0	0.0	18.53	0.05	0.0	0.0	89.64	51.83	20.19	0.08	0.0	113.82	46.14	92.72	0.0	54.54	50.75	0.0	0.18	103.38	0.13	0.0	46.11	0.0	20.99	28.19	43.88	0.0	0.0	29.64	28.2	19.12	24.48	34.78	40.74	35.61	38.66	31.39	82.99	1.2	151.16	0.0	0.0	2.24	11.49	15.33	0.0
Eif3a	59.76	36.38	38.86	95.04	39.71	45.79	0.0	2.84	31.6	15.07	35.92	82.72	322.7	52.59	71.44	0.0	21.7	25.49	26.71	56.16	141.53	31.38	38.84	142.53	150.02	1.15	44.18	74.53	0.14	227.88	220.66	118.42	65.13	20.65	68.54	0.0	11.36	79.34	67.36	56.63	72.23	66.76	83.0	69.9	112.05	44.73	50.74	86.87	54.13	0.11	119.39	29.9	23.99	50.59	84.08
G630093K05Rik	0.0	0.52	0.18	0.0	0.36	0.28	0.0	0.0	0.0	0.0	0.04	0.48	0.85	0.0	0.16	0.0	0.14	0.0	0.4	0.27	0.2	0.2	0.16	0.3	0.39	0.0	1.29	0.1	0.0	0.0	0.18	0.17	0.47	0.33	0.09	0.0	0.0	0.32	0.71	0.65	0.67	0.85	0.46	0.07	0.56	0.22	0.21	0.33	0.0	0.07	0.0	0.59	0.0	0.0	0.0
Gas7	6.59	90.36	33.66	33.68	32.55	51.11	0.0	0.0	0.0	0.0	23.34	469.81	280.53	52.57	56.01	40.42	15.36	34.82	104.6	67.99	34.06	76.56	23.1	105.46	118.49	0.0	68.64	257.0	0.0	3.24	124.74	137.33	107.52	0.23	23.62	3.03	0.0	120.27	111.56	116.74	103.42	129.82	137.35	113.85	133.52	114.27	102.7	61.38	87.67	47.2	38.92	73.62	22.32	52.84	8.68
Gm14430	8.29	2.12	0.0	26.74	9.34	25.26	0.03	0.0	0.0	0.11	2.37	0.86	19.02	0.16	0.63	0.0	0.0	0.22	2.16	0.04	0.0	30.04	0.26	23.72	16.03	0.26	0.2	0.09	0.0	0.0	0.0	0.0	2.05	0.82	4.29	0.11	2.15	11.7	6.07	1.76	4.79	6.89	5.17	1.83	4.81	3.28	0.48	0.0	0.0	0.0	13.98	0.21	0.0	0.0	0.0
Gm14434	8.29	2.12	0.0	26.74	9.34	25.26	0.03	0.0	0.0	0.11	2.37	0.86	19.02	0.16	0.63	0.0	0.0	0.22	2.16	0.04	0.0	30.04	0.26	23.72	16.03	0.26	0.2	0.09	0.0	0.0	0.0	0.0	2.05	0.82	4.29	0.11	2.15	11.7	6.07	1.76	4.79	6.89	5.17	1.83	4.81	3.28	0.48	0.0	0.0	0.0	13.98	0.21	0.0	0.0	0.0
Gm4724	8.29	2.12	0.0	26.74	9.34	25.26	0.03	0.0	0.0	0.11	2.37	0.86	19.02	0.16	0.63	0.0	0.0	0.22	2.16	0.04	0.0	30.04	0.26	23.72	16.03	0.26	0.2	0.09	0.0	0.0	0.0	0.0	2.05	0.82	4.29	0.11	2.15	11.7	6.07	1.76	4.79	6.89	5.17	1.83	4.81	3.28	0.48	0.0	0.0	0.0	13.98	0.21	0.0	0.0	0.0
Gphn	0.0	97.68	132.27	103.08	6.12	10.71	0.0	0.0	0.0	68.66	59.38	160.05	268.1	0.0	113.12	8.11	0.52	12.31	38.53	64.48	14.67	197.62	114.91	73.72	73.74	2.73	32.31	23.71	0.26	0.0	48.73	149.43	113.85	63.96	116.88	0.0	42.96	64.84	82.7	53.33	70.77	99.81	95.35	68.33	96.25	46.28	79.62	110.63	65.39	63.25	0.07	19.82	0.27	0.09	96.97
Ina	33.02	28.37	6.05	0.49	27.01	47.21	0.0	0.0	0.0	0.0	13.35	3.97	42.18	0.0	28.82	21.12	22.2	1.2	130.4	37.22	25.25	63.98	90.92	121.01	80.01	0.0	60.05	27.76	0.0	0.0	27.96	88.05	36.04	0.0	19.46	0.0	0.0	58.41	103.96	115.47	85.04	65.74	32.53	83.88	84.2	84.22	1.61	137.76	67.15	248.6	6.13	19.76	5.51	24.64	29.57
Khdrbs3	0.68	124.79	46.69	163.15	178.11	105.48	0.0	0.0	0.0	3.01	3.1	99.67	395.63	95.86	204.74	12.94	87.37	128.27	236.71	124.9	13.83	154.55	143.11	232.82	274.29	63.81	84.42	245.84	0.0	0.0	129.83	193.14	176.58	9.76	7.55	2.22	58.75	139.38	183.35	172.55	125.44	137.32	218.85	189.88	204.38	187.29	104.8	75.99	99.9	31.83	160.26	29.39	225.21	69.9	77.35
Lins	0.22	0.83	0.5	0.6	0.49	14.85	0.0	0.0	0.0	0.1	0.6	0.64	0.75	0.1	0.03	0.04	0.05	0.21	23.54	0.15	0.06	0.52	0.39	1.31	0.33	0.86	1.7	0.41	0.08	0.0	0.84	0.9	0.36	0.4	0.1	0.23	0.13	4.65	0.79	3.02	4.02	2.32	0.92	6.24	1.75	2.96	1.03	1.09	0.36	0.93	0.07	0.3	0.08	0.0	0.05
Mxi1	0.0	21.26	0.0	16.45	0.0	6.67	0.0	0.0	0.0	0.0	5.45	0.13	0.07	0.0	0.0	10.1	0.05	1.93	0.0	39.35	6.85	0.18	56.73	55.14	95.53	21.7	0.7	0.0	0.0	0.0	42.92	0.96	25.71	11.56	2.94	0.0	0.0	10.74	19.55	11.06	13.2	22.09	30.46	15.1	14.49	5.98	12.15	14.73	0.0	0.0	0.1	68.59	10.7	32.83	62.28
Nucb1	22.34	154.83	74.63	53.72	28.04	63.08	0.0	0.0	0.0	0.09	58.42	0.0	0.0	0.0	0.0	0.0	31.4	0.0	58.88	0.0	136.94	82.77	25.12	36.54	138.08	0.0	57.24	50.71	0.0	0.0	0.25	0.0	0.0	19.79	60.1	166.92	0.0	15.08	50.64	19.74	29.47	13.99	23.28	15.17	49.24	27.21	0.0	93.36	0.0	0.0	0.0	0.0	0.17	0.0	0.0
Oaz2	12.98	134.21	71.3	5.66	121.52	54.91	6.58	0.2	0.0	0.64	12.76	79.67	0.0	0.18	26.6	0.0	168.17	23.0	334.2	0.19	101.63	143.03	101.7	31.78	106.31	0.0	47.5	0.2	21.03	0.0	89.39	75.22	17.22	38.12	0.0	0.0	0.0	39.3	17.66	70.92	60.29	47.52	52.52	57.7	52.9	24.8	0.0	56.58	4.73	25.42	31.24	15.1	5.55	2.17	0.0
Pcp4	5117.81	3820.49	5350.95	4905.76	5293.38	4402.77	0.0	0.0	0.0	5082.23	2924.06	4306.98	7467.74	5853.47	3874.65	6240.76	5498.56	5326.1	6808.32	7407.1	6583.41	5251.38	4134.5	4770.47	1415.46	4149.68	4470.96	4401.36	0.0	0.0	4815.87	7030.52	4729.09	5005.09	4368.46	1794.15	5492.66	4246.61	4480.25	4373.65	4108.26	3507.01	3446.01	4928.48	3901.08	5219.57	7638.97	5202.71	5242.95	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7
Polr1b	0.91	21.45	0.64	1.13	0.63	77.33	0.0	0.0	0.0	0.26	0.32	10.62	1.35	0.61	9.66	0.95	0.44	0.56	3.0	0.1	0.0	51.01	0.47	40.62	1.17	0.68	1.19	1.59	0.13	0.88	42.89	0.77	135.24	0.45	0.26	0.24	2.71	30.34	11.78	7.13	10.82	6.05	11.56	4.33	18.44	6.36	0.74	22.61	5.12	0.36	0.5	0.86	0.18	3.94	0.08
Rap2b	2.88	56.91	34.75	39.97	45.45	43.95	0.0	0.0	0.0	0.0	2.38	55.11	94.59	37.8	36.37	35.85	21.84	27.7	11.39	36.47	13.66	28.11	59.05	123.49	59.33	10.5	125.21	34.33	0.0	0.0	108.08	53.04	119.32	0.0	7.63	7.52	0.11	85.35	76.6	57.31	68.21	109.93	87.37	49.11	81.89	45.7	71.41	71.35	34.65	4.08	3.3	6.93	50.07	3.02	2.67
Scaf1	1.67	0.43	0.0	5.0	5.73	7.24	0.0	0.0	0.0	0.0	0.15	0.52	0.0	7.9	0.12	0.0	11.63	0.06	0.09	0.0	0.0	0.04	2.3	0.0	15.7	0.0	2.16	0.0	0.0	0.0	0.0	0.56	0.6	0.38	0.68	0.0	0.0	4.72	2.98	1.3	2.41	2.21	6.34	2.15	2.11	1.83	0.0	0.49	0.0	0.0	0.0	0.35	0.0	0.29	0.06
Slc8a1	0.37	95.58	36.0	117.08	79.45	133.13	0.0	0.0	0.0	0.88	0.0	112.19	0.04	19.61	27.42	6.88	18.79	12.62	85.66	28.91	15.97	97.82	83.28	63.76	44.68	0.52	25.2	53.38	0.0	0.02	74.19	145.18	79.69	4.8	1.09	0.03	0.02	60.06	29.12	27.23	49.0	35.87	42.41	43.58	34.6	22.68	31.49	64.58	57.45	28.82	20.64	23.88	24.39	40.39	76.32
Snhg10	61.11	2.52	0.0	0.77	2.0	21.99	0.0	0.0	0.0	0.0	25.46	7.35	0.0	0.0	73.59	0.0	0.0	0.0	2.39	1.46	0.0	86.91	0.0	70.14	71.25	0.0	85.79	168.1	0.0	0.0	81.42	97.01	91.27	0.0	35.34	0.0	0.0	40.66	19.37	26.93	50.64	12.49	24.49	22.02	14.9	37.03	0.0	45.41	83.99	60.59	0.0	1.23	0.0	0.0	0.0
Snrpf	9.12	15.75	16.78	0.48	15.41	45.01	0.0	0.0	0.0	0.0	4.69	54.45	0.0	9.81	35.82	0.0	0.0	111.66	0.5	0.0	0.0	20.72	0.36	34.31	87.23	0.0	22.03	34.0	0.0	2.31	61.31	21.95	0.81	6.82	5.16	0.0	0.0	11.52	41.16	15.3	19.19	20.69	14.09	33.06	13.53	8.46	0.0	26.22	42.52	15.77	0.62	24.97	0.0	75.72	61.35
