	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_23	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_103	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_28	Nr5a1_tdTpositive_cell_32	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_52	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18
Gm13306	0.0	0.0	0.0	88.08	2.22	7.78	72.87	196.94	0.0	151.88	0.86	0.0	0.39	0.0	2.24	98.78	98.8	157.47	217.8	296.35	120.48	239.42	156.44	4.13	71.38	106.16	180.86	123.99	271.66	370.84	1.37	136.85	76.23	106.88	0.36	29.79	23.72	74.04
Gm2506	0.0	0.0	0.0	88.08	2.22	7.78	72.87	196.94	0.0	151.88	0.86	0.0	0.39	0.0	2.24	98.78	98.8	157.47	217.8	296.35	120.48	239.42	156.44	4.13	71.38	106.16	180.86	123.99	271.66	370.84	1.37	136.85	76.23	106.88	0.36	29.79	23.72	74.04
Gpr85	0.0	0.0	0.0	0.03	138.28	0.0	182.0	153.23	4.49	62.13	11.06	0.0	0.0	0.0	0.0	268.27	0.06	0.13	0.47	160.42	107.36	86.05	0.31	95.81	129.04	2.84	154.59	82.58	22.24	120.31	182.21	157.17	1.54	48.44	0.0	347.88	0.0	1.13
Kalrn	0.02	1.36	0.0	68.14	91.52	58.77	42.95	141.68	50.93	51.45	4.4	0.84	0.65	0.21	51.94	60.04	63.22	60.32	82.02	20.91	41.53	87.22	36.03	17.31	75.36	96.8	88.17	85.73	56.22	30.12	25.19	38.15	96.71	34.38	21.73	28.92	72.11	12.43
LOC100044193	0.0	0.0	0.0	46.96	154.81	21.79	59.57	83.23	6.93	105.77	13.55	7.47	0.0	0.0	62.59	21.88	13.14	7.33	34.57	117.49	130.51	99.77	4.79	0.25	22.22	33.68	116.65	33.39	66.62	8.66	3.21	119.64	39.74	36.28	5.16	18.31	4.19	23.41
Lrrtm1	0.0	0.0	0.0	0.45	0.56	0.09	190.34	132.14	0.75	97.68	0.0	0.0	0.0	0.0	111.35	1.8	110.22	1.91	1.89	140.75	0.0	1.79	1.09	0.0	3.43	0.97	48.73	99.14	1.16	117.62	0.13	565.22	29.63	0.77	0.0	120.25	0.34	0.0
Map2k4	0.0	0.0	0.0	148.45	0.9	38.96	88.09	223.48	6.77	6.76	28.51	0.0	0.0	0.0	36.96	88.2	73.35	84.84	169.45	45.02	0.13	165.3	53.74	0.0	5.99	59.57	41.6	23.92	124.24	165.79	145.76	48.13	86.31	34.54	0.0	0.0	0.0	0.0
Mgll	0.0	0.0	0.0	40.52	70.57	29.54	111.85	193.49	0.0	152.32	4.23	0.0	29.05	0.0	0.0	19.4	145.41	19.1	102.88	4.79	111.97	192.87	91.48	0.0	109.31	54.22	123.2	40.08	85.77	109.24	0.1	105.16	183.12	3.82	97.32	25.55	0.96	0.94
Nucks1	0.13	0.0	0.0	133.37	73.5	9.58	187.92	61.79	171.35	306.47	28.55	0.6	6.44	0.2	18.83	0.58	101.03	111.46	151.44	61.01	53.76	157.51	7.03	73.34	140.58	103.58	55.83	71.11	40.99	157.82	0.88	183.97	99.61	189.84	6.11	8.81	17.43	5.72
Pcdhgc5	0.0	0.0	0.0	69.52	35.4	87.95	20.54	277.86	11.26	72.44	65.72	0.0	0.0	0.0	41.81	54.56	12.68	19.25	151.98	70.34	46.89	182.38	131.04	0.0	6.08	0.76	0.3	7.37	196.27	115.99	201.27	206.11	84.3	75.45	3.08	3.63	0.0	1.01
Pgm2l1	0.0	0.0	0.0	208.42	215.73	270.54	259.54	302.11	126.08	88.84	109.8	0.14	0.02	0.0	252.7	113.65	109.0	10.4	214.42	12.35	105.89	232.1	40.98	81.82	233.5	172.93	119.61	59.24	56.09	67.16	171.49	7.62	133.36	74.34	96.38	231.55	179.54	86.88
Rgs4	562.03	0.0	1925.78	3554.62	4793.66	4051.91	5481.44	3251.23	5464.61	5005.37	4201.26	862.42	2439.32	0.0	5873.8	4839.36	4315.87	5539.67	4276.53	4595.67	5390.4	2870.31	4377.15	4156.45	5399.11	5219.32	5037.98	5187.94	4921.82	6274.8	5381.62	4444.37	4094.9	5420.33	2734.57	5101.58	5598.27	6781.39
Rnf220	3.34	0.0	0.0	66.28	1.46	4.55	0.0	116.78	0.0	0.2	48.24	0.0	0.0	0.0	0.2	0.26	0.0	21.23	115.72	56.35	17.17	88.24	0.47	0.0	39.47	4.68	0.08	0.06	5.39	108.1	17.17	88.25	0.0	0.0	0.0	0.0	0.0	0.0
Ruvbl1	0.0	0.0	0.0	131.69	2.54	4.03	203.76	2.63	136.58	241.79	69.04	0.0	0.0	0.0	8.3	165.48	111.92	17.69	171.78	157.29	164.02	476.8	0.28	0.34	319.3	284.71	260.71	210.29	200.12	16.04	254.01	143.3	387.6	1.98	0.99	0.0	400.99	0.0
Tspan5	0.0	0.0	0.0	130.15	131.63	255.69	268.86	287.5	70.91	61.47	48.3	0.0	0.14	0.0	274.17	64.94	182.46	35.82	185.84	47.56	169.47	264.78	82.6	70.1	95.17	187.73	111.65	320.34	89.18	182.29	105.12	55.19	108.27	203.86	49.44	54.22	9.97	18.43
Ube2g1	0.0	0.0	0.0	91.03	101.02	72.91	2.95	125.3	112.05	0.0	0.67	0.0	0.0	0.0	3.85	0.05	1.08	1.8	89.95	0.0	56.2	36.22	55.73	0.0	48.33	67.29	96.08	2.35	0.11	0.0	0.0	87.87	66.32	1.01	0.31	0.0	30.88	0.0
Ube2k	0.0	0.0	0.0	23.93	7.4	84.65	26.11	141.45	39.01	95.23	33.27	0.0	0.0	0.0	56.22	0.84	83.06	29.98	144.62	54.03	6.21	85.06	33.19	32.93	62.75	75.85	44.28	92.69	56.91	124.1	0.0	97.51	104.74	116.01	79.42	34.02	0.0	37.85
