	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_33	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Igsf8	19.79	1.37	10.62	59.29	48.29	0.0	0.0	1.89	0.0	36.38	47.62	7.28	1.78	0.0	3.24	2.56	15.95	2.75	121.26	24.65	10.75	6.28	0.43	25.75	3.87	18.8	2.41	0.0	0.0	18.37	9.3	17.45	5.01	10.24	11.14	14.38
Inpp5f	207.93	106.82	218.35	359.92	175.77	101.59	97.07	69.99	87.67	228.04	176.31	273.62	484.7	333.11	231.34	86.13	239.48	40.09	363.16	196.11	325.38	170.79	130.38	167.99	80.55	123.02	296.04	250.32	101.96	121.01	145.11	123.16	139.58	289.84	183.83	195.79
Klf16	0.0	0.0	0.0	25.77	39.69	0.0	0.0	0.0	0.0	0.28	1.26	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.53	0.0	6.61	0.52	13.51	11.82	12.71
Klf8	5.52	0.0	0.0	16.12	0.07	0.0	0.0	0.12	0.37	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.55	15.44	0.0	0.08	0.02	0.0	0.22	0.0	0.0	1.87	3.64	0.06	1.32	1.39	0.15	1.47
Klhl23	41.46	0.15	122.33	210.86	144.9	0.15	0.1	0.14	11.52	39.68	4.73	159.6	184.24	70.09	48.13	172.22	0.0	2.51	49.2	0.12	0.26	1.82	0.0	0.22	6.35	19.95	0.0	0.0	0.56	46.8	21.8	20.29	12.19	19.72	16.33	19.31
Lrch4	0.0	0.0	0.0	1.59	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.11	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.34
Lrrc7	10.37	0.03	1.4	60.6	0.63	1.71	0.16	3.71	1.37	1.45	4.1	13.76	0.0	2.56	3.75	2.04	0.0	7.75	13.07	1.2	18.72	9.04	0.75	16.88	0.0	0.52	7.64	10.77	0.0	1.59	9.68	4.49	6.86	3.84	3.85	3.71
Magi2	3.36	64.26	69.29	91.04	54.95	25.99	19.88	26.74	13.78	86.67	28.1	103.9	0.24	50.73	68.91	0.99	41.52	0.75	40.41	71.77	65.61	28.66	12.19	45.67	52.02	5.44	27.05	9.58	64.12	36.45	40.84	26.18	48.36	19.72	21.58	18.27
Mcee	0.0	0.0	0.0	490.91	335.81	133.64	0.0	192.76	412.66	263.2	292.4	67.62	0.0	0.0	0.0	0.0	366.89	173.84	0.0	156.91	270.71	139.11	0.0	0.14	276.53	134.97	27.14	147.52	0.0	87.08	59.93	114.48	110.79	62.79	60.68	77.23
Med27	176.23	0.25	0.0	426.84	366.62	0.0	0.0	0.0	0.0	0.0	0.14	0.0	186.61	0.0	1.18	0.0	0.0	0.0	4.57	111.03	148.23	0.0	6.32	22.89	0.09	0.19	115.6	14.02	0.0	93.08	77.29	27.38	57.04	54.0	41.31	59.63
Mob2	201.11	0.0	0.0	205.16	184.05	0.0	96.26	0.0	246.11	312.01	0.12	213.03	552.42	0.0	0.0	0.0	0.23	322.9	0.0	0.2	76.29	124.85	61.68	0.0	35.5	0.0	87.25	186.85	0.0	56.49	7.64	75.89	73.91	55.37	64.56	55.91
Mpv17l	217.58	184.31	18.49	244.37	33.67	44.31	62.77	12.89	45.01	38.15	143.16	68.09	244.96	115.31	51.12	106.59	39.9	110.08	19.58	60.29	226.11	110.06	42.04	334.92	147.89	134.05	31.69	13.02	50.25	73.24	112.52	83.29	111.64	92.26	84.85	97.04
Myo9a	10.32	23.9	53.81	65.62	6.35	0.0	10.89	11.22	0.0	0.03	47.06	0.24	0.0	29.16	29.0	0.02	27.03	0.03	19.72	0.0	4.83	50.61	0.0	14.67	6.47	0.08	42.52	1.79	0.64	12.37	19.69	15.06	16.42	24.21	13.99	16.6
Naga	0.0	0.05	0.0	97.5	0.22	0.0	0.25	0.0	0.0	0.1	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.61	6.91	0.0	0.33	0.17	37.84	0.51	108.71	0.0	10.13	35.88	26.7	16.17	16.69	26.51	14.84
Ndufa5	882.71	1021.54	881.19	1249.19	703.91	572.22	593.53	568.32	372.27	830.21	885.83	933.95	620.05	629.73	733.85	787.31	1597.03	1803.26	800.61	719.39	986.52	826.04	1140.73	712.83	627.27	613.06	643.82	909.69	233.61	745.12	932.82	1059.53	1350.77	874.3	1009.44	942.46
Nrcam	0.43	13.32	71.0	233.64	90.1	16.88	9.19	170.0	26.3	15.67	73.92	117.52	195.51	120.09	112.17	87.64	3.6	87.74	4.72	53.0	92.12	165.97	31.63	30.9	8.43	101.71	101.75	59.73	0.0	58.86	31.67	34.29	24.09	32.87	42.46	38.86
Nsmaf	0.0	151.27	0.0	52.59	57.59	0.0	0.0	15.37	24.25	8.99	0.0	0.0	0.0	0.0	28.81	0.0	35.19	0.0	141.68	21.53	3.65	0.0	0.0	39.55	18.82	1.82	2.21	0.0	0.0	7.83	8.11	12.4	17.5	14.31	7.13	9.46
Nuak1	5.29	0.0	0.0	34.0	39.05	0.0	0.0	0.06	0.0	0.52	21.96	0.0	0.7	38.68	16.6	0.03	0.0	1.82	0.0	8.22	6.47	1.17	11.04	8.35	2.68	31.08	0.05	0.0	0.0	1.95	1.87	2.44	2.18	2.77	2.11	3.32
Nudt13	0.0	0.0	0.0	101.15	112.39	0.0	0.0	0.0	0.0	0.07	1.91	0.0	0.0	1.69	0.0	75.35	1.66	0.0	0.0	41.72	0.0	0.34	0.0	0.0	2.32	0.0	0.0	0.12	0.0	1.07	5.24	3.33	10.67	2.84	5.47	5.52
Ociad2	213.31	379.84	152.25	471.04	257.86	14.03	249.56	182.31	365.17	450.43	477.33	210.95	394.01	335.81	170.13	265.14	563.61	569.24	298.52	83.93	297.65	549.77	229.0	49.71	236.61	26.99	281.26	150.43	2.68	386.2	281.8	216.7	204.32	368.02	353.78	339.51
Ogdhl	0.22	0.0	0.52	6.94	6.14	0.0	0.0	0.0	3.95	0.0	0.0	0.0	0.0	0.0	15.47	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	0.23	0.52	0.0	0.07	1.01	0.0	0.0	0.58	0.5	0.0	0.52	0.0	0.7
Pag1	0.37	0.02	0.0	14.34	0.08	0.0	0.0	0.03	0.0	0.2	20.64	0.0	0.0	0.0	0.0	0.05	0.19	0.0	0.0	0.0	0.1	4.46	0.22	4.98	0.12	0.08	0.09	0.0	0.0	3.29	0.76	2.08	2.34	0.83	0.91	0.86
Pard6a	0.0	0.16	5.47	177.69	7.47	0.0	0.0	0.0	0.0	0.0	46.58	0.0	0.0	0.0	0.0	0.0	40.33	0.0	0.0	0.0	214.68	123.47	227.87	0.07	0.11	94.81	12.63	0.0	0.0	20.57	49.77	5.22	19.07	23.18	44.93	25.25
Pcdhac2	0.0	0.0	0.0	83.0	0.0	20.27	0.0	0.0	0.0	1.71	0.31	17.42	0.0	0.0	4.12	0.0	0.0	0.0	0.0	0.0	0.0	53.4	0.0	0.0	0.48	0.0	64.53	0.0	0.0	20.73	34.06	24.14	0.32	20.99	17.02	16.65
Pdcd11	0.0	0.0	0.0	7.1	0.0	0.0	0.0	0.0	1.88	1.02	0.0	4.09	3.3	0.0	0.88	0.0	0.0	0.0	0.0	1.65	0.0	2.77	0.0	0.0	0.0	0.0	0.31	2.37	0.0	1.67	0.99	0.4	1.68	0.73	0.68	0.85
Pds5b	0.0	20.66	0.06	114.7	111.77	32.85	0.0	52.16	60.92	0.66	136.87	2.98	0.11	29.46	16.61	0.0	17.82	0.0	0.11	32.8	0.41	37.02	81.49	32.81	0.0	0.35	0.62	2.74	0.0	25.06	28.42	27.28	14.98	20.05	19.47	20.44
Phb	195.96	0.11	0.0	182.01	145.46	132.91	0.27	129.34	95.73	35.57	196.85	74.8	88.26	81.49	113.89	0.07	51.25	197.32	0.22	289.04	57.89	54.42	234.0	55.23	0.24	151.06	34.02	110.19	0.0	136.46	81.63	110.62	187.81	125.49	147.22	145.04
Phf21a	0.0	0.28	26.58	57.36	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.12	5.53	0.07	0.0	0.16	8.11	0.0	0.06	25.9	2.37	0.86	0.0	0.07	0.02	0.0	0.15	0.0	0.0	0.14	1.84	0.93	6.61	3.03	4.25	2.11
Pigh	0.0	0.0	0.13	84.04	163.26	0.0	0.0	0.26	0.0	0.37	0.15	0.0	0.51	0.13	0.0	0.0	0.0	7.3	0.88	0.13	6.5	0.0	0.4	0.24	0.39	0.0	0.3	0.0	0.0	49.87	16.72	3.6	12.36	6.22	19.97	36.22
Pinx1	0.0	0.15	0.0	166.43	129.18	0.0	0.0	0.0	0.0	29.93	68.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.09	0.0	81.88	0.08	0.0	37.5	0.0	0.0	9.77	14.34	11.96	22.9	20.11	9.38	15.24
Pnrc1	0.0	0.05	0.12	118.52	0.0	0.0	11.93	0.84	0.0	0.1	0.0	0.0	0.0	0.22	29.53	1.36	0.17	0.0	113.23	0.0	5.3	0.0	0.0	47.68	19.07	2.0	0.0	0.0	26.09	15.89	17.15	4.53	1.66	12.83	9.38	4.0
Polr2k	257.4	138.26	297.56	451.52	562.99	10.99	0.0	318.22	299.63	66.82	389.43	124.39	476.48	465.5	72.72	772.24	242.71	351.9	90.43	230.07	441.23	230.38	547.63	272.92	259.64	94.78	426.89	326.09	122.71	212.38	369.78	316.31	396.96	241.44	258.64	241.95
Ppa1	328.66	10.44	0.18	472.94	377.93	5.94	241.01	198.32	34.31	130.01	73.0	3.5	271.64	148.65	303.51	173.11	334.96	380.36	11.19	158.63	350.28	97.51	73.63	118.77	439.72	354.97	183.93	162.46	199.49	272.3	208.66	327.09	338.43	284.58	314.39	282.56
Ppp2r2b	203.57	180.72	317.29	389.8	374.02	181.75	10.46	192.9	214.03	17.19	4.65	141.41	164.7	132.53	283.49	0.07	46.86	39.15	15.48	113.24	286.58	212.86	37.43	159.6	307.13	442.09	247.16	111.29	115.87	188.11	174.28	113.53	184.39	143.53	153.58	165.02
Ptpn2	6.02	319.55	3.13	427.33	322.97	176.36	1.91	0.19	15.47	0.71	86.61	0.75	68.01	0.1	24.27	0.0	0.41	0.08	0.0	0.03	96.66	65.48	25.67	86.26	516.59	0.13	281.15	0.03	0.0	30.64	49.64	61.38	95.02	48.96	49.49	50.03
Pus3	0.0	0.0	0.11	234.48	0.0	0.0	0.0	0.0	0.0	0.0	5.11	0.0	232.96	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.11	0.0	0.0	0.0	25.85	22.17	13.73	14.26	10.16	15.69	15.83
Pxmp4	7.48	3.56	4.2	199.54	19.91	6.03	7.91	5.12	2.8	10.89	4.41	6.09	15.27	8.17	60.28	1.13	4.77	3.3	3.49	3.36	32.43	84.97	5.31	8.44	169.83	6.47	71.49	3.13	1.02	25.28	35.59	72.2	14.94	28.28	24.62	34.63
Rap2a	0.0	7.42	58.05	135.09	126.98	0.0	9.59	81.92	0.13	95.82	2.5	0.18	47.99	60.26	6.95	2.06	9.76	19.8	0.1	55.13	0.0	80.14	0.0	0.07	0.2	0.05	24.58	0.0	0.0	17.44	20.34	15.48	22.84	22.41	13.18	17.37
Rfwd2	0.0	0.0	0.0	102.15	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	1.66	2.69	0.03	1.7	2.25	20.99	0.0	2.01	7.27	0.0	2.28	0.0	49.52	11.72	0.23	78.6	13.98	16.68	13.0	6.73	8.88	7.95	9.25
Riok1	0.0	132.1	0.0	143.79	164.57	0.0	0.0	0.0	0.0	0.0	10.16	12.32	156.22	1.24	60.17	10.21	81.58	0.0	0.14	0.0	0.89	93.69	0.0	0.06	3.94	0.0	0.0	0.0	0.0	33.34	9.41	18.62	22.54	34.85	21.44	30.24
Rpa1	178.22	246.77	0.07	275.96	0.0	1.56	0.0	0.21	0.0	0.37	0.05	0.0	0.13	0.14	85.1	93.42	0.2	0.0	108.14	0.0	83.08	34.11	0.62	191.5	110.75	0.0	75.2	43.03	203.16	22.72	52.58	24.51	26.76	48.03	22.79	33.13
Rpl35a	498.16	493.25	362.86	825.72	420.06	375.93	250.88	416.22	300.66	461.68	579.76	491.42	460.47	413.45	394.31	554.42	249.04	1049.14	208.12	246.62	261.91	323.76	192.61	293.24	172.11	301.9	311.91	487.63	164.31	385.38	498.89	415.06	629.75	298.7	336.15	288.3
Rufy3	205.9	271.48	225.72	249.01	336.0	345.62	107.75	17.08	78.64	225.86	189.79	0.0	87.78	125.36	168.45	451.25	191.62	62.22	89.35	110.3	176.62	214.34	73.93	196.92	166.1	347.32	306.33	102.03	0.0	193.26	176.41	134.99	141.92	149.34	137.59	150.7
Sertad4	0.0	142.43	12.23	151.37	149.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.41	0.0	0.11	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	15.97	23.14	4.3	13.2	15.02	11.77	6.84
Sidt1	0.0	0.24	0.0	49.13	55.56	2.23	0.11	0.0	1.02	29.51	33.17	0.0	3.88	62.58	21.12	0.42	0.0	0.0	3.3	58.46	3.22	58.59	81.37	79.54	0.05	7.66	9.14	60.96	146.81	7.7	16.32	5.36	11.86	15.37	9.16	11.59
