	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_130	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39
Csf2rb2	4.8	1.23	5.78	13.16	5.31	8.75	8.16	4.81	4.11	5.95	2.72	6.48	6.27	4.87	7.58	8.17	4.49	1.78	0.91	5.16	12.75	4.33	5.86	14.1	3.26	2.12	3.73	1.08	3.34	2.02	3.05	4.3	6.01	13.47	6.77
Dctn4	4.66	4.29	22.79	132.79	22.79	204.48	143.38	150.37	139.31	4.56	122.29	23.45	57.75	72.56	171.37	126.47	183.7	145.99	0.0	121.53	180.86	47.61	136.57	91.44	44.91	5.07	0.26	0.0	62.02	46.55	70.59	183.59	75.54	189.01	89.73
Dgat1	0.0	0.0	0.0	0.0	0.86	3.73	17.57	0.0	0.0	0.0	0.0	0.0	0.0	33.94	17.47	0.0	1.84	0.0	0.0	0.36	0.49	2.28	13.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	7.11
Dynlt3	331.67	128.68	0.35	111.68	586.7	243.01	119.1	405.32	629.47	140.49	75.16	0.66	535.01	419.46	349.55	385.39	377.3	4.05	0.0	229.23	254.14	328.64	368.47	471.64	300.0	381.53	237.95	258.13	278.56	142.14	7.74	698.98	365.31	130.06	79.2
Efha2	289.02	59.37	315.27	558.81	305.0	582.74	430.08	448.47	458.45	26.26	73.03	227.46	280.56	395.52	766.93	866.94	557.02	204.97	0.0	366.48	372.39	333.7	923.36	832.42	318.73	230.62	112.79	103.48	114.77	52.2	341.78	819.53	985.5	1287.64	650.63
Eif2ak2	38.63	13.23	22.28	61.93	42.24	105.2	35.5	37.52	10.62	7.17	18.29	19.8	46.89	34.25	49.14	60.11	42.22	26.21	8.43	72.35	44.71	21.48	23.66	110.74	15.29	16.75	7.93	38.83	17.05	28.41	17.47	53.58	43.64	42.3	44.27
Emx2os	0.23	0.04	0.65	2.17	0.73	1.04	0.66	0.08	0.32	0.1	0.36	0.42	0.29	0.43	1.08	0.78	0.69	0.2	0.0	0.94	1.86	0.28	0.22	0.97	0.2	0.41	0.2	0.46	0.18	0.1	0.0	0.79	0.73	1.12	0.77
Epha5	0.0	10.09	0.0	70.09	2.12	0.0	31.08	3.87	0.04	0.03	0.03	5.26	7.25	5.0	31.9	6.26	42.71	2.05	0.0	3.48	34.82	2.36	7.44	0.0	29.83	1.3	0.0	0.84	43.2	5.72	67.13	10.05	33.91	93.39	0.03
Fam177a	17.93	0.68	4.16	26.14	12.09	17.95	4.51	4.87	12.26	2.82	1.38	30.82	5.09	15.98	16.78	14.56	23.68	2.67	2.02	1.41	2.13	11.25	13.41	30.11	43.09	1.8	1.3	56.74	0.96	8.04	2.23	22.38	32.53	5.94	6.07
Gm14430	0.03	8.59	6.89	4.52	15.53	17.21	0.0	0.17	0.16	0.0	0.0	0.04	1.35	15.31	6.69	0.2	1.36	0.1	0.0	0.0	0.0	3.28	4.14	29.41	2.35	0.0	13.98	0.0	0.0	0.0	0.86	0.05	0.69	9.28	40.68
Gm14431	0.12	0.0	0.0	2.43	3.27	1.97	1.61	0.0	0.0	1.02	0.06	2.71	15.79	6.93	1.74	7.13	0.1	0.08	0.0	1.94	0.82	0.72	0.99	0.59	1.51	0.0	0.0	0.0	0.37	3.49	1.33	0.49	0.0	0.17	1.39
Gm14434	0.03	8.59	6.89	4.52	15.53	17.21	0.0	0.17	0.16	0.0	0.0	0.04	1.35	15.31	6.69	0.2	1.36	0.1	0.0	0.0	0.0	3.28	4.14	29.41	2.35	0.0	13.98	0.0	0.0	0.0	0.86	0.05	0.69	9.28	40.68
Gm2002	0.0	0.13	0.0	0.33	0.0	0.11	0.0	0.0	0.2	0.43	4.1	0.0	0.0	0.22	1.5	0.24	1.12	0.0	0.0	0.0	0.24	0.96	1.27	0.21	0.17	27.58	0.0	0.0	0.36	0.28	0.0	0.09	0.06	0.12	0.0
Gm4724	0.03	8.59	6.89	4.52	15.53	17.21	0.0	0.17	0.16	0.0	0.0	0.04	1.35	15.31	6.69	0.2	1.36	0.1	0.0	0.0	0.0	3.28	4.14	29.41	2.35	0.0	13.98	0.0	0.0	0.0	0.86	0.05	0.69	9.28	40.68
Gm7334	0.0	0.16	29.61	149.87	0.56	36.37	65.14	55.38	0.0	0.2	0.0	0.26	0.45	88.69	62.19	61.93	100.23	41.0	0.0	0.0	78.58	38.85	22.25	58.7	0.0	0.0	0.0	0.0	0.0	21.7	0.0	0.0	132.91	90.8	44.09
Gm7609	8.84	5.82	8.59	14.8	7.03	16.59	13.47	8.74	5.86	3.93	5.12	2.33	3.95	8.57	16.16	17.95	11.78	4.4	0.74	9.29	18.7	9.79	10.08	21.18	1.07	4.91	2.02	6.51	2.71	4.12	0.63	16.31	19.4	12.99	12.46
Gm8898	0.12	0.0	0.0	2.43	3.27	1.97	1.61	0.0	0.0	1.02	0.06	2.71	15.79	6.93	1.74	7.13	0.1	0.08	0.0	1.94	0.82	0.72	0.99	0.59	1.51	0.0	0.0	0.0	0.37	3.49	1.33	0.49	0.0	0.17	1.39
Gria3	65.4	39.02	0.0	944.21	468.64	408.65	214.86	176.18	233.33	95.26	154.34	169.28	117.85	188.32	189.07	270.68	245.0	39.07	0.0	188.61	194.32	181.84	335.92	486.16	151.66	115.07	144.65	64.52	159.85	229.91	327.46	421.17	243.38	340.22	212.63
Il11ra2	0.0	0.13	0.0	0.33	0.0	0.11	0.0	0.0	0.2	0.43	4.1	0.0	0.0	0.22	1.5	0.24	1.12	0.0	0.0	0.0	0.24	0.96	1.27	0.21	0.17	27.58	0.0	0.0	0.36	0.28	0.0	0.09	0.06	0.12	0.0
Lrrtm4	1.94	41.92	0.0	474.85	570.96	307.92	714.54	5.29	0.0	6.95	0.0	61.9	111.06	319.53	706.14	711.51	242.25	0.0	0.0	532.57	61.99	16.23	82.1	0.16	3.6	0.0	50.55	0.0	6.72	23.49	0.11	71.39	331.21	300.0	50.75
Luc7l3	141.19	76.33	70.56	198.85	87.51	178.54	315.13	11.63	151.74	72.02	116.33	100.78	27.53	95.81	274.58	246.21	276.28	4.65	26.0	63.41	182.29	146.47	183.98	347.12	61.73	134.32	95.82	312.42	139.87	106.79	55.68	216.18	92.84	138.4	320.5
Magi1	17.35	6.96	1.46	16.25	37.07	9.68	92.16	4.86	21.68	0.77	0.41	13.97	15.69	23.49	72.32	69.99	83.52	12.93	0.0	22.06	10.54	15.48	38.43	9.17	16.84	13.41	0.0	0.28	16.0	0.07	0.53	21.84	40.58	103.24	17.19
Mdn1	0.0	0.96	5.26	9.94	3.4	10.61	4.73	4.09	0.02	13.38	7.04	0.6	7.12	0.54	3.35	19.37	2.73	32.03	0.07	11.61	16.72	1.66	3.62	0.03	6.87	1.1	0.0	4.5	1.4	0.0	0.0	20.94	8.71	0.0	4.71
Mgea5	99.18	18.92	0.47	182.5	83.92	241.05	90.45	47.08	8.02	5.93	0.0	30.0	13.08	115.93	86.76	168.82	55.5	0.98	0.0	121.88	28.88	12.41	59.76	193.09	54.7	0.12	1.04	3.62	3.63	57.77	1.19	66.47	85.55	48.38	113.15
Mtmr7	4.25	14.35	139.01	80.25	249.96	103.05	59.91	78.58	97.5	90.06	0.0	83.35	54.53	151.48	57.81	22.66	7.32	0.97	0.0	0.0	85.38	87.52	92.29	86.17	1.73	75.68	25.53	0.13	0.0	70.23	69.03	207.64	144.44	188.84	171.37
Mzt1	115.76	82.47	2.29	277.18	270.38	124.1	209.14	37.65	55.92	40.95	28.83	25.19	3.53	125.01	110.3	56.88	7.31	35.82	4.32	156.14	9.77	104.92	82.16	269.3	52.23	11.7	244.41	0.41	1.11	25.34	0.44	218.81	72.94	218.47	137.44
Npas2	2.76	0.0	0.0	27.58	8.83	1.64	26.75	3.58	1.8	2.29	0.0	0.0	0.75	24.33	12.85	15.9	33.48	3.22	0.0	13.49	12.8	0.0	5.81	4.18	3.38	0.13	0.8	0.0	3.54	0.0	1.65	0.0	3.54	50.04	4.04
Nvl	25.61	5.78	0.25	21.75	129.46	142.61	81.91	107.73	35.39	0.61	44.97	59.24	80.75	57.57	53.35	49.01	46.19	213.66	46.59	86.51	84.3	48.98	57.39	182.9	105.6	12.63	35.13	238.1	59.87	0.0	49.01	117.24	83.8	12.92	24.07
Pi15	19.53	6.36	20.65	24.66	30.62	24.34	18.37	14.58	7.71	9.09	10.25	11.47	21.61	15.83	23.57	38.68	32.86	17.73	3.5	26.07	26.44	13.16	11.78	55.14	13.88	14.51	6.79	12.4	10.13	7.59	20.38	36.79	22.3	24.7	29.75
Pias2	47.04	0.0	0.15	109.55	93.58	2.86	9.02	24.59	36.13	1.34	0.26	1.2	0.2	20.9	32.19	38.03	57.05	0.4	0.0	34.95	32.93	10.56	15.17	71.05	124.04	12.62	10.36	0.0	0.0	2.53	29.33	111.5	22.51	84.35	25.72
Rapgef2	100.81	123.93	0.0	77.96	95.28	75.9	65.62	20.2	67.86	68.0	53.33	59.71	54.94	191.28	160.24	208.58	158.48	45.5	0.0	79.17	85.32	22.72	25.12	65.57	213.64	289.39	60.29	121.23	2.8	250.62	78.93	124.57	218.21	106.02	31.34
Rpf2	0.0	117.73	111.03	0.0	97.89	97.26	121.84	0.0	0.0	320.0	254.34	0.0	0.41	14.5	171.75	151.06	233.69	0.23	0.0	122.86	52.72	125.6	107.29	165.02	0.0	21.02	116.91	0.0	91.47	38.82	0.0	182.36	0.21	0.0	177.35
Slc12a5	5.12	4.47	0.12	29.05	0.0	145.8	11.74	13.04	10.9	26.98	3.08	23.61	0.07	24.06	25.88	33.59	20.07	0.27	0.0	18.75	43.47	9.89	15.03	35.29	7.37	0.09	10.73	0.07	35.65	22.22	1.21	16.81	62.17	42.62	9.14
Stk38l	25.72	8.52	0.49	10.83	104.63	0.09	41.97	75.76	88.48	5.07	0.0	0.83	1.58	100.07	71.51	23.4	10.15	0.21	0.0	66.49	55.16	50.99	90.0	81.35	0.0	57.18	10.33	100.73	24.74	17.58	8.52	1.48	3.53	51.19	0.73
Thtpa	0.0	0.0	0.0	0.0	0.13	0.15	0.0	3.09	0.0	0.0	3.74	0.0	0.0	0.13	0.09	2.8	4.85	0.23	0.0	136.67	0.3	11.41	22.06	77.58	0.0	0.0	0.0	0.0	122.91	0.0	0.0	116.07	105.11	0.68	76.31
Zfp605	5.03	2.6	5.81	158.4	11.63	9.11	93.47	11.61	3.64	1.86	2.78	3.84	6.72	34.12	17.33	13.27	16.76	7.35	0.93	9.48	10.58	20.29	15.78	13.62	7.1	12.56	10.51	14.31	7.16	7.04	6.85	11.14	30.18	51.71	9.13
Zfp781	9.46	3.64	11.77	18.25	16.74	17.59	6.03	13.83	5.77	1.44	5.55	7.76	10.98	55.94	44.67	39.33	18.06	8.31	3.91	50.61	19.19	32.64	47.67	29.41	11.81	28.65	2.97	12.75	4.87	2.3	5.58	78.29	15.91	16.38	15.78
Zfp9	12.3	6.13	16.04	21.57	124.82	20.18	45.16	15.3	8.86	11.63	20.25	6.71	13.06	63.79	29.11	35.18	46.7	13.23	19.67	26.8	111.98	24.22	22.13	34.3	22.16	38.63	11.19	20.53	11.92	6.89	11.71	28.95	24.03	161.63	157.82
