	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Dnm1	0.0	28.93	0.0	0.0	0.0	46.47	0.0	0.0	78.56	0.0	24.08	22.6	65.64	98.62	51.02	72.66	74.58	86.27	10.67	54.75	65.43	91.12	59.24	10.87	25.46	55.97	107.29	52.37	74.07	71.52	101.6	73.5	0.0
Dpp6	0.0	69.97	46.45	0.0	0.0	154.51	0.0	0.06	44.91	0.0	18.69	18.37	81.1	88.08	54.75	17.19	53.69	95.8	36.95	145.3	104.8	73.71	122.42	210.95	32.8	101.45	77.21	23.79	31.74	65.59	104.45	58.24	0.0
Edil3	0.0	0.15	51.56	0.0	0.0	119.32	0.0	0.0	34.39	0.0	1.43	28.94	20.49	27.35	99.74	28.95	95.64	41.25	11.56	134.31	85.06	61.82	49.8	89.55	18.35	10.42	18.57	69.74	24.28	15.51	120.03	98.86	0.25
Elavl2	0.0	115.8	0.07	0.0	0.0	37.58	0.0	0.0	53.52	0.0	117.01	78.41	70.08	96.69	74.32	72.6	66.15	68.27	72.29	126.85	227.52	139.49	136.31	160.18	97.06	55.08	62.42	135.14	124.76	68.8	197.42	148.59	0.0
Emg1	0.0	152.14	11.64	0.0	0.0	107.45	0.0	242.11	119.92	12.32	92.81	341.56	57.25	106.24	275.46	162.8	224.91	123.43	196.91	151.58	67.36	85.27	163.54	268.0	169.2	177.25	131.07	192.69	236.47	233.63	133.57	231.2	0.0
Gm14430	0.0	1.3	0.0	0.0	0.0	17.66	0.0	0.0	3.32	0.0	0.0	14.72	1.87	13.5	16.5	13.46	3.22	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	6.88	0.0	8.34	13.81	25.3	2.38	0.0
Gm14434	0.0	1.3	0.0	0.0	0.0	17.66	0.0	0.0	3.32	0.0	0.0	14.72	1.87	13.5	16.5	13.46	3.22	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	6.88	0.0	8.34	13.81	25.3	2.38	0.0
Gm4724	0.0	1.3	0.0	0.0	0.0	17.66	0.0	0.0	3.32	0.0	0.0	14.72	1.87	13.5	16.5	13.46	3.22	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	6.88	0.0	8.34	13.81	25.3	2.38	0.0
Htr2a	0.0	8.56	0.08	0.0	0.0	1.07	0.0	0.0	19.87	0.0	0.0	0.0	0.0	0.0	0.0	3.71	0.0	13.71	16.91	60.22	0.24	9.9	37.93	10.19	33.07	0.0	3.55	44.66	1.52	0.0	1.46	65.63	0.0
Kcnk3	0.0	1.49	197.7	0.09	0.0	32.59	0.0	0.0	38.18	0.0	0.13	5.26	82.92	22.64	34.93	83.0	31.32	101.34	40.07	86.78	104.06	125.8	157.42	65.02	106.11	253.89	22.21	89.12	10.37	44.18	117.68	48.45	0.0
Kif5c	0.0	50.18	32.94	0.0	0.0	74.32	0.18	0.04	60.35	0.0	21.2	29.8	36.03	82.52	103.75	160.06	0.45	84.73	73.82	40.76	68.31	83.39	87.09	120.44	76.69	81.36	82.64	51.82	50.47	59.29	158.85	94.05	0.0
Klf6	0.0	2.9	0.0	0.0	0.0	12.83	0.0	0.07	35.24	0.0	4.1	22.72	25.4	14.68	0.0	37.59	23.42	0.22	0.0	10.79	0.17	18.04	20.86	0.18	0.0	0.0	3.96	0.15	0.11	0.65	0.0	7.55	0.0
Ldhb	7486.96	8138.08	8970.97	2593.67	5274.92	9309.63	3693.02	5876.73	8752.31	3963.33	10118.08	10894.4	8892.3	9343.6	8574.79	10165.1	9166.61	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	8275.76	8671.45	10182.84	9082.37	7830.1	11746.38	5577.5
Med22	0.0	0.0	186.18	0.0	0.0	0.0	0.0	0.0	37.63	0.0	0.0	26.79	54.69	8.12	66.56	0.0	0.0	0.34	0.0	3.21	19.25	174.89	61.06	115.08	0.0	1.21	70.09	114.21	32.09	0.0	97.66	1.02	0.0
Morc3	20.58	0.0	0.0	0.0	0.0	78.16	0.0	0.0	14.15	0.0	0.0	0.11	32.57	15.85	4.12	31.31	0.0	0.0	0.0	74.5	8.31	0.0	8.05	15.39	24.68	22.93	8.68	0.0	20.17	27.44	5.85	64.88	77.59
Mtap7d2	14.26	3.25	45.31	0.0	0.0	122.62	0.0	0.0	35.58	0.23	68.33	102.4	61.79	70.64	134.74	136.45	119.94	129.61	42.87	58.56	114.12	149.62	49.93	71.66	96.35	59.11	95.96	64.54	25.63	222.72	165.88	164.5	0.0
Nova1	0.0	3.52	9.54	0.0	0.0	24.86	0.0	0.0	15.08	0.13	27.49	1.55	3.15	1.38	20.98	4.94	5.11	12.09	0.0	19.79	12.64	18.45	2.25	24.14	39.73	3.27	0.54	6.57	20.64	3.17	28.11	9.3	0.0
Pacsin2	0.0	49.28	0.0	0.0	0.69	118.55	0.17	0.15	59.53	0.0	18.96	105.98	108.62	70.21	125.7	150.48	91.38	99.79	102.31	40.63	210.19	45.57	195.46	288.84	125.45	107.33	56.94	14.24	74.11	151.89	170.66	69.84	0.0
Pde10a	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.63	0.0	0.0	17.22	0.0	0.07	27.27	0.08	0.0	0.65	0.1	15.26	17.0	22.51	0.0	0.14	6.62	38.19	23.23	0.08	0.29	11.92	8.53	4.28	0.0
Phlda1	0.0	160.96	0.0	0.0	0.0	59.91	0.0	0.0	54.37	16.52	90.91	16.77	47.33	59.98	60.13	121.7	55.38	34.34	59.84	21.09	73.86	48.67	92.19	42.82	81.21	28.41	110.27	25.66	41.07	50.1	71.0	52.26	0.0
Plxna2	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	5.72	0.0	0.09	6.78	7.96	1.26	8.1	12.1	34.39	3.97	1.46	27.64	13.33	5.25	1.17	17.07	8.69	1.11	0.51	1.44	3.67	27.56	21.46	4.69	0.0
Porcn	0.0	181.41	13.01	0.0	783.27	8.59	0.0	0.0	40.43	0.0	0.0	0.0	43.06	78.59	119.96	26.62	57.31	76.92	8.89	62.76	43.03	41.33	35.45	156.95	11.89	0.0	14.48	20.88	25.52	0.14	49.58	52.57	0.0
Ppp2r2c	0.0	1.01	20.89	0.0	0.0	31.24	0.0	0.0	27.79	0.0	25.82	24.19	25.41	23.26	5.92	61.59	55.08	85.31	48.53	48.24	44.57	79.87	63.98	123.84	51.08	26.18	38.5	39.33	11.13	40.37	69.56	43.28	0.0
Pvalb	0.0	1440.49	0.0	0.0	0.0	2506.7	0.0	0.0	3332.67	0.0	1319.97	2144.98	1711.38	1199.86	1383.0	1316.24	1251.83	1724.33	1740.57	1769.21	1815.89	1408.27	1731.8	1698.2	1974.07	1295.74	1797.97	1759.25	1914.29	1681.17	1823.48	3516.69	0.0
Rapgefl1	0.0	0.14	17.6	0.0	0.0	0.0	0.04	0.07	0.13	1.04	0.0	0.0	0.18	0.39	0.29	0.0	0.24	3.33	0.0	43.28	13.65	0.09	0.1	12.02	11.5	0.91	26.5	36.95	0.0	5.42	31.44	0.09	0.0
Slc18a2	0.0	0.07	0.0	0.0	0.0	29.66	0.0	0.0	36.09	0.0	12.42	21.36	62.02	31.18	128.23	79.93	97.58	35.72	54.56	58.9	63.16	46.2	97.05	62.16	64.19	24.53	48.63	54.71	13.93	50.9	37.89	64.78	0.0
Smarca1	0.0	0.0	0.0	0.0	0.0	25.88	0.0	0.0	2.77	0.0	0.0	40.02	0.0	36.53	88.98	2.23	0.19	32.35	17.44	29.99	40.62	0.0	5.7	7.61	0.0	0.13	6.25	0.3	0.0	32.53	2.57	25.68	0.0
Smarcal1	0.0	0.0	0.04	0.0	0.0	0.09	0.0	0.0	1.79	0.0	0.0	6.39	0.0	2.79	19.16	0.0	0.23	0.67	0.0	0.0	4.42	6.62	13.04	4.79	10.57	10.62	4.24	1.28	13.42	25.4	0.0	30.59	54.38
Smndc1	0.0	0.13	12.46	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.0	0.0	0.0	31.09	6.79	16.91	60.64	7.38	0.18	0.0	8.46	7.89	0.97	0.0	0.0	55.41	2.96	0.59	0.21	0.95	22.99	22.92	0.0
Snord116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	8.69	13.81	10.13	5.44	0.0	21.33	8.33	3.39	5.67	13.15	7.64	3.68	3.4	3.94	9.68	4.39	11.28	0.0	13.5	0.0	1.69	0.0
Snord116l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	8.69	13.81	10.13	5.44	0.0	21.33	8.33	3.39	5.67	13.15	7.64	3.68	3.4	3.94	9.68	4.39	11.28	0.0	13.5	0.0	1.69	0.0
Snord116l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	8.69	13.81	10.13	5.44	0.0	21.33	8.33	3.39	5.67	13.15	7.64	3.68	3.4	3.94	9.68	4.39	11.28	0.0	13.5	0.0	1.69	0.0
Srgap3	15.28	58.59	12.92	1.33	0.0	18.42	0.16	9.85	23.07	1.78	13.25	16.64	23.04	16.28	42.07	56.77	59.53	39.13	19.3	19.37	30.0	43.06	37.84	70.61	39.93	30.3	44.25	73.94	25.1	27.88	72.16	26.16	0.4
Synj1	0.0	4.42	39.87	0.0	0.0	70.05	0.0	37.24	48.85	0.13	130.09	30.88	110.45	105.17	84.71	62.46	128.13	166.68	39.97	94.43	101.21	52.87	64.58	61.13	115.44	50.55	97.37	16.61	68.45	79.31	147.02	84.67	18.63
Tax1bp1	25.85	52.87	74.8	21.67	0.14	265.46	0.0	1.43	66.93	90.34	197.68	204.01	103.75	230.45	145.07	195.03	260.52	214.01	139.65	92.09	192.43	28.15	143.65	197.06	149.7	107.16	201.15	179.71	128.17	148.63	100.28	186.08	332.68
Trpc4	0.0	32.78	4.42	0.0	0.0	47.26	0.0	0.0	0.56	0.0	52.2	0.0	0.48	11.06	93.48	0.0	0.0	0.0	0.0	34.9	102.22	0.0	31.1	115.42	56.33	0.17	15.91	72.84	0.0	38.8	64.06	0.0	0.0
Ugcg	0.27	4.46	20.66	0.0	0.0	64.3	0.0	0.15	34.04	0.0	2.86	8.14	23.86	36.67	89.19	59.25	3.31	6.4	51.59	41.87	93.09	61.68	73.51	69.1	15.02	40.02	37.96	39.58	2.51	87.65	62.99	85.21	0.17
Vps4a	55.36	0.66	0.0	0.0	0.0	0.0	0.0	0.0	4.68	0.0	38.42	0.23	39.62	38.71	32.48	40.01	110.06	65.42	65.3	47.36	28.1	0.0	62.64	4.54	0.85	28.52	0.0	112.1	6.8	41.61	13.71	68.4	0.0
Zfp286	0.0	0.0	0.0	0.0	0.0	7.16	0.0	0.0	0.0	0.0	23.24	10.15	0.0	0.18	0.2	0.0	71.72	45.22	0.0	0.0	0.0	38.28	26.45	46.63	0.0	0.0	2.39	0.0	5.83	0.0	2.17	3.16	0.0
Zfp354c	0.0	9.5	0.81	0.0	0.0	75.29	2.04	0.0	23.27	0.0	0.0	11.28	11.65	0.2	53.61	2.51	4.12	19.2	11.13	19.12	11.07	0.0	4.08	38.33	0.0	0.6	0.53	0.11	0.0	12.21	24.26	22.56	0.0
