	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cdh20	0.12	0.0	0.33	0.0	0.0	0.2	0.0	0.0	0.0	23.57	0.0	42.31	0.0	0.0	0.11	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.44	14.84	15.82
Cnnm1	4.99	10.09	63.08	0.0	0.07	11.11	24.92	0.22	16.55	52.01	0.0	163.14	23.29	0.0	27.21	55.79	36.77	0.0	0.0	18.98	0.0	0.0	0.05	0.1	41.03	0.11	48.41	11.6	63.15	65.54	67.49
Cnr1	3376.11	10009.06	712.02	14271.7	14712.45	18446.25	33283.94	19184.04	19801.43	16437.47	17862.67	3106.57	19681.78	17646.7	12520.63	22064.64	33041.05	0.0	0.0	227.37	0.0	12766.46	14288.55	25768.68	23267.78	1642.99	1764.01	65.45	80.79	75.85	84.42
Cramp1l	0.69	2.7	0.11	76.49	4.65	1.01	5.9	0.08	0.0	3.97	0.23	22.65	0.8	0.39	0.55	4.89	1.12	0.29	0.0	9.32	0.0	0.28	0.91	3.0	0.1	0.99	0.19	1.46	16.78	16.92	16.83
Cttn	0.14	64.94	0.0	3.94	138.4	57.15	53.44	56.67	64.33	83.24	11.1	327.57	2.4	0.0	27.33	65.84	89.63	0.0	0.0	50.29	0.0	20.68	0.08	0.0	108.17	0.17	0.0	82.74	92.84	96.78	94.81
Dlg2	7.24	17.12	13.25	42.35	29.11	28.84	18.36	106.69	2.57	40.18	4.35	220.5	8.22	16.9	3.43	28.57	58.79	0.0	0.0	32.11	0.0	0.0	0.96	88.63	19.95	5.4	2.87	13.69	164.86	151.24	164.22
E130308A19Rik	0.0	6.46	29.15	0.0	0.0	2.29	0.0	0.0	0.0	0.0	0.0	184.51	0.0	0.0	0.43	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11	5.83	6.61	7.05
Eef1a2	0.0	18.86	0.3	26.91	0.36	24.7	15.73	0.0	0.49	24.88	0.48	46.84	9.98	2.42	0.44	30.8	35.17	0.0	0.0	24.47	0.0	0.92	0.0	5.27	1.36	0.0	4.21	32.48	919.63	958.3	943.69
Epb4.1l5	0.2	0.0	0.0	0.14	0.0	0.06	1.01	24.52	63.86	0.54	0.0	65.86	0.0	0.1	0.0	52.82	16.18	0.0	0.0	2.44	0.08	1.98	0.0	9.9	0.06	11.97	0.0	0.32	3.77	3.85	4.08
Exosc4	0.77	0.0	0.69	4.37	2.04	44.8	15.55	2.99	6.08	49.47	53.77	138.13	1.13	1.19	30.66	26.05	54.74	0.0	0.0	32.96	0.0	0.0	8.74	4.24	0.0	1.29	13.08	19.96	22.02	24.04	23.62
Fbxw8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.65	0.0	0.0	0.0	8.84	0.0	0.0	0.0	1.29	0.0	0.0	0.0	8.62	0.0	0.0	0.0	0.83	22.44	24.04	24.28
Fdxr	0.0	0.0	0.0	0.0	0.0	23.27	0.0	59.43	0.0	1.46	0.0	276.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56	12.4	12.67	11.92
Gfra4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.29	0.0	0.0	0.0	0.0	12.13	0.0	0.0	2.47	40.32	48.59	47.21
Gga3	0.0	3.53	0.0	2.02	2.89	24.18	55.8	0.05	0.14	71.09	0.28	104.82	0.0	0.0	0.0	37.77	0.0	0.0	0.0	20.23	0.0	0.0	0.15	0.0	0.0	0.0	0.0	24.1	56.8	56.2	56.57
Gm5069	0.19	0.0	0.0	0.16	0.0	0.0	0.18	0.09	0.0	0.0	0.09	0.83	0.0	0.08	0.0	0.1	0.0	0.0	0.0	0.05	0.0	0.19	0.47	0.42	0.0	0.0	0.0	0.0	2.71	2.69	2.62
Hcrtr2	0.0	0.12	0.0	0.0	0.0	0.0	0.0	56.64	0.0	0.08	0.0	183.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	96.04	0.28	0.0	3.8	1.32	1.42	1.29
Hspa2	10.09	52.73	0.0	129.49	94.64	0.0	19.56	49.07	115.77	0.4	21.16	372.43	3.15	22.97	91.36	53.51	0.13	0.0	0.0	118.27	0.0	33.02	18.55	0.0	85.07	0.0	0.0	20.79	35.61	41.97	36.7
Kbtbd5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.83	265.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.89	6.65	7.07	6.98
Mknk1	0.0	0.0	0.0	0.0	0.0	0.0	17.78	0.0	8.97	0.0	0.0	313.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05	0.0	0.0	0.0	0.0	7.78	0.0	0.0	12.84	29.02	28.63	30.47
Myo1c	0.96	1.97	1.27	1.14	0.55	0.78	0.51	0.96	2.19	0.64	0.82	84.58	1.11	0.99	0.8	1.24	0.12	0.0	0.0	1.87	0.0	0.82	0.31	0.1	2.96	3.3	3.08	2.72	11.94	10.43	9.49
Nat8l	0.0	2.11	0.0	0.0	6.81	3.42	12.38	0.03	21.96	17.15	36.94	57.27	0.0	0.41	7.04	84.3	4.3	0.0	0.0	10.97	0.0	0.94	0.76	42.31	54.73	0.0	0.0	12.78	153.84	160.67	162.44
Ndufab1	0.0	39.21	0.0	0.49	0.0	32.83	16.54	18.11	27.48	51.67	12.0	14.79	0.0	4.96	27.53	7.03	21.75	0.0	0.0	85.6	0.0	0.82	0.7	17.3	30.18	8.43	0.0	10.08	106.39	124.38	113.78
Pacrgl	0.0	0.0	0.0	0.13	0.0	0.0	0.0	37.87	0.0	0.0	0.0	162.42	56.72	0.0	0.0	49.98	0.0	0.0	0.0	5.58	0.0	0.0	0.0	0.0	101.17	0.0	0.0	5.56	10.44	9.19	8.45
Pcbp1	0.0	2.46	0.0	60.04	0.0	90.05	13.44	23.75	46.08	43.31	0.24	194.88	0.0	92.63	0.73	1.3	16.1	0.0	0.0	50.48	0.0	0.0	18.11	0.0	0.0	56.89	36.33	26.37	185.19	202.11	179.35
Pi4kb	0.12	1.94	0.0	3.62	0.1	2.29	0.2	0.19	0.0	3.4	0.0	4.48	0.0	0.0	2.03	3.94	1.22	0.2	0.0	6.78	0.1	0.0	3.87	2.59	1.15	0.0	0.0	5.36	35.74	35.19	35.07
Ptpn20	0.0	0.0	0.0	0.0	0.0	12.54	0.0	0.0	0.0	0.0	0.0	198.56	0.0	0.0	27.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.35	0.48	0.33
Ralgapb	0.0	40.24	0.86	4.7	0.52	5.69	0.64	1.2	13.2	0.0	0.35	30.29	0.0	0.0	3.78	16.12	5.14	0.04	0.0	1.89	0.0	0.0	0.37	0.0	9.6	0.0	0.0	2.78	55.12	50.01	54.12
Rnf11	0.0	172.47	0.0	2.02	0.0	28.66	121.22	28.16	0.23	18.82	377.55	405.37	0.0	82.91	29.4	63.07	46.83	0.0	0.0	56.59	0.0	21.37	221.57	0.0	0.0	0.0	0.0	36.19	267.55	268.6	261.45
Rtkn2	0.7	0.86	0.33	0.47	0.09	0.76	0.52	0.77	0.27	0.43	0.33	11.18	0.08	0.06	0.0	0.36	0.63	0.2	0.0	5.67	1.08	0.51	1.12	0.92	0.68	1.87	1.62	2.26	2.53	2.53	2.61
Slc46a1	0.0	0.0	0.0	105.37	7.4	39.5	0.0	73.78	105.6	0.0	119.73	600.67	0.0	0.0	0.0	0.0	104.7	0.0	0.0	18.78	0.0	0.0	163.23	0.0	0.2	0.0	0.0	10.47	11.0	11.74	12.71
Tarsl2	0.0	8.58	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	342.03	0.0	4.28	49.83	0.11	10.64	0.0	0.0	15.68	0.0	0.0	0.0	16.85	0.0	0.0	0.0	12.03	38.79	39.36	35.69
Tecpr2	0.17	0.09	0.08	1.11	0.08	1.28	2.9	0.05	0.0	27.59	1.45	72.85	1.94	0.84	0.06	0.13	0.25	0.09	0.0	3.65	0.0	0.28	4.95	0.15	9.52	0.41	0.0	6.48	37.36	37.41	39.21
Tfpt	0.0	0.0	0.0	0.0	0.0	2.14	10.71	0.0	0.0	49.79	87.34	149.62	0.0	107.01	7.16	66.68	31.24	0.0	0.0	10.05	0.0	0.0	0.25	2.76	96.5	0.0	0.0	12.83	26.76	32.96	29.27
Ube4a	0.0	49.96	0.49	44.48	0.0	15.13	30.34	31.57	0.0	4.2	18.23	162.62	0.0	0.0	0.0	0.17	19.78	0.0	0.0	1.52	0.0	0.0	0.0	44.44	31.46	0.61	0.0	6.12	36.49	35.63	34.35
Ubr3	0.0	12.01	0.0	34.69	0.0	31.1	26.27	22.02	0.06	2.08	39.28	111.07	0.05	19.65	73.02	21.59	0.32	1.82	0.0	23.8	0.0	7.43	7.19	16.09	27.04	8.48	3.89	13.85	89.6	83.88	88.36
Wbscr17	0.0	3.3	12.06	0.0	0.0	0.0	1.45	1.16	0.0	0.0	23.2	128.52	0.0	0.0	0.0	6.9	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	37.98	45.03	41.83
Zdhhc22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.9	88.62	0.0	0.4	0.0	0.0	0.0	0.0	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	44.51	41.05	46.58
Zfp106	0.67	14.54	0.0	11.59	14.23	21.57	19.35	1.25	12.29	0.0	22.08	52.41	44.0	0.03	15.98	39.02	36.25	0.0	0.0	14.47	0.0	1.09	1.31	0.0	0.91	0.0	0.0	10.71	81.46	75.11	80.47
mt_AK141672	51.76	86.91	69.23	102.31	34.9	92.96	114.75	72.39	168.08	60.72	71.73	128.18	18.03	132.02	71.31	134.46	108.1	62.09	26.3	150.15	180.54	87.76	55.04	46.85	94.42	103.06	54.8	139.37	203.22	178.4	206.5
